identifier,name
084c0c6cde75fb06bfe0e33691e530f5,LATIN AMERICA
138ea42c1aa1e41f560bdf4c4d3219c0,EU
4f842e6a5b99a1bfd80b87edebfab890,US
54efe7118390c7c0e49365c66e07947c,ASIA
610ad4bcfb6838be18b4ad99b4a703f7,AUSTRALIA
9a956fb9622e234bd8bec134be090a27,NORTH AMERICA
a982bdf9e93a66584f52646a4ae43d8c,CA
d2f983393bbba485980b37a13456348b,NATO
