guid,location_name,coordinates,lat,lon,Dupe,,,,,Coord - Rounded1,Coord - Rounded2,lat - Rounded1,lat - Rounded2,Mismatch Check,,
01d92a15c63bfa97fffd10cbb3f66685,"South San Francisco, CA, USA","37.654656, -122.4077498",37.654656,-122.4077498,1,,,,,37.655,-122.408,37.655,-122.408,Match,,
01f133ea175d10535bad81e71174bf21,"Montreal, Quebec, Canada","45.5016889, -73.567256",45.5016889,-73.567256,1,,,,,45.502,-73.567,45.502,-73.567,Match,,
01f31f96c2cf2e1ab9677fd12a12a262,"Tampa, FL, USA","27.950575, -82.4571776",27.950575,-82.4571776,1,,,,,27.951,-82.457,27.951,-82.457,Match,,
020cce34368d045922c32ff4a1ac63dc,"Buffalo Wild Wings HQ, Minneapolis, MN, USA","44.9713611, -93.3502713",44.9713611,-93.3502713,1,,,,,44.971,-93.35,44.971,-93.35,Match,,
021b6b3dc5356209a31c30c777b286fb,"McLean, VA, USA","38.9338676, -77.1772604",38.9338676,-77.1772604,1,,,,,38.934,-77.177,38.934,-77.177,Match,,
02253ec0d7d4b8bf2e93fe193283b828,"Cranbury, NJ, USA","40.3025907, -74.511172",40.3025907,-74.511172,1,,,,,40.303,-74.511,40.303,-74.511,Match,,
023cc77f9b08a65bbe11988e5df603b6,"Vancouver, British Columbia, Canada","49.2827291, -123.1207375",49.2827291,-123.1207375,1,,,,,49.283,-123.121,49.283,-123.121,Match,,
02646cec0403502d50f26e178376036b,"Hangzhou, Zhejiang Province, China","30.274084, 120.15507",30.274084,120.15507,1,,,,,30.274,120.155,30.274,120.155,Match,,
028a91448733d3030ed7a7c22f140252,"Exton, PA, USA","40.0325817, -75.6274583",40.0325817,-75.6274583,1,,,,,40.033,-75.627,40.033,-75.627,Match,,
029138a9a8fb1efc716e7c36fc654732,"Atlanta, GA, USA","33.7489954, -84.3879824",33.7489954,-84.3879824,1,,,,,33.749,-84.388,33.749,-84.388,Match,,
02949bc42b93d14a4d83c08185fa8843,"Newport Beach, CA, USA","33.6188829, -117.9298493",33.6188829,-117.9298493,1,,,,,33.619,-117.93,33.619,-117.93,Match,,
029b8626847fdc22ef1f0684a4fb2300,"Coca-Cola HQ, Atlanta, GA, USA","33.7542763, -84.3818443",33.7542763,-84.3818443,1,,,,,33.754,-84.382,33.754,-84.382,Match,,
02ad85b36968c97d9ffde16311354801,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
02aeb96a90be512f109806389864985f,"Miami, FL, USA","25.7616798, -80.1917902",25.7616798,-80.1917902,1,,,,,25.762,-80.192,25.762,-80.192,Match,,
02ba328af66881e6257eea0ee8b12940,"Vancouver, British Columbia, Canada","49.2827291, -123.1207375",49.2827291,-123.1207375,1,,,,,49.283,-123.121,49.283,-123.121,Match,,
02ba6c1e11284189e336b8010110afe9,"San Diego, CA, USA","32.715738, -117.1610838",32.715738,-117.1610838,1,,,,,32.716,-117.161,32.716,-117.161,Match,,
02bade0ff1939564e2d8d700c097a49c,"Fairmont, WV, USA","39.4850848, -80.1425781",39.4850848,-80.1425781,1,,,,,39.485,-80.143,39.485,-80.143,Match,,
02bb70447de9693f04485333ef4b4798,"Chesterbrook, PA, USA","40.0756627, -75.4590816",40.0756627,-75.4590816,1,,,,,40.076,-75.459,40.076,-75.459,Match,,
02bd0e47a12c5bdc4b196799617ea432,"Pittsburgh, PA, USA","40.4406248, -79.9958864",40.4406248,-79.9958864,1,,,,,40.441,-79.996,40.441,-79.996,Match,,
02c7a5aec4ab6e7a0eee0c81b3a5c031,"Billerica, MA, USA","42.5584218, -71.2689461",42.5584218,-71.2689461,1,,,,,42.558,-71.269,42.558,-71.269,Match,,
02c8d53a7c2cfb92e8e61245cb1b7870,"New Hartford, NY, USA","43.073403, -75.2876661",43.073403,-75.2876661,1,,,,,43.073,-75.288,43.073,-75.288,Match,,
02d7d89c018226bd9635f2c9a6721af1,"Guangzhou, Guangdong Province, China","23.12911, 113.264385",23.12911,113.264385,1,,,,,23.129,113.264,23.129,113.264,Match,,
02d90a58a94c5481e96fca9e472033d2,"New Prague, MN, USA","44.5432966, -93.5760652",44.5432966,-93.5760652,1,,,,,44.543,-93.576,44.543,-93.576,Match,,
02daa7fb74bbbce1b40d8bbf34fb8d35,"Luxembourg City, Luxembourg","49.611621, 6.1319346",49.611621,6.1319346,1,,,,,49.612,6.132,49.612,6.132,Match,,
0301370d7ead305aaa177f9cb1c3fcbf,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
033f954212cc151e3b9c35d8ec1468c5,"Greensboro, NC, USA","36.0726354, -79.7919754",36.0726354,-79.7919754,1,,,,,36.073,-79.792,36.073,-79.792,Match,,
035bff5375d7dfb7c32bf4b25fb76c3e,"Bethesda, MD, USA","38.984652, -77.0947092",38.984652,-77.0947092,1,,,,,38.985,-77.095,38.985,-77.095,Match,,
0363c8711ca6883c7d1c908520210f61,"ANZ Bank HQ, Melbourne, Australia","-37.8217935, 144.9449132",-37.8217935,144.9449132,1,,,,,-37.822,144.945,-37.822,144.945,Match,,
036500462c2ebcdf424b964b723b4802,"Cleveland, OH, USA","41.49932, -81.6943605",41.49932,-81.6943605,1,,,,,41.499,-81.694,41.499,-81.694,Match,,
03653b1fefed138cb7ea59ed72acbe73,"King Of Prussia, PA, USA","40.1010556793651, -75.38525807918803",40.10105568,-75.38525808,1,,,,,40.101,-75.385,40.101,-75.385,Match,,
0367744aea8ba9c2124d38c05298b283,"Seattle, WA, USA","47.6062095, -122.3320708",47.6062095,-122.3320708,1,,,,,47.606,-122.332,47.606,-122.332,Match,,
0374995531edf70486e6f81e15b674a5,"Richmond, VA, USA","37.5407246, -77.4360481",37.5407246,-77.4360481,1,,,,,37.541,-77.436,37.541,-77.436,Match,,
