labels,type,type_list,variant,row_index,keyword,guid,caption_name,Secondary Terms,Join Type,Exclude Terms,Plural,Possessive,relate_column2,key_edit_time,Dupe,data_source,source_identifier,global_identifier
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Nervalin®,-1,Nervalin®,,,,,,,,,,,mapping,ff95e089600c3ea379b306bfd3d1266a,mapping__ff95e089600c3ea379b306bfd3d1266a
"[""NameVariant""]",NameVariant,"[""NameVariant""]",PD 144723,-1,PD 144723,,,,,,,,,,,mapping,4ca8c85bf288596bc7582b37b75a86d7,mapping__4ca8c85bf288596bc7582b37b75a86d7
"[""NameVariant""]",NameVariant,"[""NameVariant""]",(S)-3-Isobutyl GABA,-1,(S)-3-Isobutyl GABA,,,,,,,,,,,mapping,ecbf2dc552bf84f5d67a866ecf18c487,mapping__ecbf2dc552bf84f5d67a866ecf18c487
"[""NameVariant""]",NameVariant,"[""NameVariant""]",3-Isobutyl GABA,-1,3-Isobutyl GABA,,,,,,,,,,,mapping,50450f966b3e2e62c5d6590e078d726e,mapping__50450f966b3e2e62c5d6590e078d726e
"[""NameVariant""]",NameVariant,"[""NameVariant""]",(S)-3-(aminomethyl)-5-methylhexanoic acid,-1,(S)-3-(aminomethyl)-5-methylhexanoic acid,,,,,,,,,,,mapping,75f03844aff4715a893b81b2659960d6,mapping__75f03844aff4715a893b81b2659960d6
"[""NameVariant""]",NameVariant,"[""NameVariant""]",S-(+)-3-isobutylgaba,-1,S-(+)-3-isobutylgaba,,,,,,,,,,,mapping,8ddc9a2314a4a885e5ffec4eee07b5fa,mapping__8ddc9a2314a4a885e5ffec4eee07b5fa
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Lipitor,7583,,cfc5d121ffb6fa0c1424e2a480e7b748,Lipitor,,,,,,,,1,mapping,b539c06bc3203912e22df3b581d80c5e,mapping__b539c06bc3203912e22df3b581d80c5e
"[""NameVariant""]",NameVariant,"[""NameVariant""]",lipitor,7583,lipitor,,,,,,,,,,,mapping,db7b686f155199b8335485c9c678559e,mapping__db7b686f155199b8335485c9c678559e
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Viagra,7584,,cfc5d121ffb6fa0c1424e2a480e7b748,Viagra,,,,,,,,1,mapping,a76fcb1681ff20851c8a77bb3c73ee56,mapping__a76fcb1681ff20851c8a77bb3c73ee56
"[""NameVariant""]",NameVariant,"[""NameVariant""]",viagra,7584,viagra,,,,,,,,,,,mapping,04cc03c2cc3ecbbabc190f0d8a2828c1,mapping__04cc03c2cc3ecbbabc190f0d8a2828c1
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Pfizer CEO Albert Bourla,7585,,cfc5d121ffb6fa0c1424e2a480e7b748,Pfizer CEO Albert Bourla,,,,,,,,1,mapping,466b110735e83b27247e346ff86e9e3c,mapping__466b110735e83b27247e346ff86e9e3c
"[""NameVariant""]",NameVariant,"[""NameVariant""]",albert bourla,7585,albert bourla,,,,,,,,,,,mapping,5d12a5a00a4802ccfdbf8b46f2841eb9,mapping__5d12a5a00a4802ccfdbf8b46f2841eb9
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Pfizer,7586,,cfc5d121ffb6fa0c1424e2a480e7b748,Pfizer,Infrastructure,JOIN,,TRUE,TRUE,,,1,mapping,36f3a4f30a87b72ef8a0a2c0285cf091,mapping__36f3a4f30a87b72ef8a0a2c0285cf091
"[""NameVariant""]",NameVariant,"[""NameVariant""]",pfizer,7586,pfizer,,,,,,,,,,,mapping,e7fd3181a24ab24c6e74fd82743e2a88,mapping__e7fd3181a24ab24c6e74fd82743e2a88
"[""NameVariant""]",NameVariant,"[""NameVariant""]",pfiser,7587,pfiser,,,,,,,,,,,mapping,4a4b955094f2ba1ffc2b90c1470348ac,mapping__4a4b955094f2ba1ffc2b90c1470348ac
"[""NameVariant""]",NameVariant,"[""NameVariant""]",pfizer ltd europe,7588,pfizer ltd europe,,,,,,,,,,,mapping,228d134c20aee63c34ac6ac4a6827d64,mapping__228d134c20aee63c34ac6ac4a6827d64
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Barnes & Noble CEO James Daunt,7589,,a453fee89bce22bec50fb44fb9b1b56e,Barnes & Noble CEO James Daunt,Company Names,AND,,,,,,1,mapping,fc50ce30844119150e9191432dd2d2b7,mapping__fc50ce30844119150e9191432dd2d2b7
"[""NameVariant""]",NameVariant,"[""NameVariant""]",james daunt,7589,james daunt,,,,,,,,,,,mapping,33ae75ac7f5df94c2bf8eb7ef1e5d27d,mapping__33ae75ac7f5df94c2bf8eb7ef1e5d27d
"[""NameVariant""]",NameVariant,"[""NameVariant""]",Achilles James Daunt,-1,Achilles James Daunt,,,,,,,,,,,mapping,efe0ffceef8adf590661ca42f06a1370,mapping__efe0ffceef8adf590661ca42f06a1370
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Barnes & Noble,7590,,a453fee89bce22bec50fb44fb9b1b56e,Barnes & Noble,,,,,,,,1,mapping,78aa6801de788a7b338d50f233dd4d5f,mapping__78aa6801de788a7b338d50f233dd4d5f
"[""NameVariant""]",NameVariant,"[""NameVariant""]",barnes & noble,7590,barnes & noble,,,,,,,,,,,mapping,3edf78463ee19519a5879d0f29693c1e,mapping__3edf78463ee19519a5879d0f29693c1e
"[""NameVariant""]",NameVariant,"[""NameVariant""]",barnes noble,7591,barnes noble,,,,,,,,,,,mapping,8c8160e85f75f30df3f9fe27fdc47dad,mapping__8c8160e85f75f30df3f9fe27fdc47dad
"[""NameVariant""]",NameVariant,"[""NameVariant""]",barnes&noble,7592,barnes&noble,,,,,,,,,,,mapping,a2bff32db22f7fd44768d989a2d3b5ca,mapping__a2bff32db22f7fd44768d989a2d3b5ca
"[""NameVariant""]",NameVariant,"[""NameVariant""]",barnes and noble,7593,barnes and noble,,,,,,,,,,,mapping,e00650bc7a07819722a3cce1e708eaae,mapping__e00650bc7a07819722a3cce1e708eaae
"[""NameVariant""]",NameVariant,"[""NameVariant""]",barnesandnoble,7594,barnesandnoble,,,,,,,,,,,mapping,d06261bece6898ef46fa6f43b96b1005,mapping__d06261bece6898ef46fa6f43b96b1005
"[""NameVariant""]",NameVariant,"[""NameVariant""]",barnes and nobles,7595,barnes and nobles,,,,,,,,,,,mapping,52186981a4fb19103ff5dc30c4582e2d,mapping__52186981a4fb19103ff5dc30c4582e2d
