source_global_identifier,destination_global_identifier,rel_type,rel_properties $
mapping__Ross Longood,mapping__194ac263afe504f37246ed8f40777982,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ross Matthews,KP__3bbd3dc57ce54dc2856225e642cabb9c,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Ross Matthews,mapping__b3342a929a6adbf16492ce1d381eacd2,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ross Matthews,mapping__882ff2f2557ad471f39ad58103be8171,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Ross_McInnes,KP__4BB6dekCmlWfXPdnlOZVn5,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Ross_McInnes,mapping__https://en.wikipedia.org/wiki/Safran,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__https://en.wikipedia.org/wiki/Ross_McInnes,mapping__12872807eb0f54c57a28e8b44a0dd6ea,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Ross_McInnes,mapping__4019a5718534c9c1225a01e35ed1a1d1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Ross_McInnes,mapping__91c82b0e08ab5eb50017837cfd5a440e,NAMEVARIANT,"{""from"":""external""}"
mapping__Ross Niebergall,KP__0cbc1ddc45aeb20fef919b6623d77cc8,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ross Niebergall,mapping__633090547c093fadc22149f6396fcd54,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ross Niebergall,mapping__47c8f66de5a3ce4decab5107b673970e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rossella Locatelli,mapping__https://en.wikipedia.org/wiki/Intesa_Sanpaolo,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rossella Locatelli,mapping__83fe7d4e54e42760a8b48fc72190a752,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rossella Locatelli,mapping__b0e71883bc9505bef621728da3e6041b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Roswitha Hermann,mapping__https://en.wikipedia.org/wiki/Adidas,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Roswitha Hermann,mapping__60e7e961d05f172dfa78fca9339f7022,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Roswitha Hermann,mapping__41fab80155f7944439c013932590ede5,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Roula Kataras,mapping__https://en.wikipedia.org/wiki/Scotiabank,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Roula Kataras,mapping__1a5c68c54c102e097913246f5fcf08a9,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Roula Kataras,mapping__493073fd50cf8fef3b44b55df9563629,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Roxanne Lagano, JD",mapping__https://en.wikipedia.org/wiki/Zoetis,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
"mapping__Roxanne Lagano, JD",mapping__d1a448d51bbf18ca5a91e054f98bec8d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Roxanne Lagano, JD",mapping__d2731d8eab7c471299fe164964531b43,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Roy Jakobs,mapping__https://en.wikipedia.org/wiki/Philips,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Roy Jakobs,mapping__249f7734d54ff8cc76ca724f496ac91b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Roy Jakobs,mapping__f506b045ccb57ad27a0c686e35a10c29,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Roy Labrador,mapping__https://en.wikipedia.org/wiki/Frontier_Communications,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Roy Labrador,mapping__5fe49a323ddeff7e310e6483bc233889,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Roy Labrador,mapping__84518c723182cd6ed6c8df4b6a61b28f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Royce R. Bedward, JD",KP__71eaa1c81c4e4f69dd1079d288e47d9f,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
"mapping__Royce R. Bedward, JD",mapping__9bff113273fcd90f5b00576fff2d6647,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Royce R. Bedward, JD",mapping__661e3f65526c3ccf675d0f0278236a08,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ru Yu Hao,mapping__https://en.wikipedia.org/wiki/Bank_of_Beijing,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ru Yu Hao,mapping__7f09581d2dc186db32d64da45f26f62a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ru Yu Hao,mapping__47a9fc9555bcce068c3fd8484b716461,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruan Qi,mapping__https://en.wikipedia.org/wiki/China_Life_Insurance_Company,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruan Qi,mapping__87d32f396cec36dc6ce1e37d77dd8968,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruan Qi,mapping__daa8afd023758058326e34d86493a6d6,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruben Herrera,mapping__https://en.wikipedia.org/wiki/Ternium,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruben Herrera,mapping__9aa22e2ca127ab15bba84dc205b74bfa,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruben Herrera,mapping__35c524ecf4dfc79de92d2424aa27f42a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruben Herrera,mapping__d088b7b46b815befbf3435e097179bd5,NAMEVARIANT,"{""from"":""external""}"
mapping__Ruben Herrera,mapping__9904cba38d771966d08133e66ce3d381,NAMEVARIANT,"{""from"":""external""}"
mapping__Ruben Herrera,mapping__0192170b8d49cbf3e7297d15df888c4d,NAMEVARIANT,"{""from"":""external""}"
mapping__Ruben van der Hulst,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruben van der Hulst,mapping__71b89740e39a766e9418b035a9908e73,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruben van der Hulst,mapping__17f5c0b2f97da198a57fca09a792642f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rubens Feroz,mapping__https://en.wikipedia.org/wiki/Orix,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rubens Feroz,mapping__e3430c205e78f8f9e4e3d133d8e2c3ca,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rubens Feroz,mapping__edd461a3d1707a15d672d6f8642755a8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rubin Ritter,mapping__https://en.wikipedia.org/wiki/Zalando,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rubin Ritter,mapping__0f83c8afb9af44d607748f9cbe5cdf2e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rubin Ritter,mapping__7ce6728c5f41f2783f52ab88284f03f8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/CMA_CGM,KP__9b678417167eac5133f1e1e4801b535b,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rudolphe Saade,mapping__https://en.wikipedia.org/wiki/CMA_CGM,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Rudolphe Saade,mapping__be059d66a81d3d498c1d5245e5c823a9,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rudolphe Saade,mapping__fd424d5d35c97c227004e80ff74c1f80,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rudy E. Schupp,mapping__https://en.wikipedia.org/wiki/NextEra_Energy,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rudy E. Schupp,mapping__161e2c48a125797fc7bc8f0cf27a7ce4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rudy E. Schupp,mapping__f94d0e679da4e01e95a6c4e5134feb07,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Da Conceicao Rodrigues do Amaral,mapping__https://en.wikipedia.org/wiki/Eurocash,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rui Da Conceicao Rodrigues do Amaral,mapping__fdf742ee16ceafceb8b651810d6c94d1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Da Conceicao Rodrigues do Amaral,mapping__77d2fc9f45645b4a8af1bd62b0094311,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Li,mapping__https://en.wikipedia.org/wiki/Hainan_Airlines,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rui Li,mapping__5c399785581d78577fafa8d2140f7ba4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Li,mapping__d29455970024814f7d72cc78a8a88093,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Manuel Rodrigues Lopes Teixeira,mapping__https://en.wikipedia.org/wiki/EDP_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rui Manuel Rodrigues Lopes Teixeira,mapping__845fb7d9ccbc709268e21c5320efc0c5,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Manuel Rodrigues Lopes Teixeira,mapping__ec3da308df957b3704fdd59e1c81be05,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Shang,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rui Shang,mapping__2e5bb8fe769824f27a8eb4c8fd1c1388,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Shang,mapping__09be7c61297160533e032b1cf49722b6,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Yu Cai,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rui Yu Cai,mapping__11522bb94864dd861fc039c4925e7012,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui Yu Cai,mapping__58d786c9a18ce7bc106a7500c6dad11b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui'ai Chen,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rui'ai Chen,mapping__a1abbdfeb5d7efd6fca147de99f8ee1c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rui'ai Chen,mapping__48f62dbf6b93975a6ba9c173d16b0b66,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruihan Cheng,mapping__https://en.wikipedia.org/wiki/Yunnan_Tin,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruihan Cheng,mapping__b4ce8df39772c2b5772be41e874329ba,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruihan Cheng,mapping__2fd3b73b8e4d96bfe76b05530371a474,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rune Bratteberg,mapping__https://en.wikipedia.org/wiki/Yara_International,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rune Bratteberg,mapping__8813682ad15ecca00f13b65953dfa249,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rune Bratteberg,mapping__e05e8af2d0ba3ab3a63012c861e71f74,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Runzhou Zhu,mapping__https://en.wikipedia.org/wiki/Aluminum_Corporation_of_China_Limited,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Runzhou Zhu,mapping__68727603d0ba9351aef5ef6be4903760,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Runzhou Zhu,mapping__004de55c4694449ab53f2f01fa679e83,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruo Lei Wang,mapping__https://en.wikipedia.org/wiki/Hainan_Airlines,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruo Lei Wang,mapping__63a308f8906f0a4739d3090403e3639d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruo Lei Wang,mapping__181c2c7a993ccacb77fbe9f6838b6c8f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rupert Bondy,mapping__https://en.wikipedia.org/wiki/Reckitt,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rupert Bondy,mapping__36e652121cac1f5197bb96007e5c7d41,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rupert Bondy,mapping__7e39bfe3344381f22cfa650fb90d525e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rupert Bondy,mapping__da51c05205401ba92d2c73504dd2ea95,NAMEVARIANT,"{""from"":""external""}"
mapping__Rupert Soames,KP__0waFWGe0yOpc5TkX0p1M5Y,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rupert Soames,mapping__https://en.wikipedia.org/wiki/Serco,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Rupert Soames,mapping__2176ba2f0ea1afda5063ec2d6498d37a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rupert Soames,mapping__b8229dc10081b7f073e436fff796941f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Ruslan_Ismailov_(footballer),mapping__https://en.wikipedia.org/wiki/Magnit,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__https://en.wikipedia.org/wiki/Ruslan_Ismailov_(footballer),mapping__c9cbf854bdfda808bedaade3c65938b6,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Ruslan_Ismailov_(footballer),mapping__1b7c95a22c65c57f53574683a322efac,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Russell A. Thompson, Esq.",mapping__https://en.wikipedia.org/wiki/Orix,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
"mapping__Russell A. Thompson, Esq.",mapping__69eb49fdbc474431986f9ae53e0f3bab,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Russell A. Thompson, Esq.",mapping__3b6b6e14342482ced4c7e10750afbe51,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Bundschuh,KP__3071713c06a0cbcfbb51dfa1a18e5fd2,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Russell Bundschuh,mapping__b0e088ca2f453c12d7de0d4e65f1dc3f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Bundschuh,mapping__4f8275862af56179672d14cfa929913b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Ellwanger,mapping__https://en.wikipedia.org/wiki/Tower_Semiconductor,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Russell Ellwanger,mapping__3e2ea480225715a8aee169bffdfad2d9,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Ellwanger,mapping__fe3579ec82868753aded74396abae3e2,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Ellwanger,mapping__6b102048c80f7964db184d6dcf8e648b,NAMEVARIANT,"{""from"":""external""}"
mapping__Russell G. Parsons,mapping__https://en.wikipedia.org/wiki/Arthur_J._Gallagher_&_Co.,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Russell G. Parsons,mapping__2a6933490b1b3bf6733a37702e7143e2,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell G. Parsons,mapping__93e7fd0e9a03216f46ad1dd72a0e6ffd,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Gordon,mapping__https://en.wikipedia.org/wiki/RPM_International,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Russell Gordon,mapping__83754d99a4d91cc643e8eb51d2e90db1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Gordon,mapping__5bb00d24e60bb51467cc4e4e768ba86e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Gordon,mapping__dda5d3ec3589afeb0f5a990e88461583,NAMEVARIANT,"{""from"":""external""}"
mapping__Russell J. Pass,mapping__https://en.wikipedia.org/wiki/Arthur_J._Gallagher_&_Co.,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Russell J. Pass,mapping__1c23abcac0c6fa16b1a9292e6bfc2d2c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell J. Pass,mapping__cab526e896660b0d826ac37dc0527567,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell M. Currey,KP__c09f87ce844e872fda994dc226e4d000,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Russell M. Currey,mapping__416446d21077e6a2c6591406b8d90822,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell M. Currey,mapping__dc912f464bfa0c1d4165b9b88368e82d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Mark Loubser,mapping__https://en.wikipedia.org/wiki/FirstRand,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Russell Mark Loubser,mapping__f304cbf7eeb34205903aac2039f42aea,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Mark Loubser,mapping__94ef0c0d27a223f0b1d43e9f84575da3,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__CEO Russell Petrella,KP__176cf31e0a283f3e9532f5ba9aaed770,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__CEO Russell Petrella,mapping__db5a452101b4577ba87a098dc9807201,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__CEO Russell Petrella,mapping__03aa2f967d18075821913c9607aa5d89,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__CEO Russell Petrella,mapping__c96872baf7165039748b269489d03c0f,NAMEVARIANT,"{""from"":""external""}"
mapping__Russell Schwartz,mapping__https://en.wikipedia.org/wiki/DIC_Corporation,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Russell Schwartz,mapping__742f02be60994e40380835e0c752ccd6,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Schwartz,mapping__1dd790e61027611cad564eca7ab75d26,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Shiels,mapping__https://en.wikipedia.org/wiki/Kingspan_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Russell Shiels,mapping__02501ebd3d1fa4fad1d56a7d94594790,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Russell Shiels,mapping__d51f22cc7d1717173e6500c18e55c453,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rustom Jilla,mapping__https://en.wikipedia.org/wiki/International_Flavors_&_Fragrances,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rustom Jilla,mapping__eaf6938f693b8552cff2eb6b47c357ba,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rustom Jilla,mapping__e506e2fd3db146dc657a3bee17b5c85d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rusty Bland,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Rusty Bland,mapping__87e474540feeab28df8ae3ec1b872194,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Rusty Bland,mapping__dc8966b51b52038bc6097b248f2c79b7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Ann Wisener,KP__167889d6136ef7d643b0a1943d86b753,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruth Ann Wisener,mapping__ac5b7855a6cda4305415c6ed9440a8d7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Ann Wisener,mapping__955df1bee7753269adf30d3eb75858cd,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Cairnie,mapping__https://en.wikipedia.org/wiki/Associated_British_Foods,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruth Cairnie,mapping__56ea7efdd87308fc8a72e7d38384a800,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Cairnie,mapping__a9fa8a7697fd6da1d11ec9353a11b8b1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Cotter,mapping__https://en.wikipedia.org/wiki/Advanced_Micro_Devices,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruth Cotter,mapping__077c6449959ecc64b1f82691dd38ff33,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Cotter,mapping__b3040e48251fd88713a0e61c90ead69e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Petran,mapping__https://en.wikipedia.org/wiki/Ecolab,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruth Petran,mapping__3093e6e7b2ead454d0d2c0d02ccef3b3,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Petran,mapping__4cf1e688f90940bdbe3edea094dda99d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Tsim,mapping__https://en.wikipedia.org/wiki/Hutchison_Port_Holdings,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ruth Tsim,mapping__805545309127a71530cf9e5948b8a87c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruth Tsim,mapping__1627c96db0aeba7fddbe5ec2a11a9ff3,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruud Joosten,KP__6158cf176ca642e0b754afac0a561b74,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Ruud Joosten,mapping__671d63b1b9d8f4e4215216fa880c0d27,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ruud Joosten,mapping__199d6091022273dd236f4e690e352a66,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ryan A. Zanin,mapping__https://en.wikipedia.org/wiki/Fannie_Mae,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ryan A. Zanin,mapping__b71c329aef3cf42b415fbd2bc64beb20,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ryan A. Zanin,mapping__4851ef79676629abbd7ae52e1dbd450d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ryan D. Campbell,mapping__https://en.wikipedia.org/wiki/John_Deere,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ryan D. Campbell,mapping__d8f39b26f8507f1699b79bd46076af5b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ryan D. Campbell,mapping__56942eaa2dd789d5eeed6f17e5d01f4b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ryan Farha,mapping__https://en.wikipedia.org/wiki/Orix,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ryan Farha,mapping__37d93414a2d7d4d8a89f07609495df8c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ryan Farha,mapping__c2fb29fcf7a69b1291c2213295a6a4d6,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ryan Fusselman,"mapping__https://en.wikipedia.org/wiki/Nike,_Inc.",ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Ryan Fusselman,mapping__834bc92dfabefe7e09d601d5f590d90c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Ryan Fusselman,mapping__9285dfd118f64b3c9f19c3041f6c7300,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Ryan_Hamilton_(ice_hockey),mapping__https://en.wikipedia.org/wiki/Cerner,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
