id,entity_type,relationship_type,relationship_self
0RcKCH1rzYFaW2Kxt4iLHA,Person,NameVariant,"{'type': 'Mention', 'id': 'X8YVrkfeU52d213ehhcRP8', 'meta': {'mentionSupport': 2}}"
0RcKCH1rzYFaW2Kxt4iLHA,Person,NameVariant,"{'type': 'Mention', 'id': 'Xo3tqwsG5RndVZCWENUmRv', 'meta': {'mentionSupport': 1}}"
0Rg0zykg0BveRSYdRt6K32,Person,NameVariant,"{'type': 'Mention', 'id': '65FgNB6JaejcJMpXxOJhV6', 'meta': {'mentionSupport': 10}}"
0Rg0zykg0BveRSYdRt6K32,Person,NameVariant,"{'type': 'TwitterHandle', 'id': 'YfUjEtHt6yTcSp6dmXnmKY', 'meta': {}}"
0T5XGSDXzJEd2rYmiTSvxx,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '2AaSTUCKL5dcJndRLGdGI9', 'meta': {}}"
0UHvY0YhaoWcpFZxVV2N4V,Person,NameVariant,"{'type': 'Mention', 'id': '5qtacpsQoBtfAZ7r1C5c7d', 'meta': {'mentionSupport': 2}}"
0UHvY0YhaoWcpFZxVV2N4V,Person,NameVariant,"{'type': 'Mention', 'id': '9fcHA8GnbC7d6oBC6xZTn4', 'meta': {'mentionSupport': 1}}"
0UHvY0YhaoWcpFZxVV2N4V,Person,NameVariant,"{'type': 'Mention', 'id': 'Xnm2Z1LivfXeqKys8f1I0U', 'meta': {'mentionSupport': 18}}"
0Uj23kMNpF0abYL18QYJtW,Person,NameVariant,"{'type': 'Mention', 'id': '6Krsf3c0KDoflAJExNC9BE', 'meta': {'mentionSupport': 4}}"
0Uj23kMNpF0abYL18QYJtW,Person,NameVariant,"{'type': 'Mention', 'id': '9QwDNiRPstqcPHi9r871ZG', 'meta': {'mentionSupport': 2}}"
0Uj23kMNpF0abYL18QYJtW,Person,NameVariant,"{'type': 'Mention', 'id': '9iwjsnLBpuJf6h8NGBbfT2', 'meta': {'mentionSupport': 13}}"
0Uj23kMNpF0abYL18QYJtW,Person,NameVariant,"{'type': 'Mention', 'id': 'YD4RHZixpSgf69dr0mlwTh', 'meta': {'mentionSupport': 33}}"
0Uj23kMNpF0abYL18QYJtW,Person,NameVariant,"{'type': 'Mention', 'id': 'f6toLErP3OTe3Qp9jahLeR', 'meta': {'mentionSupport': 1}}"
0WwKcj8ToVibv4D8W7Dun2,Person,NameVariant,"{'type': 'Mention', 'id': '0BljV3OqpkBb8la62lePFF', 'meta': {'mentionSupport': 54}}"
0WwKcj8ToVibv4D8W7Dun2,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '0UgGEe5xxAxcFj8BFEVWEP', 'meta': {}}"
0WwKcj8ToVibv4D8W7Dun2,Person,NameVariant,"{'type': 'Mention', 'id': 'dbC5FFduqWkd6oKwDlozH0', 'meta': {'mentionSupport': 1}}"
0YzLXoKUxQSfPTXHVnXL4A,Person,NameVariant,"{'type': 'Mention', 'id': '3qm2cA08D9xako2M1QIKvr', 'meta': {'mentionSupport': 78}}"
0a42v2EL3lXanBKfKhuwVT,Person,NameVariant,"{'type': 'Mention', 'id': '39RwXG0JQ86fwQWA4xZZ1x', 'meta': {'mentionSupport': 32}}"
0a42v2EL3lXanBKfKhuwVT,Person,NameVariant,"{'type': 'Mention', 'id': '8vGTdskwspfaW4fund4DJ7', 'meta': {'mentionSupport': 1}}"
0a42v2EL3lXanBKfKhuwVT,Person,NameVariant,"{'type': 'Mention', 'id': 'WQTIqMvcPgPcBN7claN7RU', 'meta': {'mentionSupport': 1}}"
0a42v2EL3lXanBKfKhuwVT,Person,NameVariant,"{'type': 'Mention', 'id': 'aWKHSQgUVH4dr4MI3ZlTgw', 'meta': {'mentionSupport': 1}}"
0a42v2EL3lXanBKfKhuwVT,Person,NameVariant,"{'type': 'Mention', 'id': 'dj9GtsZemwXeF3mPNWHr7m', 'meta': {'mentionSupport': 1}}"
0aAw8KAKDUEc8A8xfF0YRs,Person,NameVariant,"{'type': 'Mention', 'id': 'Ap0xcqgPPt4aeQmx5wzaTG', 'meta': {'mentionSupport': 1}}"
0aAw8KAKDUEc8A8xfF0YRs,Person,NameVariant,"{'type': 'Mention', 'id': 'c41uxEz2LN6fyTjFW3Gicu', 'meta': {'mentionSupport': 11}}"
0aAw8KAKDUEc8A8xfF0YRs,Person,NameVariant,"{'type': 'Mention', 'id': 'f2weR1VrIeVbv1euRi4VMY', 'meta': {'mentionSupport': 1}}"
0aHMI5tufhscDwVbgKVaxb,Person,NameVariant,"{'type': 'Mention', 'id': '8coxzhbhekhbvBxGpdmHTD', 'meta': {'mentionSupport': 9}}"
0aQQCH9kyh0di3dLheg6ZR,Person,NameVariant,"{'type': 'Mention', 'id': '3harWE7wcXodvWawbIFuht', 'meta': {'mentionSupport': 39}}"
0aQQCH9kyh0di3dLheg6ZR,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '6GQyaS8IecUckfn5F9Cczs', 'meta': {}}"
0ac4qfOpOSYfneIhrKFIpZ,Person,NameVariant,"{'type': 'Mention', 'id': 'dQ9en6kKsxqfXbnFdNdQGY', 'meta': {'mentionSupport': 11}}"
0d5yXfS9lcEfoV93LZuNKY,Person,NameVariant,"{'type': 'Mention', 'id': '11p4ji5c8VAe6r7iroZHNi', 'meta': {'mentionSupport': 1}}"
0d5yXfS9lcEfoV93LZuNKY,Person,NameVariant,"{'type': 'Mention', 'id': 'apq5eCOGp7zdHQMsSMfReO', 'meta': {'mentionSupport': 2}}"
0d5yXfS9lcEfoV93LZuNKY,Person,NameVariant,"{'type': 'Mention', 'id': 'cXapWj6MoBZawtXb52zF3T', 'meta': {'mentionSupport': 10}}"
0dcswhWfQFQbTZqc6q7Lmn,Person,NameVariant,"{'type': 'Mention', 'id': '7Z80OSD9rqWdPstyuEorJU', 'meta': {'mentionSupport': 7}}"
0g3fEFwf6W0eRRVZtnKA5q,Person,NameVariant,"{'type': 'Mention', 'id': 'XTDsdf9ZjTNbhwViA91b91', 'meta': {'mentionSupport': 2}}"
0hvVHC9JIBDbcyILsmfCxV,Person,NameVariant,"{'type': 'Mention', 'id': 'fYsWtYYyisxcQX67zUSW6A', 'meta': {'mentionSupport': 5}}"
0kX0TjE9zncebaPVuey7SQ,Person,NameVariant,"{'type': 'Mention', 'id': 'YgsmU36tWQrbol4Q9pXePp', 'meta': {'mentionSupport': 4}}"
0ks5OPoBmS1f7LeJ56A7bq,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '0SuI3zsbNt1bexakBxlMvw', 'meta': {}}"
0ks5OPoBmS1f7LeJ56A7bq,Person,NameVariant,"{'type': 'Mention', 'id': 'WYMp4iha7JmfgQy4iKxla1', 'meta': {'mentionSupport': 9}}"
0nJwybSa5mTamgjj0FqIgR,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '7BUDsCLdsvGe0RgAGANJeC', 'meta': {}}"
