source_global_identifier,destination_global_identifier,rel_type,rel_properties
mapping__https://en.wikipedia.org/wiki/International_Flavors_&_Fragrances,mapping__c0452b50a6143ea0e189ff7e10baf578,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/International_Flavors_&_Fragrances,mapping__8c8ede19e3e874f5ebdc1cdbb75f9bc8,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/International_Flavors_&_Fragrances,mapping__b0cc691867990cef61f7bff9393b40a1,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Intrepid_Potash,KP__ff754196f834899a30ff653cea879a6d,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Intrepid_Potash,mapping__bd21018936d4aa9fe3382362080ce3b3,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Intrepid_Potash,mapping__e3d1a653245002ecc10bc4c76ee394e3,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Koppers,mapping__59b6d2b43177dd87e2d16f84b0b1edd9,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Koppers,mapping__fb10d47365c94e3b6abcb63b98b19c49,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Kraton_(polymer),mapping__8cfd279d9c04d4d57acef508486c71bd,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Kraton_(polymer),mapping__9ce6a94c40d137650d216bb75f9153c9,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Kraton_(polymer),mapping__08b195ae5c32fffd26d4655cac244b52,NAMEVARIANT,"{""from"":""external""}"
"mapping__""Kronos Worldwide""",KP__774bf63bc77f93d023b533110134ef84,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Kronos Worldwide""",mapping__5715b96b4178e22af9261f1889d7b0ab,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Kronos Worldwide""",mapping__b8aa3c8d1fdb0a13e7f0e081c19c4d8c,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Liquid_Light,mapping__c777b98dbea8c1bbc69b95b71562f465,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Liquid_Light,mapping__90e0211eaf378fdd1086c07e25eded10,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Lubrizol,mapping__2788f0782e5929647179d2e1dc56b7da,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Lubrizol,mapping__e0d2db517d2bfd1fe483e7768ea0c863,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/LyondellBasell,KP__96bb1d523918211afb99ca3281e5eeb9,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
