source_global_identifier,destination_global_identifier,rel_type,rel_properties
logo_classes__https://en.wikipedia.org/wiki/Amazon_(chess),KP__4524725f1cdcdea1528f1a30dd700ff5,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amazon_(chess),logo_classes__3671d887b0938d992edbf2cab5e016e1,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amazon_(chess),logo_classes__b87c118732784b843cda1b0cb7b287b5,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Amazon_(chess),logo_classes__b214478c1cabb0e322ec2270af15a588,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Amazon_(chess),logo_classes__d2cb1f6ae31c1d4d1aea1c6896f044d4,NAMEVARIANT,"{""from"":""external""}"
logo_classes__amcrest,logo_classes__bc593ef61584756e671527d4c28d880f,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amedisys,logo_classes__0b67b5d2b5624fb79b81a6c6ec09d214,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amedisys,logo_classes__f04723205278513385af964f4cdbc82c,NAMEVARIANT,"{""from"":""external""}"
logo_classes__americanairlines,KP__4c0cfa29b24e5fb16b526d401bf15d77,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__americanairlines,logo_classes__7fe2368c1fbccced0c1530ef19a9b404,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__americanairlines,logo_classes__4b3102bddb8df93d6e0ba0184b3881c3,NAMEVARIANT,"{""from"":""external""}"
logo_classes__americanairlines,logo_classes__9a7d6b51ac1f28955e3a06b405ffdfd8,NAMEVARIANT,"{""from"":""external""}"
logo_classes__americanairlines,logo_classes__661a331912925fc93930db9ce57e3951,NAMEVARIANT,"{""from"":""external""}"
logo_classes__americanexpress,KP__00a1750f4366a8b59a4701841f4054bd,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__americanexpress,logo_classes__8af55d39ef8db5a643b5739517898b62,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amgen,KP__cbbf605ac8c153dab40ee70a8371ed1b,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amgen,logo_classes__aad2621fe32a832a7a37458656f10e8a,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amgen,logo_classes__2efc3c8c1ab0ab3967b55f475406fbe7,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Amgen,logo_classes__9a8f89c8065c53ec64bf86d7bb9df2b3,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Amway,KP__f3ad2ad66b0eabfdc9908766b6c6034f,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amway,logo_classes__1b326ca3812bdb0bf1532941055d9678,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Amway,logo_classes__859930c22da2e6e5bc393d709001da4a,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Amway,logo_classes__b40442c17097551b362bb83a0a90ff86,NAMEVARIANT,"{""from"":""external""}"
logo_classes__android,logo_classes__87075a166ba074d212aa9b2da3fe7ff0,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Animal_Planet_(Australia_and_New_Zealand),KP__0363c8711ca6883c7d1c908520210f61,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Animal_Planet_(Australia_and_New_Zealand),logo_classes__63ea63a32d28f4b4faf95ff8e5029685,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Animal_Planet_(Australia_and_New_Zealand),logo_classes__6bc262f286db9f4863421a1680c82aa1,NAMEVARIANT,"{""from"":""external""}"
logo_classes__apc,KP__2adac6e9b077021a8c4e5de1a3aa057b,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__apc,logo_classes__08a483efd0927a07f59ebdca8f16f197,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__apc,logo_classes__9a785e35c65e63b4dc2cb874240995a2,NAMEVARIANT,"{""from"":""external""}"
logo_classes__apc,logo_classes__cacfdb31ee9579f3c68e0e127999eaa2,NAMEVARIANT,"{""from"":""external""}"
logo_classes__apc,logo_classes__e80b1ef5444600b7671345c23285aaeb,NAMEVARIANT,"{""from"":""external""}"
logo_classes__apc,logo_classes__941a650e35dcc758b27a7b9482704bed,NAMEVARIANT,"{""from"":""external""}"
logo_classes__apc,logo_classes__61c7e309de94c53a63a7f405c8e53f73,NAMEVARIANT,"{""from"":""external""}"
logo_classes__apecase,logo_classes__5a9e6d6f9017541bcc7a4f268cc1d663,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__apple,KP__2adac6e9b077021a8c4e5de1a3aa057b,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__apple,logo_classes__141b2d0710744bc781c803273ac3beee,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Aquapac,logo_classes__29901ca8da3954213b95e49e5acac95a,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Aral_AG,KP__7e85cb7470e73240792cacf4717c4053,SAMEAS,"{""from"":""logo_classes""}"
