handle,caption_name,location,type,location_lower,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1977524360,Chinese athlete Cai Xuetong,beijingbeijing,,beijingbeijing,,,Chinese athlete Cai Xuetong,,dgm_weibo_publicfigures_mentioner,f60d3b01d1d430a124c1529f080dfc4e,dgm_weibo_publicfigures_mentioner__f60d3b01d1d430a124c1529f080dfc4e
1884277373,Chinese athlete Gao Ming,beijingbeijing,,beijingbeijing,,,Chinese athlete Gao Ming,,dgm_weibo_publicfigures_mentioner,93e6ff36eabfc0b6b447731b9d64c505,dgm_weibo_publicfigures_mentioner__93e6ff36eabfc0b6b447731b9d64c505
5489115923,Chinese former athlete and founder of Li-Ning Li Ning,beijingbeijing,,beijingbeijing,,,Chinese former athlete and founder of Li-Ning Li Ning,,dgm_weibo_publicfigures_mentioner,d5247749f3cfeef1f3ae82a79a0fb8d0,dgm_weibo_publicfigures_mentioner__d5247749f3cfeef1f3ae82a79a0fb8d0
1746274673,Chinese former tennis player Li Na,beijingbeijing,,beijingbeijing,,,Chinese former tennis player Li Na,,dgm_weibo_publicfigures_mentioner,f596b231d1c9bebea4f6e96d6c133073,dgm_weibo_publicfigures_mentioner__f596b231d1c9bebea4f6e96d6c133073
2308438637,Chinse fencer Li Na,beijingbeijing,,beijingbeijing,,,Chinse fencer Li Na,,dgm_weibo_publicfigures_mentioner,588aef7b0d381d28447fb319def56b44,dgm_weibo_publicfigures_mentioner__588aef7b0d381d28447fb319def56b44
1890308722,Chinese former swimmer Zhuang Yong,beijingbeijing,,beijingbeijing,,,Chinese former swimmer Zhuang Yong,,dgm_weibo_publicfigures_mentioner,04acd73e281f8ec0704a7135fe8e97d1,dgm_weibo_publicfigures_mentioner__04acd73e281f8ec0704a7135fe8e97d1
2865101843,Chinese Go player Ke Jie,beijingbeijing,,beijingbeijing,,,Chinese Go player Ke Jie,,dgm_weibo_publicfigures_mentioner,dcb8732a5bc369817f85745416dad6ea,dgm_weibo_publicfigures_mentioner__dcb8732a5bc369817f85745416dad6ea
2243244911,Chinese swimmer Xu Jiayu,beijingbeijing,,beijingbeijing,,,Chinese swimmer Xu Jiayu,,dgm_weibo_publicfigures_mentioner,0759677f18c2583d5f3af0be57c9e845,dgm_weibo_publicfigures_mentioner__0759677f18c2583d5f3af0be57c9e845
2058784061,Chinese swimmer Yan Zibei,beijingbeijing,,beijingbeijing,,,Chinese swimmer Yan Zibei,,dgm_weibo_publicfigures_mentioner,e16453dbe815bc6ffe6787b4570ec474,dgm_weibo_publicfigures_mentioner__e16453dbe815bc6ffe6787b4570ec474
2663051441,Chinese swimmer Zhang Yufei,beijingbeijing,,beijingbeijing,,,Chinese swimmer Zhang Yufei,,dgm_weibo_publicfigures_mentioner,819b3855a7daf06307206dd340b17016,dgm_weibo_publicfigures_mentioner__819b3855a7daf06307206dd340b17016
5663935782,Chinese swimmer Yang Junxuan,beijingbeijing,,beijingbeijing,,,Chinese swimmer Yang Junxuan,,dgm_weibo_publicfigures_mentioner,731b96a7ed480cda201917b46a09bcc4,dgm_weibo_publicfigures_mentioner__731b96a7ed480cda201917b46a09bcc4
2106855375,Taiwanese-American basketball player Jeremy Lin,beijingbeijing,,beijingbeijing,,,Taiwanese-American basketball player Jeremy Lin,,dgm_weibo_publicfigures_mentioner,b7e11c8b3d46e492356b9b14ef0f3d29,dgm_weibo_publicfigures_mentioner__b7e11c8b3d46e492356b9b14ef0f3d29
