german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
petzower strasse,"Petzower Strasse in Berlin, Germany",52.4174193,13.153997,1,,,,,,,,Wells,"Petzower Strasse in Berlin, Germany",,german_fires_berlin_locations,b45539a71c6f4986ad2e55e093c8c2f1,german_fires_berlin_locations__b45539a71c6f4986ad2e55e093c8c2f1
pfabener weg,"Pfabener Weg in Berlin, Germany",52.4073901,13.351847,1,,,,,,,,Diplomat,"Pfabener Weg in Berlin, Germany",,german_fires_berlin_locations,8e7f858b1518ca897dcc100342ee13d8,german_fires_berlin_locations__8e7f858b1518ca897dcc100342ee13d8
pfadfinderweg,"Pfadfinderweg in Berlin, Germany",52.6285505,13.2699645,1,,,,,,,,space,"Pfadfinderweg in Berlin, Germany",,german_fires_berlin_locations,8d8ce2ad364ae6ade209431b3f53963d,german_fires_berlin_locations__8d8ce2ad364ae6ade209431b3f53963d
pfaffenapfelweg,"Pfaffenapfelweg in Berlin, Germany",52.6045015,13.4447665,1,,,,,,,,Person,"Pfaffenapfelweg in Berlin, Germany",,german_fires_berlin_locations,9c5591a77ec42a889f3df0df6c53e1b2,german_fires_berlin_locations__9c5591a77ec42a889f3df0df6c53e1b2
pfaffensteinweg,"Pfaffensteinweg in Berlin, Germany",52.599879,13.4003901,1,,,,,,,,Exec,"Pfaffensteinweg in Berlin, Germany",,german_fires_berlin_locations,ba79c8604414487f3cfd51bb184f41fd,german_fires_berlin_locations__ba79c8604414487f3cfd51bb184f41fd
pfahlerstrasse,"Pfahlerstrasse in Berlin, Germany",52.5723977,13.3328203,1,,,,,,,,Keyphrase,"Pfahlerstrasse in Berlin, Germany",,german_fires_berlin_locations,0127829ac8a4943c3943715d75d83a82,german_fires_berlin_locations__0127829ac8a4943c3943715d75d83a82
pfalz-zweibrucker weg,"Pfalz-Zweibrucker Weg in Berlin, Germany",52.4131254,13.6493527,1,,,,,,,,Diplomat,"Pfalz-Zweibrucker Weg in Berlin, Germany",,german_fires_berlin_locations,3f6f9561e36e55ff304699edc8482b90,german_fires_berlin_locations__3f6f9561e36e55ff304699edc8482b90
pfalzburger strasse,"Pfalzburger Strasse in Berlin, Germany",52.4944627,13.3220062,1,,,,,,,,DiplomaticFacilities,"Pfalzburger Strasse in Berlin, Germany",,german_fires_berlin_locations,f6005779fb54122e1a9240dd4013a19e,german_fires_berlin_locations__f6005779fb54122e1a9240dd4013a19e
pfalzgrafenweg,"Pfalzgrafenweg in Berlin, Germany",52.5104887,13.6287158,1,,,,,,,,Shipping,"Pfalzgrafenweg in Berlin, Germany",,german_fires_berlin_locations,b135dd0d059ccd3f96fb987046d5f204,german_fires_berlin_locations__b135dd0d059ccd3f96fb987046d5f204
pfalzische strasse,"Pfalzische Strasse in Berlin, Germany",52.5145251,13.1802317,1,,,,,,,,Organization,"Pfalzische Strasse in Berlin, Germany",,german_fires_berlin_locations,d9ec520181071e338d26831f9a37f08c,german_fires_berlin_locations__d9ec520181071e338d26831f9a37f08c
pfandnerweg,"Pfandnerweg in Berlin, Germany",52.453644,13.1253393,1,,,,,,,,Exec,"Pfandnerweg in Berlin, Germany",,german_fires_berlin_locations,665e44617819c272237833164df13679,german_fires_berlin_locations__665e44617819c272237833164df13679
pfannschmidtstrasse,"Pfannschmidtstrasse in Berlin, Germany",52.6229644,13.4851849,1,,,,,,,,AAEntity,"Pfannschmidtstrasse in Berlin, Germany",,german_fires_berlin_locations,ccaacd2145c18006fbccb0c78136a191,german_fires_berlin_locations__ccaacd2145c18006fbccb0c78136a191
pfarrer-goosmann-strasse,"Pfarrer-Goosmann-Strasse in Berlin, Germany",52.4356186,13.5332915,1,,,,,,,,AAEntity,"Pfarrer-Goosmann-Strasse in Berlin, Germany",,german_fires_berlin_locations,0e1444f5de836d11349682a506c0e2ea,german_fires_berlin_locations__0e1444f5de836d11349682a506c0e2ea
