keyword,caption_name,alert_threshold,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
active,issued,general.alert2.local,188296,space,issued,,dgm_txevent,28e32fb02cd44e44796348fbc2b93e1c,dgm_txevent__28e32fb02cd44e44796348fbc2b93e1c
continues,continues,general.alert3,188296,LegislativeCommittee,continues,,dgm_txevent,340bac32dadc0feb0ba6cc0ffac94515,dgm_txevent__340bac32dadc0feb0ba6cc0ffac94515
discontinued,discontinued,general.alert3,188297,AAEntity,discontinued,,dgm_txevent,d26fe686e5d8db762b4368ae14c7d242,dgm_txevent__d26fe686e5d8db762b4368ae14c7d242
update,updated,general.alert2.local,188296,space,updated,,dgm_txevent,0f81d52e06caaa4860887488d18271c7,dgm_txevent__0f81d52e06caaa4860887488d18271c7
updated,updated,general.alert2.local,188296,LegislativeCommittee,updated,,dgm_txevent,0f81d52e06caaa4860887488d18271c7,dgm_txevent__0f81d52e06caaa4860887488d18271c7
