keyword,caption_name,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Australian Defence Force Academy,Australian Defence Force Academy,"Northcott Drive, Campbell, ACT, 2612 Australia","-35.2926761, 149.1617344",LegislativeCommittee,Australian Defence Force Academy,,shodan_ps_entities,92b5915ee9841750b0fe719d40796394,shodan_ps_entities__92b5915ee9841750b0fe719d40796394
Australian Defence College,Australian Defence College,"kirkpatrick Street, Weston, ACT, 2611 Australia","-35.3214037, 149.0576731",Keyphrase,Australian Defence College,,shodan_ps_entities,2e2dd8e26f2219d80cb45d96cb761177,shodan_ps_entities__2e2dd8e26f2219d80cb45d96cb761177
Australian National University,Australian National University,"The Australian National University, Canberra, ACT, 2600 Australia","-35.2776999, 149.118527",Refinery,Australian National University,,shodan_ps_entities,c0bfb9aac3c77faa2351e08ed226bca5,shodan_ps_entities__c0bfb9aac3c77faa2351e08ed226bca5
Coral Bell School of Asia Pacific Affairs,Coral Bell School of Asia Pacific Affairs,"Hedley Bull Building, 130 Garren Road, Acton, ACT, 2601 Australia","-35.2830541, 149.1196669",Wells,Coral Bell School of Asia Pacific Affairs,,shodan_ps_entities,905ac98edf127db794056e459793ab1c,shodan_ps_entities__905ac98edf127db794056e459793ab1c
Department of Veterans Affairs,Australian Department of Veterans Affairs,"259 Queen Street, Brisbane, QLD, 4000 Australia","-27.4679749, 153.0275991",DiplomaticFacilities,Australian Department of Veterans Affairs,,shodan_ps_entities,7fb0c54782cd3b95044c3146c70f8c1d,shodan_ps_entities__7fb0c54782cd3b95044c3146c70f8c1d
Manpower Australia,Manpower Australia,"201 Kent Street, Sydney, NSW, 2000 Australia","-33.8637342, 151.2038097",Media,Manpower Australia,,shodan_ps_entities,06df48fa59b0e7a91efd546e928569dc,shodan_ps_entities__06df48fa59b0e7a91efd546e928569dc
South Australian Space Industry Centre,South Australian Space Industry Centre,"151 Pirie Street, Adelaide, SA, 5000 Australia","-34.9258356, 138.6054672",Legislator,South Australian Space Industry Centre,,shodan_ps_entities,491a504c7798f50f3eb3316f16393f7f,shodan_ps_entities__491a504c7798f50f3eb3316f16393f7f
Australian Munitions,Australian Munitions,"7 Murray Close Avenue, Sydney Olympic Park, NSW 2127 Australia","-33.8456829, 151.0702404",Consulates,Australian Munitions,,shodan_ps_entities,b464a3ab441c66629f5167038460e368,shodan_ps_entities__b464a3ab441c66629f5167038460e368
Australian Outback,Australian Outback,"7 Murray Close Avenue, Sydney Olympic Park, NSW 2127 Australia","-33.8456829, 151.0702404",space,Australian Outback,,shodan_ps_entities,4e6a96c66fde023ded564eb50e0eb8a6,shodan_ps_entities__4e6a96c66fde023ded564eb50e0eb8a6
Airbus,Airbus,"65-75 Pandanus Avenue, Brisbane Airport, QLD, 4007 Australia","-27.3884251, 153.1355203",News,Airbus,,shodan_ps_entities,b110aa10dc3e3aa939ba099440938e65,shodan_ps_entities__b110aa10dc3e3aa939ba099440938e65
Sikorsky Aircraft Australia,Sikorsky Aircraft Australia,"29 Wugan Street, Yerriyong, NSW 2540 Australia","-34.9444413, 150.5296345",Refinery,Sikorsky Aircraft Australia,,shodan_ps_entities,2ebef77c062d780c52580ff239692a7f,shodan_ps_entities__2ebef77c062d780c52580ff239692a7f
Rheinmetall Defence,Rheinmetall Defence,"111 Robert Smith Street, Redbank, QLD, 4301 Australia","-27.5844761, 152.874256",FTO,Rheinmetall Defence,,shodan_ps_entities,93e1e29cc8723976531f6fc3b8f3c940,shodan_ps_entities__93e1e29cc8723976531f6fc3b8f3c940
Luerssen Australia,Luerssen Australia,"16 Nautical Drive, Henderson, WA 6166 Australia","-32.1621341, 115.7725617",News,Luerssen Australia,,shodan_ps_entities,a86dd2453efbe0903edec48575cc2ec4,shodan_ps_entities__a86dd2453efbe0903edec48575cc2ec4
Konsberg Defence Australia,Konsberg Defence Australia,"18 Brindabella Cirtcuit, Canberra Airport, ACT 2609 Australia","-35.313038, 149.1890337",FTO,Konsberg Defence Australia,,shodan_ps_entities,a421340b5e04202dd87f58ff15769903,shodan_ps_entities__a421340b5e04202dd87f58ff15769903
Bupa Health Services,Bupa Health Services,"33 Exhibition Street, Melbourne, VIC 3000 Australia","-37.8152936, 144.9717999",space,Bupa Health Services,,shodan_ps_entities,ffe1b21edcd0c58e4ca940ba2e2a498f,shodan_ps_entities__ffe1b21edcd0c58e4ca940ba2e2a498f
Defence Health,Defense Health Australia,"380 St Kilda Road, Southbank, Melbourne, VIC 3004 Australia","-37.8322426, 144.970907",Consulates,Defense Health Australia,,shodan_ps_entities,2ad75d1cca94aae8254ce7e53da51f9c,shodan_ps_entities__2ad75d1cca94aae8254ce7e53da51f9c
Saab Australia,Saab Australia,"2/71 Leichardt Street, Kingston, ACT 2604 Australia","-35.3209012, 149.1469176",FTO,Saab Australia,,shodan_ps_entities,569991c833808c43adb3910eb199f015,shodan_ps_entities__569991c833808c43adb3910eb199f015
Ventia,Ventia,"1/495 Victoria Avenue, Chatswood, NSW 2067 Australia","-33.7970573, 151.178779",IndustryTerm,Ventia,,shodan_ps_entities,0a2f4e54498b7e074ce505b7e12437af,shodan_ps_entities__0a2f4e54498b7e074ce505b7e12437af
MSS Security,MSS Security,"63-79 Parramatta Road, Silverwater, NSW 2128 Australia","-33.84496190000001, 151.0428004",ForeignMinister,MSS Security,,shodan_ps_entities,3a4c006ff9a8514c8fcb59937d89bd8e,shodan_ps_entities__3a4c006ff9a8514c8fcb59937d89bd8e
Linfox,Linfox,"55 English Street, Essendon Fields, Victoria 3041 Australia","-37.725386, 144.8973175",Wells,Linfox,,shodan_ps_entities,e35a55adaa05b5910744049c6c86679d,shodan_ps_entities__e35a55adaa05b5910744049c6c86679d
Toll Group,Toll Group,"380 St Kilda Road, Melbourne, VIC 3004 Australia","-37.8322426, 144.970907",Diplomat,Toll Group,,shodan_ps_entities,761b60c9079da4e0916e0ee295c08562,shodan_ps_entities__761b60c9079da4e0916e0ee295c08562
Pentarch Group,Pentarch Group,"99 Coventry Street, South Melbourne, VIC 3205 Australia","-37.83035, 144.966137",AAEntity,Pentarch Group,,shodan_ps_entities,7f5f486899756eacd841f8808d2420d1,shodan_ps_entities__7f5f486899756eacd841f8808d2420d1
Pentarch Industrial,Pentarch Industrial,"99 Coventry Street, South Melbourne, VIC 3205 Australia","-37.83035, 144.966137",Organization,Pentarch Industrial,,shodan_ps_entities,6ea8f5abceb01ce492b369af83ae9fad,shodan_ps_entities__6ea8f5abceb01ce492b369af83ae9fad
Accenture,Accenture,"55 Wentworth Avenue, Kingston, ACT 2604 Australia","-35.3168055, 149.1462475",Refinery,Accenture,,shodan_ps_entities,1d55af1659424cf94d869e2580a11bf8,shodan_ps_entities__1d55af1659424cf94d869e2580a11bf8
Royal United Services Institute Australia,Royal United Services Institute Australia,"Campbell Park Offices, Northcott Drive, Majura, ACT 2609 Australia","-35.2823001, 149.172359",Wells,Royal United Services Institute Australia,,shodan_ps_entities,188aef9f14334b9eb9de3c35d58354aa,shodan_ps_entities__188aef9f14334b9eb9de3c35d58354aa
Silentium Defence,Silentium Defence,"39 Davis Street, Wingfield, SA 5013 Australia","-34.8440437, 138.5588586",Organization,Silentium Defence,,shodan_ps_entities,21947a4c91c572ed5d093d8227e028e7,shodan_ps_entities__21947a4c91c572ed5d093d8227e028e7
Aspen Medical,Aspen Medical,"2 King Street, Deakin, ACT 2600 Australia","-35.3223674, 149.0933238",Media,Aspen Medical,,shodan_ps_entities,8238d2840e06a4eb3e0f1abc3cfb7a08,shodan_ps_entities__8238d2840e06a4eb3e0f1abc3cfb7a08
Inovor Technologies,Inovor Technologies,"14, Hanson Building, Frome Road, Adelaide, SA 5000 Australia","-34.9201455, 138.6084275",space,Inovor Technologies,,shodan_ps_entities,fe19ed76f91184393fb1c6d994d0080a,shodan_ps_entities__fe19ed76f91184393fb1c6d994d0080a
CPB Contractors,CPB Contractors,"177 Pacific Highway, North Sydney, NSW 2060 Australia","-33.836926, 151.2060945",space,CPB Contractors,,shodan_ps_entities,f7795a7e148980dc5f534b2d2ec58116,shodan_ps_entities__f7795a7e148980dc5f534b2d2ec58116
DynCorp Australia,DynCorp Australia,"Torrens Street, Braddon, ACT 2612 Australia","-35.2708373, 149.1344847",Diplomat,DynCorp Australia,,shodan_ps_entities,ac6866676c3d7cb0694876ee632b412c,shodan_ps_entities__ac6866676c3d7cb0694876ee632b412c
Babcock Australasia,Babcock Australasia,"70 Franklin Street, Adelaide, SA 5000 Australia","-34.9270919, 138.596691",Diplomat,Babcock Australasia,,shodan_ps_entities,7f1bb91636cad7828b4f78989cab29d9,shodan_ps_entities__7f1bb91636cad7828b4f78989cab29d9
IBM Australia,IBM Australia,"601 Pacific Highway, St Leonards, NSW 2065 Australia","-33.8231455, 151.1967104",News,IBM Australia,,shodan_ps_entities,ac8bfa0757c6db8dfa051077c5beb299,shodan_ps_entities__ac8bfa0757c6db8dfa051077c5beb299
PPK Group,PPK Group,"10 Eagle Street, Brisbane, QLD 4000 Australia","-27.469215, 153.029797",Consulates,PPK Group,,shodan_ps_entities,11ae3d23c0debfca009f9f0db5ee0908,shodan_ps_entities__11ae3d23c0debfca009f9f0db5ee0908
Craig International Ballistics,Craig International Ballistics,"4 Harrington Street, Arundel, QLD 4214 Australia","-27.9311484, 153.3691564",DiplomaticFacilities,Craig International Ballistics,,shodan_ps_entities,0ea3fdc088ab3c5efa41580f58d54b9c,shodan_ps_entities__0ea3fdc088ab3c5efa41580f58d54b9c
Elbit Systems,Elbit Systems,"42 Macquarie Street, Barton, ACT 2600  Australia","-35.3073508, 149.1358404",AAEntity,Elbit Systems,,shodan_ps_entities,f02f8270599f3a6953705960c0127e26,shodan_ps_entities__f02f8270599f3a6953705960c0127e26
Leidos Australia,Leidos Australia,"39/1508 Centre Road, Clayton South, VIC 3168 Australia","-37.9318455, 145.1381007",AAEntity,Leidos Australia,,shodan_ps_entities,9f7611d9666fdb1ec686d9615c943a77,shodan_ps_entities__9f7611d9666fdb1ec686d9615c943a77
Royal New Zealand Air Force,Royal New Zealand Air Force,"34 Bowen Street, Pipitea, Wellington, 6011 New Zealand","-41.2782274, 174.7749618",ForeignMinister,Royal New Zealand Air Force,,shodan_ps_entities,9fb8a44a4fbb9e8855936fac294cca3e,shodan_ps_entities__9fb8a44a4fbb9e8855936fac294cca3e
New Zealand Defence Force,New Zealand Defence Force,"34 Bowen Street, Pipitea, Wellington, 6011 New Zealand","-41.2782274, 174.7749618",Legislator,New Zealand Defence Force,,shodan_ps_entities,c7e5cbba36f2b267c5329a9ded2bd4b0,shodan_ps_entities__c7e5cbba36f2b267c5329a9ded2bd4b0
Government Communications Security Bureau,Government Communications Security Bureau,"9 Pipitea Street, Wellington, 6011 New Zealand","-41.2756589, 174.7807228",ForeignMinister,Government Communications Security Bureau,,shodan_ps_entities,c47a42f827ea2d9042f3ceda54f11255,shodan_ps_entities__c47a42f827ea2d9042f3ceda54f11255
National Cyber Security Centre,New Zealand National Cyber Security Centre,"9 Pipitea Street, Wellington, 6011 New Zealand","-41.2756589, 174.7807228",AAEntity,New Zealand National Cyber Security Centre,,shodan_ps_entities,07d529250ddc6d93ee78100c5fe66d0b,shodan_ps_entities__07d529250ddc6d93ee78100c5fe66d0b
New Zealand Security Intelligence Service,New Zealand Security Intelligence Service,"9 Pipitea Street, Wellington, 6011 New Zealand","-41.2756589, 174.7807228",Consulates,New Zealand Security Intelligence Service,,shodan_ps_entities,23db6dad211f45a1259137853ec24672,shodan_ps_entities__23db6dad211f45a1259137853ec24672
Ministry of Defence,New Zealand Ministry of Defence,"Defence House, 34 Bowen Street, Pipitea, Wellington, 6011 New Zealand","-41.2783509, 174.7748845",Wells,New Zealand Ministry of Defence,,shodan_ps_entities,0b125a696ce51060450a99119734e90a,shodan_ps_entities__0b125a696ce51060450a99119734e90a
Force 4 Families,Force 4 Families,"34 Bowen Street, Pipitea, Wellington, 6011 New Zealand","-41.2782274, 174.7749618",Pipeline,Force 4 Families,,shodan_ps_entities,20ad4ceb6c475f992d1c3e0d97ad64a0,shodan_ps_entities__20ad4ceb6c475f992d1c3e0d97ad64a0
Defence Technology Agency,New Zealand Defence Technology Agency,"HMNZS Philomel, Jim Titchener Parade, Devenport, 0624 New Zealand","-36.8300418, 174.7905273",Shipping,New Zealand Defence Technology Agency,,shodan_ps_entities,da477b87df662888fedcd4abfeb0ed5a,shodan_ps_entities__da477b87df662888fedcd4abfeb0ed5a
New Zealand Defence Industry Association,New Zealand Defence Industry Association,"Remuerua, Auckland 1541 New Zealand","-36.8812612, 174.8026499",Wells,New Zealand Defence Industry Association,,shodan_ps_entities,22f1a506cc3f30aa2069fec631e976ff,shodan_ps_entities__22f1a506cc3f30aa2069fec631e976ff
Pacific Helmets,Pacific Helmets,"315 Heads Road, Whanganui, 4501 New Zealand","-39.9497584, 175.0176431",Media,Pacific Helmets,,shodan_ps_entities,e810f78b2e71edc2bd702ae6ceed0c03,shodan_ps_entities__e810f78b2e71edc2bd702ae6ceed0c03
Thales New Zealand,Thales New Zealand,"4 Willis Street, Wellington, 6011 New Zealand","-41.2864782, 174.7760145",FTO,Thales New Zealand,,shodan_ps_entities,c5fda72ede2a7ba6a6402911d60988d9,shodan_ps_entities__c5fda72ede2a7ba6a6402911d60988d9
Duratec,Duratec,"44 Victoria Street, Auckland, 1010 New Zealand","-36.8486156, 174.7631762",Organization,Duratec,,shodan_ps_entities,4a98f9490276f2cb28e7a3bbabb052c2,shodan_ps_entities__4a98f9490276f2cb28e7a3bbabb052c2
