handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
wisdoj,Wisconsin Attorney General Kaul,"Madison, WI",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"madison, wi",ForeignMinister,Wisconsin Attorney General Kaul,,dgm_prosecutor_handles,687bb23456919dba1adcf70feba219a5,dgm_prosecutor_handles__687bb23456919dba1adcf70feba219a5
ksagoffice,Kansas Attorney General Schmidt,"Topeka, KS",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"topeka, ks",Keyphrase,Kansas Attorney General Schmidt,,dgm_prosecutor_handles,34eaf9434b15eadaba1ac3c046a517c7,dgm_prosecutor_handles__34eaf9434b15eadaba1ac3c046a517c7
tnattygen,Tennessee Attorney General Slatery,"Nashville, TN",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"nashville, tn",CompanyKeyword,Tennessee Attorney General Slatery,,dgm_prosecutor_handles,6b05fce5a28d3590a4aa36901b5513c6,dgm_prosecutor_handles__6b05fce5a28d3590a4aa36901b5513c6
agalanwilson,South Carolina Attorney General Wilson,"Columbia, SC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"columbia, sc",Organization,South Carolina Attorney General Wilson,,dgm_prosecutor_handles,e083151f49c6c0bbad1a7d61e34b1c94,dgm_prosecutor_handles__e083151f49c6c0bbad1a7d61e34b1c94
lynnfitchag,Mississippi Attorney General Fitch,"Jackson, MS",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"jackson, ms",Keyphrase,Mississippi Attorney General Fitch,,dgm_prosecutor_handles,3450d7aca2a14f21a3853276a5aa8885,dgm_prosecutor_handles__3450d7aca2a14f21a3853276a5aa8885
jefflandry,Louisiana Attorney General Landry,"Acadiana, LA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"acadiana, la",Diplomat,Louisiana Attorney General Landry,,dgm_prosecutor_handles,a98a74655d5b1eafd4bcde54c17dce56,dgm_prosecutor_handles__a98a74655d5b1eafd4bcde54c17dce56
georgia_ag,Georgia Attorney General Carr,"Atlanta, GA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"atlanta, ga",Refinery,Georgia Attorney General Carr,,dgm_prosecutor_handles,860beda56a881333ffedd515efc41e2f,dgm_prosecutor_handles__860beda56a881333ffedd515efc41e2f
agjefflandry,Louisiana Attorney General Landry,"Baton Rouge, LA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"baton rouge, la",Person,Louisiana Attorney General Landry,,dgm_prosecutor_handles,a98a74655d5b1eafd4bcde54c17dce56,dgm_prosecutor_handles__a98a74655d5b1eafd4bcde54c17dce56
agiowa,Iowa Attorney General Miller,"Des Moines, IA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"des moines, ia",Organization,Iowa Attorney General Miller,,dgm_prosecutor_handles,2ff6c5f32e42149acbd1f5acccf625f7,dgm_prosecutor_handles__2ff6c5f32e42149acbd1f5acccf625f7
agbecerra,Former California Attorney General Becerra,"Sacramento, CA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"sacramento, ca",Shipping,Former California Attorney General Becerra,,dgm_prosecutor_handles,017ed8874abc8f73e72c4e7569bf9ebb,dgm_prosecutor_handles__017ed8874abc8f73e72c4e7569bf9ebb
newyorkstateag,New York Attorney General James,"New York, NY",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"new york, ny",space,New York Attorney General James,,dgm_prosecutor_handles,827ab88e11a4f0bea2331dd50a69b845,dgm_prosecutor_handles__827ab88e11a4f0bea2331dd50a69b845
vtattorneygen,Vermont Attorney General Donovan,"Montpelier, VT",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"montpelier, vt",AAEntity,Vermont Attorney General Donovan,,dgm_prosecutor_handles,bb0e69e468c0b891ab784cf4d29aa9bc,dgm_prosecutor_handles__bb0e69e468c0b891ab784cf4d29aa9bc
ilattygeneral,Illinois Attorney General Raoul,"Springfield, IL",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"springfield, il",IndustryTerm,Illinois Attorney General Raoul,,dgm_prosecutor_handles,75ee9564c6cc1b712be7bf77a8a603ce,dgm_prosecutor_handles__75ee9564c6cc1b712be7bf77a8a603ce
agmikehunter,Former Oklahoma Attorney General Hunter,"Oklahoma City, OK",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"oklahoma city, ok",CompanyKeyword,Former Oklahoma Attorney General Hunter,,dgm_prosecutor_handles,21d0b63f94abc58557d335ea8cfeafe1,dgm_prosecutor_handles__21d0b63f94abc58557d335ea8cfeafe1
ncago,North Carolina Attorney General Stein,"Raleigh, NC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"raleigh, nc",Legislator,North Carolina Attorney General Stein,,dgm_prosecutor_handles,419a4f1e441168a5cfa3824d7dca7cbb,dgm_prosecutor_handles__419a4f1e441168a5cfa3824d7dca7cbb
paattorneygen,Pennsylvania Attorney General Shapiro,"Harrisburg, PA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"harrisburg, pa",ForeignMinistry,Pennsylvania Attorney General Shapiro,,dgm_prosecutor_handles,599cc2988a5540b71d08bfc399e795a6,dgm_prosecutor_handles__599cc2988a5540b71d08bfc399e795a6
hectorbalderas,New Mexico Attorney General Balderas,"Albuquerque, NM",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"albuquerque, nm",ForeignMinistry,New Mexico Attorney General Balderas,,dgm_prosecutor_handles,dbf1a8312adaf3f2cd66da1c34ae3570,dgm_prosecutor_handles__dbf1a8312adaf3f2cd66da1c34ae3570
mississippiago,Former Mississippi Attorney General Hood,"Jackson, MS",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"jackson, ms",space,Former Mississippi Attorney General Hood,,dgm_prosecutor_handles,d5fdcc72264d4d37d09b308e66cb45d2,dgm_prosecutor_handles__d5fdcc72264d4d37d09b308e66cb45d2
joshshapiropa,Pennsylvania Attorney General Shapiro,"Harrisburg, PA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"harrisburg, pa",space,Pennsylvania Attorney General Shapiro,,dgm_prosecutor_handles,599cc2988a5540b71d08bfc399e795a6,dgm_prosecutor_handles__599cc2988a5540b71d08bfc399e795a6
agcurtishill,Former Indiana Attorney General Hill,"Indianapolis, IN",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"indianapolis, in",ForeignMinistry,Former Indiana Attorney General Hill,,dgm_prosecutor_handles,8810faa26fadaa7d04f27960be470978,dgm_prosecutor_handles__8810faa26fadaa7d04f27960be470978
massago,Massachusetts Attorney General Healey,"Boston, MA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"boston, ma",space,Massachusetts Attorney General Healey,,dgm_prosecutor_handles,047691f14e2156193da683b1eacca3eb,dgm_prosecutor_handles__047691f14e2156193da683b1eacca3eb
agowa,Washington Attorney General Ferguson,"Olympia, WA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"olympia, wa",FTO,Washington Attorney General Ferguson,,dgm_prosecutor_handles,34e461017aec2fbcf18a4b42a20abdd4,dgm_prosecutor_handles__34e461017aec2fbcf18a4b42a20abdd4
scattygenoffice,South Carolina Attorney General Wilson,"Columbia, SC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"columbia, sc",CompanyKeyword,South Carolina Attorney General Wilson,,dgm_prosecutor_handles,e083151f49c6c0bbad1a7d61e34b1c94,dgm_prosecutor_handles__e083151f49c6c0bbad1a7d61e34b1c94
txag,Texas Attorney General Paxton,"Austin, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"austin, tx",Media,Texas Attorney General Paxton,,dgm_prosecutor_handles,6090415874c95c4c774a5963e9d223c4,dgm_prosecutor_handles__6090415874c95c4c774a5963e9d223c4
massoig,Massachusettes Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Wells,Massachusettes Office of the Inspector General,,dgm_prosecutor_handles,fd5be80864a2c0e446df969c56a8fd8d,dgm_prosecutor_handles__fd5be80864a2c0e446df969c56a8fd8d
gsa_oig,US GSA Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Refinery,US GSA Office of the Inspector General,,dgm_prosecutor_handles,60409ad1603900fc76214f0b06466cb8,dgm_prosecutor_handles__60409ad1603900fc76214f0b06466cb8
doloig,US DLO Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",ForeignMinister,US DLO Office of the Inspector General,,dgm_prosecutor_handles,bd536441053c8d318b39e0f94a3fd1b8,dgm_prosecutor_handles__bd536441053c8d318b39e0f94a3fd1b8
epaoig,US EPA Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",ForeignMinistry,US EPA Office of the Inspector General,,dgm_prosecutor_handles,e8c3f18c0c7cc54011548a353e4fe9ff,dgm_prosecutor_handles__e8c3f18c0c7cc54011548a353e4fe9ff
vaosig,Virginia Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Pipeline,Virginia Office of the Inspector General,,dgm_prosecutor_handles,02a183688554fdcd1f624f22d5b19db2,dgm_prosecutor_handles__02a183688554fdcd1f624f22d5b19db2
justiceoig,US DOJ Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Consulates,US DOJ Office of the Inspector General,,dgm_prosecutor_handles,4723e9fb318a5b8e8d86de8a9c7f2e76,dgm_prosecutor_handles__4723e9fb318a5b8e8d86de8a9c7f2e76
thessaoig,US SSA Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Organization,US SSA Office of the Inspector General,,dgm_prosecutor_handles,1b0e6026ff38cd4dc1aa10596ac6e02f,dgm_prosecutor_handles__1b0e6026ff38cd4dc1aa10596ac6e02f
oigfedcfpb,US Federal Reserve Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Pipeline,US Federal Reserve Office of the Inspector General,,dgm_prosecutor_handles,86483128cab63a48c2d8190a7ae5b2e0,dgm_prosecutor_handles__86483128cab63a48c2d8190a7ae5b2e0
seaoig,Seattle Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Exec,Seattle Office of the Inspector General,,dgm_prosecutor_handles,a419dfcafdf35e50dea1e00df18dcf04,dgm_prosecutor_handles__a419dfcafdf35e50dea1e00df18dcf04
texasoig,Texas Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",ForeignMinistry,Texas Office of the Inspector General,,dgm_prosecutor_handles,6fd17128e798b1a6a8a1cf384e816a62,dgm_prosecutor_handles__6fd17128e798b1a6a8a1cf384e816a62
ininspectorgen,Indiana Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",AAEntity,Indiana Office of the Inspector General,,dgm_prosecutor_handles,65661f9a5087850f778ab940abafe657,dgm_prosecutor_handles__65661f9a5087850f778ab940abafe657
oig_baltimore,Baltimore Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",CompanyKeyword,Baltimore Office of the Inspector General,,dgm_prosecutor_handles,7c0ece93c3fd8b8328cdb4559115800f,dgm_prosecutor_handles__7c0ece93c3fd8b8328cdb4559115800f
sbaoig,US SBA Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",DiplomaticFacilities,US SBA Office of the Inspector General,,dgm_prosecutor_handles,83e3f83de415c3d7394f25f0a4c9ba93,dgm_prosecutor_handles__83e3f83de415c3d7394f25f0a4c9ba93
oigathhs,US HHS Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Pipeline,US HHS Office of the Inspector General,,dgm_prosecutor_handles,3b6092030c3088c680a6f6f1b921fac5,dgm_prosecutor_handles__3b6092030c3088c680a6f6f1b921fac5
smpcenter,SMP National Resource Center Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",space,SMP National Resource Center Office of the Inspector General,,dgm_prosecutor_handles,2b341b53db3f890501a0d582deaa21d7,dgm_prosecutor_handles__2b341b53db3f890501a0d582deaa21d7
oigusps,USPS Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",AAEntity,USPS Office of the Inspector General,,dgm_prosecutor_handles,e24135cebb328d85a27ea0ac2f6918fa,dgm_prosecutor_handles__e24135cebb328d85a27ea0ac2f6918fa
stateoig,US DOS Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",DiplomaticFacilities,US DOS Office of the Inspector General,,dgm_prosecutor_handles,dbcdd92119602599c77f9ef5d83cce64,dgm_prosecutor_handles__dbcdd92119602599c77f9ef5d83cce64
doioig,US DOI Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Keyphrase,US DOI Office of the Inspector General,,dgm_prosecutor_handles,971c503ab0944dea1a45fbaaacba2e8b,dgm_prosecutor_handles__971c503ab0944dea1a45fbaaacba2e8b
fdic_oig,US FDIC Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",ForeignMinister,US FDIC Office of the Inspector General,,dgm_prosecutor_handles,43ee739508d936b1735717f07b0d13dd,dgm_prosecutor_handles__43ee739508d936b1735717f07b0d13dd
nsfoig,US NSF Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",ForeignMinister,US NSF Office of the Inspector General,,dgm_prosecutor_handles,a61b4279247f31f30a6eac60ea9dee9d,dgm_prosecutor_handles__a61b4279247f31f30a6eac60ea9dee9d
nolaoig,New Orleans Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Refinery,New Orleans Office of the Inspector General,,dgm_prosecutor_handles,471fac8b6e9e6522ece7e961ecbbb98d,dgm_prosecutor_handles__471fac8b6e9e6522ece7e961ecbbb98d
phillyoig,Philadelphia Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Refinery,Philadelphia Office of the Inspector General,,dgm_prosecutor_handles,d0c960f814eb6e7522dd4a7ee271a919,dgm_prosecutor_handles__d0c960f814eb6e7522dd4a7ee271a919
metrooig,WMATA Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",CompanyKeyword,WMATA Office of the Inspector General,,dgm_prosecutor_handles,b38f24b801c3ed3f3d518ff935d6b19e,dgm_prosecutor_handles__b38f24b801c3ed3f3d518ff935d6b19e
dotinspectorgen,US DOT Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",News,US DOT Office of the Inspector General,,dgm_prosecutor_handles,16db3269886366b8b0ce0e1b633189de,dgm_prosecutor_handles__16db3269886366b8b0ce0e1b633189de
chicagooig,Chicago Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",DiplomaticFacilities,Chicago Office of the Inspector General,,dgm_prosecutor_handles,9f9be96f647a8872eba8e61f122785ca,dgm_prosecutor_handles__9f9be96f647a8872eba8e61f122785ca
commerceoig,US DOC Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",ForeignMinister,US DOC Office of the Inspector General,,dgm_prosecutor_handles,e8997f305fbc313987cb5b3380981035,dgm_prosecutor_handles__e8997f305fbc313987cb5b3380981035
louisianaoig,Louisiana Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Shipping,Louisiana Office of the Inspector General,,dgm_prosecutor_handles,9caacd47a5195f85f6cc3bc72b9829ef,dgm_prosecutor_handles__9caacd47a5195f85f6cc3bc72b9829ef
dhsoig,US DHS Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",ForeignMinister,US DHS Office of the Inspector General,,dgm_prosecutor_handles,455f0bc5b5f03d52e41d8b0f0f27b8b2,dgm_prosecutor_handles__455f0bc5b5f03d52e41d8b0f0f27b8b2
hudoig,US HUD Office of the Inspector General,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",AAEntity,US HUD Office of the Inspector General,,dgm_prosecutor_handles,3ef8c63cac3292fe31ef5b4b30cae251,dgm_prosecutor_handles__3ef8c63cac3292fe31ef5b4b30cae251
