german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
friedrich-bauer-strasse,"Friedrich-Bauer-Strasse in Erlangen, Germany",49.5731461,11.0183466,1,,,,,,Keyphrase,"Friedrich-Bauer-Strasse in Erlangen, Germany",,german_fires_erlangen_locations,434b5c7a71407b26f2a83c52ca423b8e,german_fires_erlangen_locations__434b5c7a71407b26f2a83c52ca423b8e
friedrich-list-strasse,"Friedrich-List-Strasse in Erlangen, Germany",49.5943979,11.0013872,1,,,,,,Organization,"Friedrich-List-Strasse in Erlangen, Germany",,german_fires_erlangen_locations,9edeb6ac03b47e71b5d38d96e18b6947,german_fires_erlangen_locations__9edeb6ac03b47e71b5d38d96e18b6947
friedrichstrasse,"Friedrichstrasse in Erlangen, Germany",49.5957204,11.0075026,1,,,,,,AAEntity,"Friedrichstrasse in Erlangen, Germany",,german_fires_erlangen_locations,ce6c0bb8d61315e30bde05ad194f45c8,german_fires_erlangen_locations__ce6c0bb8d61315e30bde05ad194f45c8
friesenweg,"Friesenweg in Erlangen, Germany",49.5860598,10.9865786,1,,,,,,ForeignMinister,"Friesenweg in Erlangen, Germany",,german_fires_erlangen_locations,cdec0686d394ee3a956c36d46eb277f6,german_fires_erlangen_locations__cdec0686d394ee3a956c36d46eb277f6
frobelstrasse,"Frobelstrasse in Erlangen, Germany",49.5796636,10.9935801,1,,,,,,Media,"Frobelstrasse in Erlangen, Germany",,german_fires_erlangen_locations,cdd19a9c7a3e2b3336ca9b0c57d696c6,german_fires_erlangen_locations__cdd19a9c7a3e2b3336ca9b0c57d696c6
fuchsengarten,"Fuchsengarten in Erlangen, Germany",49.6017545,11.0011547,1,,,,,,IndustryTerm,"Fuchsengarten in Erlangen, Germany",,german_fires_erlangen_locations,17fa398a789221435f2dc2f946b6e7ea,german_fires_erlangen_locations__17fa398a789221435f2dc2f946b6e7ea
fuchsfeldstrasse,"Fuchsfeldstrasse in Erlangen, Germany",49.5665221,10.9936618,1,,,,,,Organization,"Fuchsfeldstrasse in Erlangen, Germany",,german_fires_erlangen_locations,445a38e49d528e380dbe5b3d8fabfbf4,german_fires_erlangen_locations__445a38e49d528e380dbe5b3d8fabfbf4
fohrenweg,"Fohrenweg in Erlangen, Germany",49.6063717,11.0227906,1,,,,,,Diplomat,"Fohrenweg in Erlangen, Germany",,german_fires_erlangen_locations,87eb8951a35be2fa8aec2fc498bf1a57,german_fires_erlangen_locations__87eb8951a35be2fa8aec2fc498bf1a57
funfkirchener strasse,"Funfkirchener Strasse in Erlangen, Germany",49.5677474,10.9677519,1,,,,,,Shipping,"Funfkirchener Strasse in Erlangen, Germany",,german_fires_erlangen_locations,2cdbcf2be32e4b3c65d5048b62205b3c,german_fires_erlangen_locations__2cdbcf2be32e4b3c65d5048b62205b3c
furstenweg,"Furstenweg in Erlangen, Germany",49.5764157,10.9900543,1,,,,,,Media,"Furstenweg in Erlangen, Germany",,german_fires_erlangen_locations,64c80bfdee6c406cda0169317f9783c0,german_fires_erlangen_locations__64c80bfdee6c406cda0169317f9783c0
