handle,caption_name,location_lower,location,type,groups,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
denmarkinkenya,Danish Embassy in Kenya,Kenya,,,kenya;denmark,,,Danish Embassy in Kenya,,dgm_vcstartup_mentioner,28427705b1b9cea2f69e647c32b031f5,dgm_vcstartup_mentioner__28427705b1b9cea2f69e647c32b031f5
phinuae,Philippines Embassy in UAE,UAE,,,uae;philippines,,,Philippines Embassy in UAE,,dgm_vcstartup_mentioner,7f24d40c8d54a116f6cf43242713806a,dgm_vcstartup_mentioner__7f24d40c8d54a116f6cf43242713806a
embespirlanda,Spanish Embassy in Ireland,Ireland,,,ireland;spain,,,Spanish Embassy in Ireland,,dgm_vcstartup_mentioner,0b1c74fb7e996a476d5c1503c03d3e3d,dgm_vcstartup_mentioner__0b1c74fb7e996a476d5c1503c03d3e3d
uaeembassytunis,UAE Embassy in Tunisia,Tunisia,,,tunisia;uae,,,UAE Embassy in Tunisia,,dgm_vcstartup_mentioner,38500fcc9122a6fbd3b3206ef8ec1773,dgm_vcstartup_mentioner__38500fcc9122a6fbd3b3206ef8ec1773
swiss_sto_sg,Swiss Embassy in Singapore Science and Technology Office,Singapore,,,singapore;switzerland,,,Swiss Embassy in Singapore Science and Technology Office,,dgm_vcstartup_mentioner,7d9d3e2f281e393bcb14675c3b743ea0,dgm_vcstartup_mentioner__7d9d3e2f281e393bcb14675c3b743ea0
usembassynz,US Embassy in New Zealand,New Zealand,,,new zealand;united states,,,US Embassy in New Zealand,,dgm_vcstartup_mentioner,be5cf369be307384a28e0eb2418c5096,dgm_vcstartup_mentioner__be5cf369be307384a28e0eb2418c5096
dkinnl,Danish Embassy in Netherlands,Netherlands,,,netherlands;denmark,,,Danish Embassy in Netherlands,,dgm_vcstartup_mentioner,47aff79ae3071609d79dd2f651ae9184,dgm_vcstartup_mentioner__47aff79ae3071609d79dd2f651ae9184
franceinnyc,French Consulate in New York,United States,,,united states;france,,,French Consulate in New York,,dgm_vcstartup_mentioner,8317ee16332f001afdf25d75588b8ad6,dgm_vcstartup_mentioner__8317ee16332f001afdf25d75588b8ad6
ukrembcy,Ukrainian Embassy in Cyprus,Cyrpus,,,cyrpus;ukraine,,,Ukrainian Embassy in Cyprus,,dgm_vcstartup_mentioner,bf5192f2475e89ad4bc0198b0917b60b,dgm_vcstartup_mentioner__bf5192f2475e89ad4bc0198b0917b60b
swedeninsd,Swedish Embassy in Sudan,Sudan,,,sudan;sweden,,,Swedish Embassy in Sudan,,dgm_vcstartup_mentioner,f485a41f739926e306f1f75d38b60e51,dgm_vcstartup_mentioner__f485a41f739926e306f1f75d38b60e51
germanyinrwanda,German Embassy in Rwanda,Rwanda,,,rwanda;germany,,,German Embassy in Rwanda,,dgm_vcstartup_mentioner,c9cf1cebee16a19fb3718a70cdd259b4,dgm_vcstartup_mentioner__c9cf1cebee16a19fb3718a70cdd259b4
ukrinbgr,Ukrainian Embassy in Bulgaria,Bulgaria,,,bulgaria;ukraine,,,Ukrainian Embassy in Bulgaria,,dgm_vcstartup_mentioner,7f023f6df65bd5e37509b8607d62b472,dgm_vcstartup_mentioner__7f023f6df65bd5e37509b8607d62b472
