keyword,caption_name,topic_id,type,groups,GUID,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(gulf of mexico; production),Gulf of Mexico oil production,188162;188132,commodities,,,,,,,#N/A,Commodities,Gulf of Mexico oil production,,dgm_og_mentionee,2d91cc2fce82cc72c496b7feb5e7ccff,dgm_og_mentionee__2d91cc2fce82cc72c496b7feb5e7ccff
@bp_plc,BP,188162;188132,company handle,;bp_plc;bp,,,,,,BP,CompanyHandle,BP,,dgm_og_mentionee,96d4cdff8ed57e93e3b3d843cffe3af7,dgm_og_mentionee__96d4cdff8ed57e93e3b3d843cffe3af7
@bp_polska,BP Poland,188162;188132,company handle,bp;bp_polska;bp poland,,,,,,BP Poland,CompanyHandle,BP Poland,,dgm_og_mentionee,4b93c38583dddce124f624802b5b9a49,dgm_og_mentionee__4b93c38583dddce124f624802b5b9a49
@bp_press,BP,188162;188132,company handle,;bp_press;bp,,,,,,BP,CompanyHandle,BP,,dgm_og_mentionee,96d4cdff8ed57e93e3b3d843cffe3af7,dgm_og_mentionee__96d4cdff8ed57e93e3b3d843cffe3af7
@bp_southafrica,BP South Africa,188162;188132,company handle,bp;bp_southafrica;bp south africa,,,,,,BP South Africa,CompanyHandle,BP South Africa,,dgm_og_mentionee,daaaec1f01e05743012d5c9f9b879622,dgm_og_mentionee__daaaec1f01e05743012d5c9f9b879622
@bp_uk,BP,188162;188132,company handle,;bp_uk;bp,,,,,,BP,CompanyHandle,BP,,dgm_og_mentionee,96d4cdff8ed57e93e3b3d843cffe3af7,dgm_og_mentionee__96d4cdff8ed57e93e3b3d843cffe3af7
@bpclimited,Indian oil and gas company Bharat Petroleum,188162;188132,company handle,;bpclimited;bharat petroleum,,,,,,#N/A,CompanyHandle,Indian oil and gas company Bharat Petroleum,,dgm_og_mentionee,5a22e444c98c2261ed4dc44724e19fac,dgm_og_mentionee__5a22e444c98c2261ed4dc44724e19fac
@braskemsa,Brazilian oil and gas company Braskem,188162;188132,company handle,;braskemsa;braskem,,,,,,#N/A,CompanyHandle,Brazilian oil and gas company Braskem,,dgm_og_mentionee,6ce4f7ad1f5193bb32e81e138a99e531,dgm_og_mentionee__6ce4f7ad1f5193bb32e81e138a99e531
@cabotog,US oil and gas company Cabot Oil and Gas,188162;188132,company handle,;cabotog;cabot oil and gas,,,,,,#N/A,CompanyHandle,US oil and gas company Cabot Oil and Gas,,dgm_og_mentionee,d0a783df90d1869fc49ab45829580fb3,dgm_og_mentionee__d0a783df90d1869fc49ab45829580fb3
@caltexaustralia,Australian oil and gas company Caltex,188162;188132,company handle,;caltexaustralia;caltex,,,,,,#N/A,CompanyHandle,Australian oil and gas company Caltex,,dgm_og_mentionee,2fdb9651098aeec01d02292acfcdeae7,dgm_og_mentionee__2fdb9651098aeec01d02292acfcdeae7
@cameron_intl,US oil and gas company Cameron,188162;188132,company handle,schlumberger;cameron_intl;cameron,,,,,,#N/A,CompanyHandle,US oil and gas company Cameron,,dgm_og_mentionee,f6746c6fa47734847ea3319891d47854,dgm_og_mentionee__f6746c6fa47734847ea3319891d47854
@canyoncreek_,US oil and gas company Canyon Creek Energy,188162;188132,company handle,;canyoncreek_;canyon creek energy,,,,,,#N/A,CompanyHandle,US oil and gas company Canyon Creek Energy,,dgm_og_mentionee,7d0f9b3747f87f9c71a8b1da81609c02,dgm_og_mentionee__7d0f9b3747f87f9c71a8b1da81609c02
@ceg_plc,Manx oil and gas company Challenger Energy Group,188162;188132,company handle,;ceg_plc;challenger energy group,,,,,,#N/A,CompanyHandle,Manx oil and gas company Challenger Energy Group,,dgm_og_mentionee,86571da292753c8ed624ede29ec18238,dgm_og_mentionee__86571da292753c8ed624ede29ec18238
@cenovus,US oil and gas company Cenovus Energy,188162;188132,company handle,;cenovus;cenovus energy,,,,,,#N/A,CompanyHandle,US oil and gas company Cenovus Energy,,dgm_og_mentionee,4e5ce97482192f57ff05174d213d2dac,dgm_og_mentionee__4e5ce97482192f57ff05174d213d2dac
@cenovus energy,US oil and gas company HollyFrontier,188162;188132,company handle,;cenovus energy;hollyfrontier,,,,,,#N/A,CompanyHandle,US oil and gas company HollyFrontier,,dgm_og_mentionee,98274ad0308dcf97020e5517204230ec,dgm_og_mentionee__98274ad0308dcf97020e5517204230ec
@cheniere,US oil and gas company Cheniere Energy,188162;188132,company handle,;cheniere;cheniere energy,,,,,,#N/A,CompanyHandle,US oil and gas company Cheniere Energy,,dgm_og_mentionee,135a71edb2dbc41a3fd5b44a65cc7f9e,dgm_og_mentionee__135a71edb2dbc41a3fd5b44a65cc7f9e
@chennaipetro,Indian oil and gas company Chennai Petroleum,188162;188132,company handle,;chennaipetro;chennai petroleum,,,,,,#N/A,CompanyHandle,Indian oil and gas company Chennai Petroleum,,dgm_og_mentionee,ca2eb18ae714f791abc9698cd549d228,dgm_og_mentionee__ca2eb18ae714f791abc9698cd549d228
@chesapeake,US oil and gas company Chesapeake Energy,188162;188132,company handle,;chesapeake;chesapeake energy,,,,,,#N/A,CompanyHandle,US oil and gas company Chesapeake Energy,,dgm_og_mentionee,e449438c6fdbe41c0978b65426874ec7,dgm_og_mentionee__e449438c6fdbe41c0978b65426874ec7
@chevron,Chevron,188162;188132,company handle,;chevron;chevron,,,,,,Chevron,CompanyHandle,Chevron,,dgm_og_mentionee,9a37a3059e7c4ad00788c63f90dc8980,dgm_og_mentionee__9a37a3059e7c4ad00788c63f90dc8980
@chevroncolorado,Chevron Colorado,188162;188132,company handle,;chevroncolorado;chevron colorado,,,,,,Chevron Colorado,CompanyHandle,Chevron Colorado,,dgm_og_mentionee,45ca8b3485ba403b36935a934bd1a9e8,dgm_og_mentionee__45ca8b3485ba403b36935a934bd1a9e8
@chevronrichmond,Chevron Richmond,188162;188132,company handle,;chevronrichmond;chevron richmond,,,,,,Chevron Richmond,CompanyHandle,Chevron Richmond,,dgm_og_mentionee,9ff91ff699b7aea7b49a7abbf34e7d20,dgm_og_mentionee__9ff91ff699b7aea7b49a7abbf34e7d20
@citgo,US oil and gas company Citgo,188162;188132,company handle,;citgo;citgo,,,,,,#N/A,CompanyHandle,US oil and gas company Citgo,,dgm_og_mentionee,0b1a096e57b9c270ea84423a338d94c6,dgm_og_mentionee__0b1a096e57b9c270ea84423a338d94c6
@cnpcrussian,state-owned PetroChina,188162;188132,company handle,;cnpcrussian;petrochina,,,,,,#N/A,CompanyHandle,state-owned PetroChina,,dgm_og_mentionee,5033c86aa553c0ba0dc58d87e6fabffc,dgm_og_mentionee__5033c86aa553c0ba0dc58d87e6fabffc
@cnpcspanish,state-owned PetroChina,188162;188132,company handle,;cnpcspanish;petrochina,,,,,,#N/A,CompanyHandle,state-owned PetroChina,,dgm_og_mentionee,5033c86aa553c0ba0dc58d87e6fabffc,dgm_og_mentionee__5033c86aa553c0ba0dc58d87e6fabffc
@colpipe,US oil and gas company Colonial Pipeline,188162;188132,company handle,;colpipe;colonial pipeline,,,,,,#N/A,CompanyHandle,US oil and gas company Colonial Pipeline,,dgm_og_mentionee,b1c9b014313564b8db9b329d1232a4b1,dgm_og_mentionee__b1c9b014313564b8db9b329d1232a4b1
@conocophillips,US oil and gas company ConocoPhillips,188162;188132,company handle,;conocophillips;conocophillips,,,,,,#N/A,CompanyHandle,US oil and gas company ConocoPhillips,,dgm_og_mentionee,7612a8c8a5e82f05a0468d6b04999b23,dgm_og_mentionee__7612a8c8a5e82f05a0468d6b04999b23
@cop_alaska,ConocoPhillips,188162;188132,company handle,;cop_alaska;conocophillips alaska,,,,,,ConocoPhillips,CompanyHandle,ConocoPhillips,,dgm_og_mentionee,207c808098253c64810ddcce8b4344c3,dgm_og_mentionee__207c808098253c64810ddcce8b4344c3
@cop_newsroom,US oil and gas company ConocoPhillips,188162;188132,company handle,;cop_newsroom;conocophillips,,,,,,#N/A,CompanyHandle,US oil and gas company ConocoPhillips,,dgm_og_mentionee,7612a8c8a5e82f05a0468d6b04999b23,dgm_og_mentionee__7612a8c8a5e82f05a0468d6b04999b23
@crescentpetrol,Emirati oil and gas company Crescent Petroleum,188162;188132,company handle,;crescentpetrol;crescent petroleum,,,,,,#N/A,CompanyHandle,Emirati oil and gas company Crescent Petroleum,,dgm_og_mentionee,93b4ab83618a93ef691bb9a79cf0f773,dgm_og_mentionee__93b4ab83618a93ef691bb9a79cf0f773
@danagasuae,Emirati oil and gas company Dana Gas,188162;188132,company handle,emirates national oil company;danagasuae;dana gas,,,,,,#N/A,CompanyHandle,Emirati oil and gas company Dana Gas,,dgm_og_mentionee,7beacd5d6451a1a745ff6a9e3219e041,dgm_og_mentionee__7beacd5d6451a1a745ff6a9e3219e041
@dcpmidstreamlp,US oil and gas company DCP Midstream,188162;188132,company handle,;dcpmidstreamlp;dcp midstream,,,,,,#N/A,CompanyHandle,US oil and gas company DCP Midstream,,dgm_og_mentionee,365372a61f07af705b9a6869bfe1bc82,dgm_og_mentionee__365372a61f07af705b9a6869bfe1bc82
@delekusholdings,Israeli oil and gas company Delek,188162;188132,company handle,;delekusholdings;delek,,,,,,#N/A,CompanyHandle,Israeli oil and gas company Delek,,dgm_og_mentionee,1df6dad1087f8970384049df60115db4,dgm_og_mentionee__1df6dad1087f8970384049df60115db4
@devonenergy,US oil and gas company Devon Energy,188162;188132,company handle,;devonenergy;devon energy,,,,,,#N/A,CompanyHandle,US oil and gas company Devon Energy,,dgm_og_mentionee,53be2a2fc3037cabebfd04ef1477d2d3,dgm_og_mentionee__53be2a2fc3037cabebfd04ef1477d2d3
@dutch shell,Shell,188162;188132,company handle,;dutch shell;shell,,,,,,Shell,CompanyHandle,Shell,,dgm_og_mentionee,ea89b68c34ce4a63c0f77e17413c6e30,dgm_og_mentionee__ea89b68c34ce4a63c0f77e17413c6e30
@ecopetrol_sa,Colombian state-owned oil and gas company Ecopetrol,188162;188132,company handle,;ecopetrol_sa;ecopetrol,,,,,,#N/A,CompanyHandle,Colombian state-owned oil and gas company Ecopetrol,,dgm_og_mentionee,b3c2081103034ccd3ff138d8df3baa01,dgm_og_mentionee__b3c2081103034ccd3ff138d8df3baa01
@elengy,French oil and gas company Elengy,188162;188132,company handle,engie;elengy;elengy,,,,,,#N/A,CompanyHandle,French oil and gas company Elengy,,dgm_og_mentionee,da5d5db921022b547d06515418c98f50,dgm_og_mentionee__da5d5db921022b547d06515418c98f50
@enbridge,Canadian oil and gas pipeline operator Enbridge,188162;188132,company handle,;enbridge;enbridge,,,,,,#N/A,CompanyHandle,Canadian oil and gas pipeline operator Enbridge,,dgm_og_mentionee,d669d7e89058d5c224f83858dd3b42b2,dgm_og_mentionee__d669d7e89058d5c224f83858dd3b42b2
@energytransfer,US oil and gas company Energy Transfer,188162;188132,company handle,;energytransfer;energy transfer,,,,,,#N/A,CompanyHandle,US oil and gas company Energy Transfer,,dgm_og_mentionee,4594792c5eb4e77bbaa38cb88e0603d5,dgm_og_mentionee__4594792c5eb4e77bbaa38cb88e0603d5
