german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hulsbergstrasse,"Hulsbergstrasse in Bochum, Germany",51.4322785,7.2197991,1,,,,,,,Refinery,"Hulsbergstrasse in Bochum, Germany",,german_fires_bochum_locations,421abf4647af9802a9899a4213aeced9,german_fires_bochum_locations__421abf4647af9802a9899a4213aeced9
hultschiner strasse,"Hultschiner Strasse in Bochum, Germany",51.4612192,7.2126816,1,,,,,,,Diplomat,"Hultschiner Strasse in Bochum, Germany",,german_fires_bochum_locations,6b2ad4986a78d856a4bdc978aa55c77d,german_fires_bochum_locations__6b2ad4986a78d856a4bdc978aa55c77d
humboldtstrasse,"Humboldtstrasse in Bochum, Germany",51.4775314,7.2141302,1,,,,,,,Legislator,"Humboldtstrasse in Bochum, Germany",,german_fires_bochum_locations,a949fabd12a98127f79a1800c092f9c3,german_fires_bochum_locations__a949fabd12a98127f79a1800c092f9c3
hundsweide,"Hundsweide in Bochum, Germany",51.5036089,7.1534796,1,,,,,,,IndustryTerm,"Hundsweide in Bochum, Germany",,german_fires_bochum_locations,53b4e0dbc5bf699f1c3bc14d38c1c509,german_fires_bochum_locations__53b4e0dbc5bf699f1c3bc14d38c1c509
hunscheidtstrasse,"Hunscheidtstrasse in Bochum, Germany",51.4649954,7.2136259,1,,,,,,,ForeignMinistry,"Hunscheidtstrasse in Bochum, Germany",,german_fires_bochum_locations,c97a1dba3187050743ad5298c370fc8c,german_fires_bochum_locations__c97a1dba3187050743ad5298c370fc8c
hunsruckstrasse,"Hunsruckstrasse in Bochum, Germany",51.5106415,7.2484262,1,,,,,,,Media,"Hunsruckstrasse in Bochum, Germany",,german_fires_bochum_locations,84ff645a906b40ebc46a602e920e4fd6,german_fires_bochum_locations__84ff645a906b40ebc46a602e920e4fd6
husackerstrasse,"Husackerstrasse in Bochum, Germany",51.4601907,7.1735229,1,,,,,,,Wells,"Husackerstrasse in Bochum, Germany",,german_fires_bochum_locations,c8cf8d79cbe79734f0a1b53b96ac18da,german_fires_bochum_locations__c8cf8d79cbe79734f0a1b53b96ac18da
husemannplatz,"Husemannplatz in Bochum, Germany",51.4799265,7.2163949,1,,,,,,,Keyphrase,"Husemannplatz in Bochum, Germany",,german_fires_bochum_locations,ea42679529cf81b93b5ca013080b1c3d,german_fires_bochum_locations__ea42679529cf81b93b5ca013080b1c3d
hustadtring,"Hustadtring in Bochum, Germany",51.4557353,7.267199,1,,,,,,,ForeignMinister,"Hustadtring in Bochum, Germany",,german_fires_bochum_locations,cdb678cb738e608eea5783abba3c258b,german_fires_bochum_locations__cdb678cb738e608eea5783abba3c258b
huttenstrasse,"Huttenstrasse in Bochum, Germany",51.4670843,7.2009333,1,,,,,,,News,"Huttenstrasse in Bochum, Germany",,german_fires_bochum_locations,66cad0be532d80efd9a7606e015b4e21,german_fires_bochum_locations__66cad0be532d80efd9a7606e015b4e21
hzo 01,"Hzo 01 in Bochum, Germany",51.4448758,7.2627439,1,,,,,,,Wells,"Hzo 01 in Bochum, Germany",,german_fires_bochum_locations,776e9d45c2cb8cf740e4c5abf890be38,german_fires_bochum_locations__776e9d45c2cb8cf740e4c5abf890be38
