keyword,caption_name,type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
yuditamashiro,Singer Yudi Tamashiro,Celebrity,general.alert4,Celebrity,Singer Yudi Tamashiro,,Celeb_Mentioner,9adc9a30ea18e746acf0391ad32d76e7,Celeb_Mentioner__9adc9a30ea18e746acf0391ad32d76e7
rimanjeim,Radio broadcaster Rima Njeim,Celebrity,general.alert4,Celebrity,Radio broadcaster Rima Njeim,,Celeb_Mentioner,fcecb63e5267a7f060beacb333fc51b6,Celeb_Mentioner__fcecb63e5267a7f060beacb333fc51b6
drmayaangelou,Poet Maya Angelou,Celebrity,general.alert4,Celebrity,Poet Maya Angelou,,Celeb_Mentioner,069219a3dce088c85f766f5674ea3e6e,Celeb_Mentioner__069219a3dce088c85f766f5674ea3e6e
gorod_312,Band Gorod 312,Celebrity,general.alert4,Celebrity,Band Gorod 312,,Celeb_Mentioner,0946ba1e562ae93910eac63fbb611089,Celeb_Mentioner__0946ba1e562ae93910eac63fbb611089
mathouxherve,Journalist Herve Mathoux,Celebrity,general.alert4,Celebrity,Journalist Herve Mathoux,,Celeb_Mentioner,94b404664cbd693c8ba5de2b3f5e7122,Celeb_Mentioner__94b404664cbd693c8ba5de2b3f5e7122
noahcyrus,Singer Noah Cyrus,Celebrity,general.alert4,Celebrity,Singer Noah Cyrus,,Celeb_Mentioner,05a9dba6008ae1243eb97d8dfb3bd1f3,Celeb_Mentioner__05a9dba6008ae1243eb97d8dfb3bd1f3
mahmoudalaa,Soccer player Mahmoud Alaa,Celebrity,general.alert4,Celebrity,Soccer player Mahmoud Alaa,,Celeb_Mentioner,e3ae395f01e433beeb8df8bccc51040d,Celeb_Mentioner__e3ae395f01e433beeb8df8bccc51040d
hackedoffhugh,Actor Hugh Grant,Celebrity,general.alert4,Celebrity,Actor Hugh Grant,,Celeb_Mentioner,9b81f10505d790bc0973378703012c06,Celeb_Mentioner__9b81f10505d790bc0973378703012c06
hectortrejo,Podcast host Hector Trejo,Celebrity,general.alert4,Celebrity,Podcast host Hector Trejo,,Celeb_Mentioner,2dd6d6fb6ea3b239ffea27cdef223994,Celeb_Mentioner__2dd6d6fb6ea3b239ffea27cdef223994
adriennebailon,Singer Adrienne Bailon,Celebrity,general.alert4,Celebrity,Singer Adrienne Bailon,,Celeb_Mentioner,83362799932d10c47f91d06092dd9251,Celeb_Mentioner__83362799932d10c47f91d06092dd9251
butchwalker,Singer Butch Walker,Celebrity,general.alert4,Celebrity,Singer Butch Walker,,Celeb_Mentioner,98055922ce44d768af10a0c480f20535,Celeb_Mentioner__98055922ce44d768af10a0c480f20535
raynarvaezjr,Actor Ray Narvaez,Celebrity,general.alert4,Celebrity,Actor Ray Narvaez,,Celeb_Mentioner,b83b01f457565f1ad79ba28f0c689971,Celeb_Mentioner__b83b01f457565f1ad79ba28f0c689971
michellevisage,DJ Michelle Visage,Celebrity,general.alert4,Celebrity,DJ Michelle Visage,,Celeb_Mentioner,fa4a16ada565e268b033a18bee710b75,Celeb_Mentioner__fa4a16ada565e268b033a18bee710b75
hollyrpeete,Actor Holly Robinson Peete,Celebrity,general.alert4,Celebrity,Actor Holly Robinson Peete,,Celeb_Mentioner,36d2fac882261da79300cd4a81e38dbb,Celeb_Mentioner__36d2fac882261da79300cd4a81e38dbb
