handle,caption_name,country,state_province,city,capital_country,capital_state_province,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mcconnellpress,US Senate Minority Leader McConnell,United States,Kentucky,Frankfort,Washington DC,Frankfort,Keyphrase,US Senate Minority Leader McConnell,,gov_handles_mapping,b7d5f0d30dbafc2b9e4ec31cf39be706,gov_handles_mapping__b7d5f0d30dbafc2b9e4ec31cf39be706
lucyallan,UK MP Allan,United Kingdom,Shropshire,Telford,Washington DC,Telford,Organization,UK MP Allan,,gov_handles_mapping,00d05b9f50b946e50b1b22085cec7e08,gov_handles_mapping__00d05b9f50b946e50b1b22085cec7e08
repkenmarchant,US Representative Marchant,United States,Texas,Austin,Washington DC,Austin,Wells,US Representative Marchant,,gov_handles_mapping,569ce954e707be38273bc3d14caa9387,gov_handles_mapping__569ce954e707be38273bc3d14caa9387
senatemajldr,US Senate Majority Leader McConnell,United States,Kentucky,Frankfort,Washington DC,Frankfort,FTO,US Senate Majority Leader McConnell,,gov_handles_mapping,a6708ed6170e628c9c26dc8c22eddf6f,gov_handles_mapping__a6708ed6170e628c9c26dc8c22eddf6f
chuckschumer,US Senate Majority Leader Schumer,United States,New York,Albany,Washington DC,Albany,Legislator,US Senate Majority Leader Schumer,,gov_handles_mapping,1cd26d9706d7884fd4a180c7ee189441,gov_handles_mapping__1cd26d9706d7884fd4a180c7ee189441
senschumer,US Senate Minority Leader Schumer,United States,New York,Albany,Washington DC,Albany,LegislativeCommittee,US Senate Minority Leader Schumer,,gov_handles_mapping,865cb25fa3b0cb42418d5d8abba1f809,gov_handles_mapping__865cb25fa3b0cb42418d5d8abba1f809
amyklobuchar,US Senator Klobuchar,United States,Minnesota,Saint Paul,Washington DC,Saint Paul,AAEntity,US Senator Klobuchar,,gov_handles_mapping,fdc5a26c198234e0e41cf6ba21896345,gov_handles_mapping__fdc5a26c198234e0e41cf6ba21896345
senamyklobuchar,US Senator Klobuchar,United States,Minnesota,Saint Paul,Washington DC,Saint Paul,Consulates,US Senator Klobuchar,,gov_handles_mapping,fdc5a26c198234e0e41cf6ba21896345,gov_handles_mapping__fdc5a26c198234e0e41cf6ba21896345
angusformaine,US Senator King,United States,Maine,Augusta,Washington DC,Augusta,Exec,US Senator King,,gov_handles_mapping,8eb39d08b6f04230c03650e9e6392198,gov_handles_mapping__8eb39d08b6f04230c03650e9e6392198
senangusking,US Senator King,United States,Maine,Augusta,Washington DC,Augusta,Refinery,US Senator King,,gov_handles_mapping,8eb39d08b6f04230c03650e9e6392198,gov_handles_mapping__8eb39d08b6f04230c03650e9e6392198
bencardinformd,US Senator Cardin,United States,Maryland,Annapolis,Washington DC,Annapolis,Media,US Senator Cardin,,gov_handles_mapping,8c2e1f2e3f1c4f6ff3f9960b32dfdfd2,gov_handles_mapping__8c2e1f2e3f1c4f6ff3f9960b32dfdfd2
senatorcardin,US Senator Cardin,United States,Maryland,Annapolis,Washington DC,Annapolis,Legislator,US Senator Cardin,,gov_handles_mapping,8c2e1f2e3f1c4f6ff3f9960b32dfdfd2,gov_handles_mapping__8c2e1f2e3f1c4f6ff3f9960b32dfdfd2
bensasse,US Senator Sasse,United States,Nebraska,Lincoln,Washington DC,Lincoln,LegislativeCommittee,US Senator Sasse,,gov_handles_mapping,1b8caf449f6ad2b1cad26a9a008174e9,gov_handles_mapping__1b8caf449f6ad2b1cad26a9a008174e9
sensasse,US Senator Sasse,United States,Nebraska,Lincoln,Washington DC,Lincoln,Wells,US Senator Sasse,,gov_handles_mapping,1b8caf449f6ad2b1cad26a9a008174e9,gov_handles_mapping__1b8caf449f6ad2b1cad26a9a008174e9
berniesanders,US Senator Sanders,United States,Vermont,Montpelier,Washington DC,Montpelier,FTO,US Senator Sanders,,gov_handles_mapping,05869ce67d1d5683d20096f8a1a21fe6,gov_handles_mapping__05869ce67d1d5683d20096f8a1a21fe6
sensanders,US Senator Sanders,United States,Vermont,Montpelier,Washington DC,Montpelier,News,US Senator Sanders,,gov_handles_mapping,05869ce67d1d5683d20096f8a1a21fe6,gov_handles_mapping__05869ce67d1d5683d20096f8a1a21fe6
billcassidy,US Senator Cassidy,United States,Louisiana,Baton Rouge,Washington DC,Baton Rouge,space,US Senator Cassidy,,gov_handles_mapping,0311347a38842985c3d58a04a8b0781b,gov_handles_mapping__0311347a38842985c3d58a04a8b0781b
senbillcassidy,US Senator Cassidy,United States,Louisiana,Baton Rouge,Washington DC,Baton Rouge,Keyphrase,US Senator Cassidy,,gov_handles_mapping,0311347a38842985c3d58a04a8b0781b,gov_handles_mapping__0311347a38842985c3d58a04a8b0781b
repandrecarson,US Representative Carson,United States,Indiana,Indianapolis,Washington DC,Indianapolis,space,US Representative Carson,,gov_handles_mapping,9e9022ae6190eb8c2e13336aea2a441e,gov_handles_mapping__9e9022ae6190eb8c2e13336aea2a441e
andre4congress,US Representative Carson,United States,Indiana,Indianapolis,Washington DC,Indianapolis,Wells,US Representative Carson,,gov_handles_mapping,9e9022ae6190eb8c2e13336aea2a441e,gov_handles_mapping__9e9022ae6190eb8c2e13336aea2a441e
bobmenendeznj,US Senator Menendez,United States,New Jersey,Trenton,Washington DC,Trenton,FTO,US Senator Menendez,,gov_handles_mapping,c0fadfa586ff7b0893fd111d40eb7944,gov_handles_mapping__c0fadfa586ff7b0893fd111d40eb7944
senatormenendez,US Senator Menendez,United States,New Jersey,Trenton,Washington DC,Trenton,Person,US Senator Menendez,,gov_handles_mapping,c0fadfa586ff7b0893fd111d40eb7944,gov_handles_mapping__c0fadfa586ff7b0893fd111d40eb7944
brianschatz,US Senator Schatz,United States,Hawaii,Honolulu,Washington DC,Honolulu,Refinery,US Senator Schatz,,gov_handles_mapping,4f81d5b1b19048be31bd70113b85460b,gov_handles_mapping__4f81d5b1b19048be31bd70113b85460b
senbrianschatz,US Senator Schatz,United States,Hawaii,Honolulu,Washington DC,Honolulu,Exec,US Senator Schatz,,gov_handles_mapping,4f81d5b1b19048be31bd70113b85460b,gov_handles_mapping__4f81d5b1b19048be31bd70113b85460b
chriscoons,US Senator Coons,United States,Delaware,Dover,Washington DC,Dover,Legislator,US Senator Coons,,gov_handles_mapping,a5f72fe2b513681c4951dd144492b1e7,gov_handles_mapping__a5f72fe2b513681c4951dd144492b1e7
sencoonsoffice,US Senator Coons,United States,Delaware,Dover,Washington DC,Dover,Diplomat,US Senator Coons,,gov_handles_mapping,a5f72fe2b513681c4951dd144492b1e7,gov_handles_mapping__a5f72fe2b513681c4951dd144492b1e7
chrismurphyct,US Senator Murphy,United States,Connecticut,Hartford,Washington DC,Hartford,space,US Senator Murphy,,gov_handles_mapping,06dc107e644c5470c52f3eae384ac112,gov_handles_mapping__06dc107e644c5470c52f3eae384ac112
senmurphyoffice,US Senator Murphy,United States,Connecticut,Hartford,Washington DC,Hartford,Wells,US Senator Murphy,,gov_handles_mapping,06dc107e644c5470c52f3eae384ac112,gov_handles_mapping__06dc107e644c5470c52f3eae384ac112
chrisvanhollen,US Senator Van Hollen,United States,Maryland,Annapolis,Washington DC,Annapolis,IndustryTerm,US Senator Van Hollen,,gov_handles_mapping,e92a981ab8ce069f0a74bbb20a5787a4,gov_handles_mapping__e92a981ab8ce069f0a74bbb20a5787a4
vanhollenformd,US Senator Van Hollen,United States,Maryland,Annapolis,Washington DC,Annapolis,Diplomat,US Senator Van Hollen,,gov_handles_mapping,e92a981ab8ce069f0a74bbb20a5787a4,gov_handles_mapping__e92a981ab8ce069f0a74bbb20a5787a4
chuckgrassley,US Senator Grassley,United States,Iowa,Des Moines,Washington DC,Des Moines,Pipeline,US Senator Grassley,,gov_handles_mapping,c1aad5fff683147d10eda9657f7fa895,gov_handles_mapping__c1aad5fff683147d10eda9657f7fa895
grassleypress,US Senator Grassley,United States,Iowa,Des Moines,Washington DC,Des Moines,Exec,US Senator Grassley,,gov_handles_mapping,c1aad5fff683147d10eda9657f7fa895,gov_handles_mapping__c1aad5fff683147d10eda9657f7fa895
cindyhydesmith,US Senator Hyde-Smith,United States,Mississippi,Jackson,Washington DC,Jackson,Exec,US Senator Hyde-Smith,,gov_handles_mapping,dfd252b738a4b5b7615e9c4215901356,gov_handles_mapping__dfd252b738a4b5b7615e9c4215901356
senhydesmith,US Senator Hyde-Smith,United States,Mississippi,Jackson,Washington DC,Jackson,space,US Senator Hyde-Smith,,gov_handles_mapping,dfd252b738a4b5b7615e9c4215901356,gov_handles_mapping__dfd252b738a4b5b7615e9c4215901356
corybooker,US Senator Booker,United States,New Jersey,Trenton,Washington DC,Trenton,CompanyKeyword,US Senator Booker,,gov_handles_mapping,dd3d9b6c4cb1b8e564e751153f3f8069,gov_handles_mapping__dd3d9b6c4cb1b8e564e751153f3f8069
senbooker,US Senator Booker,United States,New Jersey,Trenton,Washington DC,Trenton,Legislator,US Senator Booker,,gov_handles_mapping,dd3d9b6c4cb1b8e564e751153f3f8069,gov_handles_mapping__dd3d9b6c4cb1b8e564e751153f3f8069
senatorhick,US Senator Hickenlooper,United States,Colorado,Denver,Washington DC,Denver,Legislator,US Senator Hickenlooper,,gov_handles_mapping,8baa32cce2c12716f389485e2252dcef,gov_handles_mapping__8baa32cce2c12716f389485e2252dcef
sendansullivan,US Senator Sullivan,United States,Alaska,Juneau,Washington DC,Juneau,Shipping,US Senator Sullivan,,gov_handles_mapping,baa276b458b98f48b930a238a111843f,gov_handles_mapping__baa276b458b98f48b930a238a111843f
ossoff,US Senator Ossoff,United States,Georgia,Atlanta,Washington DC,Atlanta,ForeignMinister,US Senator Ossoff,,gov_handles_mapping,32df3de11d5c6b90891dbd5c19e3e4a6,gov_handles_mapping__32df3de11d5c6b90891dbd5c19e3e4a6
debfischerne,US Senator Fischer,United States,Nebraska,Lincoln,Washington DC,Lincoln,CompanyKeyword,US Senator Fischer,,gov_handles_mapping,83c5a33e9dcc02f8286c04b49fc0cec8,gov_handles_mapping__83c5a33e9dcc02f8286c04b49fc0cec8
senatorfischer,US Senator Fischer,United States,Nebraska,Lincoln,Washington DC,Lincoln,CompanyKeyword,US Senator Fischer,,gov_handles_mapping,83c5a33e9dcc02f8286c04b49fc0cec8,gov_handles_mapping__83c5a33e9dcc02f8286c04b49fc0cec8
senstabenow,US Senator Stabenow,United States,Michigan,Lansing,Washington DC,Lansing,IndustryTerm,US Senator Stabenow,,gov_handles_mapping,94e901d667f00648df6098605ea8c70e,gov_handles_mapping__94e901d667f00648df6098605ea8c70e
stabenow,US Senator Stabenow,United States,Michigan,Lansing,Washington DC,Lansing,space,US Senator Stabenow,,gov_handles_mapping,94e901d667f00648df6098605ea8c70e,gov_handles_mapping__94e901d667f00648df6098605ea8c70e
diannefeinstein,US Senator Feinstein,United States,California,Sacramento,Washington DC,Sacramento,ForeignMinister,US Senator Feinstein,,gov_handles_mapping,79ef082c6a1968d7ea68a063437fe2ba,gov_handles_mapping__79ef082c6a1968d7ea68a063437fe2ba
senfeinstein,US Senator Feinstein,United States,California,Sacramento,Washington DC,Sacramento,AAEntity,US Senator Feinstein,,gov_handles_mapping,79ef082c6a1968d7ea68a063437fe2ba,gov_handles_mapping__79ef082c6a1968d7ea68a063437fe2ba
dickdurbin,US Senator Durbin,United States,Illinois,Springfield,Washington DC,Springfield,Wells,US Senator Durbin,,gov_handles_mapping,39a4455ebc3cfd0b46085ed371e0b0be,gov_handles_mapping__39a4455ebc3cfd0b46085ed371e0b0be
senatordurbin,US Senator Durbin,United States,Illinois,Springfield,Washington DC,Springfield,Shipping,US Senator Durbin,,gov_handles_mapping,39a4455ebc3cfd0b46085ed371e0b0be,gov_handles_mapping__39a4455ebc3cfd0b46085ed371e0b0be
sentuberville,US Senator Tuberville,United States,Alabama,Montgomery,Washington DC,Montgomery,Diplomat,US Senator Tuberville,,gov_handles_mapping,d1806d3841622f936b276d09ed05f6cc,gov_handles_mapping__d1806d3841622f936b276d09ed05f6cc
edmarkey,US Senator Markey,United States,Massachusetts,Boston,Washington DC,Boston,Refinery,US Senator Markey,,gov_handles_mapping,bc45639d276fcae1360587848ec8e529,gov_handles_mapping__bc45639d276fcae1360587848ec8e529
senmarkey,US Senator Markey,United States,Massachusetts,Boston,Washington DC,Boston,Shipping,US Senator Markey,,gov_handles_mapping,bc45639d276fcae1360587848ec8e529,gov_handles_mapping__bc45639d276fcae1360587848ec8e529
ewarren,US Senator Warren,United States,Massachusetts,Boston,Washington DC,Boston,Wells,US Senator Warren,,gov_handles_mapping,7062960e559b777195190859860977b9,gov_handles_mapping__7062960e559b777195190859860977b9
senwarren,US Senator Warren,United States,Massachusetts,Boston,Washington DC,Boston,Keyphrase,US Senator Warren,,gov_handles_mapping,7062960e559b777195190859860977b9,gov_handles_mapping__7062960e559b777195190859860977b9
garypeters,US Senator Peters,United States,Michigan,Lansing,Washington DC,Lansing,Pipeline,US Senator Peters,,gov_handles_mapping,f4d378f133e87ecc72fe49c875276589,gov_handles_mapping__f4d378f133e87ecc72fe49c875276589
sengarypeters,US Senator Peters,United States,Michigan,Lansing,Washington DC,Lansing,Wells,US Senator Peters,,gov_handles_mapping,f4d378f133e87ecc72fe49c875276589,gov_handles_mapping__f4d378f133e87ecc72fe49c875276589
senjackreed,US Senator Reed,United States,Rhode Island,Providence,Washington DC,Providence,Legislator,US Senator Reed,,gov_handles_mapping,8a48093ed4b3d9e5d52107cadac64e85,gov_handles_mapping__8a48093ed4b3d9e5d52107cadac64e85
rosenfornevada,US Senator Rosen,United States,Nevada,Carson City,Washington DC,Carson City,space,US Senator Rosen,,gov_handles_mapping,61415a1c36b0a644f8a9e09a702c21e4,gov_handles_mapping__61415a1c36b0a644f8a9e09a702c21e4
senjackyrosen,US Senator Rosen,United States,Nevada,Carson City,Washington DC,Carson City,AAEntity,US Senator Rosen,,gov_handles_mapping,61415a1c36b0a644f8a9e09a702c21e4,gov_handles_mapping__61415a1c36b0a644f8a9e09a702c21e4
senatorlankford,US Senator Lankford,United States,Oklahoma,Oklahoma City,Washington DC,Oklahoma City,Media,US Senator Lankford,,gov_handles_mapping,bacb5e6f58fb906ed441b43cc62ca2b8,gov_handles_mapping__bacb5e6f58fb906ed441b43cc62ca2b8
jeanneshaheen,US Senator Shaheen,United States,New Hampshire,Concord,Washington DC,Concord,Person,US Senator Shaheen,,gov_handles_mapping,f3fb879cebdf02651dbfe8d123ea3baa,gov_handles_mapping__f3fb879cebdf02651dbfe8d123ea3baa
senatorshaheen,US Senator Shaheen,United States,New Hampshire,Concord,Washington DC,Concord,Media,US Senator Shaheen,,gov_handles_mapping,f3fb879cebdf02651dbfe8d123ea3baa,gov_handles_mapping__f3fb879cebdf02651dbfe8d123ea3baa
jeffmerkley,US Senator Merkley,United States,Oregon,Salem,Washington DC,Salem,Exec,US Senator Merkley,,gov_handles_mapping,e668286e5544e7e8344cbfa0e8ca6cf5,gov_handles_mapping__e668286e5544e7e8344cbfa0e8ca6cf5
senjeffmerkley,US Senator Merkley,United States,Oregon,Salem,Washington DC,Salem,DiplomaticFacilities,US Senator Merkley,,gov_handles_mapping,e668286e5544e7e8344cbfa0e8ca6cf5,gov_handles_mapping__e668286e5544e7e8344cbfa0e8ca6cf5
jerrymoran,US Senator Moran,United States,Kansas,Topeka,Washington DC,Topeka,Shipping,US Senator Moran,,gov_handles_mapping,1d6ec1023fa593547385d9ebbe1d4291,gov_handles_mapping__1d6ec1023fa593547385d9ebbe1d4291
inhofepress,US Senator Inhofe,United States,Oklahoma,Oklahoma City,Washington DC,Oklahoma City,Legislator,US Senator Inhofe,,gov_handles_mapping,950937d6bdc343e347744aa934392e8b,gov_handles_mapping__950937d6bdc343e347744aa934392e8b
jiminhofe,US Senator Inhofe,United States,Oklahoma,Oklahoma City,Washington DC,Oklahoma City,IndustryTerm,US Senator Inhofe,,gov_handles_mapping,950937d6bdc343e347744aa934392e8b,gov_handles_mapping__950937d6bdc343e347744aa934392e8b
risch4idaho,US Senator Risch,United States,Idaho,Boise,Washington DC,Boise,Exec,US Senator Risch,,gov_handles_mapping,5f688c367d9142c08551eca7e0f0d873,gov_handles_mapping__5f688c367d9142c08551eca7e0f0d873
senatorrisch,US Senator Risch,United States,Idaho,Boise,Washington DC,Boise,AAEntity,US Senator Risch,,gov_handles_mapping,5f688c367d9142c08551eca7e0f0d873,gov_handles_mapping__5f688c367d9142c08551eca7e0f0d873
joemanchinwv,US Senator Manchin,United States,West Virginia,Charleston,Washington DC,Charleston,Wells,US Senator Manchin,,gov_handles_mapping,06e2de5e79bd91145d8132b94173f8fc,gov_handles_mapping__06e2de5e79bd91145d8132b94173f8fc
sen_joemanchin,US Senator Manchin,United States,West Virginia,Charleston,Washington DC,Charleston,Refinery,US Senator Manchin,,gov_handles_mapping,06e2de5e79bd91145d8132b94173f8fc,gov_handles_mapping__06e2de5e79bd91145d8132b94173f8fc
senjohnbarrasso,US Senator Barrasso,United States,Wyoming,Cheyenne,Washington DC,Cheyenne,Person,US Senator Barrasso,,gov_handles_mapping,133ac3064ec7a5a2ab82d2920863c0d6,gov_handles_mapping__133ac3064ec7a5a2ab82d2920863c0d6
boozman4ar,US Senator Boozman,United States,Arkansas,Little Rock,Washington DC,Little Rock,LegislativeCommittee,US Senator Boozman,,gov_handles_mapping,3b1bb9dcacc3d5568095c50ccecfa212,gov_handles_mapping__3b1bb9dcacc3d5568095c50ccecfa212
johnboozman,US Senator Boozman,United States,Arkansas,Little Rock,Washington DC,Little Rock,IndustryTerm,US Senator Boozman,,gov_handles_mapping,3b1bb9dcacc3d5568095c50ccecfa212,gov_handles_mapping__3b1bb9dcacc3d5568095c50ccecfa212
johncornyn,US Senator Cornyn,United States,Texas,Austin,Washington DC,Austin,AAEntity,US Senator Cornyn,,gov_handles_mapping,ccf1ad9055c7a3a6bd1ac9902aa98372,gov_handles_mapping__ccf1ad9055c7a3a6bd1ac9902aa98372
senjohnhoeven,US Senator Hoeven,United States,North Dakota,Bismarck,Washington DC,Bismarck,space,US Senator Hoeven,,gov_handles_mapping,9e36e4ff14a724276ba3f3a759f98e0c,gov_handles_mapping__9e36e4ff14a724276ba3f3a759f98e0c
johnkennedyla,US Senator Kennedy,United States,Louisiana,Baton Rouge,Washington DC,Baton Rouge,Consulates,US Senator Kennedy,,gov_handles_mapping,f7dcc3d0563b7b8f8d6bd79da195171f,gov_handles_mapping__f7dcc3d0563b7b8f8d6bd79da195171f
senjohnkennedy,US Senator Kennedy,United States,Louisiana,Baton Rouge,Washington DC,Baton Rouge,ForeignMinister,US Senator Kennedy,,gov_handles_mapping,f7dcc3d0563b7b8f8d6bd79da195171f,gov_handles_mapping__f7dcc3d0563b7b8f8d6bd79da195171f
johnthune,US Senator Thune,United States,South Dakota,Pierre,Washington DC,Pierre,Consulates,US Senator Thune,,gov_handles_mapping,88e13a6485c7a679a104848108544347,gov_handles_mapping__88e13a6485c7a679a104848108544347
senjohnthune,US Senator Thune,United States,South Dakota,Pierre,Washington DC,Pierre,DiplomaticFacilities,US Senator Thune,,gov_handles_mapping,88e13a6485c7a679a104848108544347,gov_handles_mapping__88e13a6485c7a679a104848108544347
jontester,US Senator Tester,United States,Montana,Helena,Washington DC,Helena,Keyphrase,US Senator Tester,,gov_handles_mapping,30ca69f9c980d8d9b3e29bc4299250ac,gov_handles_mapping__30ca69f9c980d8d9b3e29bc4299250ac
senatortester,US Senator Tester,United States,Montana,Helena,Washington DC,Helena,ForeignMinistry,US Senator Tester,,gov_handles_mapping,30ca69f9c980d8d9b3e29bc4299250ac,gov_handles_mapping__30ca69f9c980d8d9b3e29bc4299250ac
joniernst,US Senator Ernst,United States,Iowa,Des Moines,Washington DC,Des Moines,ForeignMinistry,US Senator Ernst,,gov_handles_mapping,0f9b13a13df7ed8fba31080ccb6b0ce5,gov_handles_mapping__0f9b13a13df7ed8fba31080ccb6b0ce5
senjoniernst,US Senator Ernst,United States,Iowa,Des Moines,Washington DC,Des Moines,Legislator,US Senator Ernst,,gov_handles_mapping,0f9b13a13df7ed8fba31080ccb6b0ce5,gov_handles_mapping__0f9b13a13df7ed8fba31080ccb6b0ce5
hawleymo,US Senator Hawley,United States,Missouri,Jefferson City,Washington DC,Jefferson City,News,US Senator Hawley,,gov_handles_mapping,0a4a479e19606e8d3950687d3406cc2b,gov_handles_mapping__0a4a479e19606e8d3950687d3406cc2b
senhawleypress,US Senator Hawley,United States,Missouri,Jefferson City,Washington DC,Jefferson City,ForeignMinister,US Senator Hawley,,gov_handles_mapping,0a4a479e19606e8d3950687d3406cc2b,gov_handles_mapping__0a4a479e19606e8d3950687d3406cc2b
kamalaharris,US Senator Harris,United States,California,Sacramento,Washington DC,Sacramento,Shipping,US Senator Harris,,gov_handles_mapping,8d41cdd08aeaa5b9f863bb2fdb15331f,gov_handles_mapping__8d41cdd08aeaa5b9f863bb2fdb15331f
senkamalaharris,US Senator Harris,United States,California,Sacramento,Washington DC,Sacramento,Refinery,US Senator Harris,,gov_handles_mapping,8d41cdd08aeaa5b9f863bb2fdb15331f,gov_handles_mapping__8d41cdd08aeaa5b9f863bb2fdb15331f
reverendwarnock,US Senator Warnock,United States,Georgia,Atlanta,Washington DC,Atlanta,space,US Senator Warnock,,gov_handles_mapping,bf5d4f41a967a898d27b73bb196eccc4,gov_handles_mapping__bf5d4f41a967a898d27b73bb196eccc4
kevincramer,US Senator Cramer,United States,North Dakota,Bismarck,Washington DC,Bismarck,LegislativeCommittee,US Senator Cramer,,gov_handles_mapping,6dbeab848fd0339e1e6c71abcb7dcf3f,gov_handles_mapping__6dbeab848fd0339e1e6c71abcb7dcf3f
senkevincramer,US Senator Cramer,United States,North Dakota,Bismarck,Washington DC,Bismarck,Wells,US Senator Cramer,,gov_handles_mapping,6dbeab848fd0339e1e6c71abcb7dcf3f,gov_handles_mapping__6dbeab848fd0339e1e6c71abcb7dcf3f
gillibrandny,US Senator Gillibrand,United States,New York,Albany,Washington DC,Albany,ForeignMinistry,US Senator Gillibrand,,gov_handles_mapping,c201a648932691b225ab06f60a29488c,gov_handles_mapping__c201a648932691b225ab06f60a29488c
sengillibrand,US Senator Gillibrand,United States,New York,Albany,Washington DC,Albany,DiplomaticFacilities,US Senator Gillibrand,,gov_handles_mapping,c201a648932691b225ab06f60a29488c,gov_handles_mapping__c201a648932691b225ab06f60a29488c
kyrstensinema,US Senator Sinema,United States,Arizona,Phoenix,Washington DC,Phoenix,Keyphrase,US Senator Sinema,,gov_handles_mapping,2f0f32bc93a3e5b43fd65946a449e2a7,gov_handles_mapping__2f0f32bc93a3e5b43fd65946a449e2a7
senatorsinema,US Senator Sinema,United States,Arizona,Phoenix,Washington DC,Phoenix,Legislator,US Senator Sinema,,gov_handles_mapping,2f0f32bc93a3e5b43fd65946a449e2a7,gov_handles_mapping__2f0f32bc93a3e5b43fd65946a449e2a7
lamaralexander,US Senator Alexander,United States,Tennessee,Nashville,Washington DC,Nashville,AAEntity,US Senator Alexander,,gov_handles_mapping,5f13957feb1e20cfac6d2a69b7d5acde,gov_handles_mapping__5f13957feb1e20cfac6d2a69b7d5acde
senalexander,US Senator Alexander,United States,Tennessee,Nashville,Washington DC,Nashville,Refinery,US Senator Alexander,,gov_handles_mapping,5f13957feb1e20cfac6d2a69b7d5acde,gov_handles_mapping__5f13957feb1e20cfac6d2a69b7d5acde
grahamblog,US Senator Graham,United States,South Carolina,Columbia,Washington DC,Columbia,Media,US Senator Graham,,gov_handles_mapping,90ba817799b51af3a34e511405558bd4,gov_handles_mapping__90ba817799b51af3a34e511405558bd4
lindseygrahamsc,US Senator Graham,United States,South Carolina,Columbia,Washington DC,Columbia,Refinery,US Senator Graham,,gov_handles_mapping,90ba817799b51af3a34e511405558bd4,gov_handles_mapping__90ba817799b51af3a34e511405558bd4
lisaforsenate,US Senator Murkowski,United States,Alaska,Juneau,Washington DC,Juneau,Shipping,US Senator Murkowski,,gov_handles_mapping,101075bb23b88ead8ea53f1df1c0a3c8,gov_handles_mapping__101075bb23b88ead8ea53f1df1c0a3c8
lisamurkowski,US Senator Murkowski,United States,Alaska,Juneau,Washington DC,Juneau,Keyphrase,US Senator Murkowski,,gov_handles_mapping,101075bb23b88ead8ea53f1df1c0a3c8,gov_handles_mapping__101075bb23b88ead8ea53f1df1c0a3c8
maggie_hassan,US Senator Hassan,United States,New Hampshire,Concord,Washington DC,Concord,ForeignMinister,US Senator Hassan,,gov_handles_mapping,6281fa83b54dcaf9ed8f79dad7b3b6d3,gov_handles_mapping__6281fa83b54dcaf9ed8f79dad7b3b6d3
senatorhassan,US Senator Hassan,United States,New Hampshire,Concord,Washington DC,Concord,IndustryTerm,US Senator Hassan,,gov_handles_mapping,6281fa83b54dcaf9ed8f79dad7b3b6d3,gov_handles_mapping__6281fa83b54dcaf9ed8f79dad7b3b6d3
marcorubio,US Senator Rubio,United States,Florida,Tallahassee,Washington DC,Tallahassee,Wells,US Senator Rubio,,gov_handles_mapping,43cfe83862eb06b3c408f45b64e9584f,gov_handles_mapping__43cfe83862eb06b3c408f45b64e9584f
senrubiopress,US Senator Rubio,United States,Florida,Tallahassee,Washington DC,Tallahassee,CompanyKeyword,US Senator Rubio,,gov_handles_mapping,43cfe83862eb06b3c408f45b64e9584f,gov_handles_mapping__43cfe83862eb06b3c408f45b64e9584f
mariacantwell,US Senator Cantwell,United States,Washington,Olympia,Washington DC,Olympia,Organization,US Senator Cantwell,,gov_handles_mapping,bbbebe00e60b8a98c30da7702c64949b,gov_handles_mapping__bbbebe00e60b8a98c30da7702c64949b
senatorcantwell,US Senator Cantwell,United States,Washington,Olympia,Washington DC,Olympia,space,US Senator Cantwell,,gov_handles_mapping,bbbebe00e60b8a98c30da7702c64949b,gov_handles_mapping__bbbebe00e60b8a98c30da7702c64949b
markwarner,US Senator Warner,United States,Virginia,Richmond,Washington DC,Richmond,AAEntity,US Senator Warner,,gov_handles_mapping,a57ae9a6812a8f9213cb6c36f30d57a3,gov_handles_mapping__a57ae9a6812a8f9213cb6c36f30d57a3
markwarnerva,US Senator Warner,United States,Virginia,Richmond,Washington DC,Richmond,space,US Senator Warner,,gov_handles_mapping,a57ae9a6812a8f9213cb6c36f30d57a3,gov_handles_mapping__a57ae9a6812a8f9213cb6c36f30d57a3
marshablackburn,US Senator Blackburn,United States,Tennessee,Nashville,Washington DC,Nashville,space,US Senator Blackburn,,gov_handles_mapping,14fbcdae2ce175c433be3bece75b85d7,gov_handles_mapping__14fbcdae2ce175c433be3bece75b85d7
votemarsha,US Senator Blackburn,United States,Tennessee,Nashville,Washington DC,Nashville,Exec,US Senator Blackburn,,gov_handles_mapping,14fbcdae2ce175c433be3bece75b85d7,gov_handles_mapping__14fbcdae2ce175c433be3bece75b85d7
senmarkkelly,US Senator Kelly,United States,Arizona,Phoenix,Washington DC,Phoenix,Consulates,US Senator Kelly,,gov_handles_mapping,7104256651898d0311227d115f5ce01c,gov_handles_mapping__7104256651898d0311227d115f5ce01c
martinheinrich,US Senator Heinrich,United States,New Mexico,Santa Fe,Washington DC,Santa Fe,Legislator,US Senator Heinrich,,gov_handles_mapping,a340c6a8e3fd3fa84f2635daf1107741,gov_handles_mapping__a340c6a8e3fd3fa84f2635daf1107741
mazieforhawaii,US Senator Hirono,United States,Hawaii,Honolulu,Washington DC,Honolulu,ForeignMinister,US Senator Hirono,,gov_handles_mapping,6c842ad280eb587e85d3ae6d98bdf746,gov_handles_mapping__6c842ad280eb587e85d3ae6d98bdf746
maziehirono,US Senator Hirono,United States,Hawaii,Honolulu,Washington DC,Honolulu,Consulates,US Senator Hirono,,gov_handles_mapping,6c842ad280eb587e85d3ae6d98bdf746,gov_handles_mapping__6c842ad280eb587e85d3ae6d98bdf746
