native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ramming,ramming,Ramming incident reported,3,Crime - Non-Active,188297,CompanyKeyword,Ramming incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,63372b68a9e070efdad652851c9afabc,local_news_physical_safety_iceland_caption_topic_threshold_mapping__63372b68a9e070efdad652851c9afabc
til ram,to ram,Ramming incident reported,3,Crime - Non-Active,188297,Pipeline,Ramming incident reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,63372b68a9e070efdad652851c9afabc,local_news_physical_safety_iceland_caption_topic_threshold_mapping__63372b68a9e070efdad652851c9afabc
árás,attack,Attack reported,3,Crime - Non-Active,188297,AAEntity,Attack reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_iceland_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
invasion,invasion,Attack reported,3,Crime - Non-Active,188297,Person,Attack reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_iceland_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
gísl,hostage,Police-involved matter reported,3,Crime - Non-Active,188297,space,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
gíslar,hostages,Police-involved matter reported,3,Crime - Non-Active,188297,Diplomat,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
bjarga,rescue,Rescue reported,11,Fires and Collapses,188118,ForeignMinister,Rescue reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,4a7d831a40a3efa280a32e8874b22790,local_news_physical_safety_iceland_caption_topic_threshold_mapping__4a7d831a40a3efa280a32e8874b22790
handtöku,arrest,Police-involved matter reported,10,Crime - No Active Threat,188297,IndustryTerm,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
handtekinn,arrested,Police-involved matter reported,10,Crime - No Active Threat,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
amerískur ríkisborgari,american citizen,Incident involving US national reported,1,FVEY/NATO Military and Diplomatic Assets,188262,ForeignMinister,Incident involving US national reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,e2aa6d9f1684b717e419d10dc5aae50c,local_news_physical_safety_iceland_caption_topic_threshold_mapping__e2aa6d9f1684b717e419d10dc5aae50c
