german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ss,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
parkstrasse,"Parkstrasse in Bottrop, Germany",51.5271979,6.9177574,1,,,,,AAEntity,"Parkstrasse in Bottrop, Germany",,german_fires_bottrop_locations,819e09c2f1d948f8947cce4621b9b3b0,german_fires_bottrop_locations__819e09c2f1d948f8947cce4621b9b3b0
randebrockstrasse,"Randebrockstrasse in Bottrop, Germany",51.5300547,6.9205381,1,,,,,Diplomat,"Randebrockstrasse in Bottrop, Germany",,german_fires_bottrop_locations,d682a934694bb28d95c10b4e52adedf5,german_fires_bottrop_locations__d682a934694bb28d95c10b4e52adedf5
roonstrasse,"Roonstrasse in Bottrop, Germany",51.5263871,6.9239156,1,,,,,FTO,"Roonstrasse in Bottrop, Germany",,german_fires_bottrop_locations,cf348e93b165babcfc1aeca040cf0a73,german_fires_bottrop_locations__cf348e93b165babcfc1aeca040cf0a73
steinmetzstrasse,"Steinmetzstrasse in Bottrop, Germany",51.5270397,6.9236289,1,,,,,Consulates,"Steinmetzstrasse in Bottrop, Germany",,german_fires_bottrop_locations,8e4fb0c24bc8da3b51139b9ef9ed47d4,german_fires_bottrop_locations__8e4fb0c24bc8da3b51139b9ef9ed47d4
tourneaustrasse,"Tourneaustrasse in Bottrop, Germany",51.5250952,6.9229064,1,,,,,Exec,"Tourneaustrasse in Bottrop, Germany",,german_fires_bottrop_locations,5453de9472f5ec481b09ca67a1b19481,german_fires_bottrop_locations__5453de9472f5ec481b09ca67a1b19481
virchowstrasse,"Virchowstrasse in Bottrop, Germany",51.5309714,6.9212495,1,,,,,Keyphrase,"Virchowstrasse in Bottrop, Germany",,german_fires_bottrop_locations,930f185e601058c715d6d6caf8a43ed2,german_fires_bottrop_locations__930f185e601058c715d6d6caf8a43ed2
am eickholtshof,"Am Eickholtshof in Bottrop, Germany",51.5268875,6.9309883,1,,,,,Legislator,"Am Eickholtshof in Bottrop, Germany",,german_fires_bottrop_locations,0ea830b603755dcd4c1ec2f4d238a09f,german_fires_bottrop_locations__0ea830b603755dcd4c1ec2f4d238a09f
am vogelpoth,"Am Vogelpoth in Bottrop, Germany",51.5325388,6.9266474,1,,,,,Shipping,"Am Vogelpoth in Bottrop, Germany",,german_fires_bottrop_locations,7d0165d4ee9b638e6f9df266b37c864c,german_fires_bottrop_locations__7d0165d4ee9b638e6f9df266b37c864c
bruggemannsweg,"Bruggemannsweg in Bottrop, Germany",51.5326818,6.9258403,1,,,,,Keyphrase,"Bruggemannsweg in Bottrop, Germany",,german_fires_bottrop_locations,b444a9c252cd9957b7286d99bcf38839,german_fires_bottrop_locations__b444a9c252cd9957b7286d99bcf38839
florianweg,"Florianweg in Bottrop, Germany",51.5322949,6.9279481,1,,,,,Legislator,"Florianweg in Bottrop, Germany",,german_fires_bottrop_locations,5d1af8529a51b03c60dc7cea64fd0cde,german_fires_bottrop_locations__5d1af8529a51b03c60dc7cea64fd0cde
germaniahof,"Germaniahof in Bottrop, Germany",51.5267528,6.9351725,1,,,,,ForeignMinistry,"Germaniahof in Bottrop, Germany",,german_fires_bottrop_locations,f00c24fb96b7ca869ee6c76aeed3dea6,german_fires_bottrop_locations__f00c24fb96b7ca869ee6c76aeed3dea6
germaniastrasse,"Germaniastrasse in Bottrop, Germany",51.5263713,6.9347632,1,,,,,Refinery,"Germaniastrasse in Bottrop, Germany",,german_fires_bottrop_locations,d904286fed9a70c57bc5d908708b6b2b,german_fires_bottrop_locations__d904286fed9a70c57bc5d908708b6b2b
handelstrasse,"Handelstrasse in Bottrop, Germany",51.5358025,6.9283596,1,,,,,Keyphrase,"Handelstrasse in Bottrop, Germany",,german_fires_bottrop_locations,83e91562ab880396099465d635c53058,german_fires_bottrop_locations__83e91562ab880396099465d635c53058
heinrich-gutermuth-strasse,"Heinrich-Gutermuth-strasse in Bottrop, Germany",51.5311651,6.9327915,1,,,,,Media,"Heinrich-Gutermuth-strasse in Bottrop, Germany",,german_fires_bottrop_locations,6d542a6e945e5f91a1e1e186700d6a12,german_fires_bottrop_locations__6d542a6e945e5f91a1e1e186700d6a12
horster strasse,"Horster strasse in Bottrop, Germany",51.5339825,6.9608683,1,,,,,Legislator,"Horster strasse in Bottrop, Germany",,german_fires_bottrop_locations,e1e7da3b061415b92aa929fe58bb7ace,german_fires_bottrop_locations__e1e7da3b061415b92aa929fe58bb7ace
kardinal-hengsbach-strasse,"Kardinal-Hengsbach-strasse in Bottrop, Germany",51.5317982,6.9322705,1,,,,,Shipping,"Kardinal-Hengsbach-strasse in Bottrop, Germany",,german_fires_bottrop_locations,861897121e3492c363838e651f2e4b02,german_fires_bottrop_locations__861897121e3492c363838e651f2e4b02
lortzingstrasse,"Lortzingstrasse in Bottrop, Germany",51.5361641,6.9283194,1,,,,,FTO,"Lortzingstrasse in Bottrop, Germany",,german_fires_bottrop_locations,70d4bc84bcd987093447b56d7eb38594,german_fires_bottrop_locations__70d4bc84bcd987093447b56d7eb38594
oppenbergstrasse,"Oppenbergstrasse in Bottrop, Germany",51.5349777,6.9261478,1,,,,,Legislator,"Oppenbergstrasse in Bottrop, Germany",,german_fires_bottrop_locations,6576ddc5bf1add31fe3567741468b2e1,german_fires_bottrop_locations__6576ddc5bf1add31fe3567741468b2e1
otto-joschko-strasse,"Otto-Joschko-strasse in Bottrop, Germany",51.53047,6.9334853,1,,,,,FTO,"Otto-Joschko-strasse in Bottrop, Germany",,german_fires_bottrop_locations,d80fca202a18eb6e3f13a188da915858,german_fires_bottrop_locations__d80fca202a18eb6e3f13a188da915858
otto-krawehl-strasse,"Otto-Krawehl-strasse in Bottrop, Germany",51.5311034,6.930548,1,,,,,AAEntity,"Otto-Krawehl-strasse in Bottrop, Germany",,german_fires_bottrop_locations,d0965d9b0c4d1c20ac64cff271c1fa94,german_fires_bottrop_locations__d0965d9b0c4d1c20ac64cff271c1fa94
overbeckstrasse,"Overbeckstrasse in Bottrop, Germany",51.5341427,6.926948,1,,,,,FTO,"Overbeckstrasse in Bottrop, Germany",,german_fires_bottrop_locations,d85c564c6ab649aba72841df9085e220,german_fires_bottrop_locations__d85c564c6ab649aba72841df9085e220
pestalozzistrasse,"Pestalozzistrasse in Bottrop, Germany",51.5292015,6.9328275,1,,,,,Organization,"Pestalozzistrasse in Bottrop, Germany",,german_fires_bottrop_locations,35b0b0c6a039435776ca0cc5b15114a5,german_fires_bottrop_locations__35b0b0c6a039435776ca0cc5b15114a5
rheinstahlstrasse,"Rheinstahlstrasse in Bottrop, Germany",51.530166,6.9322605,1,,,,,CompanyKeyword,"Rheinstahlstrasse in Bottrop, Germany",,german_fires_bottrop_locations,cb32ccc9b5aa6569edcbe09e05472164,german_fires_bottrop_locations__cb32ccc9b5aa6569edcbe09e05472164
richard-wagner-strasse,"Richard-Wagner-strasse in Bottrop, Germany",51.5341427,6.926948,1,,,,,space,"Richard-Wagner-strasse in Bottrop, Germany",,german_fires_bottrop_locations,267fc8d02a0f4623c727d182eeddb06d,german_fires_bottrop_locations__267fc8d02a0f4623c727d182eeddb06d
