handle,caption_name,Category,Topic GUID,Topic Name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
grrmspeaking,Author George RR Martin,Entertainment,214218,Reputation,DiplomaticFacilities,Author George RR Martin,,advocacy_groups_handles,6f3f1d9b842f2f832e29afca5e2a4e6b,advocacy_groups_handles__8729e8daee22bc97579d29031f53a3fd
madhankarky,Singer Madhan Karky,Entertainment,214218,Reputation,Organization,Singer Madhan Karky,,advocacy_groups_handles,bc7fc3b019b0a91e8c55bd6c31d0a0fa,advocacy_groups_handles__c413a79e946b7e5f63a6879a4b52e336
michopaaaaa,Model Miyu Ikeda,Entertainment,214218,Reputation,IndustryTerm,Model Miyu Ikeda,,advocacy_groups_handles,c92961f115611580d68d434cad2c9d87,advocacy_groups_handles__76d0ce826efc6063ca26369563c2106c
abiratchford,Model Abigail Ratchford,Entertainment,214218,Reputation,Keyphrase,Model Abigail Ratchford,,advocacy_groups_handles,adbf72dd5a2316d8405fc77a61abf029,advocacy_groups_handles__431bb57352344f192ebf03a24a324b28
masabag,Fashion designer Masaba Gupta,Entertainment,214218,Reputation,space,Fashion designer Masaba Gupta,,advocacy_groups_handles,1084fd5ff8cb1d61857ad57da98c8411,advocacy_groups_handles__0c228285da16e931146eef3418dcd8dc
real_kimyugyeom,Singer Kim Yu-gyeom,Entertainment,214218,Reputation,Person,Singer Kim Yu-gyeom,,advocacy_groups_handles,a0afc87aee1a134ebdda0ad1ab4da448,advocacy_groups_handles__7295c4082c146c8d43574ed33d2ca0b1
ivanmarinsoyyo,Actor Ivan Marin,Entertainment,214218,Reputation,Diplomat,Actor Ivan Marin,,advocacy_groups_handles,52bd9a45c4854587b8b058c54e32ee01,advocacy_groups_handles__b9875d568183f103a16f34dda7fbc362
loganlerman,Actor Logan Lerman,Entertainment,214218,Reputation,DiplomaticFacilities,Actor Logan Lerman,,advocacy_groups_handles,74230e98d6431e663e1bc2d1c6d43285,advocacy_groups_handles__8dab90d15928a4e2f91750236c6ddc05
martinbossi,Actor Martin Bossi,Entertainment,214218,Reputation,Keyphrase,Actor Martin Bossi,,advocacy_groups_handles,d2e6deae3097631240330422be09751a,advocacy_groups_handles__c9bcb27c8469b37e12a0d6797e670944
menna_shalaby,Actor Menna Shalaby,Entertainment,214218,Reputation,space,Actor Menna Shalaby,,advocacy_groups_handles,6105e2b147921166b2fabad619c95581,advocacy_groups_handles__1769f6c3cd7bbd97c4d6f7d6485efeaf
maxlucado,Author Max Lucado,Entertainment,214218,Reputation,DiplomaticFacilities,Author Max Lucado,,advocacy_groups_handles,572ac2d49e52190c5d89a4ed92d57cfb,advocacy_groups_handles__6d943954ae8ce37d458efb9d16b67d56
jinnai_tomonori,Comedian Tomonori Jinnai,Entertainment,214218,Reputation,Diplomat,Comedian Tomonori Jinnai,,advocacy_groups_handles,0393a36ae25e4fbd5dcbfb4a6eb62e0e,advocacy_groups_handles__23ea63662dd8f5c692fc730cf059679b
janoskians,Comedy Group Janoskians,Entertainment,214218,Reputation,Person,Comedy Group Janoskians,,advocacy_groups_handles,796a213cc9355f444d6057c2816193a5,advocacy_groups_handles__c995a5a07ef63843e2d13aafcdad9c99
oficialhassam,Comedian Hassam,Entertainment,214218,Reputation,Diplomat,Comedian Hassam,,advocacy_groups_handles,bb9688c5f36cace94b075ae5a209f3c2,advocacy_groups_handles__0996973e6e38554524b9abdcb662e282
molotovbanda,Band Molotov,Entertainment,214218,Reputation,AAEntity,Band Molotov,,advocacy_groups_handles,27445b1b41ecbab8a809c36fb49738fb,advocacy_groups_handles__e6fd04a67159ac853173ad124443c40c
russellhoward,Comedian Russell Howard,Entertainment,214218,Reputation,IndustryTerm,Comedian Russell Howard,,advocacy_groups_handles,98d935bced9d7f571860d1c5669949d9,advocacy_groups_handles__2c7b160cc722a37541360ffbe5454f5d
jack_welch,Executive Jack Welch,Entertainment,214218,Reputation,Person,Executive Jack Welch,,advocacy_groups_handles,05fbf197c6de4a38f0ff34427a596c1b,advocacy_groups_handles__75fdbc8d33c735f4adfbcfdf298a3e19
pipebueno,Singer Pipe Bueno,Entertainment,214218,Reputation,FTO,Singer Pipe Bueno,,advocacy_groups_handles,c1eb616f70173cd667a0c1745448a6a3,advocacy_groups_handles__5fafa87b1965c350cc2df07d9d558761
