handle,caption_name,location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
rwandamod,Rwandan Defense Ministry,2536,LegislativeCommittee,Rwandan Defense Ministry,,defmin_mentioner,bc320075f4a29b1e1a1077baebcdd6e5,defmin_mentioner__bc320075f4a29b1e1a1077baebcdd6e5
mindefsg,Singaporean Defense Ministry,2537,IndustryTerm,Singaporean Defense Ministry,,defmin_mentioner,03ce01748bdc3a9bd7e0e4bef81c0ee5,defmin_mentioner__03ce01748bdc3a9bd7e0e4bef81c0ee5
slovakiamfa,Slovak Foreign Ministry,2538,space,Slovak Foreign Ministry,,defmin_mentioner,f965a38f5cd31686b3140c5bcbea9249,defmin_mentioner__f965a38f5cd31686b3140c5bcbea9249
somalimod,Somalian Defense Ministry,2539,AAEntity,Somalian Defense Ministry,,defmin_mentioner,3a19129edcb6c409b2048d5d201c594c,defmin_mentioner__3a19129edcb6c409b2048d5d201c594c
ttnatsecurity,Trinidad and Tobago National Security Ministry,2540,ForeignMinistry,Trinidad and Tobago National Security Ministry,,defmin_mentioner,9984e88caa277ea2d1127edce06043ab,defmin_mentioner__9984e88caa277ea2d1127edce06043ab
ugandadefence,Ugandan Defense Ministry,2541,space,Ugandan Defense Ministry,,defmin_mentioner,df2f15089516c72f6bec2d03ede947aa,defmin_mentioner__df2f15089516c72f6bec2d03ede947aa
defencehq,UK Defence Ministry,2542,space,UK Defence Ministry,,defmin_mentioner,55096aaa53615fefb26c759c8aa93b98,defmin_mentioner__55096aaa53615fefb26c759c8aa93b98
deptofdefense,US Department of Defense,2543,Keyphrase,US Department of Defense,,defmin_mentioner,ced7b36debd9e4e274c1ea364a88f594,defmin_mentioner__ced7b36debd9e4e274c1ea364a88f594
modafghanistan,Afghan Defense Ministry,2544,ForeignMinister,Afghan Defense Ministry,,defmin_mentioner,3b3cfc1f8c775d55aa30b40a94394abf,defmin_mentioner__3b3cfc1f8c775d55aa30b40a94394abf
minmbrojtjes,Albanian Defense Ministry,2545,Refinery,Albanian Defense Ministry,,defmin_mentioner,effa7b04321afcb67219dd1a1ff06117,defmin_mentioner__effa7b04321afcb67219dd1a1ff06117
mindefarg,Argentine Defense Ministry,2546,Consulates,Argentine Defense Ministry,,defmin_mentioner,8ba9bfe2eddc69a26f874ebc052e5cb8,defmin_mentioner__8ba9bfe2eddc69a26f874ebc052e5cb8
bdf_bahrain,Bahrain Defence Force,2547,Organization,Bahrain Defence Force,,defmin_mentioner,00b4c9188aa52656b47321fc13a0dee7,defmin_mentioner__00b4c9188aa52656b47321fc13a0dee7
belarusmid,Belarusian Foreign Ministry,2548,space,Belarusian Foreign Ministry,,defmin_mentioner,bc6296eced591da6036ba238d99a6157,defmin_mentioner__bc6296eced591da6036ba238d99a6157
mindefbolivia,Bolivian Defense Ministry,2549,Diplomat,Bolivian Defense Ministry,,defmin_mentioner,7c51a097d17ddb831724885de1503279,defmin_mentioner__7c51a097d17ddb831724885de1503279
defesagovbr,Brazilian Defense Ministry,2550,Wells,Brazilian Defense Ministry,,defmin_mentioner,a7e78b1fc0008c6696da2b78a55128b2,defmin_mentioner__a7e78b1fc0008c6696da2b78a55128b2
mdnacbi,Burundian National Defense Ministry,2551,ForeignMinister,Burundian National Defense Ministry,,defmin_mentioner,82a9b874256e0851dd5c28006116fcf8,defmin_mentioner__82a9b874256e0851dd5c28006116fcf8
defensecanada,Canadian Defence Ministry,2552,LegislativeCommittee,Canadian Defence Ministry,,defmin_mentioner,2941542bc5b018d2215d0e752fb77b3c,defmin_mentioner__2941542bc5b018d2215d0e752fb77b3c
mindefchile,Chilean Defense Ministry,2553,Legislator,Chilean Defense Ministry,,defmin_mentioner,86745373c8a3c0759fa6deb770003c89,defmin_mentioner__86745373c8a3c0759fa6deb770003c89
mindefensa,Colombian Defense Ministry,2554,Pipeline,Colombian Defense Ministry,,defmin_mentioner,61d57f2a02c2eda05ed039f571fec40f,defmin_mentioner__61d57f2a02c2eda05ed039f571fec40f
seguridadcrc,Costa Rican Defense Ministry,2555,ForeignMinister,Costa Rican Defense Ministry,,defmin_mentioner,1034e5a493094c01b5b6fa4f4692f50e,defmin_mentioner__1034e5a493094c01b5b6fa4f4692f50e
morh_osrh,Croatian Defense Ministry,2556,Shipping,Croatian Defense Ministry,,defmin_mentioner,1ce03124110dacda28239f33b2d2931e,defmin_mentioner__1ce03124110dacda28239f33b2d2931e
obranatweetuje,Czech Defense Ministry,2557,Person,Czech Defense Ministry,,defmin_mentioner,124ac77d996b7d03ad0932897723c2c4,defmin_mentioner__124ac77d996b7d03ad0932897723c2c4
mdefensard,Dominican Republic Defense Ministry,2558,Consulates,Dominican Republic Defense Ministry,,defmin_mentioner,1997f4b003de2846b01fa7eb0125ac0c,defmin_mentioner__1997f4b003de2846b01fa7eb0125ac0c
defensaec,Ecuadorian Defense Ministry,2559,Diplomat,Ecuadorian Defense Ministry,,defmin_mentioner,73b38cb06820273a4d146b20da917cb7,defmin_mentioner__73b38cb06820273a4d146b20da917cb7
egyarmyspox,Egyptian Defense Ministry,2560,Legislator,Egyptian Defense Ministry,,defmin_mentioner,9948c21f7f82252a027d070fa652afc2,defmin_mentioner__9948c21f7f82252a027d070fa652afc2
defensasv,Salvadoran Defense Ministry,2561,Legislator,Salvadoran Defense Ministry,,defmin_mentioner,00a6ad37d80ac32de2ac98cc97315682,defmin_mentioner__00a6ad37d80ac32de2ac98cc97315682
kaitsemin,Estonian Defense Ministry,2562,AAEntity,Estonian Defense Ministry,,defmin_mentioner,26e170f5bfb20284210fecfc4a13cbd3,defmin_mentioner__26e170f5bfb20284210fecfc4a13cbd3
armees_gouv,French Defense Ministry,2563,space,French Defense Ministry,,defmin_mentioner,876da50e965fc62af1d7c1aba9818b39,defmin_mentioner__876da50e965fc62af1d7c1aba9818b39
bmvg_bundeswehr,German Defense Ministry,2564,Media,German Defense Ministry,,defmin_mentioner,69344f90c228312f994f0f8e1afc7cd5,defmin_mentioner__69344f90c228312f994f0f8e1afc7cd5
ejercito_gt,Guatemalan Defense Ministry,2565,News,Guatemalan Defense Ministry,,defmin_mentioner,ecaee3f982c80da6063d31ee73e96b3b,defmin_mentioner__ecaee3f982c80da6063d31ee73e96b3b
sedenahonduras,Honduran Defense Ministry,2566,Wells,Honduran Defense Ministry,,defmin_mentioner,0caac2066fe3d8e35b4d37c886db64a0,defmin_mentioner__0caac2066fe3d8e35b4d37c886db64a0
kemhan_ri,Indonesian Defense Ministry,2567,Pipeline,Indonesian Defense Ministry,,defmin_mentioner,8f3c4f322c177bb8e902bc6d91325cba,defmin_mentioner__8f3c4f322c177bb8e902bc6d91325cba
modmiliq,Iraqi Defense Ministry,2568,Pipeline,Iraqi Defense Ministry,,defmin_mentioner,42b997c452f1cb96f1bb7f26ec3d430b,defmin_mentioner__42b997c452f1cb96f1bb7f26ec3d430b
modisrael,Israeli Defense Ministry,2569,Organization,Israeli Defense Ministry,,defmin_mentioner,089412cc99a962e4c5d3aa853f3dc827,defmin_mentioner__089412cc99a962e4c5d3aa853f3dc827
modjapan_jp,Japanese Defense Ministry,2570,Legislator,Japanese Defense Ministry,,defmin_mentioner,a2e74f7b0c7ba9d50e1eb8e7bcd489b0,defmin_mentioner__a2e74f7b0c7ba9d50e1eb8e7bcd489b0
armedforcesjo,Jordanian Armed Forces,2571,Legislator,Jordanian Armed Forces,,defmin_mentioner,c6f0af0cc4b1bef4d72b4ffeacfa3a14,defmin_mentioner__c6f0af0cc4b1bef4d72b4ffeacfa3a14
mindefmalaysia,Malaysian Defense Ministry,2572,Organization,Malaysian Defense Ministry,,defmin_mentioner,01eb85840e55292c6329320d6f512aac,defmin_mentioner__01eb85840e55292c6329320d6f512aac
sedenamx,Mexican Defense Ministry,2573,CompanyKeyword,Mexican Defense Ministry,,defmin_mentioner,769cf3df3c1e005d8347eb8af7be0157,defmin_mentioner__769cf3df3c1e005d8347eb8af7be0157
