keyword,keyword_upper,caption_name,location,location_lower,location (state),type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
detroit police department,Detroit Police Department,Detroit Police Department,Detroit,detroit,,PoliceDept,,188120,3140002,Policedept,Detroit Police Department,,EO_Mentionee,8c56f2071b0ef913737264d79b916c99,EO_Mentionee__8c56f2071b0ef913737264d79b916c99
(dpd; detroit),(dpd; detroit),Detroit Police Department,Detroit,detroit,,PoliceDept,,188120,3140002,Policedept,Detroit Police Department,,EO_Mentionee,f829d768af75d3f750f22ca8f498c32b,EO_Mentionee__f829d768af75d3f750f22ca8f498c32b
detroitpolice,detroitpolice,Detroit Police Department,Detroit,detroit,,PoliceDept,,188120,3140002,Policedept,Detroit Police Department,,EO_Mentionee,c0b18a213e85b4078f6c1cd3bffee550,EO_Mentionee__c0b18a213e85b4078f6c1cd3bffee550
atlanta police department,Atlanta Police Department,Atlanta Police Department,Atlanta,atlanta,,PoliceDept,,188120,3140002,Policedept,Atlanta Police Department,,EO_Mentionee,0eff5df59d14012bba6165c0a88040e0,EO_Mentionee__0eff5df59d14012bba6165c0a88040e0
atlanta_police,Atlanta_Police,Atlanta Police Department,Atlanta,atlanta,,PoliceDept,,188120,3140002,Policedept,Atlanta Police Department,,EO_Mentionee,9704104069fff8ff1546913b1a2eb6d0,EO_Mentionee__9704104069fff8ff1546913b1a2eb6d0
apd,APD,Atlanta Police Department,Atlanta,atlanta,,PoliceDept,,188120,3140002,Policedept,Atlanta Police Department,,EO_Mentionee,048fe38bf4b5b6eb4ec769159e2ebf92,EO_Mentionee__048fe38bf4b5b6eb4ec769159e2ebf92
chicago police department,Chicago Police Department,Chicago Police Department,Chicago,chicago,,PoliceDept,,188120,3140002,Policedept,Chicago Police Department,,EO_Mentionee,d562617312a3953df93709fefe8470cc,EO_Mentionee__d562617312a3953df93709fefe8470cc
cpd,CPD,Chicago Police Department,Chicago,chicago,,PoliceDept,,188120,3140002,Policedept,Chicago Police Department,,EO_Mentionee,3cbab77f951f06fd149ac1c1eeaf7462,EO_Mentionee__3cbab77f951f06fd149ac1c1eeaf7462
chicago_police,Chicago_Police,Chicago Police Department,Chicago,chicago,,PoliceDept,,188120,3140002,Policedept,Chicago Police Department,,EO_Mentionee,7eec14903c9bbaf8b46f9d4a9395f18d,EO_Mentionee__7eec14903c9bbaf8b46f9d4a9395f18d
san diego police department,San Diego Police Department,San Diego Police Department,San Diego,san diego,,PoliceDept,,188120,3140002,Policedept,San Diego Police Department,,EO_Mentionee,7569881e2651ea4f121cd60c1277ac93,EO_Mentionee__7569881e2651ea4f121cd60c1277ac93
san diego pd,San Diego PD,San Diego Police Department,San Diego,san diego,,PoliceDept,,188120,3140002,Policedept,San Diego Police Department,,EO_Mentionee,e0391bb015068b93ecbdd0337c6eb9ed,EO_Mentionee__e0391bb015068b93ecbdd0337c6eb9ed
sandiegopd,SanDiegoPD,San Diego Police Department,San Diego,san diego,,PoliceDept,,188120,3140002,Policedept,San Diego Police Department,,EO_Mentionee,a3ba46650e7f27c89acf5154b2ffaacd,EO_Mentionee__a3ba46650e7f27c89acf5154b2ffaacd
columbus ohio police,Columbus Ohio Police,Columbus Police Department,Columbus,columbus,,PoliceDept,,188120,3140002,Policedept,Columbus Police Department,,EO_Mentionee,1fd4fb9410cb5067b03b420ed593821f,EO_Mentionee__1fd4fb9410cb5067b03b420ed593821f
columbuspolice,ColumbusPolice,Columbus Police Department,Columbus,columbus,,PoliceDept,,188120,3140002,Policedept,Columbus Police Department,,EO_Mentionee,d2ec2ee04501dfb94b2bdf407c2f0e17,EO_Mentionee__d2ec2ee04501dfb94b2bdf407c2f0e17
cmpd,CMPD,Charlotte-Mecklenburg Police Department,Charlotte,charlotte,,PoliceDept,,188120,3140002,Policedept,Charlotte-Mecklenburg Police Department,,EO_Mentionee,a0f3731fd8a85472a019f80ed83fe740,EO_Mentionee__a0f3731fd8a85472a019f80ed83fe740
charlotte pd,Charlotte PD,Charlotte-Mecklenburg Police Department,Charlotte,charlotte,,PoliceDept,,188120,3140002,Policedept,Charlotte-Mecklenburg Police Department,,EO_Mentionee,27e1739338f86c0d48537f20f203b511,EO_Mentionee__27e1739338f86c0d48537f20f203b511
charlottepd,CharlottePD,Charlotte-Mecklenburg Police Department,Charlotte,charlotte,,PoliceDept,,188120,3140002,Policedept,Charlotte-Mecklenburg Police Department,,EO_Mentionee,6feb57a41e8947c11659dff9e3ec3b2d,EO_Mentionee__6feb57a41e8947c11659dff9e3ec3b2d
charlotte-mecklenburg police department,Charlotte-Mecklenburg Police Department,Charlotte-Mecklenburg Police Department,Charlotte,charlotte,,PoliceDept,,188120,3140002,Policedept,Charlotte-Mecklenburg Police Department,,EO_Mentionee,5a1228418f31f73d9b8b5fa9fc1cd79e,EO_Mentionee__5a1228418f31f73d9b8b5fa9fc1cd79e
sapd,SAPD,San Antonio Police Department,San Antonio,san antonio,,PoliceDept,,188120,3140002,Policedept,San Antonio Police Department,,EO_Mentionee,0c1688cce5d65b8dfef13b8387ee1c95,EO_Mentionee__0c1688cce5d65b8dfef13b8387ee1c95
san antonio police department,San Antonio Police Department,San Antonio Police Department,San Antonio,san antonio,,PoliceDept,,188120,3140002,Policedept,San Antonio Police Department,,EO_Mentionee,5827b02eb36fdc784549c4077ac82072,EO_Mentionee__5827b02eb36fdc784549c4077ac82072
satxpolice,SATXPolice,San Antonio Police Department,San Antonio,san antonio,,PoliceDept,,188120,3140002,Policedept,San Antonio Police Department,,EO_Mentionee,5dfbb8f7321203dd697a9e48ea7db845,EO_Mentionee__5dfbb8f7321203dd697a9e48ea7db845
uk metropolitan police,UK Metropolitan Police,UK Metropolitan Police,London,london,,PoliceDept,,188121,3140002,Policedept,UK Metropolitan Police,,EO_Mentionee,c6c69d7ce3088ee8a10d362ddf0ce528,EO_Mentionee__c6c69d7ce3088ee8a10d362ddf0ce528
london metropolitan police,London Metropolitan Police,UK Metropolitan Police,London,london,,PoliceDept,,188121,3140002,Policedept,UK Metropolitan Police,,EO_Mentionee,13a3306b6ea8273524bc20b5ee211cdd,EO_Mentionee__13a3306b6ea8273524bc20b5ee211cdd
u.k. metropolitan police,U.K. Metropolitan Police,UK Metropolitan Police,London,london,,PoliceDept,,188121,3140002,Policedept,UK Metropolitan Police,,EO_Mentionee,810baa3af40f02b97132c05e7eaec41d,EO_Mentionee__810baa3af40f02b97132c05e7eaec41d
uk met police,UK Met Police,UK Metropolitan Police,London,london,,PoliceDept,,188121,3140002,Policedept,UK Metropolitan Police,,EO_Mentionee,a0da8c1bc5ba4615a5c8985ce533f759,EO_Mentionee__a0da8c1bc5ba4615a5c8985ce533f759
london met police,London Met Police,UK Metropolitan Police,London,london,,PoliceDept,,188121,3140002,Policedept,UK Metropolitan Police,,EO_Mentionee,7fedfd5c4f6b6e42ce8bd6ead0643975,EO_Mentionee__7fedfd5c4f6b6e42ce8bd6ead0643975
u.k. met police,U.K. Met Police,UK Metropolitan Police,London,london,,PoliceDept,,188121,3140002,Policedept,UK Metropolitan Police,,EO_Mentionee,63f071a21385fefaca3a4825dba485de,EO_Mentionee__63f071a21385fefaca3a4825dba485de
metpoliceuk,metpoliceuk,UK Metropolitan Police,London,london,,PoliceDept,,188121,3140002,Policedept,UK Metropolitan Police,,EO_Mentionee,8c5c6fe84acd4511ea4f00064d98bfc9,EO_Mentionee__8c5c6fe84acd4511ea4f00064d98bfc9
city of london police,City of London Police,City of London Police Department,London,london,,PoliceDept,,188121,3140002,Policedept,City of London Police Department,,EO_Mentionee,d21bd44e03aa1270572be41265a4e491,EO_Mentionee__d21bd44e03aa1270572be41265a4e491
citypolice,CityPolice,City of London Police Department,London,london,,PoliceDept,,188121,3140002,Policedept,City of London Police Department,,EO_Mentionee,4094a10376d636bc28bd7cd9bfb25b93,EO_Mentionee__4094a10376d636bc28bd7cd9bfb25b93
toronto police,Toronto Police,Toronto Police Service,Toronto,toronto,,PoliceDept,,188121,3140002,Policedept,Toronto Police Service,,EO_Mentionee,d3caffe0b08ceab85a4b085ed4dc2e8e,EO_Mentionee__d3caffe0b08ceab85a4b085ed4dc2e8e
torontopolice,TorontoPolice,Toronto Police Service,Toronto,toronto,,PoliceDept,,188121,3140002,Policedept,Toronto Police Service,,EO_Mentionee,95400f49fff83374d1b7e1ea616bb5e0,EO_Mentionee__95400f49fff83374d1b7e1ea616bb5e0
toronto pd,Toronto PD,Toronto Police Service,Toronto,toronto,,PoliceDept,,188121,3140002,Policedept,Toronto Police Service,,EO_Mentionee,7be03218013d3af69683bfd9c6729de4,EO_Mentionee__7be03218013d3af69683bfd9c6729de4
ottawa police,Ottawa Police,Ottawa Police Service,Ottawa,ottawa,,PoliceDept,,188121,3140002,Policedept,Ottawa Police Service,,EO_Mentionee,544c8235c606ce69fecb6061c0ca4296,EO_Mentionee__544c8235c606ce69fecb6061c0ca4296
