keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
chris coons,chris coons,US Senator Coons,Washington,washington,US Senators,,188285,,UsSenators,US Senator Coons,,dgm_USSenate,a5f72fe2b513681c4951dd144492b1e7,dgm_USSenate__a5f72fe2b513681c4951dd144492b1e7
patrick leahy,patrick leahy,US Senator Leahy,Washington,washington,US Senators,,188285,,UsSenators,US Senator Leahy,,dgm_USSenate,bb8e8ddd66e524778f0f13fd120ab315,dgm_USSenate__bb8e8ddd66e524778f0f13fd120ab315
doug jones,doug jones,Former US Senator Jones,Washington,washington,US Senators,,188285,,UsSenators,Former US Senator Jones,,dgm_USSenate,87427b9eddb815fa0ab221f28605dcbf,dgm_USSenate__87427b9eddb815fa0ab221f28605dcbf
jacky rosen,jacky rosen,US Senator Rosen,Washington,washington,US Senators,,188285,,UsSenators,US Senator Rosen,,dgm_USSenate,61415a1c36b0a644f8a9e09a702c21e4,dgm_USSenate__61415a1c36b0a644f8a9e09a702c21e4
tom udall,tom udall,US Senator Udall,Washington,washington,US Senators,,188285,,UsSenators,US Senator Udall,,dgm_USSenate,5031394318f2b23b10cfe0a06004e9c1,dgm_USSenate__5031394318f2b23b10cfe0a06004e9c1
marco rubio,marco rubio,US Senator Rubio,Washington,washington,US Senators,,188285,,UsSenators,US Senator Rubio,,dgm_USSenate,43cfe83862eb06b3c408f45b64e9584f,dgm_USSenate__43cfe83862eb06b3c408f45b64e9584f
john thune,john thune,US Senator Thune,Washington,washington,US Senators,,188285,,UsSenators,US Senator Thune,,dgm_USSenate,88e13a6485c7a679a104848108544347,dgm_USSenate__88e13a6485c7a679a104848108544347
ben sasse,ben sasse,US Senator Sasse,Washington,washington,US Senators,,188285,,UsSenators,US Senator Sasse,,dgm_USSenate,1b8caf449f6ad2b1cad26a9a008174e9,dgm_USSenate__1b8caf449f6ad2b1cad26a9a008174e9
roy blunt,roy blunt,US Senator Blunt,Washington,washington,US Senators,,188285,,UsSenators,US Senator Blunt,,dgm_USSenate,4bce1699ba09280717825241c9eb48bb,dgm_USSenate__4bce1699ba09280717825241c9eb48bb
senator moran,senator moran,US Senator Moran,Washington,washington,US Senators,,188285,,UsSenators,US Senator Moran,,dgm_USSenate,1d6ec1023fa593547385d9ebbe1d4291,dgm_USSenate__1d6ec1023fa593547385d9ebbe1d4291
senator kaine,senator kaine,US Senator Kaine,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kaine,,dgm_USSenate,763824399501bf2e665f3d648d33f204,dgm_USSenate__763824399501bf2e665f3d648d33f204
senator braun,senator braun,US Senator Braun,Washington,washington,US Senators,,188285,,UsSenators,US Senator Braun,,dgm_USSenate,875dc323d3daa245523065c1ee4bec97,dgm_USSenate__875dc323d3daa245523065c1ee4bec97
senator young,senator young,US Senator Young,Washington,washington,US Senators,,188285,,UsSenators,US Senator Young,,dgm_USSenate,208616b850db762012d447761e1cacbd,dgm_USSenate__208616b850db762012d447761e1cacbd
senator ernst,senator ernst,US Senator Ernst,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ernst,,dgm_USSenate,0f9b13a13df7ed8fba31080ccb6b0ce5,dgm_USSenate__0f9b13a13df7ed8fba31080ccb6b0ce5
