keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alexpadilla4ca,alexpadilla4ca,US Senator Alex Padilla,Washington,washington,US Senators,,188285,,UsSenators,US Senator Alex Padilla,,dgm_USSenate,9572ff045260452abdd11bc378475bd1,dgm_USSenate__9572ff045260452abdd11bc378475bd1
alex padilla,alex padilla,US Senator Alex Padilla,Washington,washington,US Senators,,188285,,UsSenators,US Senator Alex Padilla,,dgm_USSenate,9572ff045260452abdd11bc378475bd1,dgm_USSenate__9572ff045260452abdd11bc378475bd1
alexpadilla,alexpadilla,US Senator Alex Padilla,Washington,washington,US Senators,,188285,,UsSenators,US Senator Alex Padilla,,dgm_USSenate,9572ff045260452abdd11bc378475bd1,dgm_USSenate__9572ff045260452abdd11bc378475bd1
dan sullivan,dan sullivan,US Senator Sullivan,Washington,washington,US Senators,,188285,,UsSenators,US Senator Sullivan,,dgm_USSenate,baa276b458b98f48b930a238a111843f,dgm_USSenate__baa276b458b98f48b930a238a111843f
dansullivan,dansullivan,US Senator Sullivan,Washington,washington,US Senators,,188285,,UsSenators,US Senator Sullivan,,dgm_USSenate,baa276b458b98f48b930a238a111843f,dgm_USSenate__baa276b458b98f48b930a238a111843f
ron johnson,ron johnson,US Senator Ron Johnson,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ron Johnson,,dgm_USSenate,a7ab06c9640d2ee187f8110100ccbab3,dgm_USSenate__a7ab06c9640d2ee187f8110100ccbab3
ronjohnson,ronjohnson,US Senator Ron Johnson,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ron Johnson,,dgm_USSenate,a7ab06c9640d2ee187f8110100ccbab3,dgm_USSenate__a7ab06c9640d2ee187f8110100ccbab3
ttuberville,ttuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
sentuberville,sentuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
captmarkkelly,captmarkkelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
senmarkkelly,senmarkkelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
hickenlooper,hickenlooper,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
senatorhick,senatorhick,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
ossoff,ossoff,US Senator Ossoff,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ossoff,,dgm_USSenate,32df3de11d5c6b90891dbd5c19e3e4a6,dgm_USSenate__32df3de11d5c6b90891dbd5c19e3e4a6
reverendwarnock,reverendwarnock,US Senator Warnock,Washington,washington,US Senators,,188285,,UsSenators,US Senator Warnock,,dgm_USSenate,bf5d4f41a967a898d27b73bb196eccc4,dgm_USSenate__bf5d4f41a967a898d27b73bb196eccc4
billhagertytn,billhagertytn,US Senator Hagerty,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hagerty,,dgm_USSenate,fc74ff0326765267c7e8c88c9ead3e0c,dgm_USSenate__fc74ff0326765267c7e8c88c9ead3e0c
senatorhagerty,senatorhagerty,US Senator Hagerty,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hagerty,,dgm_USSenate,fc74ff0326765267c7e8c88c9ead3e0c,dgm_USSenate__fc74ff0326765267c7e8c88c9ead3e0c
cynthiamlummis,cynthiamlummis,US Senator Lummis,Washington,washington,US Senators,,188285,,UsSenators,US Senator Lummis,,dgm_USSenate,d1b163833edd4eeb618025e2e79fb76c,dgm_USSenate__d1b163833edd4eeb618025e2e79fb76c
senlummis,senlummis,US Senator Lummis,Washington,washington,US Senators,,188285,,UsSenators,US Senator Lummis,,dgm_USSenate,d1b163833edd4eeb618025e2e79fb76c,dgm_USSenate__d1b163833edd4eeb618025e2e79fb76c
thomas hawley tuberville,thomas hawley tuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
thomas tuberville,thomas tuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
thomas h. tuberville,thomas h. tuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
tom tuberville,tom tuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
senator tuberville,senator tuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
sen. tuberville,sen. tuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
sen tuberville,sen tuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
tommy tuberville,tommy tuberville,US Senator Tuberville,Washington,washington,US Senators,,188285,,UsSenators,US Senator Tuberville,,dgm_USSenate,d1806d3841622f936b276d09ed05f6cc,dgm_USSenate__d1806d3841622f936b276d09ed05f6cc
mark kelly,mark kelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
captain mark kelly,captain mark kelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
cap. mark kelly,cap. mark kelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
senator kelly,senator kelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
sen. kelly,sen. kelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
sen kelly,sen kelly,US Senator Kelly,Washington,washington,US Senators,,188285,,UsSenators,US Senator Kelly,,dgm_USSenate,7104256651898d0311227d115f5ce01c,dgm_USSenate__7104256651898d0311227d115f5ce01c
senator padilla,senator padilla,US Senator Padilla,Washington,washington,US Senators,,188285,,UsSenators,US Senator Padilla,,dgm_USSenate,43dace846319d4ef830c37c9169dcba9,dgm_USSenate__43dace846319d4ef830c37c9169dcba9
sen. padilla,sen. padilla,US Senator Padilla,Washington,washington,US Senators,,188285,,UsSenators,US Senator Padilla,,dgm_USSenate,43dace846319d4ef830c37c9169dcba9,dgm_USSenate__43dace846319d4ef830c37c9169dcba9
sen padilla,sen padilla,US Senator Padilla,Washington,washington,US Senators,,188285,,UsSenators,US Senator Padilla,,dgm_USSenate,43dace846319d4ef830c37c9169dcba9,dgm_USSenate__43dace846319d4ef830c37c9169dcba9
john hickenlooper,john hickenlooper,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
senator hickenlooper,senator hickenlooper,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
sen. hickenlooper,sen. hickenlooper,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
sen hickenlooper,sen hickenlooper,US Senator Hickenlooper,Washington,washington,US Senators,,188285,,UsSenators,US Senator Hickenlooper,,dgm_USSenate,8baa32cce2c12716f389485e2252dcef,dgm_USSenate__8baa32cce2c12716f389485e2252dcef
jon ossoff,jon ossoff,US Senator Ossoff,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ossoff,,dgm_USSenate,32df3de11d5c6b90891dbd5c19e3e4a6,dgm_USSenate__32df3de11d5c6b90891dbd5c19e3e4a6
senator ossoff,senator ossoff,US Senator Ossoff,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ossoff,,dgm_USSenate,32df3de11d5c6b90891dbd5c19e3e4a6,dgm_USSenate__32df3de11d5c6b90891dbd5c19e3e4a6
sen. ossoff,sen. ossoff,US Senator Ossoff,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ossoff,,dgm_USSenate,32df3de11d5c6b90891dbd5c19e3e4a6,dgm_USSenate__32df3de11d5c6b90891dbd5c19e3e4a6
sen ossoff,sen ossoff,US Senator Ossoff,Washington,washington,US Senators,,188285,,UsSenators,US Senator Ossoff,,dgm_USSenate,32df3de11d5c6b90891dbd5c19e3e4a6,dgm_USSenate__32df3de11d5c6b90891dbd5c19e3e4a6
raphael gamaliel warnock,raphael gamaliel warnock,US Senator Warnock,Washington,washington,US Senators,,188285,,UsSenators,US Senator Warnock,,dgm_USSenate,bf5d4f41a967a898d27b73bb196eccc4,dgm_USSenate__bf5d4f41a967a898d27b73bb196eccc4
raphael warnock,raphael warnock,US Senator Warnock,Washington,washington,US Senators,,188285,,UsSenators,US Senator Warnock,,dgm_USSenate,bf5d4f41a967a898d27b73bb196eccc4,dgm_USSenate__bf5d4f41a967a898d27b73bb196eccc4
