keyword,caption_name,topic_id,guid,groups,entity_type,.1,.2,.3,.4,.5,.6,.7,.8,.9,.10,.11,.12,.13,.14,.15,.16,.17,.18,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
cosmos 2536,Cosmos 2536 co-orbital anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Cosmos 2536 co-orbital anti-satellite system,,defmin_mentionee,37d27b7eed3e8230ff9aa2e1c6edef4e,defmin_mentionee__bb7e5d5af30938be1ebcbbbcc5f9d5f0
космос 2536,Cosmos 2536 co-orbital anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Cosmos 2536 co-orbital anti-satellite system,,defmin_mentionee,ff00a4bb98d001552bdc48b547bf4679,defmin_mentionee__bb7e5d5af30938be1ebcbbbcc5f9d5f0
cosmos 2542,Cosmos 2542 co-orbital anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Cosmos 2542 co-orbital anti-satellite system,,defmin_mentionee,5b4e460db9a324b1cd2302b7c008b741,defmin_mentionee__074e9f1c2c6d667d8a7b7b44cfd0ee7d
космос 2542,Cosmos 2542 co-orbital anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Cosmos 2542 co-orbital anti-satellite system,,defmin_mentionee,4a721ca9c8fcf8eb2451026b818880f2,defmin_mentionee__074e9f1c2c6d667d8a7b7b44cfd0ee7d
cosmos 2543,Cosmos 2543 co-orbital anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Cosmos 2543 co-orbital anti-satellite system,,defmin_mentionee,34dc0838b9d6d846beef17e3bd6abb49,defmin_mentionee__bf2ff6cea728d6e51e18f44d61f261c8
космос 2543,Cosmos 2543 co-orbital anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Cosmos 2543 co-orbital anti-satellite system,,defmin_mentionee,c522032f7d3e898ffaa4d9b2faeb4aeb,defmin_mentionee__bf2ff6cea728d6e51e18f44d61f261c8
dn-2,Dong Neng-2 anti-satellite missile,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Dong Neng-2 anti-satellite missile,,defmin_mentionee,1f9b2c6b75fd9f0ffbab8cc8d856af5a,defmin_mentionee__394bda7b8b4742c626695a0c57777f24
动能-2,Dong Neng-2 anti-satellite missile,188261;188253;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Dong Neng-2 anti-satellite missile,,defmin_mentionee,50a901801c697b009ab1b16c51547e1d,defmin_mentionee__394bda7b8b4742c626695a0c57777f24
dn-3,Dong Neng-3 anti-satellite missile,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Dong Neng-3 anti-satellite missile,,defmin_mentionee,8dd2e90c8e446b9505e4f0cf3c6ec945,defmin_mentionee__f2422896caa0b9494b96ba46ed15adf7
动能-3,Dong Neng-3 anti-satellite missile,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Dong Neng-3 anti-satellite missile,,defmin_mentionee,c521f1fe2897233798f2463d0c4899e2,defmin_mentionee__f2422896caa0b9494b96ba46ed15adf7
dong-feng 21,Dong-Feng 21 ballistic missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Dong-Feng 21 ballistic missile,,defmin_mentionee,694ae5efebfbf986bd015c7151b6fcb1,defmin_mentionee__7434ec27231441ace2cb675e361c98e4
df-21,Dong-Feng 21 ballistic missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Dong-Feng 21 ballistic missile,,defmin_mentionee,6d070341a1bf2b6b5d0e12675fd44125,defmin_mentionee__7434ec27231441ace2cb675e361c98e4
东风-21,Dong-Feng 21 ballistic missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Dong-Feng 21 ballistic missile,,defmin_mentionee,eac838e8411a26053845d0fab60845f2,defmin_mentionee__7434ec27231441ace2cb675e361c98e4
東風-21,Dong-Feng 21 ballistic missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Dong-Feng 21 ballistic missile,,defmin_mentionee,b60871f65b769d114231309f26fd7517,defmin_mentionee__7434ec27231441ace2cb675e361c98e4
fakel 95m6,Fakel 95M6 anti-satellite missile,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Fakel 95M6 anti-satellite missile,,defmin_mentionee,a5d7075803c35db11a2cc6b6236506f4,defmin_mentionee__e44cfd4fdf7dbefc1509afb7877e2da2
факел 95м6,Fakel 95M6 anti-satellite missile,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Fakel 95M6 anti-satellite missile,,defmin_mentionee,3331eba7b7b4dc2c41cc32a456f999a1,defmin_mentionee__e44cfd4fdf7dbefc1509afb7877e2da2
hq-19,HQ-19 anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-19 anti-ballistic missile interceptor,,defmin_mentionee,79da75aadef37ca0f3732a201bd19761,defmin_mentionee__7342ccf094d519afb83950765d74ab33
red banner-19,HQ-19 anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-19 anti-ballistic missile interceptor,,defmin_mentionee,0839b088b12818a2b30ff22400418d7f,defmin_mentionee__7342ccf094d519afb83950765d74ab33
红旗-19,HQ-19 anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-19 anti-ballistic missile interceptor,,defmin_mentionee,33af3252ac232adeaa355fdaec56e8c5,defmin_mentionee__7342ccf094d519afb83950765d74ab33
紅旗-19,HQ-19 anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-19 anti-ballistic missile interceptor,,defmin_mentionee,210045bceefc4e33dab56d1961eedda9,defmin_mentionee__7342ccf094d519afb83950765d74ab33
hong qi-19,HQ-19 anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-19 anti-ballistic missile interceptor,,defmin_mentionee,35dbb4fccc183af2d3901f65fe91348c,defmin_mentionee__7342ccf094d519afb83950765d74ab33
hq-9,HQ-9 surface to air missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-9 surface to air missile,,defmin_mentionee,bde887b930bb542220d3d73bb90e7c61,defmin_mentionee__3e2272c0983d5c5b647063239de5ca52
red banner-9,HQ-9 surface to air missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-9 surface to air missile,,defmin_mentionee,dd35f36136a706b771470a45795c26ca,defmin_mentionee__3e2272c0983d5c5b647063239de5ca52
红旗-9,HQ-9 surface to air missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-9 surface to air missile,,defmin_mentionee,d92957b00483014ad53c592c9471bc0d,defmin_mentionee__3e2272c0983d5c5b647063239de5ca52
紅旗-9,HQ-9 surface to air missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-9 surface to air missile,,defmin_mentionee,37c37225a4c1698521994ab4e1e69c8b,defmin_mentionee__3e2272c0983d5c5b647063239de5ca52
hong qi-9,HQ-9 surface to air missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,HQ-9 surface to air missile,,defmin_mentionee,3d0d45050e220d0785709bb8f86f1673,defmin_mentionee__3e2272c0983d5c5b647063239de5ca52
naryad,Naryad anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Naryad anti-satellite system,,defmin_mentionee,4015994f704489b8f3476bf0d3bc9048,defmin_mentionee__af1722e8fdf8b5bb0df72d6dbac60d09
14f11,Naryad anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Naryad anti-satellite system,,defmin_mentionee,54a164d92890f903caa9d547a1305833,defmin_mentionee__af1722e8fdf8b5bb0df72d6dbac60d09
часовой,Naryad anti-satellite system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Naryad anti-satellite system,,defmin_mentionee,2775ee810c324a8815323faf01efff75,defmin_mentionee__af1722e8fdf8b5bb0df72d6dbac60d09
prithvi defence vehicle mark-ii,Prithvi Defence Vehicle Mark-II anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Prithvi Defence Vehicle Mark-II anti-ballistic missile interceptor,,defmin_mentionee,dc3c6e26f0d97c83eeff29402089a8ef,defmin_mentionee__d378c465d69bdf5166723e4a9c2d9752
pdv mk 2,Prithvi Defence Vehicle Mark-II anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Prithvi Defence Vehicle Mark-II anti-ballistic missile interceptor,,defmin_mentionee,ebbfe4ea6ea037b5c523938fa586409b,defmin_mentionee__d378c465d69bdf5166723e4a9c2d9752
पृथ्वी एयर डिफेंस,Prithvi Defence Vehicle Mark-II anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Prithvi Defence Vehicle Mark-II anti-ballistic missile interceptor,,defmin_mentionee,6218aab100ba77706b3e550659d8a229,defmin_mentionee__d378c465d69bdf5166723e4a9c2d9752
sc-19,SC-19 anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,SC-19 anti-ballistic missile interceptor,,defmin_mentionee,912be13b1cfc906a462eb8532591b17f,defmin_mentionee__aa3617a0089a917f0e2018ea7ba0b3ec
雙城-19,SC-19 anti-ballistic missile interceptor,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,SC-19 anti-ballistic missile interceptor,,defmin_mentionee,1619872c58a3cc3969f4a472961a0ef5,defmin_mentionee__aa3617a0089a917f0e2018ea7ba0b3ec
sokol-eshelon,Sokol-Eshelon anti-satellite laser weapon,188261;188258;188257,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Sokol-Eshelon anti-satellite laser weapon,,defmin_mentionee,c7e7c8e5a11779a5110ca909c8bb359c,defmin_mentionee__18577feacc6f1471a0afe60ef15bc253
sokol eshelon,Sokol-Eshelon anti-satellite laser weapon,188261;188258;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Sokol-Eshelon anti-satellite laser weapon,,defmin_mentionee,169c95c31fd83c301c2983fbe4b72cd4,defmin_mentionee__18577feacc6f1471a0afe60ef15bc253
сокол-эшелон,Sokol-Eshelon anti-satellite laser weapon,188261;188258;188259,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,Sokol-Eshelon anti-satellite laser weapon,,defmin_mentionee,ab565424f53b1ac45c851cbb84bd916d,defmin_mentionee__18577feacc6f1471a0afe60ef15bc253
100th air refueling wing,US 100th Air Refueling Wing,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Air Refueling Wing,,defmin_mentionee,74da784066004d3777aa6bcc46e77377,defmin_mentionee__3e756f4a6237b4124d49b11bdfdd4e34
100th air refueling wing command post,US 100th Air Refueling Wing Command Post,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Air Refueling Wing Command Post,,defmin_mentionee,2b20dfad9287730731b7291254d8e1ee,defmin_mentionee__0fe84ebe987ce57a81ec45978e3b1596
100th aircraft maintenance squadron,US 100th Aircraft Maintenance Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Aircraft Maintenance Squadron,,defmin_mentionee,aeaf4a216a1c5e03cfabfb936b640c9e,defmin_mentionee__fef4942f0fdc764e4f318a88ddbb1769
100th force support squadron,US 100th Force Support Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Force Support Squadron,,defmin_mentionee,fc7cbd6c4545df963af9912035f4416d,defmin_mentionee__94e08cfc313b7cfe279f4dddd7a563d2
100th logistics readiness squadron,US 100th Logistics Readiness Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Logistics Readiness Squadron,,defmin_mentionee,c8bc0d815ee6191441d3f2c0712df5f2,defmin_mentionee__cdf0044ff75cd68e0a0d8957f0919c18
100th maintenance group,US 100th Maintenance Group,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Maintenance Group,,defmin_mentionee,abcdbf2fa36531fea642ebf0dc5b0a76,defmin_mentionee__6f73845da91ab1aaafb663714492b9d0
100th mission support group,US 100th Mission Support Group,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Mission Support Group,,defmin_mentionee,64420f83781cd2ae8b28a10da7f2e1a4,defmin_mentionee__751758361ab1276b89098d90566733e0
100th operations group,US 100th Operations Group,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Operations Group,,defmin_mentionee,60305d656b6e4d0b5dbfc470c0990b75,defmin_mentionee__163f03455ed34efaa3253808ece4ec16
100th operations support squadron,US 100th Operations Support Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Operations Support Squadron,,defmin_mentionee,d31894e854449e5fd426ac6f0d903890,defmin_mentionee__781ce91f1cc01b9dafb014242d0c3cfc
100th operations support squadron a2,US 100th Operations Support Squadron A2,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Operations Support Squadron A2,,defmin_mentionee,186e2eea8f67c6aba7fe160756083606,defmin_mentionee__1efd1410497f0cc191025ea0709a608a
100th security forces squadron,US 100th Security Forces Squadron,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 100th Security Forces Squadron,,defmin_mentionee,5f359d7055ac3527136c32e482595ce2,defmin_mentionee__5c18b777bb336d3e0f3acb624e696385
101st air refueling wing,US 101st Air Refueling Wing,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Air Refueling Wing,,defmin_mentionee,24de592c6ee781241ad5e122d1d9cd35,defmin_mentionee__60aa7cfc13260b43f2aa1e0d31d39439
101st air refueling wing a2,US 101st Air Refueling Wing A2,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Air Refueling Wing A2,,defmin_mentionee,591d2a261023241368644e6924709204,defmin_mentionee__975ec23038554da2a3ec025fba5bd80b
101st air refueling wing command post,US 101st Air Refueling Wing Command Post,188258,,,command,,,,,,,,,,,,,,,,,,,Command,US 101st Air Refueling Wing Command Post,,defmin_mentionee,a85cbd78aa46d79844812225bd54069b,defmin_mentionee__9326ffb613536addda842d1d2a52df17
