keyword,caption_name,groups,topic_id,entity_type,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
louisianastatepolicetroopi,Louisiana State Police Troop I,slg,188120,,3140002,,Louisiana State Police Troop I,,slg_overlap_terms,9a820232f69aebdce71a71b507fd9209,slg_overlap_terms__9a820232f69aebdce71a71b507fd9209
louisianastatepolicetroope,Louisiana State Police Troop E,slg,188120,,3140002,,Louisiana State Police Troop E,,slg_overlap_terms,22837a5b1e4352f85fb640dcd06a6004,slg_overlap_terms__22837a5b1e4352f85fb640dcd06a6004
louisianastatepolicetroopf,Louisiana State Police Troop F,slg,188120,,3140002,,Louisiana State Police Troop F,,slg_overlap_terms,4d0f5eb2b890370e32dd91a7e84889d1,slg_overlap_terms__4d0f5eb2b890370e32dd91a7e84889d1
louisianastatepolicetroopg,Louisiana State Police Troop G,slg,188120,,3140002,,Louisiana State Police Troop G,,slg_overlap_terms,d8e5d674d224bc655725b290d9650f20,slg_overlap_terms__d8e5d674d224bc655725b290d9650f20
michiganstatepolicebayregion,Michigan State Police Bay Region,slg,188120,,3140002,,Michigan State Police Bay Region,,slg_overlap_terms,adced5a47e8865b41fa4ca0ccb5829a4,slg_overlap_terms__adced5a47e8865b41fa4ca0ccb5829a4
mspmetrodetroit,Michigan State Police Metro Detroit,slg,188120,,3140002,,Michigan State Police Metro Detroit,,slg_overlap_terms,2b7460fca98077616ec5c40ca07dd03f,slg_overlap_terms__2b7460fca98077616ec5c40ca07dd03f
michiganstatepolicemetrodetroit,Michigan State Police Metro Detroit,slg,188120,,3140002,,Michigan State Police Metro Detroit,,slg_overlap_terms,2b7460fca98077616ec5c40ca07dd03f,slg_overlap_terms__2b7460fca98077616ec5c40ca07dd03f
mspnorthernmichigan,Michigan State Police Seventh District,slg,188120,,3140002,,Michigan State Police Seventh District,,slg_overlap_terms,de2bd91ae0d079e6346ccb84414aa577,slg_overlap_terms__de2bd91ae0d079e6346ccb84414aa577
michiganstatepolicenothernmichigan,Michigan State Police Seventh District,slg,188120,,3140002,,Michigan State Police Seventh District,,slg_overlap_terms,de2bd91ae0d079e6346ccb84414aa577,slg_overlap_terms__de2bd91ae0d079e6346ccb84414aa577
mspfirstdistrict,Michigan State Police First District,slg,188120,,3140002,,Michigan State Police First District,,slg_overlap_terms,ca6da70fa155affa7211cf6f41862b62,slg_overlap_terms__ca6da70fa155affa7211cf6f41862b62
michiganstatepolicefirstdistrict,Michigan State Police First District,slg,188120,,3140002,,Michigan State Police First District,,slg_overlap_terms,ca6da70fa155affa7211cf6f41862b62,slg_overlap_terms__ca6da70fa155affa7211cf6f41862b62
mspwestmichigan,Michigan State Police West District,slg,188120,,3140002,,Michigan State Police West District,,slg_overlap_terms,962c4d4b329622863667815486b0940c,slg_overlap_terms__962c4d4b329622863667815486b0940c
michiganstatepolicewest,Michigan State Police West District,slg,188120,,3140002,,Michigan State Police West District,,slg_overlap_terms,962c4d4b329622863667815486b0940c,slg_overlap_terms__962c4d4b329622863667815486b0940c
mspsouthwestmichigan,Michigan State Police Southwest District,slg,188120,,3140002,,Michigan State Police Southwest District,,slg_overlap_terms,a35b6a0f8782c28145763117749458c3,slg_overlap_terms__a35b6a0f8782c28145763117749458c3
michiganstatepolicesouthwestmichigan,Michigan State Police Southwest District,slg,188120,,3140002,,Michigan State Police Southwest District,,slg_overlap_terms,a35b6a0f8782c28145763117749458c3,slg_overlap_terms__a35b6a0f8782c28145763117749458c3
mspeighthdistrict,Michigan State Police Eighth District,slg,188120,,3140002,,Michigan State Police Eighth District,,slg_overlap_terms,91b2ae9cc55ec9fc852714afed987717,slg_overlap_terms__91b2ae9cc55ec9fc852714afed987717
