keyword,keyword_upper,caption_name,location,location_lower,type,topic_id,focus_id,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nycdot,nycdot,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,,Slgagency,New York City Department of Transportation,,dgm_LN_Mentionee_Int,b4a39975c63ae83a357075cd9e96a1fb,dgm_LN_Mentionee_Int__b4a39975c63ae83a357075cd9e96a1fb
nyc_dot,NYC_DOT,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,,Slgagency,New York City Department of Transportation,,dgm_LN_Mentionee_Int,b4a39975c63ae83a357075cd9e96a1fb,dgm_LN_Mentionee_Int__b4a39975c63ae83a357075cd9e96a1fb
new york city department of transportation,New York City Department of Transportation,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,,Slgagency,New York City Department of Transportation,,dgm_LN_Mentionee_Int,b4a39975c63ae83a357075cd9e96a1fb,dgm_LN_Mentionee_Int__b4a39975c63ae83a357075cd9e96a1fb
nycschools,NYCSchools,New York City Department of Education,NYC,nyc,SLGAgency,188114,3140002,,Slgagency,New York City Department of Education,,dgm_LN_Mentionee_Int,2ae2b3f7daa86914eb1a23ef13c3a528,dgm_LN_Mentionee_Int__2ae2b3f7daa86914eb1a23ef13c3a528
new york city department of education,New York City Department of Education,New York City Department of Education,NYC,nyc,SLGAgency,188114,3140002,,Slgagency,New York City Department of Education,,dgm_LN_Mentionee_Int,2ae2b3f7daa86914eb1a23ef13c3a528,dgm_LN_Mentionee_Int__2ae2b3f7daa86914eb1a23ef13c3a528
dsny,dsny,New York City Department of Sanitation,NYC,nyc,SLGAgency,188120,3140002,,Slgagency,New York City Department of Sanitation,,dgm_LN_Mentionee_Int,8fff524f158204ca1d7b28144dedf097,dgm_LN_Mentionee_Int__8fff524f158204ca1d7b28144dedf097
new york city department of sanitation,New York City Department of Sanitation,New York City Department of Sanitation,NYC,nyc,SLGAgency,188120,3140002,,Slgagency,New York City Department of Sanitation,,dgm_LN_Mentionee_Int,8fff524f158204ca1d7b28144dedf097,dgm_LN_Mentionee_Int__8fff524f158204ca1d7b28144dedf097
new york city department of homeless services,New York City Department of Homeless Services,New York City Department of Homeless Services,NYC,nyc,SLGAgency,188289,3140002,,Slgagency,New York City Department of Homeless Services,,dgm_LN_Mentionee_Int,912987c5cfeb898c8387088a038ee8ab,dgm_LN_Mentionee_Int__912987c5cfeb898c8387088a038ee8ab
new york city housing authority,New York City Housing Authority,New York City Housing Authority,NYC,nyc,SLGAgency,188289,3140002,,Slgagency,New York City Housing Authority,,dgm_LN_Mentionee_Int,c998e0507fea807d5a7d194e4eae1a7f,dgm_LN_Mentionee_Int__c998e0507fea807d5a7d194e4eae1a7f
nycha,NYCHA,New York City Housing Authority,NYC,nyc,SLGAgency,188289,3140002,,Slgagency,New York City Housing Authority,,dgm_LN_Mentionee_Int,c998e0507fea807d5a7d194e4eae1a7f,dgm_LN_Mentionee_Int__c998e0507fea807d5a7d194e4eae1a7f
new york city department of environmental protection,New York City Department of Environmental Protection,New York City Department of Environmental Protection,NYC,nyc,SLGAgency,188133,3140002,,Slgagency,New York City Department of Environmental Protection,,dgm_LN_Mentionee_Int,28982d9bf37ff0063f731a01eb74a75f,dgm_LN_Mentionee_Int__28982d9bf37ff0063f731a01eb74a75f
nycdep,nycdep,New York City Department of Environmental Protection,NYC,nyc,SLGAgency,188133,3140002,,Slgagency,New York City Department of Environmental Protection,,dgm_LN_Mentionee_Int,28982d9bf37ff0063f731a01eb74a75f,dgm_LN_Mentionee_Int__28982d9bf37ff0063f731a01eb74a75f
new york city water board,New York City Water Board,New York City Water Board,NYC,nyc,SLGAgency,188242,3140002,,Slgagency,New York City Water Board,,dgm_LN_Mentionee_Int,a7641565934e8ddf6b5fbcfeed0ffeef,dgm_LN_Mentionee_Int__a7641565934e8ddf6b5fbcfeed0ffeef
nychealthy,nycHealthy,New York City Department of Health and Mental Hygiene,NYC,nyc,SLGAgency,188124,3140002,,Slgagency,New York City Department of Health and Mental Hygiene,,dgm_LN_Mentionee_Int,84f4bc296fbdf93ec5b47d9608e2f478,dgm_LN_Mentionee_Int__84f4bc296fbdf93ec5b47d9608e2f478
new york city department of health and mental hygiene,New York City Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,NYC,nyc,SLGAgency,188124,3140002,,Slgagency,New York City Department of Health and Mental Hygiene,,dgm_LN_Mentionee_Int,84f4bc296fbdf93ec5b47d9608e2f478,dgm_LN_Mentionee_Int__84f4bc296fbdf93ec5b47d9608e2f478
nycparks,NYCParks,New York City Department of Parks and Recreation,NYC,nyc,SLGAgency,188120,3140002,,Slgagency,New York City Department of Parks and Recreation,,dgm_LN_Mentionee_Int,48a8786458ef200632e93ea49650f097,dgm_LN_Mentionee_Int__48a8786458ef200632e93ea49650f097
new york city department of parks and recreation,New York City Department of Parks and Recreation,New York City Department of Parks and Recreation,NYC,nyc,SLGAgency,188120,3140002,,Slgagency,New York City Department of Parks and Recreation,,dgm_LN_Mentionee_Int,48a8786458ef200632e93ea49650f097,dgm_LN_Mentionee_Int__48a8786458ef200632e93ea49650f097
los angeles department of parks and recreation,Los Angeles Department of Parks and Recreation,Los Angeles Department of Parks and Recreation,Los Angeles,los angeles,SLGAgency,188120,3140002,,Slgagency,Los Angeles Department of Parks and Recreation,,dgm_LN_Mentionee_Int,a4058c2d653c42ddc97b89ef635c2260,dgm_LN_Mentionee_Int__a4058c2d653c42ddc97b89ef635c2260
los angeles county department of public health,Los Angeles County Department of Public Health,Los Angeles County Department of Public Health,Los Angeles,los angeles,SLGAgency,188124,3140002,,Slgagency,Los Angeles County Department of Public Health,,dgm_LN_Mentionee_Int,188d19def6269e8125d270918c7196de,dgm_LN_Mentionee_Int__188d19def6269e8125d270918c7196de
lapublichealth,lapublichealth,Los Angeles County Department of Public Health,Los Angeles,los angeles,SLGAgency,188124,3140002,,Slgagency,Los Angeles County Department of Public Health,,dgm_LN_Mentionee_Int,188d19def6269e8125d270918c7196de,dgm_LN_Mentionee_Int__188d19def6269e8125d270918c7196de
los angeles department of transportation,Los Angeles Department of Transportation,Los Angeles Department of Transportation,Los Angeles,los angeles,SLGAgency,188120,3140002,,Slgagency,Los Angeles Department of Transportation,,dgm_LN_Mentionee_Int,0eb5576aa3694823ac33c20502a72853,dgm_LN_Mentionee_Int__0eb5576aa3694823ac33c20502a72853
ladot,ladot,Los Angeles Department of Transportation,Los Angeles,los angeles,SLGAgency,188120,3140002,,Slgagency,Los Angeles Department of Transportation,,dgm_LN_Mentionee_Int,0eb5576aa3694823ac33c20502a72853,dgm_LN_Mentionee_Int__0eb5576aa3694823ac33c20502a72853
los angeles homeless services authority,Los Angeles Homeless Services Authority,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,,Slgagency,Los Angeles Homeless Services Authority,,dgm_LN_Mentionee_Int,f31865c07a184fefe5b12922528701bc,dgm_LN_Mentionee_Int__f31865c07a184fefe5b12922528701bc
lahsa,LAHSA,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,,Slgagency,Los Angeles Homeless Services Authority,,dgm_LN_Mentionee_Int,f31865c07a184fefe5b12922528701bc,dgm_LN_Mentionee_Int__f31865c07a184fefe5b12922528701bc
lahomeless,LAHomeless,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,,Slgagency,Los Angeles Homeless Services Authority,,dgm_LN_Mentionee_Int,f31865c07a184fefe5b12922528701bc,dgm_LN_Mentionee_Int__f31865c07a184fefe5b12922528701bc
los angeles county office of education,Los Angeles County Office of Education,Los Angeles County Office of Education,Los Angeles,los angeles,SLGAgency,188114,3140002,,Slgagency,Los Angeles County Office of Education,,dgm_LN_Mentionee_Int,a6f433d9fdb4919be2e80a01997962ad,dgm_LN_Mentionee_Int__a6f433d9fdb4919be2e80a01997962ad
los angeles department of water and power,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,Los Angeles,los angeles,SLGAgency,188241;188242,3140002,,Slgagency,Los Angeles Department of Water and Power,,dgm_LN_Mentionee_Int,6021d6dc045fe182d8c3d835167ef1d6,dgm_LN_Mentionee_Int__6021d6dc045fe182d8c3d835167ef1d6
ladwp,ladwp,Los Angeles Department of Water and Power,Los Angeles,los angeles,SLGAgency,188241;188242,3140002,,Slgagency,Los Angeles Department of Water and Power,,dgm_LN_Mentionee_Int,6021d6dc045fe182d8c3d835167ef1d6,dgm_LN_Mentionee_Int__6021d6dc045fe182d8c3d835167ef1d6
los angeles housing authority,Los Angeles Housing Authority,Los Angeles Housing Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,,Slgagency,Los Angeles Housing Authority,,dgm_LN_Mentionee_Int,b6d4d84c265765c2dabe4617207ed999,dgm_LN_Mentionee_Int__b6d4d84c265765c2dabe4617207ed999
hacla,hacla,Los Angeles Housing Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,,Slgagency,Los Angeles Housing Authority,,dgm_LN_Mentionee_Int,b6d4d84c265765c2dabe4617207ed999,dgm_LN_Mentionee_Int__b6d4d84c265765c2dabe4617207ed999
washington dc department of transportation,Washington DC Department of Transportation,"Washington, DC Department of Transportation",DC,dc,SLGAgency,188120,3140002,,Slgagency,"Washington, DC Department of Transportation",,dgm_LN_Mentionee_Int,6888af37b1476f3a79a306b554a47012,dgm_LN_Mentionee_Int__6888af37b1476f3a79a306b554a47012
washington dc department of energy & environment,Washington DC Department of Energy & Environment,"Washington, DC Department of Energy and Environment",DC,dc,SLGAgency,188133,3140002,,Slgagency,"Washington, DC Department of Energy and Environment",,dgm_LN_Mentionee_Int,40c6a712d96fbf0eef0ef17a9e8c3283,dgm_LN_Mentionee_Int__40c6a712d96fbf0eef0ef17a9e8c3283
doee,doee,"Washington, DC Department of Energy and Environment",DC,dc,SLGAgency,188133,3140002,,Slgagency,"Washington, DC Department of Energy and Environment",,dgm_LN_Mentionee_Int,40c6a712d96fbf0eef0ef17a9e8c3283,dgm_LN_Mentionee_Int__40c6a712d96fbf0eef0ef17a9e8c3283
washington dc housing authority,Washington DC Housing Authority,"Washington, DC Housing Authority",DC,dc,SLGAgency,188289,3140002,,Slgagency,"Washington, DC Housing Authority",,dgm_LN_Mentionee_Int,58c2aa71f552aeb5ea3a3495b5c070aa,dgm_LN_Mentionee_Int__58c2aa71f552aeb5ea3a3495b5c070aa
washington dc department of public works,Washington DC Department of Public Works,"Washington, DC Department of Public Works",DC,dc,SLGAgency,188120,3140002,,Slgagency,"Washington, DC Department of Public Works",,dgm_LN_Mentionee_Int,8ea1adb7b4e43a16738a32a575c95a4c,dgm_LN_Mentionee_Int__8ea1adb7b4e43a16738a32a575c95a4c
washington dc department of water,Washington DC Department of Water,"Washington, DC Department of Water",DC,dc,SLGAgency,188242,3140002,,Slgagency,"Washington, DC Department of Water",,dgm_LN_Mentionee_Int,f9291bae886aaa709ee665ebd1b6844b,dgm_LN_Mentionee_Int__f9291bae886aaa709ee665ebd1b6844b
dallas department of parks and recreation,Dallas Department of Parks and Recreation,Dallas Department of Parks and Recreation,Dallas,dallas,SLGAgency,188120,3140002,,Slgagency,Dallas Department of Parks and Recreation,,dgm_LN_Mentionee_Int,2293668ba95d55afe4702506d7ec4c10,dgm_LN_Mentionee_Int__2293668ba95d55afe4702506d7ec4c10
dallas county department of health and human services,Dallas County Department of Health and Human Services,Dallas County Department of Health and Human Services,Dallas,dallas,SLGAgency,188124,3140002,,Slgagency,Dallas County Department of Health and Human Services,,dgm_LN_Mentionee_Int,260bc3a80fbe95b8f31d2d70a5784b68,dgm_LN_Mentionee_Int__260bc3a80fbe95b8f31d2d70a5784b68
dallas department of transportation,Dallas Department of Transportation,Dallas Department of Transportation,Dallas,dallas,SLGAgency,188120,3140002,,Slgagency,Dallas Department of Transportation,,dgm_LN_Mentionee_Int,1c5ae901f2e239aee781c40ee6a5ea2d,dgm_LN_Mentionee_Int__1c5ae901f2e239aee781c40ee6a5ea2d
dallas independent school district,Dallas Independent School District,Dallas Independent School District,Dallas,dallas,SLGAgency,188114,3140002,,Slgagency,Dallas Independent School District,,dgm_LN_Mentionee_Int,475c863d2e6164d06063407996fe8fdf,dgm_LN_Mentionee_Int__475c863d2e6164d06063407996fe8fdf
dallas housing authority,Dallas Housing Authority,Dallas Housing Authority,Dallas,dallas,SLGAgency,188120,3140002,,Slgagency,Dallas Housing Authority,,dgm_LN_Mentionee_Int,61e8b38f736451566d489c48d0292fa8,dgm_LN_Mentionee_Int__61e8b38f736451566d489c48d0292fa8
dallas department of sanitation,Dallas Department of Sanitation,Dallas Department of Sanitation,Dallas,dallas,SLGAgency,188120,3140002,,Slgagency,Dallas Department of Sanitation,,dgm_LN_Mentionee_Int,9d78036b46fb3ee6f3b0bf870d97b1b7,dgm_LN_Mentionee_Int__9d78036b46fb3ee6f3b0bf870d97b1b7
dallas department of water utilities,Dallas Department of Water Utilities,Dallas Department of Water,Dallas,dallas,SLGAgency,188242,3140002,,Slgagency,Dallas Department of Water,,dgm_LN_Mentionee_Int,6ed6fa18601503ab832b2f3aa7a1dd45,dgm_LN_Mentionee_Int__6ed6fa18601503ab832b2f3aa7a1dd45
houston department of parks and recreation,Houston Department of Parks and Recreation,Houston Department of Parks and Recreation,Houston,houston,SLGAgency,188120,3140002,,Slgagency,Houston Department of Parks and Recreation,,dgm_LN_Mentionee_Int,f5a9ec76a4ea33d1da5a2fb9b5faeeea,dgm_LN_Mentionee_Int__f5a9ec76a4ea33d1da5a2fb9b5faeeea
houston health department,Houston Health Department,Houston Department of Health,Houston,houston,SLGAgency,188124,3140002,,Slgagency,Houston Department of Health,,dgm_LN_Mentionee_Int,33355821017ebd299bcd9e233db4c431,dgm_LN_Mentionee_Int__33355821017ebd299bcd9e233db4c431
houston department of housing and community development,Houston Department of Housing and Community Development,Houston Department of Housing and Community Development,Houston,houston,SLGAgency,188289,3140002,,Slgagency,Houston Department of Housing and Community Development,,dgm_LN_Mentionee_Int,ffe75b96a07975b080e74e76477aabd2,dgm_LN_Mentionee_Int__ffe75b96a07975b080e74e76477aabd2
miamiparks,miamiparks,Miami Department of Parks and Recreation,Miami,miami,SLGAgency,188120,3140002,,Slgagency,Miami Department of Parks and Recreation,,dgm_LN_Mentionee_Int,a19c5a91fab72349d5279022f6a28f0f,dgm_LN_Mentionee_Int__a19c5a91fab72349d5279022f6a28f0f
miami department of parks and recreation,Miami Department of parks and Recreation,Miami Department of Parks and Recreation,Miami,miami,SLGAgency,188120,3140002,,Slgagency,Miami Department of Parks and Recreation,,dgm_LN_Mentionee_Int,a19c5a91fab72349d5279022f6a28f0f,dgm_LN_Mentionee_Int__a19c5a91fab72349d5279022f6a28f0f
miami-dade county department of health,Miami-Dade County Department of Health,Miami-Dade County Department of Health,Miami,miami,SLGAgency,188124,3140002,,Slgagency,Miami-Dade County Department of Health,,dgm_LN_Mentionee_Int,3d1cba7fa9d73062fa5c392f2a68230d,dgm_LN_Mentionee_Int__3d1cba7fa9d73062fa5c392f2a68230d
miami-dade county department of transportation,Miami-Dade County Department of Transportation,Miami-Dade County Department of Transportation,Miami,miami,SLGAgency,188120,3140002,,Slgagency,Miami-Dade County Department of Transportation,,dgm_LN_Mentionee_Int,a4bc88f1f215e784cd980234a8d24058,dgm_LN_Mentionee_Int__a4bc88f1f215e784cd980234a8d24058
miami-dade county public schools,Miami-Dade County Public Schools,Miami-Dade County Public Schools,Miami,miami,SLGAgency,188114,3140002,,Slgagency,Miami-Dade County Public Schools,,dgm_LN_Mentionee_Int,082dafeab22f0b83738f1a761205384e,dgm_LN_Mentionee_Int__082dafeab22f0b83738f1a761205384e
miami-dade county department of water and sewer,Miami-Dade County Department of Water and Sewer,Miami-Dade County Department of Water and Sewer,Miami,miami,SLGAgency,188242,3140002,,Slgagency,Miami-Dade County Department of Water and Sewer,,dgm_LN_Mentionee_Int,bfb46abbb53daac09441fc7c01df2b70,dgm_LN_Mentionee_Int__bfb46abbb53daac09441fc7c01df2b70
philadelphia department of parks and recreation,Philadelphia Department of Parks and Recreation,Philadelphia Department of Parks and Recreation,Philadelphia,philadelphia,SLGAgency,188120,3140002,,Slgagency,Philadelphia Department of Parks and Recreation,,dgm_LN_Mentionee_Int,583a6376e829b3bd1ad529535f050bb1,dgm_LN_Mentionee_Int__583a6376e829b3bd1ad529535f050bb1
philadelphia department of public health,Philadelphia Department of Public Health,Philadelphia Department of Public Health,Philadelphia,philadelphia,SLGAgency,188124,3140002,,Slgagency,Philadelphia Department of Public Health,,dgm_LN_Mentionee_Int,5752aec9cd726a52d2543e4343fb113c,dgm_LN_Mentionee_Int__5752aec9cd726a52d2543e4343fb113c
"philadelphia office of transportation, infrastructure and sustainability","Philadelphia Office of Transportation, Infrastructure and Sustainability","Philadelphia Office of Transportation, Infrastructure and Sustainability",Philadelphia,philadelphia,SLGAgency,188120,3140002,,Slgagency,"Philadelphia Office of Transportation, Infrastructure and Sustainability",,dgm_LN_Mentionee_Int,c1dd95e723bd10194e6051a36587dc86,dgm_LN_Mentionee_Int__c1dd95e723bd10194e6051a36587dc86
philadelphia housing authority,Philadelphia Housing Authority,Philadelphia Housing Authority,Philadelphia,philadelphia,SLGAgency,188289,3140002,,Slgagency,Philadelphia Housing Authority,,dgm_LN_Mentionee_Int,2c683b94e7cfca9b5123131464500524,dgm_LN_Mentionee_Int__2c683b94e7cfca9b5123131464500524
detroit department of parks and recreation,Detroit Department of Parks and Recreation,Detroit Department of Parks and Recreation,Detroit,detroit,SLGAgency,188120,3140002,,Slgagency,Detroit Department of Parks and Recreation,,dgm_LN_Mentionee_Int,d65d17f231e0865c978f24d40707815c,dgm_LN_Mentionee_Int__d65d17f231e0865c978f24d40707815c
detroit health department,Detroit Health Department,Detroit Health Department,Detroit,detroit,SLGAgency,188124,3140002,,Slgagency,Detroit Health Department,,dgm_LN_Mentionee_Int,02e1e6d3dbc20535a1ee21b13c0fdf44,dgm_LN_Mentionee_Int__02e1e6d3dbc20535a1ee21b13c0fdf44
detroit housing and revitalization department,Detroit Housing and Revitalization Department,Detroit Housing and Revitalization Department,Detroit,detroit,SLGAgency,188289,3140002,,Slgagency,Detroit Housing and Revitalization Department,,dgm_LN_Mentionee_Int,d663237bf8c0fd50286390c420e24c1e,dgm_LN_Mentionee_Int__d663237bf8c0fd50286390c420e24c1e
detroit water and sewerage department,Detroit Water and Sewerage Department,Detroit Department of Water and Sewerage,Detroit,detroit,SLGAgency,188242,3140002,,Slgagency,Detroit Department of Water and Sewerage,,dgm_LN_Mentionee_Int,3fa7a7b8adaf901fb3574f56bc2ac3cb,dgm_LN_Mentionee_Int__3fa7a7b8adaf901fb3574f56bc2ac3cb
"detroit buildings, safety, engineering and environmental department","Detroit Buildings, Safety, Engineering and Environmental Department","Detroit Buildings, Safety, Engineering and Environmental Department",Detroit,detroit,SLGAgency,188120,3140002,,Slgagency,"Detroit Buildings, Safety, Engineering and Environmental Department",,dgm_LN_Mentionee_Int,cfcd102344e641d901e87cd8b376d4fb,dgm_LN_Mentionee_Int__cfcd102344e641d901e87cd8b376d4fb
atlanta department of parks and recreation,Atlanta Department of Parks and Recreation,Atlanta Department of Parks and Recreation,Atlanta,atlanta,SLGAgency,188120,3140002,,Slgagency,Atlanta Department of Parks and Recreation,,dgm_LN_Mentionee_Int,4cc9d286bf1a2e305370ed1391d3629b,dgm_LN_Mentionee_Int__4cc9d286bf1a2e305370ed1391d3629b
atlanta department of public works,Atlanta Department of Public Works,Atlanta Department of Public Works,Atlanta,atlanta,SLGAgency,188120,3140002,,Slgagency,Atlanta Department of Public Works,,dgm_LN_Mentionee_Int,cd470b804c588dc6b6e50317a404d705,dgm_LN_Mentionee_Int__cd470b804c588dc6b6e50317a404d705
atlanta department of transportation,Atlanta Department of Transportation,Atlanta Department of Transportation,Atlanta,atlanta,SLGAgency,188120,3140002,,Slgagency,Atlanta Department of Transportation,,dgm_LN_Mentionee_Int,8a5766a62750dba0b13664c015a7b11b,dgm_LN_Mentionee_Int__8a5766a62750dba0b13664c015a7b11b
atlanta department of city planning,Atlanta Department of City Planning,Atlanta Department of City Planning,Atlanta,atlanta,SLGAgency,188120,3140002,,Slgagency,Atlanta Department of City Planning,,dgm_LN_Mentionee_Int,faf0d43f28532e93c9aef7e9bfb27e46,dgm_LN_Mentionee_Int__faf0d43f28532e93c9aef7e9bfb27e46
atlanta department of watershed management,Atlanta Department of Watershed Management,Atlanta Department of Watershed Management,Atlanta,atlanta,SLGAgency,188133,3140002,,Slgagency,Atlanta Department of Watershed Management,,dgm_LN_Mentionee_Int,c19ef092ea386fb3102bd686977e9cb7,dgm_LN_Mentionee_Int__c19ef092ea386fb3102bd686977e9cb7
fulton county department of public health,Fulton County Department of Public Health,Fulton County Department of Public Health,Atlanta,atlanta,SLGAgency,188124,3140002,,Slgagency,Fulton County Department of Public Health,,dgm_LN_Mentionee_Int,376b735d21558c4934512c22e31364be,dgm_LN_Mentionee_Int__376b735d21558c4934512c22e31364be
chicago parks district,Chicago Parks District,Chicago Parks District,Chicago,chicago,SLGAgency,188120,3140002,,Slgagency,Chicago Parks District,,dgm_LN_Mentionee_Int,14b54ac1a453751bf527f2950b3aef76,dgm_LN_Mentionee_Int__14b54ac1a453751bf527f2950b3aef76
chicago department of public health,Chicago Department of Public Health,Chicago Department of Public Health,Chicago,chicago,SLGAgency,188124,3140002,,Slgagency,Chicago Department of Public Health,,dgm_LN_Mentionee_Int,20bb6fe8ac41dc89b05ab89c8b33dad6,dgm_LN_Mentionee_Int__20bb6fe8ac41dc89b05ab89c8b33dad6
chicago department of transportation,Chicago Department of Transportation,Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,,Slgagency,Chicago Department of Transportation,,dgm_LN_Mentionee_Int,0c7d5d16b6919d6edcd5b3eb378eb3ef,dgm_LN_Mentionee_Int__0c7d5d16b6919d6edcd5b3eb378eb3ef
(cdot; chicago),(cdot; Chicago),Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,,Slgagency,Chicago Department of Transportation,,dgm_LN_Mentionee_Int,0c7d5d16b6919d6edcd5b3eb378eb3ef,dgm_LN_Mentionee_Int__0c7d5d16b6919d6edcd5b3eb378eb3ef
@chicagodot,@ChicagoDOT,Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,,Slgagency,Chicago Department of Transportation,,dgm_LN_Mentionee_Int,0c7d5d16b6919d6edcd5b3eb378eb3ef,dgm_LN_Mentionee_Int__0c7d5d16b6919d6edcd5b3eb378eb3ef
#chicagodot,#chicagoDOT,Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,,Slgagency,Chicago Department of Transportation,,dgm_LN_Mentionee_Int,0c7d5d16b6919d6edcd5b3eb378eb3ef,dgm_LN_Mentionee_Int__0c7d5d16b6919d6edcd5b3eb378eb3ef
chicagodot,ChicagoDOT,Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,,Slgagency,Chicago Department of Transportation,,dgm_LN_Mentionee_Int,0c7d5d16b6919d6edcd5b3eb378eb3ef,dgm_LN_Mentionee_Int__0c7d5d16b6919d6edcd5b3eb378eb3ef
chicago housing authority,Chicago Housing Authority,Chicago Housing Authority,Chicago,chicago,SLGAgency,188289,3140002,,Slgagency,Chicago Housing Authority,,dgm_LN_Mentionee_Int,75cadba268c018cedbcf15d4b3b657d3,dgm_LN_Mentionee_Int__75cadba268c018cedbcf15d4b3b657d3
chicago department of streets and sanitation,Chicago Department of Streets and Sanitation,Chicago Department of Streets and Sanitation,Chicago,chicago,SLGAgency,188120,3140002,,Slgagency,Chicago Department of Streets and Sanitation,,dgm_LN_Mentionee_Int,bb89911df3d21c900758f0fb4e94fd55,dgm_LN_Mentionee_Int__bb89911df3d21c900758f0fb4e94fd55
dss,dss,Chicago Department of Streets and Sanitation,Chicago,chicago,SLGAgency,188120,3140002,,Slgagency,Chicago Department of Streets and Sanitation,,dgm_LN_Mentionee_Int,bb89911df3d21c900758f0fb4e94fd55,dgm_LN_Mentionee_Int__bb89911df3d21c900758f0fb4e94fd55
chicago department of water management,Chicago Department of Water Management,Chicago Department of Water Management,Chicago,chicago,SLGAgency,188242,3140002,,Slgagency,Chicago Department of Water Management,,dgm_LN_Mentionee_Int,9c1919bd13788f7dfe86ba84eaff3aa6,dgm_LN_Mentionee_Int__9c1919bd13788f7dfe86ba84eaff3aa6
san diego department of parks and recreation,San Diego Department of Parks and Recreation,San Diego Department of Parks and Recreation,San Diego,san diego,SLGAgency,188120,3140002,,Slgagency,San Diego Department of Parks and Recreation,,dgm_LN_Mentionee_Int,f0f903a7325f88e43431e087e1541ac0,dgm_LN_Mentionee_Int__f0f903a7325f88e43431e087e1541ac0
san diego county health & human services agency,San Diego County Health & Human Services Agency,San Diego County Health & Human Services Agency,San Diego,san diego,SLGAgency,188124,3140002,,Slgagency,San Diego County Health & Human Services Agency,,dgm_LN_Mentionee_Int,fa97a02acf4f8528faed13fe241daf83,dgm_LN_Mentionee_Int__fa97a02acf4f8528faed13fe241daf83
san diego county transportation division,San Diego County Transportation Division,San Diego County Transportation Division,San Diego,san diego,SLGAgency,188120,3140002,,Slgagency,San Diego County Transportation Division,,dgm_LN_Mentionee_Int,7cba1d0627e48fa0ce232283578cc22c,dgm_LN_Mentionee_Int__7cba1d0627e48fa0ce232283578cc22c
san diego housing commission,San Diego Housing Commission,San Diego Housing Commission,San Diego,san diego,SLGAgency,188289,3140002,,Slgagency,San Diego Housing Commission,,dgm_LN_Mentionee_Int,e4261ce6329c5bd1bfd2be11dd0decd0,dgm_LN_Mentionee_Int__e4261ce6329c5bd1bfd2be11dd0decd0
sdhc,sdhc,San Diego Housing Commission,San Diego,san diego,SLGAgency,188289,3140002,,Slgagency,San Diego Housing Commission,,dgm_LN_Mentionee_Int,e4261ce6329c5bd1bfd2be11dd0decd0,dgm_LN_Mentionee_Int__e4261ce6329c5bd1bfd2be11dd0decd0
san diego department of environmental services,San Diego Department of Environmental Services,San Diego Department of Environmental Services,San Diego,san diego,SLGAgency,188133,3140002,,Slgagency,San Diego Department of Environmental Services,,dgm_LN_Mentionee_Int,879e7adbc3e802208fce7ea478b4da17,dgm_LN_Mentionee_Int__879e7adbc3e802208fce7ea478b4da17
san diego department of public utilities,San Diego Department of Public Utilities,San Diego Department of Public Utilities,San Diego,san diego,SLGAgency,188133,3140002,,Slgagency,San Diego Department of Public Utilities,,dgm_LN_Mentionee_Int,9314693a33a8f1643b28e03be3e99afb,dgm_LN_Mentionee_Int__9314693a33a8f1643b28e03be3e99afb
columbus recreation and parks department,Columbus Recreation and Parks Department,Columbus Recreation and Parks Department,Columbus,columbus,SLGAgency,188120,3140002,,Slgagency,Columbus Recreation and Parks Department,,dgm_LN_Mentionee_Int,d68e8300281c7f7bee68560ac09dc004,dgm_LN_Mentionee_Int__d68e8300281c7f7bee68560ac09dc004
columbus public health,Columbus Public Health,Columbus Public Health,Columbus,columbus,SLGAgency,188124,3140002,,Slgagency,Columbus Public Health,,dgm_LN_Mentionee_Int,357dfb15123038ed0d3c32770c06c05e,dgm_LN_Mentionee_Int__357dfb15123038ed0d3c32770c06c05e
columbus department of education,Columbus Department of Education,Columbus Department of Education,Columbus,columbus,SLGAgency,188114,3140002,,Slgagency,Columbus Department of Education,,dgm_LN_Mentionee_Int,77e5f96deb4e87e79968f5d5a4b58ea1,dgm_LN_Mentionee_Int__77e5f96deb4e87e79968f5d5a4b58ea1
columbus metropolitan housing authority,Columbus Metropolitan Housing Authority,Columbus Metropolitan Housing Authority,Columbus,columbus,SLGAgency,188289,3140002,,Slgagency,Columbus Metropolitan Housing Authority,,dgm_LN_Mentionee_Int,2730eff3c61208bb076fe763d4113996,dgm_LN_Mentionee_Int__2730eff3c61208bb076fe763d4113996
