german_text,caption_text,location_tag,.1,ranking,default location,default_lat,default_lon,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#muhlenrade,"Muhlenrade, Germany",53.5956726,10.48749,2,,,,,,,Person,"Muhlenrade, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,2f0429d2ef5077e9d681bb750001b68e,german_fires_stormarn_ostholzstein_lauenburg_locations__2f0429d2ef5077e9d681bb750001b68e
#mussen,"Mussen, Germany",53.4934751,10.5625802,2,,,,,,,Refinery,"Mussen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,9131c56d1d9661b22afb80418abaf3ad,german_fires_stormarn_ostholzstein_lauenburg_locations__9131c56d1d9661b22afb80418abaf3ad
#mustin,"Mustin, Germany",53.6854381,10.8857383,2,,,,,,,ForeignMinistry,"Mustin, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,259d2b193035ff10affeb7196ba3f5f1,german_fires_stormarn_ostholzstein_lauenburg_locations__259d2b193035ff10affeb7196ba3f5f1
#neritz,"Neritz, Germany",53.7857847,10.2844523,2,,,,,,,Wells,"Neritz, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,90873e754ef0e9cb29b3c9d3fc78dcf2,german_fires_stormarn_ostholzstein_lauenburg_locations__90873e754ef0e9cb29b3c9d3fc78dcf2
#neukirchen,"Neukirchen, Germany",50.8691184,9.3437631,2,,,,,,,Legislator,"Neukirchen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,b443839ba9a6db1db1a36f11d2f299fd,german_fires_stormarn_ostholzstein_lauenburg_locations__b443839ba9a6db1db1a36f11d2f299fd
#neustadtinholstein,"Neustadt in Holstein, Germany",54.1018029,10.8153384,2,,,,,,,News,"Neustadt in Holstein, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,6e325d2e41ec753f211c73292f5decb7,german_fires_stormarn_ostholzstein_lauenburg_locations__6e325d2e41ec753f211c73292f5decb7
#niendorfadst,"Niendorf a d St, Germany",53.5875577,10.6055585,2,,,,,,,Legislator,"Niendorf a d St, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,be2488f8c60c341cd7b06d2414c17d97,german_fires_stormarn_ostholzstein_lauenburg_locations__be2488f8c60c341cd7b06d2414c17d97
#niendorfbeiberkenthin,"Niendorf bei Berkenthin, Germany",53.7032993,10.624257,2,,,,,,,Shipping,"Niendorf bei Berkenthin, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,662dcb7c054b04a0cbb57513df658e7b,german_fires_stormarn_ostholzstein_lauenburg_locations__662dcb7c054b04a0cbb57513df658e7b
#nienwohld,"Nienwohld, Germany",53.7864053,10.1946885,2,,,,,,,News,"Nienwohld, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,8ee449384f9b13170242308211a49144,german_fires_stormarn_ostholzstein_lauenburg_locations__8ee449384f9b13170242308211a49144
#nusse,"Nusse, Germany",53.657208,10.5804477,2,,,,,,,Shipping,"Nusse, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,b083bb647058cdbed57bca46a825672d,german_fires_stormarn_ostholzstein_lauenburg_locations__b083bb647058cdbed57bca46a825672d
#oldenburginholstein,"Oldenburg in Holstein, Germany",54.2904694,10.8899227,2,,,,,,,Person,"Oldenburg in Holstein, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,50e1070dc67250b6def936973a65c809,german_fires_stormarn_ostholzstein_lauenburg_locations__50e1070dc67250b6def936973a65c809
#oststeinbek,"Oststeinbek, Germany",53.5422138,10.1699453,2,,,,,,,FTO,"Oststeinbek, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,6886e26c7568fbb9b0adc0b0624f82ce,german_fires_stormarn_ostholzstein_lauenburg_locations__6886e26c7568fbb9b0adc0b0624f82ce
#panten,"Panten, Germany",53.6639637,10.6191687,2,,,,,,,ForeignMinistry,"Panten, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,cb8be2226b14fccab12f18de45fce126,german_fires_stormarn_ostholzstein_lauenburg_locations__cb8be2226b14fccab12f18de45fce126
#pogeez,"Pogeez, Germany",53.7517354,10.7293486,2,,,,,,,LegislativeCommittee,"Pogeez, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,dbf632d2bc3394a49f6b45bdc2f88444,german_fires_stormarn_ostholzstein_lauenburg_locations__dbf632d2bc3394a49f6b45bdc2f88444
#poggensee,"Poggensee, Germany",53.6421843,10.5789127,2,,,,,,,Consulates,"Poggensee, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c75d085f41c6950f40ba373a1be1358e,german_fires_stormarn_ostholzstein_lauenburg_locations__c75d085f41c6950f40ba373a1be1358e
#politz,"Politz, Germany",53.7729754,10.3824845,2,,,,,,,Person,"Politz, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,65fdb54e418f8d2a7fe23d8e42a6e873,german_fires_stormarn_ostholzstein_lauenburg_locations__65fdb54e418f8d2a7fe23d8e42a6e873
#ratekau,"Ratekau, Germany",53.9462188,10.7306937,2,,,,,,,CompanyKeyword,"Ratekau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,ab0e12a8aa15d312600cba26e9dd6f7a,german_fires_stormarn_ostholzstein_lauenburg_locations__ab0e12a8aa15d312600cba26e9dd6f7a
