german_text,caption_text,location_tag,.1,ranking,default location,default_lat,default_lon,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#timmendorferstrand,"Timmendorfer Strand, Germany",53.9920636,10.7789388,2,,,,,,,Pipeline,"Timmendorfer Strand, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,b4d91e13fa9d5a2d725994a60d1935e1,german_fires_stormarn_ostholzstein_lauenburg_locations__b4d91e13fa9d5a2d725994a60d1935e1
#todendorf,"Todendorf, Germany",53.6946674,10.3486913,2,,,,,,,Keyphrase,"Todendorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,006494733dc7a157062cdf7743a1954a,german_fires_stormarn_ostholzstein_lauenburg_locations__006494733dc7a157062cdf7743a1954a
#tramm,"Tramm, Germany",53.5641114,10.6129039,2,,,,,,,ForeignMinistry,"Tramm, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,e85fa96b052462c6c319844b789fa1c4,german_fires_stormarn_ostholzstein_lauenburg_locations__e85fa96b052462c6c319844b789fa1c4
#travenbruck,"Travenbruck, Germany",53.8382414,10.2988157,2,,,,,,,ForeignMinistry,"Travenbruck, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,30281298122f966ef72879e1296e80f8,german_fires_stormarn_ostholzstein_lauenburg_locations__30281298122f966ef72879e1296e80f8
#tremsbuttel,"Tremsbuttel, Germany",53.7428014,10.3086601,2,,,,,,,IndustryTerm,"Tremsbuttel, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,f405fc112e4ec51817e295a7b418e923,german_fires_stormarn_ostholzstein_lauenburg_locations__f405fc112e4ec51817e295a7b418e923
#trittau,"Trittau, Germany",53.6111512,10.4028748,2,,,,,,,DiplomaticFacilities,"Trittau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,d855622e17ee31856866f16487be8990,german_fires_stormarn_ostholzstein_lauenburg_locations__d855622e17ee31856866f16487be8990
#walksfelde,"Walksfelde, Germany",53.6328124,10.5761186,2,,,,,,,IndustryTerm,"Walksfelde, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,6194e021ff2ab1867df87b245db1334e,german_fires_stormarn_ostholzstein_lauenburg_locations__6194e021ff2ab1867df87b245db1334e
#wangelau,"Wangelau, Germany",53.4539531,10.5455123,2,,,,,,,Consulates,"Wangelau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,8594c07219c0fb5c7af365e67d5321f5,german_fires_stormarn_ostholzstein_lauenburg_locations__8594c07219c0fb5c7af365e67d5321f5
#wangels,"Wangels, Germany",54.2562853,10.7519942,2,,,,,,,FTO,"Wangels, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,7693f8314318bd3875a241575a9f3c4a,german_fires_stormarn_ostholzstein_lauenburg_locations__7693f8314318bd3875a241575a9f3c4a
#wentorf,"Wentorf, Germany",53.672675,10.4724926,2,,,,,,,Organization,"Wentorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,70c57466d87a2e09b3a1cfd4987e242a,german_fires_stormarn_ostholzstein_lauenburg_locations__70c57466d87a2e09b3a1cfd4987e242a
#wentorf,"Wentorf, Germany",53.4911236,10.2519749,2,,,,,,,Wells,"Wentorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,70c57466d87a2e09b3a1cfd4987e242a,german_fires_stormarn_ostholzstein_lauenburg_locations__70c57466d87a2e09b3a1cfd4987e242a
#wesenberg,"Wesenberg, Germany",53.2849218,12.9656055,2,,,,,,,CompanyKeyword,"Wesenberg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,655b4740e7af0ea5633aea798b0b70c0,german_fires_stormarn_ostholzstein_lauenburg_locations__655b4740e7af0ea5633aea798b0b70c0
#westerau,"Westerau, Germany",53.778829,10.4887842,2,,,,,,,LegislativeCommittee,"Westerau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,9491d21604c38245517b959bdfaad2d1,german_fires_stormarn_ostholzstein_lauenburg_locations__9491d21604c38245517b959bdfaad2d1
#wiershop,"Wiershop, Germany",53.4415545,10.4509972,2,,,,,,,CompanyKeyword,"Wiershop, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,3d9dd19078f921f0ef2e87ac667614ef,german_fires_stormarn_ostholzstein_lauenburg_locations__3d9dd19078f921f0ef2e87ac667614ef
#witzeeze,"Witzeeze, Germany",53.4521172,10.6080702,2,,,,,,,AAEntity,"Witzeeze, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,3ac6d64c9024cab69bf0cd9f6ac028cc,german_fires_stormarn_ostholzstein_lauenburg_locations__3ac6d64c9024cab69bf0cd9f6ac028cc
#witzhave,"Witzhave, Germany",53.5701974,10.33703,2,,,,,,,AAEntity,"Witzhave, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,b81bc095e95de7b409790faea5de2a65,german_fires_stormarn_ostholzstein_lauenburg_locations__b81bc095e95de7b409790faea5de2a65
#wohltorf,"Wohltorf, Germany",53.5200993,10.2794588,2,,,,,,,Keyphrase,"Wohltorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,65208048e32d7e7c0b40ff3b594a7f23,german_fires_stormarn_ostholzstein_lauenburg_locations__65208048e32d7e7c0b40ff3b594a7f23
#woltersdorf,"Woltersdorf, Germany",52.4551812,13.7493557,2,,,,,,,ForeignMinistry,"Woltersdorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,dc9ccbe9b32cf5609da44e36f46cf093,german_fires_stormarn_ostholzstein_lauenburg_locations__dc9ccbe9b32cf5609da44e36f46cf093
#worth,"Worth, Germany",49.0514423,8.257338,2,,,,,,,AAEntity,"Worth, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,b73129a7423527c469156f1dd8ac4d7d,german_fires_stormarn_ostholzstein_lauenburg_locations__b73129a7423527c469156f1dd8ac4d7d
#zarpen,"Zarpen, Germany",53.8705328,10.5180473,2,,,,,,,Refinery,"Zarpen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,19cd020dda8a0eb492112543cfdac354,german_fires_stormarn_ostholzstein_lauenburg_locations__19cd020dda8a0eb492112543cfdac354
#ziethen,"Ziethen, Germany",52.9570605,13.8978861,2,,,,,,,Organization,"Ziethen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,6ea095279f13308057653fd617bbe672,german_fires_stormarn_ostholzstein_lauenburg_locations__6ea095279f13308057653fd617bbe672
