ceo_handle,company_name,caption_name,guid,caption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
greenmichellem,Little Spoon,Michelle Muller,d9b92e58aac995639683a39965e267dc,Little Spoon founder Michelle Muller,Refinery,Michelle Muller,,strategic_modelset_ceo_handle,88597c173471aed9d2b36fdcea35c6b4,strategic_modelset_ceo_handle__88597c173471aed9d2b36fdcea35c6b4
jesscakri,Artemys,Jess Krieger,a0b9b5727bef69c5b2ef8f4be881ef52,Artemys founder Jess Krieger,Person,Jess Krieger,,strategic_modelset_ceo_handle,e5925366bd0bc699b3d56aac2ddd541d,strategic_modelset_ceo_handle__e5925366bd0bc699b3d56aac2ddd541d
danrgallagher,Datasembly,Dan Gallagher,7088a20804e72055c4aa628734a85189,Datasembly founder Dan Gallagher,News,Dan Gallagher,,strategic_modelset_ceo_handle,0cd343482cca22574c8c2e99f8f51cb6,strategic_modelset_ceo_handle__0cd343482cca22574c8c2e99f8f51cb6
jonastempel,Opopop,Jonas Tempel,724aac21613bf068899b3c01fc2f4677,Opopop founder Jonas Tempel,Keyphrase,Jonas Tempel,,strategic_modelset_ceo_handle,f2bfe82d29692943e9f532349fa7216c,strategic_modelset_ceo_handle__f2bfe82d29692943e9f532349fa7216c
yakirgola,goPuff,Yakir Gola,6c49b253992111b2cafc33a670c00609,goPuff founder Yakir Gola,Media,Yakir Gola,,strategic_modelset_ceo_handle,8ee8342514e3ea883b61e272f65986d1,strategic_modelset_ceo_handle__8ee8342514e3ea883b61e272f65986d1
jobertabma,HackerOne,Jobert Abma,6d1c55eedbd38665e0e517f15cc3e2e3,HackerOne founder Jobert Abma,space,Jobert Abma,,strategic_modelset_ceo_handle,1094433fb59bc5f8a63371a290b73b9c,strategic_modelset_ceo_handle__1094433fb59bc5f8a63371a290b73b9c
jaclynbaumgarte,Boatsetter,Jaclyn Baumgarten,d3d169af1ee6824c77551c08e6ebe12d,Boatsetter founder Jaclyn Baumgarten,ForeignMinister,Jaclyn Baumgarten,,strategic_modelset_ceo_handle,0f41459e3a71ff86fbab388c77c41fef,strategic_modelset_ceo_handle__0f41459e3a71ff86fbab388c77c41fef
sarah_h_gray,Trusted Health,Sarah Gray,b5f953b9270a4c88e80648dce83bb149,Trusted Health founder Sarah Gray,Pipeline,Sarah Gray,,strategic_modelset_ceo_handle,dd1021c1df7b799c2d6591ea69bb04c0,strategic_modelset_ceo_handle__dd1021c1df7b799c2d6591ea69bb04c0
nnakaguchi,Zola,Nobu Nakaguchi,76f04a53e56af157ddb247def89a76fe,Zola founder Nobu Nakaguchi,Organization,Nobu Nakaguchi,,strategic_modelset_ceo_handle,df530339bc33a096ac12909b281a5d62,strategic_modelset_ceo_handle__df530339bc33a096ac12909b281a5d62
angelavran,Little Spoon,Angela Vranich,d9b92e58aac995639683a39965e267dc,Little Spoon founder Angela Vranich,FTO,Angela Vranich,,strategic_modelset_ceo_handle,bf4c2f112eaaeeb87f221c60a6438f7d,strategic_modelset_ceo_handle__bf4c2f112eaaeeb87f221c60a6438f7d
andrewfinch9821,Cybertech,Andrew Finch,d9b92e58aac995639683a39965e267dc,Cybertech CEO Andrew Finch,Organization,Andrew Finch,,strategic_modelset_ceo_handle,1f51b170e58e5073e75289dcaa6e9a10,strategic_modelset_ceo_handle__1f51b170e58e5073e75289dcaa6e9a10
