keyword,caption_name,topic_id,location,guid,groups,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
shijian 13,Shijian 13 technology development satellite,188261,a1433,,,satellite,Satellite,Shijian 13 technology development satellite,,milpress_mentionee,086b2aae4afc1bac22891781bd5eef1d,milpress_mentionee__086b2aae4afc1bac22891781bd5eef1d
shijian 15,Shijian 15 technology development satellite,188261,a1433,,,satellite,Satellite,Shijian 15 technology development satellite,,milpress_mentionee,b01206c85815612200e99c9ef920a593,milpress_mentionee__b01206c85815612200e99c9ef920a593
shijian 16-01,Shijian 16-01 technology development satellite,188261,a1433,,,satellite,Satellite,Shijian 16-01 technology development satellite,,milpress_mentionee,f27d1e88921830d1b7ce12f46f753310,milpress_mentionee__f27d1e88921830d1b7ce12f46f753310
shijian 16-02,Shijian 16-02 technology development satellite,188261,a1433,,,satellite,Satellite,Shijian 16-02 technology development satellite,,milpress_mentionee,064db81c6729736f8f5aa89b8e8a137c,milpress_mentionee__064db81c6729736f8f5aa89b8e8a137c
shijian 17,Shijian 17 technology development satellite,188261,a1433,,,satellite,Satellite,Shijian 17 technology development satellite,,milpress_mentionee,40558049df799ae5fea82d31777eeb7b,milpress_mentionee__40558049df799ae5fea82d31777eeb7b
shijian 20,Shijian 20 technology development satellite,188261,a1433,,,satellite,Satellite,Shijian 20 technology development satellite,,milpress_mentionee,88efa143eb3b077ed3340713cc8f7267,milpress_mentionee__88efa143eb3b077ed3340713cc8f7267
shijian 6a,Shijian 6A space science satellite,188261,a1433,,,satellite,Satellite,Shijian 6A space science satellite,,milpress_mentionee,c48ec7f854901ba4522d0438267ccee3,milpress_mentionee__c48ec7f854901ba4522d0438267ccee3
shijian 6b,Shijian 6B space science satellite,188261,a1433,,,satellite,Satellite,Shijian 6B space science satellite,,milpress_mentionee,5fbaac24b69b89886952d0cdaf51beae,milpress_mentionee__5fbaac24b69b89886952d0cdaf51beae
shijian 6c,Shijian 6C space science satellite,188261,a1433,,,satellite,Satellite,Shijian 6C space science satellite,,milpress_mentionee,0cc353873b0de7aba66ffbfde1750d41,milpress_mentionee__0cc353873b0de7aba66ffbfde1750d41
shijian 6d,Shijian 6D space science satellite,188261,a1433,,,satellite,Satellite,Shijian 6D space science satellite,,milpress_mentionee,e264df0e1e6e9877d78ab27f33d2d7fe,milpress_mentionee__e264df0e1e6e9877d78ab27f33d2d7fe
