native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
abbatue,shot,Shooting incident reported,5,Crime - Non-Active,188297,Keyphrase,Shooting incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_congo_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
abattus,shot,Shooting incident reported,5,Crime - Non-Active,188297,Person,Shooting incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_congo_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
a tiré,shot,Shooting incident reported,5,Crime - Non-Active,188297,Wells,Shooting incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_congo_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
coups de feu,shot,Shooting incident reported,5,Crime - Non-Active,188297,Exec,Shooting incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_congo_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
tireur,shooter,Shooting incident reported,5,Crime - Non-Active,188297,Refinery,Shooting incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_congo_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
tireuse,shooter,Shooting incident reported,5,Crime - Non-Active,188297,CompanyKeyword,Shooting incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_congo_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
poignarde,stab,Stabbing incident reported,6,Crime - Non-Active,188297,News,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
poignardent,stab,Stabbing incident reported,6,Crime - Non-Active,188297,News,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
poignardé,stabbed,Stabbing incident reported,6,Crime - Non-Active,188297,CompanyKeyword,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
poignardés,stabbed,Stabbing incident reported,6,Crime - Non-Active,188297,Shipping,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
poignardées,stabbed,Stabbing incident reported,6,Crime - Non-Active,188297,IndustryTerm,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
a poignardé,stabbed,Stabbing incident reported,6,Crime - Non-Active,188297,ForeignMinister,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
ont poignardé,stabbed,Stabbing incident reported,6,Crime - Non-Active,188297,LegislativeCommittee,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
agressé à l'arme blanche,stabbed,Stabbing incident reported,6,Crime - Non-Active,188297,AAEntity,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
poignardée,stabbed,Stabbing incident reported,6,Crime - Non-Active,188297,IndustryTerm,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
attaque au couteau,stabbing,Stabbing incident reported,6,Crime - Non-Active,188297,FTO,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
coups de couteau,stabbing,Stabbing incident reported,6,Crime - Non-Active,188297,ForeignMinister,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
agression à l'arme blanche,stabbing,Stabbing incident reported,6,Crime - Non-Active,188297,Shipping,Stabbing incident reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_congo_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
manifestation,Protest,Protest reported,8,Public Disruption,188108,Legislator,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
manif,Protest,Protest reported,8,Public Disruption,188108,Diplomat,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
manifestations,Protest,Protest reported,8,Public Disruption,188108,Refinery,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
manifestant,Protester,Protest reported,8,Public Disruption,188108,space,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
manifestante,Protester,Protest reported,8,Public Disruption,188108,Person,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
manifestants,Protesters,Protest reported,8,Public Disruption,188108,Keyphrase,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
manifestantes,Protesters,Protest reported,8,Public Disruption,188108,Shipping,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
en grève,on strike,Labor issues,8,Labor Issues,188106,Shipping,Labor issues,,local_news_physical_safety_congo_caption_topic_threshold_mapping,ee9e2d69c5e794b97287495181cf638b,local_news_physical_safety_congo_caption_topic_threshold_mapping__ee9e2d69c5e794b97287495181cf638b
émeutes,riots,Protest reported,8,Public Disruption,188108,Organization,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
émeute,riot,Protest reported,8,Public Disruption,188108,Media,Protest reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_congo_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
