handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
usao_wdwi,US Attorney's Office for the Western District of Wisconsin,"Madison, WI",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"madison, wi",Person,US Attorney's Office for the Western District of Wisconsin,,dgm_proscutor_handles,308a98907a000a65cecd07d7c80114c2,dgm_proscutor_handles__308a98907a000a65cecd07d7c80114c2
usao_ednc,US Attorney's Office for the Eastern District of North Carolina,"Raleigh, NC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"raleigh, nc",Consulates,US Attorney's Office for the Eastern District of North Carolina,,dgm_proscutor_handles,29d7c66649a6083669f0a5c06e545bb5,dgm_proscutor_handles__29d7c66649a6083669f0a5c06e545bb5
usao_mdnc,US Attorney's Office for the Middle District of North Carolina,"Greensboro, NC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"greensboro, nc",DiplomaticFacilities,US Attorney's Office for the Middle District of North Carolina,,dgm_proscutor_handles,6295d6a556387c75649268c00bd17620,dgm_proscutor_handles__6295d6a556387c75649268c00bd17620
usao_mdga,US Attorney's Office for the Middle District of Georgia,"Macon, GA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"macon, ga",Media,US Attorney's Office for the Middle District of Georgia,,dgm_proscutor_handles,71d241c62749a87cd06a561084d27023,dgm_proscutor_handles__71d241c62749a87cd06a561084d27023
usao_sc,US Attorney's Office for the District of South Carolina,"Columbia, SC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"columbia, sc",Exec,US Attorney's Office for the District of South Carolina,,dgm_proscutor_handles,12ec9fd871e28245f62b6d6a990ebdc3,dgm_proscutor_handles__12ec9fd871e28245f62b6d6a990ebdc3
usao_cdil,US Attorney's Office for the Central District of Illinois,"Springfield, IL",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"springfield, il",Media,US Attorney's Office for the Central District of Illinois,,dgm_proscutor_handles,7443bc700169412b801095e1596acf50,dgm_proscutor_handles__7443bc700169412b801095e1596acf50
usao_edok,US Attorney's Office for the Eastern District of Oklahoma,"Muskogee, OK",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"muskogee, ok",CompanyKeyword,US Attorney's Office for the Eastern District of Oklahoma,,dgm_proscutor_handles,e5581b40a2e87174ae6eef6999292560,dgm_proscutor_handles__e5581b40a2e87174ae6eef6999292560
usao_sdtx,US Attorney's Office for the Southern District of Texas,"Houston, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"houston, tx",Person,US Attorney's Office for the Southern District of Texas,,dgm_proscutor_handles,50bf6816d50a8fd67b493dee0f17ca14,dgm_proscutor_handles__50bf6816d50a8fd67b493dee0f17ca14
usao_nh,US Attorney's Office for New Hampshire,"Concord, NH",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"concord, nh",Person,US Attorney's Office for New Hampshire,,dgm_proscutor_handles,bd38b363ec157ff10d31a0c0d8d06b24,dgm_proscutor_handles__bd38b363ec157ff10d31a0c0d8d06b24
usao_nm,US Attorney's Office for New Mexico,"Albuquerque, NM",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"albuquerque, nm",DiplomaticFacilities,US Attorney's Office for New Mexico,,dgm_proscutor_handles,e599d519ed9db7132f01ad6007198d7d,dgm_proscutor_handles__e599d519ed9db7132f01ad6007198d7d
