keyword,caption_name,location,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
camp de canjuers,"French Army Canjuers Camp in Var, France","6.465497,43.646945",forbase81,Pipeline,"French Army Canjuers Camp in Var, France",,dgm_foreignbases,c2e9895643b8919a5d91a1f4c8911cca,dgm_foreignbases__c2e9895643b8919a5d91a1f4c8911cca
camp foster,"US Marine Corps Camp Foster in Ginowan, Okinawa, Japan","127.77972222,26.30138889",forbase82,AAEntity,"US Marine Corps Camp Foster in Ginowan, Okinawa, Japan",,dgm_foreignbases,bc62b85f311693bc90f3633e0ec6e8f4,dgm_foreignbases__bc62b85f311693bc90f3633e0ec6e8f4
camp général d'aboville,"French Army Quartier Général d'Aboville in Haute-Marne, France","5.05027778,48.07972222",forbase83,ForeignMinister,"French Army Quartier Général d'Aboville in Haute-Marne, France",,dgm_foreignbases,5a6b24069be685a63572e6d9aa59559b,dgm_foreignbases__5a6b24069be685a63572e6d9aa59559b
camp higashi-chitose,"JGSDF Camp Higashichitose in Hokkaido Prefecture, Japan","141.73694444,42.83972222",forbase84,Legislator,"JGSDF Camp Higashichitose in Hokkaido Prefecture, Japan",,dgm_foreignbases,9d20896ce55d2ba0dea8b577422a6fe9,dgm_foreignbases__9d20896ce55d2ba0dea8b577422a6fe9
camp humphreys,US Army Base Camp Humphreys,"127.033333,36.966667",forbase85,space,US Army Base Camp Humphreys,,dgm_foreignbases,3cbacf60288d99fb9f706fcc02a10cda,dgm_foreignbases__3cbacf60288d99fb9f706fcc02a10cda
camp kinser,"US Marine Corps Camp Kinser in Okinawa, Japan","127.697396,26.252528",forbase86,Shipping,"US Marine Corps Camp Kinser in Okinawa, Japan",,dgm_foreignbases,5599deab9771efc3ef2e47e5f20db252,dgm_foreignbases__5599deab9771efc3ef2e47e5f20db252
camp mctureous,"US Marine Corps Camp McTureous in Uruma, Okinawa, Japan","127.84638889,26.38138889",forbase87,ForeignMinister,"US Marine Corps Camp McTureous in Uruma, Okinawa, Japan",,dgm_foreignbases,ebfce3bfa261ff0f7a068bf73d0211ed,dgm_foreignbases__ebfce3bfa261ff0f7a068bf73d0211ed
camp militaire de canjuers,"French Army Canjuers Camp in Var, France","6.465497,43.646945",forbase81,Wells,"French Army Canjuers Camp in Var, France",,dgm_foreignbases,c2e9895643b8919a5d91a1f4c8911cca,dgm_foreignbases__c2e9895643b8919a5d91a1f4c8911cca
camp militaire de suippes,"French Army Camp Suippes in Marne, France","4.63074,49.19427",forbase88,IndustryTerm,"French Army Camp Suippes in Marne, France",,dgm_foreignbases,fc4997c90c5cbaeb2c95ee5d9ffe2583,dgm_foreignbases__fc4997c90c5cbaeb2c95ee5d9ffe2583
camp narashino,"JGSDF Camp Narashino in Funabashi, Chiba Prefecture, Japan","140.052778,35.71",forbase89,Media,"JGSDF Camp Narashino in Funabashi, Chiba Prefecture, Japan",,dgm_foreignbases,3f07be694c8c1db6cc375f40c8c6fe22,dgm_foreignbases__3f07be694c8c1db6cc375f40c8c6fe22
