handle,caption_name,location_lower,location,type,exclude_group,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
getrichslowly,Get Rich Slowly,"portland, or","Portland, OR",Finance Press,,FinancePress,Get Rich Slowly,,dgm_emergingtech_press,8fc6b5004951b480e5f0506eb25588b5,dgm_emergingtech_press__8fc6b5004951b480e5f0506eb25588b5
money,Money blog,new york,New York,Finance Press,,FinancePress,Money blog,,dgm_emergingtech_press,bc4a2c9c3994b8e458d5afd2547b9467,dgm_emergingtech_press__bc4a2c9c3994b8e458d5afd2547b9467
nerdwallet,NerdWallet,"san francisco, ca","San Francisco, CA",Finance Press,,FinancePress,NerdWallet,,dgm_emergingtech_press,c81583ec25a39143e5a790b7f975ba26,dgm_emergingtech_press__c81583ec25a39143e5a790b7f975ba26
ibtimes,International Business Times,new york,New York,Finance Press,,FinancePress,International Business Times,,dgm_emergingtech_press,9c876cf65f22646d229f9d92e166d05c,dgm_emergingtech_press__9c876cf65f22646d229f9d92e166d05c
seekingalpha,Seeking Alpha,ra'anana,Ra'anana,Finance Press,,FinancePress,Seeking Alpha,,dgm_emergingtech_press,18bb2b1e7a6aff8bc7387b861b10d3c4,dgm_emergingtech_press__18bb2b1e7a6aff8bc7387b861b10d3c4
moneymorning,Money Morning,baltimore,Baltimore,Finance Press,,FinancePress,Money Morning,,dgm_emergingtech_press,5bea8eb65310300f01c7a4cd4a0f3129,dgm_emergingtech_press__5bea8eb65310300f01c7a4cd4a0f3129
investingcom,Investing.com,doral,Doral,Finance Press,,FinancePress,Investing.com,,dgm_emergingtech_press,faece825a78e078c679f9f3f09668ed5,dgm_emergingtech_press__faece825a78e078c679f9f3f09668ed5
musicbizworld,Music Business Worldwide,london,London,Finance Press,,FinancePress,Music Business Worldwide,,dgm_emergingtech_press,1f972940c2a007e805d4120271459acd,dgm_emergingtech_press__1f972940c2a007e805d4120271459acd
finxzim,Financial Express,harare,Harare,Finance Press,,FinancePress,Financial Express,,dgm_emergingtech_press,c95c9b2a4ff43aecccec3ecb17e51ed1,dgm_emergingtech_press__c95c9b2a4ff43aecccec3ecb17e51ed1
globesenglish,Globes English,tel aviv,Tel Aviv,Finance Press,,FinancePress,Globes English,,dgm_emergingtech_press,4f5f0a306c81b9f03cb81a9fa42a9f81,dgm_emergingtech_press__4f5f0a306c81b9f03cb81a9fa42a9f81
financialpost,Financial Post,ottawa,Ottawa,Finance Press,,FinancePress,Financial Post,,dgm_emergingtech_press,0b77adcbc9360925ac4921a30855b367,dgm_emergingtech_press__0b77adcbc9360925ac4921a30855b367
moneyweb,Moneyweb,johannesburg,Johannesburg,Finance Press,,FinancePress,Moneyweb,,dgm_emergingtech_press,a397f84d0723a6ef2556dc1bc6a66141,dgm_emergingtech_press__a397f84d0723a6ef2556dc1bc6a66141
arabianbusiness,Arabian Business,dubai,Dubai,Finance Press,,FinancePress,Arabian Business,,dgm_emergingtech_press,6349d2157f97e2ab0692ea0931e48d0a,dgm_emergingtech_press__6349d2157f97e2ab0692ea0931e48d0a
bizmattersmag,Business Matters,london,London,Finance Press,,FinancePress,Business Matters,,dgm_emergingtech_press,335b3c40e3bb63dcbdf92f4a797f4c3a,dgm_emergingtech_press__335b3c40e3bb63dcbdf92f4a797f4c3a
insightssuccess,Insights Success,"dublin, oh","Dublin, OH",Finance Press,,FinancePress,Insights Success,,dgm_emergingtech_press,ff35d67795410570c6758c965860e59c,dgm_emergingtech_press__ff35d67795410570c6758c965860e59c
modestmoney,Modest Money,"portland, or","Portland, OR",Finance Press,,FinancePress,Modest Money,,dgm_emergingtech_press,8817c6346b326576d083e37f2970f8f3,dgm_emergingtech_press__8817c6346b326576d083e37f2970f8f3
