german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kiefernweg,"Kiefernweg in Bad Homburg, Germany",50.2297244,8.6788065,1,,,,,,,,Exec,"Kiefernweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,1492b336d5f323ffeccb64fd802a9642,german_fires_badhomburg_locations__1492b336d5f323ffeccb64fd802a9642
kinzigstrasse,"Kinzigstrasse in Bad Homburg, Germany",50.2258468,8.6392325,1,,,,,,,,Shipping,"Kinzigstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,9d5690fc9497743ac71a05bae66aa9af,german_fires_badhomburg_locations__9d5690fc9497743ac71a05bae66aa9af
kirchgasse,"Kirchgasse in Bad Homburg, Germany",50.2208607,8.6399449,1,,,,,,,,space,"Kirchgasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,eb1b7f840bbac1033e64ce666ed1452b,german_fires_badhomburg_locations__eb1b7f840bbac1033e64ce666ed1452b
kirchplatz,"Kirchplatz in Bad Homburg, Germany",50.2170533,8.6515454,1,,,,,,,,IndustryTerm,"Kirchplatz in Bad Homburg, Germany",,german_fires_badhomburg_locations,800a5c532c84d33caa49f3d78e228ba2,german_fires_badhomburg_locations__800a5c532c84d33caa49f3d78e228ba2
kirdorfer strasse,"Kirdorfer Strasse in Bad Homburg, Germany",50.2364621,8.6098079,1,,,,,,,,ForeignMinister,"Kirdorfer Strasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,e51df88019da9caac878e3e0acadb627,german_fires_badhomburg_locations__e51df88019da9caac878e3e0acadb627
kirschblutenweg,"Kirschblutenweg in Bad Homburg, Germany",50.2294756,8.6328365,1,,,,,,,,Person,"Kirschblutenweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,860b40a9c4ee2414d8519dd40b6d7a51,german_fires_badhomburg_locations__860b40a9c4ee2414d8519dd40b6d7a51
kisseleffstrasse,"Kisseleffstrasse in Bad Homburg, Germany",50.2275127,8.6233226,1,,,,,,,,LegislativeCommittee,"Kisseleffstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,5529d541cf97bf209e9d872b85ff8126,german_fires_badhomburg_locations__5529d541cf97bf209e9d872b85ff8126
kleine bruckenstrasse,"Kleine Bruckenstrasse in Bad Homburg, Germany",50.2246635,8.6792413,1,,,,,,,,Keyphrase,"Kleine Bruckenstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,ba354aea1fde605686c8293adbdb723b,german_fires_badhomburg_locations__ba354aea1fde605686c8293adbdb723b
kolberger weg,"Kolberger Weg in Bad Homburg, Germany",50.2244359,8.598555,1,,,,,,,,News,"Kolberger Weg in Bad Homburg, Germany",,german_fires_badhomburg_locations,3a73d05a92d576ccfd2295b406ece3a0,german_fires_badhomburg_locations__3a73d05a92d576ccfd2295b406ece3a0
kolpingstrasse,"Kolpingstrasse in Bad Homburg, Germany",50.2456679,8.6064374,1,,,,,,,,IndustryTerm,"Kolpingstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,2b82929c9925b6966c99073f2691dad6,german_fires_badhomburg_locations__2b82929c9925b6966c99073f2691dad6
kreuzallee,"Kreuzallee in Bad Homburg, Germany",50.2304581,8.5941856,1,,,,,,,,Consulates,"Kreuzallee in Bad Homburg, Germany",,german_fires_badhomburg_locations,ef106bb1d971b0b81e15d76469943b1a,german_fires_badhomburg_locations__ef106bb1d971b0b81e15d76469943b1a
kronberger strasse,"Kronberger Strasse in Bad Homburg, Germany",50.23771,8.6015969,1,,,,,,,,DiplomaticFacilities,"Kronberger Strasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,b610e0a30829b4f6cfc87bfa5fb7c9ac,german_fires_badhomburg_locations__b610e0a30829b4f6cfc87bfa5fb7c9ac
kalberstucksweg,"Kalberstucksweg in Bad Homburg, Germany",50.2363774,8.5832482,1,,,,,,,,Refinery,"Kalberstucksweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,39aa747cfc1144266e09e41167b3706c,german_fires_badhomburg_locations__39aa747cfc1144266e09e41167b3706c
konigsteiner strasse,"Konigsteiner Strasse in Bad Homburg, Germany",50.235974,8.6003951,1,,,,,,,,Refinery,"Konigsteiner Strasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,15483cc97e0d6b60d514e52e452ca5cb,german_fires_badhomburg_locations__15483cc97e0d6b60d514e52e452ca5cb
kosliner weg,"Kosliner Weg in Bad Homburg, Germany",50.2257715,8.6024992,1,,,,,,,,CompanyKeyword,"Kosliner Weg in Bad Homburg, Germany",,german_fires_badhomburg_locations,bcf7cf90b83dd8521dfc79714ee2db14,german_fires_badhomburg_locations__bcf7cf90b83dd8521dfc79714ee2db14
lahnstrasse,"Lahnstrasse in Bad Homburg, Germany",50.2259343,8.6368392,1,,,,,,,,Organization,"Lahnstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,773d0c055c8f81a3c4cd787e5c63aef6,german_fires_badhomburg_locations__773d0c055c8f81a3c4cd787e5c63aef6
landgraf-friedrich-platz,"Landgraf-Friedrich-Platz in Bad Homburg, Germany",50.2414761,8.5836134,1,,,,,,,,Exec,"Landgraf-Friedrich-Platz in Bad Homburg, Germany",,german_fires_badhomburg_locations,aedf53fb2096b18d29533b3f18d48d27,german_fires_badhomburg_locations__aedf53fb2096b18d29533b3f18d48d27
landgraf-friedrich-strasse,"Landgraf-Friedrich-Strasse in Bad Homburg, Germany",50.2451857,8.5798205,1,,,,,,,,Legislator,"Landgraf-Friedrich-Strasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,6353bf3895c43274204ffdaec6cae196,german_fires_badhomburg_locations__6353bf3895c43274204ffdaec6cae196
landgraf-gustav-ring,"Landgraf-Gustav-Ring in Bad Homburg, Germany",50.230924,8.5908708,1,,,,,,,,Wells,"Landgraf-Gustav-Ring in Bad Homburg, Germany",,german_fires_badhomburg_locations,4c92bc3b3974e226b1756e6637325150,german_fires_badhomburg_locations__4c92bc3b3974e226b1756e6637325150
