keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
internet fraud,internet fraud,DiplomaticFacilities,internet fraud,,dgm_fraud_variants,ee15f76fef28faac893bf105a4337267,dgm_fraud_variants__ee15f76fef28faac893bf105a4337267
forex fraud,forex fraud,CompanyKeyword,forex fraud,,dgm_fraud_variants,9f9227f00faff78d297ba0095404bc53,dgm_fraud_variants__9f9227f00faff78d297ba0095404bc53
precious metals fraud,precious metals fraud,Diplomat,precious metals fraud,,dgm_fraud_variants,0afbe28d91ab2b21b320f3c6d97a1752,dgm_fraud_variants__0afbe28d91ab2b21b320f3c6d97a1752
commodity pool fraud,commodity pool fraud,Consulates,commodity pool fraud,,dgm_fraud_variants,9e51b2085b30bc95d05ab7c85f39ba09,dgm_fraud_variants__9e51b2085b30bc95d05ab7c85f39ba09
narcotics fraud,narcotics fraud,IndustryTerm,narcotics fraud,,dgm_fraud_variants,e7caec57235262c2e597abbd0fec32db,dgm_fraud_variants__e7caec57235262c2e597abbd0fec32db
grey market,grey market,LegislativeCommittee,grey market,,dgm_fraud_variants,ca556573c5e0eecb337a8719f1c3e42a,dgm_fraud_variants__ca556573c5e0eecb337a8719f1c3e42a
bac fraud,bac fraud,Media,bac fraud,,dgm_fraud_variants,6251556cbd1cb1777cd65d09ab267b1b,dgm_fraud_variants__6251556cbd1cb1777cd65d09ab267b1b
tax haven,tax haven,Wells,tax haven,,dgm_fraud_variants,4b40ab4198356890c62a064267aef013,dgm_fraud_variants__4b40ab4198356890c62a064267aef013
financial crime,financial crime,Person,financial crime,,dgm_fraud_variants,aaacc5a14274f2fe78296efca3d2346a,dgm_fraud_variants__aaacc5a14274f2fe78296efca3d2346a
identity crime,identity crime,Pipeline,identity crime,,dgm_fraud_variants,10ed65be7bea52596767a6eafffe959c,dgm_fraud_variants__10ed65be7bea52596767a6eafffe959c
apple pay fraud,apple pay fraud,Keyphrase,apple pay fraud,,dgm_fraud_variants,8052884bf99c22c7dc710f9b4c75fb86,dgm_fraud_variants__8052884bf99c22c7dc710f9b4c75fb86
android pay fraud,android pay fraud,DiplomaticFacilities,android pay fraud,,dgm_fraud_variants,86240efb65e4e969e78749e509e09fdf,dgm_fraud_variants__86240efb65e4e969e78749e509e09fdf
pensions fraud,pensions fraud,CompanyKeyword,pensions fraud,,dgm_fraud_variants,1a0100d37ae8263353d7216c873b7338,dgm_fraud_variants__1a0100d37ae8263353d7216c873b7338
advance fee scheme,advance fee scheme,ForeignMinister,advance fee scheme,,dgm_fraud_variants,b02f7b5cbda881fd98451f382d38f59c,dgm_fraud_variants__b02f7b5cbda881fd98451f382d38f59c
business fraud,business fraud,Shipping,business fraud,,dgm_fraud_variants,15cecacf12a5558454575d88d2c64f01,dgm_fraud_variants__15cecacf12a5558454575d88d2c64f01
betting fraud,betting fraud,Exec,betting fraud,,dgm_fraud_variants,8047266f1ad0ef292284072c1e843c87,dgm_fraud_variants__8047266f1ad0ef292284072c1e843c87
auction fraud,auction fraud,News,auction fraud,,dgm_fraud_variants,97f42ee03f4504dc495a58ea0b93a716,dgm_fraud_variants__97f42ee03f4504dc495a58ea0b93a716
money mule,money mule,AAEntity,money mule,,dgm_fraud_variants,8de06e99cd43e063ececde63795defc8,dgm_fraud_variants__8de06e99cd43e063ececde63795defc8
sextortion,sextortion,ForeignMinister,sextortion,,dgm_fraud_variants,4a61eadfec0ebc03965852f148113c6c,dgm_fraud_variants__4a61eadfec0ebc03965852f148113c6c
romance scam,romance scam,Person,romance scam,,dgm_fraud_variants,75b8f0d722548f55ba26fe3eae7310d1,dgm_fraud_variants__75b8f0d722548f55ba26fe3eae7310d1
mortgage scam,mortgage scam,LegislativeCommittee,mortgage scam,,dgm_fraud_variants,67b50c4ad7ddf33f0984783aab2c5e73,dgm_fraud_variants__67b50c4ad7ddf33f0984783aab2c5e73
