location_keyword,location_caption,alert_threshold,location_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
台州白沙岛,"Baisha Island, Taizhou, Zhejiang",general.alert2,baishaisland,Keyphrase,"Baisha Island, Taizhou, Zhejiang",,dgm_milexlocationsspecific,f3ab4f46d4848fd3453c315f7467d5aa,dgm_milexlocationsspecific__f3ab4f46d4848fd3453c315f7467d5aa
南海雷州半岛,"Leizhou Peninsula, Guangdong",general.alert2,leizhoupeninsula,Consulates,"Leizhou Peninsula, Guangdong",,dgm_milexlocationsspecific,9e4aedfc92ca49d6b29c15d1eaf0839d,dgm_milexlocationsspecific__9e4aedfc92ca49d6b29c15d1eaf0839d
雷州半岛,"Leizhou Peninsula, Guangdong",general.alert2,leizhoupeninsula,ForeignMinistry,"Leizhou Peninsula, Guangdong",,dgm_milexlocationsspecific,9e4aedfc92ca49d6b29c15d1eaf0839d,dgm_milexlocationsspecific__9e4aedfc92ca49d6b29c15d1eaf0839d
万山岛,"Wanshan Island, Zhuhai, Guangdong",general.alert2,wanshanisland,News,"Wanshan Island, Zhuhai, Guangdong",,dgm_milexlocationsspecific,22dde0d201e65fe0e9af20e52cb5fc6c,dgm_milexlocationsspecific__22dde0d201e65fe0e9af20e52cb5fc6c
渤海海峡,Bohai Strait,general.alert2,bohaistrait,DiplomaticFacilities,Bohai Strait,,dgm_milexlocationsspecific,3d426c8ce531a0102d823600470ce9e0,dgm_milexlocationsspecific__3d426c8ce531a0102d823600470ce9e0
芙蓉岛,"Furong Island, Yantai, Shandong, China",general.alert2,furongisland,AAEntity,"Furong Island, Yantai, Shandong, China",,dgm_milexlocationsspecific,e40d1afac8000972e96ab1bd1fdea627,dgm_milexlocationsspecific__e40d1afac8000972e96ab1bd1fdea627
万山群岛,"Wanshan Island, Zhuhai, Guangdong",general.alert2,wanshanisland,LegislativeCommittee,"Wanshan Island, Zhuhai, Guangdong",,dgm_milexlocationsspecific,22dde0d201e65fe0e9af20e52cb5fc6c,dgm_milexlocationsspecific__22dde0d201e65fe0e9af20e52cb5fc6c
珠江口,"Pearl River Estuary, Guangdong, China",general.alert2,pearlriverestuary,Exec,"Pearl River Estuary, Guangdong, China",,dgm_milexlocationsspecific,6ded8fd3fdec12bb3ee790fdfadff261,dgm_milexlocationsspecific__6ded8fd3fdec12bb3ee790fdfadff261
防城港,"Fanggangcheng, Guangxi",general.alert2,fanggangcheng,ForeignMinister,"Fanggangcheng, Guangxi",,dgm_milexlocationsspecific,d0ec59428ad2e4da4c4bf3c6cfc761ac,dgm_milexlocationsspecific__d0ec59428ad2e4da4c4bf3c6cfc761ac
