keyword,caption_name,feeds,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
yt_dustin_is_driving,Dustin is driving,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCEkdB6ChCWAZchsOwvkM2Pg,ForeignMinistry,Dustin is driving,,dgm_youtube_crisk,d0b0676f0f869b63fc71672198355c36,dgm_youtube_crisk__d0b0676f0f869b63fc71672198355c36
yt_jacobin,Jacobin,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCzGUT9PjV3SMBwjWXUYh4HA,Shipping,Jacobin,,dgm_youtube_crisk,0d882825b17898cab5d683307ba91069,dgm_youtube_crisk__0d882825b17898cab5d683307ba91069
yt_camelot331,CAMELOT331,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCf1Wt2HEllOSeQzKz2-GNDA,Refinery,CAMELOT331,,dgm_youtube_crisk,77e186dc2c62aff1a1827e12a33af46a,dgm_youtube_crisk__77e186dc2c62aff1a1827e12a33af46a
yt_our_changing_climate,Our Changing Climate,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCNXvxXpDJXp-mZu3pFMzYHQ,CompanyKeyword,Our Changing Climate,,dgm_youtube_crisk,d03d970c50f29ed927c61978a28ecf64,dgm_youtube_crisk__d03d970c50f29ed927c61978a28ecf64
yt_whole_worker,Whole Worker,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCAnFei9VzyDn6uJSlY0i1Ug,AAEntity,Whole Worker,,dgm_youtube_crisk,f0e81fed74c192960b8a0f3fcb386a1e,dgm_youtube_crisk__f0e81fed74c192960b8a0f3fcb386a1e
yt_steph_pappas,Steph Pappas,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCrm-qtg2eXZ7MceH7m21uog,FTO,Steph Pappas,,dgm_youtube_crisk,b959e5404c0c84e5eeb9698c997f2449,dgm_youtube_crisk__b959e5404c0c84e5eeb9698c997f2449
yt_maribel_ochoa,Maribel Ochoa,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCVpF4r5bFWKfGOv2rnKngwQ,Organization,Maribel Ochoa,,dgm_youtube_crisk,58be62ef46723567877831f2574c594f,dgm_youtube_crisk__58be62ef46723567877831f2574c594f
yt_the_simple_environmentalist,The Simple Environmentalist,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCeECw1lq6yHJjbX1aiSwENA,FTO,The Simple Environmentalist,,dgm_youtube_crisk,114e93c7f832aea0d05f55e6c6634643,dgm_youtube_crisk__114e93c7f832aea0d05f55e6c6634643
yt_cassandra_bankson,Cassandra Bankson,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCHj2_6e0Y2YdzHZDkkLa53Q,LegislativeCommittee,Cassandra Bankson,,dgm_youtube_crisk,9421436eb3f9d4dad01cd1b189782733,dgm_youtube_crisk__9421436eb3f9d4dad01cd1b189782733
yt_earthling_ed,Earthling Ed,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCVRrGAcUc7cblUzOhI1KfFg,AAEntity,Earthling Ed,,dgm_youtube_crisk,5b1607e145c82744341beef9d15b0462,dgm_youtube_crisk__5b1607e145c82744341beef9d15b0462
