handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
repdlamborn,US Representative Lamborn,Colorado,agency;agency leadership;courthouse,legislator,39.5500507,-105.7820674,,,Legislator,US Representative Lamborn,,legislator_dgm_usms_mentioner_entities,09562b75bbe95db215976cca8754cf88,legislator_dgm_usms_mentioner_entities__09562b75bbe95db215976cca8754cf88
daveforiowa,US Representative Loebsack,Iowa,agency;agency leadership;courthouse,legislator,41.8780025,-93.097702,,,Legislator,US Representative Loebsack,,legislator_dgm_usms_mentioner_entities,42be3de209f1267851ef1c3169325d57,legislator_dgm_usms_mentioner_entities__42be3de209f1267851ef1c3169325d57
joycebeatty,US Representative Beatty,Ohio,agency;agency leadership;courthouse,legislator,40.4172871,-82.907123,,,Legislator,US Representative Beatty,,legislator_dgm_usms_mentioner_entities,56721ff83b893c6bdd52f554300cb331,legislator_dgm_usms_mentioner_entities__56721ff83b893c6bdd52f554300cb331
abrindisiny,US Representative Brindisi,New York,agency;agency leadership;courthouse,legislator,40.7127753,-74.0059728,,,Legislator,US Representative Brindisi,,legislator_dgm_usms_mentioner_entities,7a2a7761778944b376d22b391c44ad30,legislator_dgm_usms_mentioner_entities__7a2a7761778944b376d22b391c44ad30
rosa_delauro,US Representative DeLauro,Connecticut,agency;agency leadership;courthouse,legislator,41.6032207,-73.087749,,,Legislator,US Representative DeLauro,,legislator_dgm_usms_mentioner_entities,f81c219ee171c4b11ed1d0159537bdd7,legislator_dgm_usms_mentioner_entities__f81c219ee171c4b11ed1d0159537bdd7
jimpressoffice,US Representative Sensenbrenner,Wisconsin,agency;agency leadership;courthouse,legislator,43.7844397,-88.7878678,,,Legislator,US Representative Sensenbrenner,,legislator_dgm_usms_mentioner_entities,d11487816cde8fda5d1afc136a5fea54,legislator_dgm_usms_mentioner_entities__d11487816cde8fda5d1afc136a5fea54
carolmillerwv,US Representative Miller,West Virginia,agency;agency leadership;courthouse,legislator,38.5976262,-80.4549026,,,Legislator,US Representative Miller,,legislator_dgm_usms_mentioner_entities,4b5337a44d9c09899b5d9255ad43012c,legislator_dgm_usms_mentioner_entities__4b5337a44d9c09899b5d9255ad43012c
jamescomer,US Representative Comer,Kentucky,agency;agency leadership;courthouse,legislator,37.8393332,-84.2700179,,,Legislator,US Representative Comer,,legislator_dgm_usms_mentioner_entities,ea30c6366f951ff99540e4af8d676c2a,legislator_dgm_usms_mentioner_entities__ea30c6366f951ff99540e4af8d676c2a
repdavidrouzer,US Representative Rouzer,North Carolina,agency;agency leadership;courthouse,legislator,35.7595731,-79.0192997,,,Legislator,US Representative Rouzer,,legislator_dgm_usms_mentioner_entities,fb77d7cb68fc9e183d69d91146cab67a,legislator_dgm_usms_mentioner_entities__fb77d7cb68fc9e183d69d91146cab67a
michaelgwaltz,US Representative Waltz,Florida,agency;agency leadership;courthouse,legislator,27.6648274,-81.5157535,,,Legislator,US Representative Waltz,,legislator_dgm_usms_mentioner_entities,5e14e4de5cc2c79b33b9b15ace18002e,legislator_dgm_usms_mentioner_entities__5e14e4de5cc2c79b33b9b15ace18002e
vote4cleaver,US Representative Cleaver,Missouri,agency;agency leadership;courthouse,legislator,37.9642529,-91.8318334,,,Legislator,US Representative Cleaver,,legislator_dgm_usms_mentioner_entities,a5c0cec0c2ac6c24b0303b941c394531,legislator_dgm_usms_mentioner_entities__a5c0cec0c2ac6c24b0303b941c394531
replindasanchez,US Representative Sanchez,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Sanchez,,legislator_dgm_usms_mentioner_entities,11a930331a0d9471472da00576d8a13e,legislator_dgm_usms_mentioner_entities__11a930331a0d9471472da00576d8a13e
gwen4congress,US Representative Moore,Wisconsin,agency;agency leadership;courthouse,legislator,43.7844397,-88.7878678,,,Legislator,US Representative Moore,,legislator_dgm_usms_mentioner_entities,1277a360d45d4501d24eaf8267effcb8,legislator_dgm_usms_mentioner_entities__1277a360d45d4501d24eaf8267effcb8
ilhanmn,US Representative Omar,Minnesota,agency;agency leadership;courthouse,legislator,46.729553,-94.6858998,,,Legislator,US Representative Omar,,legislator_dgm_usms_mentioner_entities,9fe07940a1ad175261eb6755a67fbf5c,legislator_dgm_usms_mentioner_entities__9fe07940a1ad175261eb6755a67fbf5c
repcartwright,US Representative Cartwright,Pennsylvania,agency;agency leadership;courthouse,legislator,41.2033216,-77.1945247,,,Legislator,US Representative Cartwright,,legislator_dgm_usms_mentioner_entities,5bd4d4f27dcfa1f38731408ed12a364e,legislator_dgm_usms_mentioner_entities__5bd4d4f27dcfa1f38731408ed12a364e
rokhanna,US Representative Khanna,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Khanna,,legislator_dgm_usms_mentioner_entities,a56b4f86bcad7e2408e475745e9ba041,legislator_dgm_usms_mentioner_entities__a56b4f86bcad7e2408e475745e9ba041
mccaulfortexas,US Representative McCaul,Texas,agency;agency leadership;courthouse,legislator,31.9685988,-99.9018131,,,Legislator,US Representative McCaul,,legislator_dgm_usms_mentioner_entities,9ad05b936c72249fa8f9a0ac091de2c8,legislator_dgm_usms_mentioner_entities__9ad05b936c72249fa8f9a0ac091de2c8
lizzie4congress,US Representative Fletcher,Texas,agency;agency leadership;courthouse,legislator,31.9685988,-99.9018131,,,Legislator,US Representative Fletcher,,legislator_dgm_usms_mentioner_entities,c145d71777b88adddf8c32d263a0793d,legislator_dgm_usms_mentioner_entities__c145d71777b88adddf8c32d263a0793d
repmarktakano,US Representative Takano,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Takano,,legislator_dgm_usms_mentioner_entities,a505983da46cd79ce1efeda28ba89204,legislator_dgm_usms_mentioner_entities__a505983da46cd79ce1efeda28ba89204
repfletcher,US Representative Fletcher,Texas,agency;agency leadership;courthouse,legislator,31.9685988,-99.9018131,,,Legislator,US Representative Fletcher,,legislator_dgm_usms_mentioner_entities,c145d71777b88adddf8c32d263a0793d,legislator_dgm_usms_mentioner_entities__c145d71777b88adddf8c32d263a0793d
repdelbene,US Representative DelBene,Washington,agency;agency leadership;courthouse,legislator,47.7510741,-120.7401385,,,Legislator,US Representative DelBene,,legislator_dgm_usms_mentioner_entities,0b010163ff762b25e62946f473d3cb5d,legislator_dgm_usms_mentioner_entities__0b010163ff762b25e62946f473d3cb5d
