german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
gunter-behnisch-strasse,"Gunter-Behnisch-Strasse in Munich, Germany",48.1351253,11.5819805,1,,,,,,ForeignMinister,"Gunter-Behnisch-Strasse in Munich, Germany",,german_fires_munich_locations,80354b95645b62dab5e432e5c0eaac71,german_fires_munich_locations__4ca391e11a0dd4cc0452a1bfea252dd6
gunter-eich-strasse,"Gunter-Eich-Strasse in Munich, Germany",48.1540662,11.6351524,1,,,,,,Diplomat,"Gunter-Eich-Strasse in Munich, Germany",,german_fires_munich_locations,3e9bcda5f41cc62f105d8653506ae7fb,german_fires_munich_locations__584967a42ff075a08a6ff6c12ca1a6e0
guntherstrasse,"Guntherstrasse in Munich, Germany",48.1522714,11.5112932,1,,,,,,Legislator,"Guntherstrasse in Munich, Germany",,german_fires_munich_locations,41869f63d48d735255b458cc44268e97,german_fires_munich_locations__d29c3bf7f5f8031bb9e616e103f9e449
gunzburger pl.,"Gunzburger Pl. in Munich, Germany",48.1857143,11.5071134,1,,,,,,Wells,"Gunzburger Pl. in Munich, Germany",,german_fires_munich_locations,c8950fee8f46e368e9ede7f1d879de6b,german_fires_munich_locations__25db00d9b24f28e3e9d5cde1c02bad71
gunzburger strasse,"Gunzburger Strasse in Munich, Germany",48.1855872,11.5068365,1,,,,,,IndustryTerm,"Gunzburger Strasse in Munich, Germany",,german_fires_munich_locations,21272646ab7df25933b48199680d7d14,german_fires_munich_locations__cf2ab46d8c88769c8d597081c2b7c60a
gunzenlehstrasse,"Gunzenlehstrasse in Munich, Germany",48.1325738,11.4996283,1,,,,,,Shipping,"Gunzenlehstrasse in Munich, Germany",,german_fires_munich_locations,1488352f1a97c6f6a50c581811858505,german_fires_munich_locations__9d707c45ff5a31abf0795822980ff4f9
gurnemanzstrasse,"Gurnemanzstrasse in Munich, Germany",48.161206,11.6245742,1,,,,,,Organization,"Gurnemanzstrasse in Munich, Germany",,german_fires_munich_locations,0ddfb70e9b6e235de20618033214d7c8,german_fires_munich_locations__8c87d335bf1b8ff60d7d964c8906fbdb
gussfeldtweg,"Gussfeldtweg in Munich, Germany",48.1127401,11.5118991,1,,,,,,space,"Gussfeldtweg in Munich, Germany",,german_fires_munich_locations,96609c274ddabda089fb75db84a93d47,german_fires_munich_locations__5ef269a1870bbf8573846380a87ba71a
gustav-adolf-strasse,"Gustav-Adolf-Strasse in Munich, Germany",48.1407498,11.4860274,1,,,,,,Shipping,"Gustav-Adolf-Strasse in Munich, Germany",,german_fires_munich_locations,c700cce07213bc4d8da2f88a50974bdc,german_fires_munich_locations__8d3f9af40dffa5ea034109eba965aa50
gustav-freytag-strasse,"Gustav-Freytag-Strasse in Munich, Germany",48.1592136,11.6109543,1,,,,,,ForeignMinister,"Gustav-Freytag-Strasse in Munich, Germany",,german_fires_munich_locations,9dfc4560a23bcde86e4c439f2aed9ac8,german_fires_munich_locations__419e57b6d2eb244ec27b93f0ef3a10c0
gustav-heinemann-ring,"Gustav-Heinemann-Ring in Munich, Germany",48.0852439,11.6394264,1,,,,,,Diplomat,"Gustav-Heinemann-Ring in Munich, Germany",,german_fires_munich_locations,f67715533342d1279bdc65f45256084b,german_fires_munich_locations__f3eb9b0b7e329f23fde131084190e9c0
gustav-landauer-bogen,"Gustav-Landauer-Bogen in Munich, Germany",48.1682253,11.558262,1,,,,,,Exec,"Gustav-Landauer-Bogen in Munich, Germany",,german_fires_munich_locations,5ff52d17d5cec44998f155610dfaa0e6,german_fires_munich_locations__73d3716f31b7fbeae8906bf0b8858e89
gustav-lindner-weg,"Gustav-Lindner-Weg in Munich, Germany",48.1132488,11.6642954,1,,,,,,Pipeline,"Gustav-Lindner-Weg in Munich, Germany",,german_fires_munich_locations,ac7c1f6df5b24dba7cc6917e5f05e4b4,german_fires_munich_locations__fea56e4e03c151cc2409aae2168136ed
gustav-mahler-strasse,"Gustav-Mahler-Strasse in Munich, Germany",48.2014428,11.6029052,1,,,,,,Wells,"Gustav-Mahler-Strasse in Munich, Germany",,german_fires_munich_locations,e63f1c5a3505f49614b8a5dc601e5654,german_fires_munich_locations__f7e28f1131a28b18cb4e8cdac8eea67a
gustav-meyrink-strasse,"Gustav-Meyrink-Strasse in Munich, Germany",48.1580361,11.4468584,1,,,,,,Exec,"Gustav-Meyrink-Strasse in Munich, Germany",,german_fires_munich_locations,99c1bd656dc4c8f9faae7721acecff17,german_fires_munich_locations__f0823fe5650dad9fa39aea458b1fbb5e
gustav-otto-bogen,"Gustav-Otto-Bogen in Munich, Germany",48.2126178,11.4629037,1,,,,,,ForeignMinistry,"Gustav-Otto-Bogen in Munich, Germany",,german_fires_munich_locations,14dd19416ca1bf3cf275881c8381ff61,german_fires_munich_locations__b5db496bf1cd499b455e4c14ddcdc900
gustav-schiefer-strasse,"Gustav-Schiefer-Strasse in Munich, Germany",48.1983626,11.5312449,1,,,,,,AAEntity,"Gustav-Schiefer-Strasse in Munich, Germany",,german_fires_munich_locations,9cc7148d1cc803c37314fb11dfd8dee1,german_fires_munich_locations__8757ecd7e1094e236e2254c81bd3a6d1
gustav-schwab-strasse,"Gustav-Schwab-Strasse in Munich, Germany",48.1274137,11.6310442,1,,,,,,Diplomat,"Gustav-Schwab-Strasse in Munich, Germany",,german_fires_munich_locations,68853c93a81908e9385b2c267dc76876,german_fires_munich_locations__7e5ea513c8e89d7b9cbee321a6b8047e
gustl-bayrhammer-strasse,"Gustl-Bayrhammer-Strasse in Munich, Germany",48.1476743,11.4085891,1,,,,,,Wells,"Gustl-Bayrhammer-Strasse in Munich, Germany",,german_fires_munich_locations,c1c76640c431dc7ddcf687c300db3ddb,german_fires_munich_locations__948a0492d590ad11a7e3918fbc7ed8e7
gustl-waldau-steig,"Gustl-Waldau-Steig in Munich, Germany",48.1351253,11.5819805,1,,,,,,ForeignMinister,"Gustl-Waldau-Steig in Munich, Germany",,german_fires_munich_locations,81b036499c6dbb6ccc3818f4d3f1f986,german_fires_munich_locations__58c72e2bdcb2688225476d7861bf4b41
gutenbergstrasse,"Gutenbergstrasse in Munich, Germany",48.160887,11.5190952,1,,,,,,FTO,"Gutenbergstrasse in Munich, Germany",,german_fires_munich_locations,74096a48447ab925f632d903f555e8e8,german_fires_munich_locations__7acbe38073010d0a55f608f1011e9fa7
gutmannstrasse,"Gutmannstrasse in Munich, Germany",48.200349,11.5269672,1,,,,,,Wells,"Gutmannstrasse in Munich, Germany",,german_fires_munich_locations,f04d6918a203c33b412f595f67887ff8,german_fires_munich_locations__d27a306ee58f620d8c2b2a338d272d62
