company,guid,company_caption,tier,location,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
athenex,fb32b566059545f0124e4fb8015fb69b,Athenex,Other,"Buffalo, NY, USA",42.8864468,-78.8783689,Media,Athenex,,us_sec_company,5a8cd58cb89230612ce6df6054ae2a68,us_sec_company__5a8cd58cb89230612ce6df6054ae2a68
athersys,3043cf2e3e760013676b062311182141,Athersys,Other,"Cleveland, OH, USA",41.49932,-81.6943605,Organization,Athersys,,us_sec_company,64069a149c0356f0ffb71f58a5dc87f5,us_sec_company__64069a149c0356f0ffb71f58a5dc87f5
atkore international group,4139e1da619e15c7967f1abf80705e77,Atkore International Group,Other,"Harvey, IL, USA",41.6100344,-87.6467131,News,Atkore International Group,,us_sec_company,71228cd0c1348a2088071a5413c166ca,us_sec_company__71228cd0c1348a2088071a5413c166ca
atlantic american corp,af90d4c1f3b0ddf8f1514bd0e967738f,Atlantic American,Other,"Atlanta, GA, USA",33.7489954,-84.3879824,AAEntity,Atlantic American,,us_sec_company,2a58c9712afbeddd23e91d753da0199a,us_sec_company__2a58c9712afbeddd23e91d753da0199a
atlantic capital bancshares,06ff3e399207a2c9c2fdf854777104a6,Atlantic Capital Bancshares,Other,"Atlanta, GA, USA",33.7489954,-84.3879824,Keyphrase,Atlantic Capital Bancshares,,us_sec_company,3ef9d75b6849bb9c5c235d8a8f98af0e,us_sec_company__3ef9d75b6849bb9c5c235d8a8f98af0e
atlantic power corp,b97f2c82f090f92fc51dd6ddff1d5d0e,Atlantic Power,Other,"Dedham, MA, USA",42.2436085,-71.1676536,Exec,Atlantic Power,,us_sec_company,ac472de4a606a9b5e5b2849bb2cba02f,us_sec_company__ac472de4a606a9b5e5b2849bb2cba02f
atlanticus holdings corp,e4c66ec25da33567642f5c4e052a62c0,Atlanticus Holdings,Other,"Atlanta, GA, USA",33.7489954,-84.3879824,Wells,Atlanticus Holdings,,us_sec_company,4b5e8e3b9f0502a072bb6d76cff56ee1,us_sec_company__4b5e8e3b9f0502a072bb6d76cff56ee1
atlas air worldwide holdings,110799c4caec30148250e77993767f1c,Atlas Air Worldwide Holdings,Other,"Purchase, NY, USA",41.0400135,-73.7144477,Organization,Atlas Air Worldwide Holdings,,us_sec_company,fd0f92220e72f0cfc33649bd4f12a3d8,us_sec_company__fd0f92220e72f0cfc33649bd4f12a3d8
atlassian corp,35a45188f9e78b1540dd2874d754ba49,Atlassian  Plc,Other,"London, Greater London, UK",51.5073509,-0.1277583,Person,Atlassian  Plc,,us_sec_company,8e45105c087bf8fe6877f8248bd0047b,us_sec_company__8e45105c087bf8fe6877f8248bd0047b
atmos energy,a0b5ebc872504caa80c88d7d3be35bc6,Atmos Energy,Tier 2,"Dallas, TX, USA",32.7766642,-96.7969879,News,Atmos Energy,,us_sec_company,2ba93e4e7cc5ac458e1ba6e5f9357754,us_sec_company__2ba93e4e7cc5ac458e1ba6e5f9357754
atn international,6a4d3a839929f0b97e6a9d5ef53c72e1,ATN International,Other,"Beverly, MA, USA",42.5584283,-70.880049,DiplomaticFacilities,ATN International,,us_sec_company,dc90ed82ed3d82108a4043e8c7976e0c,us_sec_company__dc90ed82ed3d82108a4043e8c7976e0c
atreca,b8c0b3cc7a8632ca449f307760813542,Atreca,Other,"Redwood City, CA, USA",37.4847955,-122.228141,CompanyKeyword,Atreca,,us_sec_company,7460e75d027c6ee771f26f40bd8d74ac,us_sec_company__7460e75d027c6ee771f26f40bd8d74ac
atricure,7ea42ef69bde4998e6264a25bdd231ce,AtriCure,Other,"Mason, OH, USA",39.3600586,-84.309939,Pipeline,AtriCure,,us_sec_company,ff17fa79a027bac34622e8351785b022,us_sec_company__ff17fa79a027bac34622e8351785b022
atrion corp,54e204a9d08d6b3e1246ebd97712fb53,Atrion,Other,"Allen, TX, USA",33.1031744,-96.6705503,Diplomat,Atrion,,us_sec_company,be8134c4620d792dec5bff3eaec49a97,us_sec_company__be8134c4620d792dec5bff3eaec49a97
atrium health foundation,acbb6d75ebaa095b6704fdd2db38e352,Atrium Health,Tier 2,"Charlotte, NC, USA",35.2270869,-80.8431267,Refinery,Atrium Health,,us_sec_company,50c35e8594d5062020fc3109dde8f3ae,us_sec_company__50c35e8594d5062020fc3109dde8f3ae
atyr pharma,34b475d85b7cb592c7a8fc7515378571,aTyr Pharma,Other,"San Diego, CA, USA",32.715738,-117.1610838,CompanyKeyword,aTyr Pharma,,us_sec_company,786afa3a7cb3955d7af3e7d89587928f,us_sec_company__786afa3a7cb3955d7af3e7d89587928f
auburn national bancorporation,4a8343a258e82360a04c902f232ebb56,Auburn National Bancorporation,Other,"Auburn, AL, USA",32.6098566,-85.4807825,Exec,Auburn National Bancorporation,,us_sec_company,7d415ceef59f3ba6858bcbc49b7bcdd8,us_sec_company__7d415ceef59f3ba6858bcbc49b7bcdd8
