german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
troppauer str.,"Troppauer Strasse in Dortmund, Germany",51.4767216,7.4491221,1,,,,,,Organization,"Troppauer Strasse in Dortmund, Germany",,german_fires_dortmund_locations,83528aa732370244d507993703c94d4c,german_fires_dortmund_locations__83528aa732370244d507993703c94d4c
trumweg,"Trumweg in Dortmund, Germany",51.4978886,7.5358022,1,,,,,,FTO,"Trumweg in Dortmund, Germany",,german_fires_dortmund_locations,37a1f67d6b0f934080e29d20d6be72e7,german_fires_dortmund_locations__37a1f67d6b0f934080e29d20d6be72e7
tschechischer weg,"Tschechischer Weg in Dortmund, Germany",51.5104071,7.5287199,1,,,,,,DiplomaticFacilities,"Tschechischer Weg in Dortmund, Germany",,german_fires_dortmund_locations,ea34b8a15350e26fdcc0ed68ad51eb93,german_fires_dortmund_locations__ea34b8a15350e26fdcc0ed68ad51eb93
tucholskystr.,"Tucholskystrasse in Dortmund, Germany",51.5070147,7.5028754,1,,,,,,ForeignMinister,"Tucholskystrasse in Dortmund, Germany",,german_fires_dortmund_locations,48510c34bb67111656bf82d7d6a58e2d,german_fires_dortmund_locations__48510c34bb67111656bf82d7d6a58e2d
tullstr.,"Tullstrasse in Dortmund, Germany",51.493216,7.4967572,1,,,,,,ForeignMinistry,"Tullstrasse in Dortmund, Germany",,german_fires_dortmund_locations,dff4990901b6574af0a72415b35739fd,german_fires_dortmund_locations__dff4990901b6574af0a72415b35739fd
tulpenstr.,"Tulpenstrasse in Dortmund, Germany",51.4810919,7.5921849,1,,,,,,Legislator,"Tulpenstrasse in Dortmund, Germany",,german_fires_dortmund_locations,14e25a2911f886bd8073b43b0876509b,german_fires_dortmund_locations__14e25a2911f886bd8073b43b0876509b
tunnel berghofen,"Tunnel Berghofen in Dortmund, Germany",51.4781727,7.5387661,1,,,,,,Pipeline,"Tunnel Berghofen in Dortmund, Germany",,german_fires_dortmund_locations,cec4c506c1ee248740984849ee7f165f,german_fires_dortmund_locations__cec4c506c1ee248740984849ee7f165f
tunnel wambel,"Tunnel Wambel in Dortmund, Germany",51.5158507,7.5202761,1,,,,,,Media,"Tunnel Wambel in Dortmund, Germany",,german_fires_dortmund_locations,19beee8a8f1a9600e673b2b2f7d8c257,german_fires_dortmund_locations__19beee8a8f1a9600e673b2b2f7d8c257
tunnelweg,"Tunnelweg in Dortmund, Germany",51.479179,7.5642445,1,,,,,,FTO,"Tunnelweg in Dortmund, Germany",,german_fires_dortmund_locations,0c977a922dc115dc71dc1f964ae05cf2,german_fires_dortmund_locations__0c977a922dc115dc71dc1f964ae05cf2
turiner weg,"Turiner Weg in Dortmund, Germany",51.4991813,7.5251674,1,,,,,,Pipeline,"Turiner Weg in Dortmund, Germany",,german_fires_dortmund_locations,3285840c28735978695d1fe76c6cff80,german_fires_dortmund_locations__3285840c28735978695d1fe76c6cff80
turkisweg,"Turkisweg in Dortmund, Germany",51.4724044,7.52687,1,,,,,,Pipeline,"Turkisweg in Dortmund, Germany",,german_fires_dortmund_locations,6be80cdaa3de02a9905faafda005910a,german_fires_dortmund_locations__6be80cdaa3de02a9905faafda005910a
turmalinweg,"Turmalinweg in Dortmund, Germany",51.471459,7.5296341,1,,,,,,Shipping,"Turmalinweg in Dortmund, Germany",,german_fires_dortmund_locations,6ac405bb2fa92c5f54c70b97c1e94574,german_fires_dortmund_locations__6ac405bb2fa92c5f54c70b97c1e94574
turmfalkenstr.,"Turmfalkenstrasse in Dortmund, Germany",51.4429803,7.5248051,1,,,,,,News,"Turmfalkenstrasse in Dortmund, Germany",,german_fires_dortmund_locations,734ab82bc47d831b29982adbfbbeead4,german_fires_dortmund_locations__734ab82bc47d831b29982adbfbbeead4
turnweg,"Turnweg in Dortmund, Germany",51.4933143,7.4551878,1,,,,,,IndustryTerm,"Turnweg in Dortmund, Germany",,german_fires_dortmund_locations,2ef1c981d20a9b319cb6a5418ea1a56d,german_fires_dortmund_locations__2ef1c981d20a9b319cb6a5418ea1a56d
tuselmannweg,"Tuselmannweg in Dortmund, Germany",51.4740513,7.4968091,1,,,,,,Media,"Tuselmannweg in Dortmund, Germany",,german_fires_dortmund_locations,c91f3d01544955145ce7e9a54706ab7c,german_fires_dortmund_locations__c91f3d01544955145ce7e9a54706ab7c
tutenweg,"Tutenweg in Dortmund, Germany",51.4724694,7.4228079,1,,,,,,Pipeline,"Tutenweg in Dortmund, Germany",,german_fires_dortmund_locations,811cb641622c510685072edc6117bd1f,german_fires_dortmund_locations__811cb641622c510685072edc6117bd1f
