keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
l'Norvège,norway,norway,Country,Country,norway,,dgm_traveladvisories_country_fr,e6e6854f6b71f43039d3994aca352307,dgm_traveladvisories_country_fr__e6e6854f6b71f43039d3994aca352307
l'Oman,oman,oman,Country,Country,oman,,dgm_traveladvisories_country_fr,ad437fd2f44c7b3f8208a162604d81d0,dgm_traveladvisories_country_fr__ad437fd2f44c7b3f8208a162604d81d0
l'Pakistan,pakistan,pakistan,Country,Country,pakistan,,dgm_traveladvisories_country_fr,4e075844d2e00e4c800c8c62716bed8c,dgm_traveladvisories_country_fr__4e075844d2e00e4c800c8c62716bed8c
l'Panama,panama,panama,Country,Country,panama,,dgm_traveladvisories_country_fr,a0420c052acb3a75b05456fabf9093dc,dgm_traveladvisories_country_fr__a0420c052acb3a75b05456fabf9093dc
l'Papouasie-Nouvel-Guinée,papua new guinea,papua new guinea,Country,Country,papua new guinea,,dgm_traveladvisories_country_fr,57d05594d903f17eb3074a0121860369,dgm_traveladvisories_country_fr__57d05594d903f17eb3074a0121860369
l'Paraguay,paraguay,paraguay,Country,Country,paraguay,,dgm_traveladvisories_country_fr,3bafbfd8bf5ecf4c4a1b6e1df1ad8ec6,dgm_traveladvisories_country_fr__3bafbfd8bf5ecf4c4a1b6e1df1ad8ec6
l'Pérou,peru,peru,Country,Country,peru,,dgm_traveladvisories_country_fr,32e8419a7ecb8f918c70fdadf783e3d8,dgm_traveladvisories_country_fr__32e8419a7ecb8f918c70fdadf783e3d8
l'Philippines,philippines,philippines,Country,Country,philippines,,dgm_traveladvisories_country_fr,c894df42aa06fcb0e8e3ff55b71b33fd,dgm_traveladvisories_country_fr__c894df42aa06fcb0e8e3ff55b71b33fd
l'Pologne,poland,poland,Country,Country,poland,,dgm_traveladvisories_country_fr,6f08c5ddcdd0be06d83aa3e0e3d5a09e,dgm_traveladvisories_country_fr__6f08c5ddcdd0be06d83aa3e0e3d5a09e
l'Portugal,portugal,portugal,Country,Country,portugal,,dgm_traveladvisories_country_fr,ae0eea6eb6d63f98da42de867c47a0f8,dgm_traveladvisories_country_fr__ae0eea6eb6d63f98da42de867c47a0f8
l'Qatar,qatar,qatar,Country,Country,qatar,,dgm_traveladvisories_country_fr,7d8ca47bbe17ba692ed007c859ba51b1,dgm_traveladvisories_country_fr__7d8ca47bbe17ba692ed007c859ba51b1
