keyword,caption_name,location_lower,Lat/Long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#la_granja,La Granja,la granja,"-33.5378, -70.6207",AAEntity,La Granja,,dgm_santiago_commune,f35b6dd99ed4da738b4f7cd9c14cc4ed,dgm_santiago_commune__f35b6dd99ed4da738b4f7cd9c14cc4ed
#la_pintana,La Pintana,la pintana,"-33.5856, -70.6286",space,La Pintana,,dgm_santiago_commune,32fc784e19c24c179cecc6e2dc17d5cf,dgm_santiago_commune__32fc784e19c24c179cecc6e2dc17d5cf
#la_reina,La Reina,la reina,"-33.4411, -70.5341",Consulates,La Reina,,dgm_santiago_commune,810f2c41b6c27d22de45498c5136969f,dgm_santiago_commune__810f2c41b6c27d22de45498c5136969f
#las_condes,Las Condes,las condes,"-33.4079, -70.5451",Keyphrase,Las Condes,,dgm_santiago_commune,a841c8d0ab516483928c406384631f16,dgm_santiago_commune__a841c8d0ab516483928c406384631f16
#lo_barnechea,Lo Barnechea,lo barnechea,"-33.3527, -70.5185",space,Lo Barnechea,,dgm_santiago_commune,373485ba71995bd5ecb28ffa81739b5c,dgm_santiago_commune__373485ba71995bd5ecb28ffa81739b5c
#lo_espejo,Lo Espejo,lo espejo,"-33.5220, -70.6906",News,Lo Espejo,,dgm_santiago_commune,2106814f0c55abe88e82f9c347d42c55,dgm_santiago_commune__2106814f0c55abe88e82f9c347d42c55
#lo_prado,Lo Prado,lo prado,"-33.4443, -70.7233",Diplomat,Lo Prado,,dgm_santiago_commune,4261dcf7b07ae7c3dc9c05633c87133c,dgm_santiago_commune__4261dcf7b07ae7c3dc9c05633c87133c
#macul,Macul,macul,"-33.4851, -70.5992",Keyphrase,Macul,,dgm_santiago_commune,60162c549191e16d616c4b64ef96ee68,dgm_santiago_commune__60162c549191e16d616c4b64ef96ee68
#maipú,Maipu,maipu,"-33.5106, -70.7573",CompanyKeyword,Maipu,,dgm_santiago_commune,37a16e5d2d50e43f9b736963b1d74e0e,dgm_santiago_commune__37a16e5d2d50e43f9b736963b1d74e0e
#ñuñoa,Nunoa,nunoa,"-33.4564, -70.6030",Diplomat,Nunoa,,dgm_santiago_commune,400b8a144c0cd9c0908b816db90b6b0b,dgm_santiago_commune__400b8a144c0cd9c0908b816db90b6b0b
