handle,caption_name,location,groups,entity_type,location_lower,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
indiainsl,Indian Embassy in Sri Lanka,Sri Lanka,sri lanka;india,Embassies & Consulates,sri lanka,sri lanka;india;slg;og,,Embassies&Consulates,Indian Embassy in Sri Lanka,,dos_mentions_entities,ed3428e3b576d04ed440bce3b19812e6,dos_mentions_entities__ed3428e3b576d04ed440bce3b19812e6
hcicanberra,Indian Embassy in Australia,Australia,australia;india,Embassies & Consulates,australia,australia;india;slg;og,,Embassies&Consulates,Indian Embassy in Australia,,dos_mentions_entities,8438db4016c83386a001dcc4f97fcf2f,dos_mentions_entities__8438db4016c83386a001dcc4f97fcf2f
nlinkenya,Netherlands Embassy in Kenya,Kenya,kenya;netherlands,Embassies & Consulates,kenya,kenya;netherlands;slg;og,,Embassies&Consulates,Netherlands Embassy in Kenya,,dos_mentions_entities,73c7c7d9eef128b5e6cd618dc1a594bd,dos_mentions_entities__73c7c7d9eef128b5e6cd618dc1a594bd
kazakhemb_il,Kazakh Embassy in Israel,Israel,israel;kazakhstan,Embassies & Consulates,israel,israel;kazakhstan;slg;og,,Embassies&Consulates,Kazakh Embassy in Israel,,dos_mentions_entities,24cfa1eabb3db7d66d123dc11e779c9b,dos_mentions_entities__24cfa1eabb3db7d66d123dc11e779c9b
embaguape,Guatemalan Embassy in Peru,Peru,peru;guatemala,Embassies & Consulates,peru,peru;guatemala;slg;og,,Embassies&Consulates,Guatemalan Embassy in Peru,,dos_mentions_entities,bb04d76305d90844aeaafcba6339a00c,dos_mentions_entities__bb04d76305d90844aeaafcba6339a00c
mdvinpakistan,Maldivian Embassy in Pakistan,Pakistan,pakistan;maldives,Embassies & Consulates,pakistan,pakistan;maldives;slg;og,,Embassies&Consulates,Maldivian Embassy in Pakistan,,dos_mentions_entities,1f5551b230ff518514fc9512d6bd0f97,dos_mentions_entities__1f5551b230ff518514fc9512d6bd0f97
cgesparis,"Spanish Consulate in Paris, France",France,france;spain,Embassies & Consulates,france,france;spain;slg;og,,Embassies&Consulates,"Spanish Consulate in Paris, France",,dos_mentions_entities,f18c93e5db131422ba9caf8d52064286,dos_mentions_entities__f18c93e5db131422ba9caf8d52064286
embespnoruega,Spanish Embassy in Norway,Norway,norway;spain,Embassies & Consulates,norway,norway;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Norway,,dos_mentions_entities,24c5d64de4a0619a1aac034d2868fd6a,dos_mentions_entities__24c5d64de4a0619a1aac034d2868fd6a
chinamission2un,Chinese Mission to UN in New York,United States,united states;china;un,Embassies & Consulates,united states,united states;china;un;slg;og,,Embassies&Consulates,Chinese Mission to UN in New York,,dos_mentions_entities,6d81411c877ab493ac8c787a4cee2672,dos_mentions_entities__6d81411c877ab493ac8c787a4cee2672
coglosangeles,"Spanish Consulate in Los Angeles, CA",United States,united states;spain,Embassies & Consulates,united states,united states;spain;slg;og,,Embassies&Consulates,"Spanish Consulate in Los Angeles, CA",,dos_mentions_entities,143c948105c29629bfccaaeb97d19477,dos_mentions_entities__143c948105c29629bfccaaeb97d19477
embacubacol,Cuban Embassy in Colombia,Colombia,colombia;cuba,Embassies & Consulates,colombia,colombia;cuba;slg;og,,Embassies&Consulates,Cuban Embassy in Colombia,,dos_mentions_entities,d8342215edbb13cca71ad14c6f56b3ab,dos_mentions_entities__d8342215edbb13cca71ad14c6f56b3ab
embespmex,Spanish Embassy in Mexico,Mexico,mexico;spain,Embassies & Consulates,mexico,mexico;spain;slg;og,,Embassies&Consulates,Spanish Embassy in Mexico,,dos_mentions_entities,d7c90ad7f9b098d14cbb951984017b2c,dos_mentions_entities__d7c90ad7f9b098d14cbb951984017b2c
irlemboslo,Irish Embassy in Norway,Norway,norway;ireland,Embassies & Consulates,norway,norway;ireland;slg;og,,Embassies&Consulates,Irish Embassy in Norway,,dos_mentions_entities,4d35a6c53c834d61d2b7677d8577d014,dos_mentions_entities__4d35a6c53c834d61d2b7677d8577d014
mdvinsrilanka,Maldivian Embassy in Sri Lanka,Sri Lanka,sri lanka;maldives,Embassies & Consulates,sri lanka,sri lanka;maldives;slg;og,,Embassies&Consulates,Maldivian Embassy in Sri Lanka,,dos_mentions_entities,c9a3c5262347f0a5cabf25de8162608d,dos_mentions_entities__c9a3c5262347f0a5cabf25de8162608d
spainosce,Spanish Representative to OSCE,Finland,finland;spain,Embassies & Consulates,finland,finland;spain;slg;og,,Embassies&Consulates,Spanish Representative to OSCE,,dos_mentions_entities,948ed7901fc6a91546067102585792ea,dos_mentions_entities__948ed7901fc6a91546067102585792ea
ksaembassykm,Saudi Embassy in Comoros,Comoros,comoros;saudi arabia,Embassies & Consulates,comoros,comoros;saudi arabia;slg;og,,Embassies&Consulates,Saudi Embassy in Comoros,,dos_mentions_entities,aee8a273803dea6d2552817bd239170d,dos_mentions_entities__aee8a273803dea6d2552817bd239170d
cgimandalay,"Indian Consulate in Mandalay, Myanmar",Myanmar,myanmar;india,Embassies & Consulates,myanmar,myanmar;india;slg;og,,Embassies&Consulates,"Indian Consulate in Mandalay, Myanmar",,dos_mentions_entities,29d8b58b3b04cc454ce3eb5ee9784bd6,dos_mentions_entities__29d8b58b3b04cc454ce3eb5ee9784bd6
ksaembassyasm,Saudi Embassy in Eritrea,Eritrea,eritrea;saudi arabia,Embassies & Consulates,eritrea,eritrea;saudi arabia;slg;og,,Embassies&Consulates,Saudi Embassy in Eritrea,,dos_mentions_entities,b9255fe329fb52a8efee3cf133376f47,dos_mentions_entities__b9255fe329fb52a8efee3cf133376f47
ksaembassyosl,Saudi Embassy in Norway,Norway,norway;saudi arabia,Embassies & Consulates,norway,norway;saudi arabia;slg;og,,Embassies&Consulates,Saudi Embassy in Norway,,dos_mentions_entities,79b099d935696e55acac61a2365b96c8,dos_mentions_entities__79b099d935696e55acac61a2365b96c8
ksaconsulatetr,"Saudi Consulate in Istanbul, Turkey",Turkey,turkey;saudi arabia,Embassies & Consulates,turkey,turkey;saudi arabia;slg;og,,Embassies&Consulates,"Saudi Consulate in Istanbul, Turkey",,dos_mentions_entities,f3391889cb3c34d6533520a6188057a9,dos_mentions_entities__f3391889cb3c34d6533520a6188057a9
ksaembassyqatar,Saudi Embassy in Qatar,Qatar,qatar;saudi arabia,Embassies & Consulates,qatar,qatar;saudi arabia;slg;og,,Embassies&Consulates,Saudi Embassy in Qatar,,dos_mentions_entities,52fb9f168a117a4a7ec41ef27f4ee00b,dos_mentions_entities__52fb9f168a117a4a7ec41ef27f4ee00b
ksaembassykorea,Saudi Embassy in South Korea,South Korea,south korea;saudi arabia,Embassies & Consulates,south korea,south korea;saudi arabia;slg;og,,Embassies&Consulates,Saudi Embassy in South Korea,,dos_mentions_entities,0446670e8bdb983fb99f9d0b1b7b32aa,dos_mentions_entities__0446670e8bdb983fb99f9d0b1b7b32aa
monembpyongyang,Mongolian Embassy in North Korea,North Korea,north korea;saudi arabia,Embassies & Consulates,north korea,north korea;saudi arabia;slg;og,,Embassies&Consulates,Mongolian Embassy in North Korea,,dos_mentions_entities,9fe34a93b7d114d80640e128492899ab,dos_mentions_entities__9fe34a93b7d114d80640e128492899ab
