permalink,caption_name,chinatagging_location,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
6027768233,Cangzhou Water Affairs Bureau,zhangzhousichuan,"Zhangzhou, Sichuan, China",Media,Cangzhou Water Affairs Bureau,,dgm_watersupplysources,89dc0913dc8ba9beca11e83f1c0ce175,dgm_watersupplysources__89dc0913dc8ba9beca11e83f1c0ce175
2865159112,Minhang Water Affairs Bureau,minhangshanghai,"Minhang district in Shanghai, China",Shipping,Minhang Water Affairs Bureau,,dgm_watersupplysources,cc29f2aba3294895adaeaddf9c14577e,dgm_watersupplysources__cc29f2aba3294895adaeaddf9c14577e
3488809262,Nangang Water Company,tianjintianjin,"Tianjin, China",Media,Nangang Water Company,,dgm_watersupplysources,441d3058682e6c90c17a92614842a6bc,dgm_watersupplysources__441d3058682e6c90c17a92614842a6bc
5460824406,Pingliang Water Affairs Bureau,pinglianggansu,"Pingliang, Gansu, China",ForeignMinistry,Pingliang Water Affairs Bureau,,dgm_watersupplysources,5dab19e2c1be80b26ced3c7b51a2402a,dgm_watersupplysources__5dab19e2c1be80b26ced3c7b51a2402a
5014700716,Pingluo Water Affairs Bureau,pingluoshizuishan,"Pingluo county in Shizuishan, Ningxia, China",Exec,Pingluo Water Affairs Bureau,,dgm_watersupplysources,3162c9b03cb6257ad911d9935f3bdfe1,dgm_watersupplysources__3162c9b03cb6257ad911d9935f3bdfe1
5770030162,Yucheng Water Affairs Bureau,yuchengshandong,"Yucheng, Shandong, China",Refinery,Yucheng Water Affairs Bureau,,dgm_watersupplysources,a3fce8d92491986aa319c2ff4eb76651,dgm_watersupplysources__a3fce8d92491986aa319c2ff4eb76651
2597969134,Jiading Water Affairs Bureau,jiadingshanghai,"Jiading district in Shanghai, China",Organization,Jiading Water Affairs Bureau,,dgm_watersupplysources,865b22e1aa9e22516fec4901dd02bf29,dgm_watersupplysources__865b22e1aa9e22516fec4901dd02bf29
3248625825,Tianjin Water Affairs Bureau,tianjintianjin,"Tianjn, China",Organization,Tianjin Water Affairs Bureau,,dgm_watersupplysources,1e43a3e28fef5e32a72d225487fe61ce,dgm_watersupplysources__1e43a3e28fef5e32a72d225487fe61ce
1510025371,Togtoh Water Affairs Bureau,togtohhohhot,"Togtoh county in Hohhot, Inner Mongolia, China",Consulates,Togtoh Water Affairs Bureau,,dgm_watersupplysources,7a0e6c7480fadb65eb5385fdb8d951ec,dgm_watersupplysources__7a0e6c7480fadb65eb5385fdb8d951ec
1705747807,Weifang Water Affairs Bureau,weifangshandong,"Weifang, Shandong, China",Refinery,Weifang Water Affairs Bureau,,dgm_watersupplysources,e3bfde6aaf8d3fa55eff9182c3ff1c83,dgm_watersupplysources__e3bfde6aaf8d3fa55eff9182c3ff1c83
1731090354,Heze Water Affairs Bureau,hezeshandong,"Heze, Shandong, China",DiplomaticFacilities,Heze Water Affairs Bureau,,dgm_watersupplysources,fbcdf400a6a2782195a5ed13ba3886b9,dgm_watersupplysources__fbcdf400a6a2782195a5ed13ba3886b9
1732069493,Tianjin Water Affairs Bureau,tianjintianjin,"Tianjn, China",Refinery,Tianjin Water Affairs Bureau,,dgm_watersupplysources,1e43a3e28fef5e32a72d225487fe61ce,dgm_watersupplysources__1e43a3e28fef5e32a72d225487fe61ce
1918330542,Shunyu Water Affairs Bureau,shunyibeijing,"Shunyi district in Beijing, China",space,Shunyu Water Affairs Bureau,,dgm_watersupplysources,1ffb12981b7626e0db42d5d78b29ffa7,dgm_watersupplysources__1ffb12981b7626e0db42d5d78b29ffa7
2100168201,Nanjing Water Affairs Bureau,nanjingjiangsu,"Nanjing, Jiangsu, China",CompanyKeyword,Nanjing Water Affairs Bureau,,dgm_watersupplysources,365b2d8729d1d8a5ef9d6f8592dd6351,dgm_watersupplysources__365b2d8729d1d8a5ef9d6f8592dd6351
2202699837,Beijing Water Bureau Engineering Construction and Management Office,beijingbeijing,"Beijing, China",Media,Beijing Water Bureau Engineering Construction and Management Office,,dgm_watersupplysources,434eebbd7b7fd872d7ea61667c18366d,dgm_watersupplysources__434eebbd7b7fd872d7ea61667c18366d
2203866445,Pujiang Water Affairs Bureau,pujiangchengdu,"Pujiang county in Chengdu, Sichuan, China",CompanyKeyword,Pujiang Water Affairs Bureau,,dgm_watersupplysources,7c93a7ce663c3d31babf48d747b9892b,dgm_watersupplysources__7c93a7ce663c3d31babf48d747b9892b
2286763562,Gaochun Water Affairs Bureau,gaochunnanjing,"Gaochun district in Nanjing, Jiangsu, China",Keyphrase,Gaochun Water Affairs Bureau,,dgm_watersupplysources,cbd36127aa0ba08ffb51b20fd2ef4228,dgm_watersupplysources__cbd36127aa0ba08ffb51b20fd2ef4228
2286763562,Gaochun Water Affairs Bureau,gaochunnanjing,"Gaochun district in Nanjing, Jiangsu, China",Legislator,Gaochun Water Affairs Bureau,,dgm_watersupplysources,cbd36127aa0ba08ffb51b20fd2ef4228,dgm_watersupplysources__cbd36127aa0ba08ffb51b20fd2ef4228
2405704391,Haidian Water Affairs Bureau,haidianbeijing,"Haidian district in Beijing, China",space,Haidian Water Affairs Bureau,,dgm_watersupplysources,5e5687953eca22ec1c31bca2e46fb4c6,dgm_watersupplysources__5e5687953eca22ec1c31bca2e46fb4c6
2480716355,Chengyang Water Affairs Bureau,chengyangqingdao,"Chengyang district in Qingdao, Shandong, China",LegislativeCommittee,Chengyang Water Affairs Bureau,,dgm_watersupplysources,5849e8dc1ef14df972686a0714b4e082,dgm_watersupplysources__5849e8dc1ef14df972686a0714b4e082
2515971173,Baoding Water Affairs Bureau,baodinghebei,"Baoding, Hebei, China",Legislator,Baoding Water Affairs Bureau,,dgm_watersupplysources,710e8527fa8de23b3c5eccfd22f77477,dgm_watersupplysources__710e8527fa8de23b3c5eccfd22f77477
2640455343,Qujing Water Affairs Bureau,qujingyunnan,"Qujing, Yunnan, China",FTO,Qujing Water Affairs Bureau,,dgm_watersupplysources,c0d54d9ae091e2495d53ee8d50adaa86,dgm_watersupplysources__c0d54d9ae091e2495d53ee8d50adaa86
2644642182,Fenyi Water Affairs Bureau,fenyixinyu,"Fenyi county in Xinyu, Jiangxi, China",Legislator,Fenyi Water Affairs Bureau,,dgm_watersupplysources,ea4231dd1be377f59ec4f96caf9ebf51,dgm_watersupplysources__ea4231dd1be377f59ec4f96caf9ebf51
2659652781,Humen Water Supply,dongguanguangdong,"Humen, Dongguan, Guangdong, China",News,Humen Water Supply,,dgm_watersupplysources,f7063afbd6c60553022f600e26530d6f,dgm_watersupplysources__f7063afbd6c60553022f600e26530d6f
2670826111,Dazu Water Affairs Bureau,dazuchongqing,"Dazu district in Chongqing, China",ForeignMinister,Dazu Water Affairs Bureau,,dgm_watersupplysources,7831e82b7818bb04a3ac0f3bc6e774e3,dgm_watersupplysources__7831e82b7818bb04a3ac0f3bc6e774e3
2675309261,Xin'an Water Affairs Bureau,xinanluoyang,"Xin'an county in Luoyang, Henan, China",CompanyKeyword,Xin'an Water Affairs Bureau,,dgm_watersupplysources,8c0912d55c338234f6d070d7bac99e89,dgm_watersupplysources__8c0912d55c338234f6d070d7bac99e89
2692468020,Dujiangyan Water Affairs Bureau,dujiangyansichuan,"Dujiangyan, Sichuan, China",Consulates,Dujiangyan Water Affairs Bureau,,dgm_watersupplysources,215d8c7fce6e8778cdc4c73b39ca227b,dgm_watersupplysources__215d8c7fce6e8778cdc4c73b39ca227b
2704156471,Nanchang Water Industry,nanchangjiangxi,"Nanchang, Jiangxi, China",ForeignMinister,Nanchang Water Industry,,dgm_watersupplysources,54836aa6db786117cfa2dc4ebe7524c6,dgm_watersupplysources__54836aa6db786117cfa2dc4ebe7524c6
2738837020,Humen Water Affairs Bureau,dongguanguangdong,"Humen, Dongguan, Guangdong, China",Shipping,Humen Water Affairs Bureau,,dgm_watersupplysources,f4f61cc34e700b70813f0f67f04540b7,dgm_watersupplysources__f4f61cc34e700b70813f0f67f04540b7
2740048090,Wudang Water Affairs Bureau,wudangguiyang,"Wudang district in Guiyang, Guizhou, China",LegislativeCommittee,Wudang Water Affairs Bureau,,dgm_watersupplysources,dc7839dc3c02a7aa9b2d234eb07f53f0,dgm_watersupplysources__dc7839dc3c02a7aa9b2d234eb07f53f0
2787413015,Zhanjiang Water Affairs Bureau,zhangjiangguangdong,"Zhangjiang, Guangdong, China",Legislator,Zhanjiang Water Affairs Bureau,,dgm_watersupplysources,70550a134d2111edc056fd6d5e599f8c,dgm_watersupplysources__70550a134d2111edc056fd6d5e599f8c
2847676135,Fangshan Water Affairs Bureau,fangshanbeijing,"Fangshan district in Beijing, China",ForeignMinister,Fangshan Water Affairs Bureau,,dgm_watersupplysources,9d2019786b0335ba6b40800c2194f9d5,dgm_watersupplysources__9d2019786b0335ba6b40800c2194f9d5
2847750317,Sucheng Water Affairs Bureau,suchengsuqian,"Sucheng district in Suqian, Jiangsu, China",Pipeline,Sucheng Water Affairs Bureau,,dgm_watersupplysources,92989e77e61602dec2b65168665ce336,dgm_watersupplysources__92989e77e61602dec2b65168665ce336
2859954822,Suzhou Qingyuan Huadi Water Company,suzhoujiangsu,"Suzhou, Jiangsu, China",Diplomat,Suzhou Qingyuan Huadi Water Company,,dgm_watersupplysources,d32f9c9a327375b65e86b89cd8feb6f4,dgm_watersupplysources__d32f9c9a327375b65e86b89cd8feb6f4
2860268745,Huairou Water Affairs Bureau,huairoubeijing,"Huairou district in Beijing, China",Organization,Huairou Water Affairs Bureau,,dgm_watersupplysources,f7d71b6ce8eee2d4a1981905baef16e8,dgm_watersupplysources__f7d71b6ce8eee2d4a1981905baef16e8
