permalink,caption_name,chinatagging_location,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
3983860979,Wudu Water Affairs Bureau,wudulongnan,"Wudu district in Longnan, Gansu, China",LegislativeCommittee,Wudu Water Affairs Bureau,,dgm_watersupplysources,7c1bfbfd5bee9bab3df39b81e6ee4132,dgm_watersupplysources__7c1bfbfd5bee9bab3df39b81e6ee4132
3984025574,Kang Water Affairs Bureau,longnangansu,"Longnan, Gansu, China",CompanyKeyword,Kang Water Affairs Bureau,,dgm_watersupplysources,9b0d91b6c0636f8f19dd38b033d40270,dgm_watersupplysources__9b0d91b6c0636f8f19dd38b033d40270
3986509530,Hui Water Affairs Bureau,longnangansu,"Longnan, Gansu, China",Media,Hui Water Affairs Bureau,,dgm_watersupplysources,01ef1280c615c66600b2c1facc347b10,dgm_watersupplysources__01ef1280c615c66600b2c1facc347b10
5024819003,Daqing Water Affairs Bureau,daqingheilongjiang,"Daqing, Heilongjiang, China",News,Daqing Water Affairs Bureau,,dgm_watersupplysources,3ca9087432473a91a47ed6e11f3004cd,dgm_watersupplysources__3ca9087432473a91a47ed6e11f3004cd
5028302289,Shandong Provincial Water Resources Department,qingdaoshandong,"Shandong, China",Legislator,Shandong Provincial Water Resources Department,,dgm_watersupplysources,b240927333475be81e7c427ac7ecaeda,dgm_watersupplysources__b240927333475be81e7c427ac7ecaeda
5028302289,Shandong Provincial Water Resources Department,qingdaoshandong,"Shandong, China",AAEntity,Shandong Provincial Water Resources Department,,dgm_watersupplysources,b240927333475be81e7c427ac7ecaeda,dgm_watersupplysources__b240927333475be81e7c427ac7ecaeda
5047518119,Daoli Water Affairs Bureau,daoliharbin,"Daoli district in Harbin, Heilongjiang, China",News,Daoli Water Affairs Bureau,,dgm_watersupplysources,d6d427d630967c9894e75c277f576daf,dgm_watersupplysources__d6d427d630967c9894e75c277f576daf
5051662971,Changchun Water Resources,changchunjilin,"Changchun, Jilin, China",Person,Changchun Water Resources,,dgm_watersupplysources,710d0115a62a672d8608459b6bf843c1,dgm_watersupplysources__710d0115a62a672d8608459b6bf843c1
5067388798,Liangdang Water Affairs Bureau,liangdangweinan,"Liangdang county in Weinan, Gansu, China",CompanyKeyword,Liangdang Water Affairs Bureau,,dgm_watersupplysources,9700e0a3a6de5e421f7670e3262d5312,dgm_watersupplysources__9700e0a3a6de5e421f7670e3262d5312
5067971475,Nanbu Water Supply Company,nanbunanchong,"Nanbu county in Nanchong, Sichuan, China",Wells,Nanbu Water Supply Company,,dgm_watersupplysources,1f8f48a3c036859b8650350ed7ca4142,dgm_watersupplysources__1f8f48a3c036859b8650350ed7ca4142
5090869240,Yichun Water Affairs Bureau,yichunheilongjiang,"Yichun, Heilongjiang, China",LegislativeCommittee,Yichun Water Affairs Bureau,,dgm_watersupplysources,b6771646b88f14fd8df3c33fba91c3dd,dgm_watersupplysources__b6771646b88f14fd8df3c33fba91c3dd
5098331468,Xingyi Water Affairs Bureau,xingyiguizhou,"Xingyi, Guizhou, China",News,Xingyi Water Affairs Bureau,,dgm_watersupplysources,9adb52ae266e73ac154ff810ea7e121c,dgm_watersupplysources__9adb52ae266e73ac154ff810ea7e121c
5102492343,Ordos Water Affairs Bureau,ordosinner mongolia,"Ordos, Inner Mongolia, China",Exec,Ordos Water Affairs Bureau,,dgm_watersupplysources,b453b65847a7b5c2ee21ec57bdc5a9ff,dgm_watersupplysources__b453b65847a7b5c2ee21ec57bdc5a9ff
5103327066,Zizhong Water Affairs Bureau,zizhongneijiang,"Zizhong county in Neijiang, Sichuan, China",News,Zizhong Water Affairs Bureau,,dgm_watersupplysources,b0151a5149bb69b6d9a8a142a31819cf,dgm_watersupplysources__b0151a5149bb69b6d9a8a142a31819cf
5135165727,Mishan Water Affairs Bureau,mishanheilongjiang,"Mishan, Heilongjiang, China",LegislativeCommittee,Mishan Water Affairs Bureau,,dgm_watersupplysources,53df1eb949c8872ecdcb277f02698fc6,dgm_watersupplysources__53df1eb949c8872ecdcb277f02698fc6
5153382285,Dengfeng Water Affairs Bureau,dengfenghenan,"Dengfeng, Henan, China",ForeignMinister,Dengfeng Water Affairs Bureau,,dgm_watersupplysources,307096939be7df0e4405b4b6ff81075e,dgm_watersupplysources__307096939be7df0e4405b4b6ff81075e
5158596898,Puyang Water Affairs Bureau,puyanghenan,"Puyang, Henan, China",Legislator,Puyang Water Affairs Bureau,,dgm_watersupplysources,5b176c78de738deff8135d18e21198ef,dgm_watersupplysources__5b176c78de738deff8135d18e21198ef
5166199305,Jixi Water Affairs Bureau,jixixuancheng,"Jixi county in Xuancheng, Anhui, China",ForeignMinister,Jixi Water Affairs Bureau,,dgm_watersupplysources,f431b1dfc31e9492ca54070839b94e64,dgm_watersupplysources__f431b1dfc31e9492ca54070839b94e64
5166199305,Jixi Water Affairs Bureau,jixixuancheng,"Jixi county in Xuancheng, Anhui, China",Keyphrase,Jixi Water Affairs Bureau,,dgm_watersupplysources,f431b1dfc31e9492ca54070839b94e64,dgm_watersupplysources__f431b1dfc31e9492ca54070839b94e64
5170976425,Zhangye Water Affairs Bureau,zhangyegansu,"Zhangye, Gansu, China",space,Zhangye Water Affairs Bureau,,dgm_watersupplysources,bdfd7d551b47cd0e64beff6295440a81,dgm_watersupplysources__bdfd7d551b47cd0e64beff6295440a81
5173878249,Tumd Right Banner Water Affairs Bureau,baotouinnermongolia,"Baotou, Inner Mongolia, China",News,Tumd Right Banner Water Affairs Bureau,,dgm_watersupplysources,bc2c1c690f392f64de0fa512189acc6d,dgm_watersupplysources__bc2c1c690f392f64de0fa512189acc6d
5182425400,Huaibei Water Affairs Bureau,huaibeianhui,"Huaibei, Anhui, China",Shipping,Huaibei Water Affairs Bureau,,dgm_watersupplysources,e388d5f02db5cd624c2d3703439fffcf,dgm_watersupplysources__e388d5f02db5cd624c2d3703439fffcf
5185849106,Fuzhou Water Affairs Bureau,fuzhoufujian,"Fuzhou, Fujian, China",Person,Fuzhou Water Affairs Bureau,,dgm_watersupplysources,70f54fb0e85cc19e680269a34109a7e1,dgm_watersupplysources__70f54fb0e85cc19e680269a34109a7e1
5186861393,Qingfeng Water Affairs Bureau,xingyanghenan,"Xingyang, Henan, China",AAEntity,Qingfeng Water Affairs Bureau,,dgm_watersupplysources,44419f184f2fc11c1c2372a2599fb17e,dgm_watersupplysources__44419f184f2fc11c1c2372a2599fb17e
5193481854,Shangzhou Water Affairs Bureau,shangzhoushangluo,"Shangzhou district in Shangluo, Shaanxi, China",Organization,Shangzhou Water Affairs Bureau,,dgm_watersupplysources,a40cb9e166c90ef4751fa13b1ab31522,dgm_watersupplysources__a40cb9e166c90ef4751fa13b1ab31522
5198062302,Leping Water Affairs Bureau,lepingjiangxi,"Leping, Jiangxi, China",Wells,Leping Water Affairs Bureau,,dgm_watersupplysources,410cb32ef5bed2a67ee1928b50d9394e,dgm_watersupplysources__410cb32ef5bed2a67ee1928b50d9394e
5217176411,Yuping Water Affairs Bureau,yupingbaoding,"Yuping county in Baoding, Hebei, China",space,Yuping Water Affairs Bureau,,dgm_watersupplysources,d20f5641e5f4290320584499fb93bcdf,dgm_watersupplysources__d20f5641e5f4290320584499fb93bcdf
5239286810,Jining Water Affairs Bureau,jiningshandong,"Jining, Shandong, China",space,Jining Water Affairs Bureau,,dgm_watersupplysources,7194f1011a6267e8d755513af264927a,dgm_watersupplysources__7194f1011a6267e8d755513af264927a
5263763856,Xuchang Water Affairs Bureau,xuchanghenan,"Xuchang, Henan, China",Wells,Xuchang Water Affairs Bureau,,dgm_watersupplysources,06e98aabd8a67dcc6bcff89f051db2a0,dgm_watersupplysources__06e98aabd8a67dcc6bcff89f051db2a0
5271694512,Neihuang Water Affairs Bureau,neihuanganyang,"Neihuang county in Anyang, Henan, China",Wells,Neihuang Water Affairs Bureau,,dgm_watersupplysources,390c40f2bf7f609015d3cf9fb535f9f0,dgm_watersupplysources__390c40f2bf7f609015d3cf9fb535f9f0
5277045511,Yucheng Water Affairs Bureau,yuchengxuchang,"Yucheng county in Xuchang, Henan, China",Diplomat,Yucheng Water Affairs Bureau,,dgm_watersupplysources,a3fce8d92491986aa319c2ff4eb76651,dgm_watersupplysources__a3fce8d92491986aa319c2ff4eb76651
5287186703,Xianning Water Affairs Bureau,xianninghubei,"Xianning, Hubei, China",Person,Xianning Water Affairs Bureau,,dgm_watersupplysources,bb79b710456e249d015714c19ab1f586,dgm_watersupplysources__bb79b710456e249d015714c19ab1f586
5295495048,Lanxi Water Affairs Bureau,lanxizhejiang,"Lanxi, Zhejiang, China",FTO,Lanxi Water Affairs Bureau,,dgm_watersupplysources,48f65dc79a3ea0854e6ebc439e810711,dgm_watersupplysources__48f65dc79a3ea0854e6ebc439e810711
5327440655,Yanshan Water Affairs Bureau,yanshanzhangzhou,"Yanshan county in Zhangzhou, Hebei, China",Refinery,Yanshan Water Affairs Bureau,,dgm_watersupplysources,a2d8f0524740800a423ac7c5a09276b2,dgm_watersupplysources__a2d8f0524740800a423ac7c5a09276b2
5345412267,Hohhot Water Affairs Bureau,hohhotinner mongolia,"Hohhot, Inner Mongolia, China",Legislator,Hohhot Water Affairs Bureau,,dgm_watersupplysources,e20c1af6f644706ebf0924b760c67e2e,dgm_watersupplysources__e20c1af6f644706ebf0924b760c67e2e
5395364392,Wuzhong Water Affairs Bureau,wuzhongningxia,"Wuzhong, Ningxia, China",LegislativeCommittee,Wuzhong Water Affairs Bureau,,dgm_watersupplysources,fcd26529c19a9de51900996eababb48f,dgm_watersupplysources__fcd26529c19a9de51900996eababb48f
5445729386,Xiaochang Water Affairs Bureau,xiaochangxiaogan,"Xiaochang county in Xiaogan, Hubei, China",Keyphrase,Xiaochang Water Affairs Bureau,,dgm_watersupplysources,2f7ff72296b751d059c3b9bb11061879,dgm_watersupplysources__2f7ff72296b751d059c3b9bb11061879
5451423467,Qitaihe Water Affairs Bureau,qitaiheheilongjiang,"Qitaihe, Heilongjiang, China",Exec,Qitaihe Water Affairs Bureau,,dgm_watersupplysources,c0d58799d297a3eeb8dd48be03900523,dgm_watersupplysources__c0d58799d297a3eeb8dd48be03900523
5462034282,Nianzishan Water Affairs Bureau,nianzishanqiqihar,"Nianzishan district in Qiqihar, Heilongjiang, China",Exec,Nianzishan Water Affairs Bureau,,dgm_watersupplysources,86657851beaa03254ef6c2bcc7d15cf8,dgm_watersupplysources__86657851beaa03254ef6c2bcc7d15cf8
5463014045,Wucheng Water Affairs Bureau,wuchengjinhua,"Wucheng district in Jinhua, Zhejiang, China",Legislator,Wucheng Water Affairs Bureau,,dgm_watersupplysources,46c537f4cf1d6077b020c345d4629968,dgm_watersupplysources__46c537f4cf1d6077b020c345d4629968
5481582517,Lantian Water Affairs Bureau,lantianxian,"Lantian county in Xi'an, Shaanxi, China",Consulates,Lantian Water Affairs Bureau,,dgm_watersupplysources,f19ec546115a28c9a71b9af59a6df412,dgm_watersupplysources__f19ec546115a28c9a71b9af59a6df412
5486913137,Yan'an Water Affairs Bureau,yananshaanxi,"Yan'an, Shaanxi, China",AAEntity,Yan'an Water Affairs Bureau,,dgm_watersupplysources,9fb8d36f2794a0574c73da438708558d,dgm_watersupplysources__9fb8d36f2794a0574c73da438708558d
5540817607,Lizhou Water Affairs Bureau,lizhouguangyuan,"Lizhou district in Guangyuan, Sichuan, China",CompanyKeyword,Lizhou Water Affairs Bureau,,dgm_watersupplysources,87135f6849b9391a77a485d23dad7669,dgm_watersupplysources__87135f6849b9391a77a485d23dad7669
5562694009,Emeishan Water Affairs Bureau,emeishansichuan,"Emeishan, Sichuan, China",Diplomat,Emeishan Water Affairs Bureau,,dgm_watersupplysources,3eb3e96ffca45b4364a767ff7a521413,dgm_watersupplysources__3eb3e96ffca45b4364a767ff7a521413
5569725171,Tumed Left Banner Water Affairs Bureau,hohhotinnermongolia,"Hohhot, Inner Mongolia, China",Wells,Tumed Left Banner Water Affairs Bureau,,dgm_watersupplysources,3ae9e3521366825fe22290630736b1cd,dgm_watersupplysources__3ae9e3521366825fe22290630736b1cd
5580345124,Xinhe Water Affairs Bureau,xinhexingtai,"Xinhe county in Xingtai, Hebei, China",ForeignMinister,Xinhe Water Affairs Bureau,,dgm_watersupplysources,7dabea3ba2cccb18365263ac1a38f349,dgm_watersupplysources__7dabea3ba2cccb18365263ac1a38f349
5589111006,Duyun Water Affairs Bureau,duyunguizhou,"Duyun, Guizhou, China",Media,Duyun Water Affairs Bureau,,dgm_watersupplysources,66d6e6c4d9fd985beed0a84a8a141bb2,dgm_watersupplysources__66d6e6c4d9fd985beed0a84a8a141bb2
5598727609,Otog Water Affairs Bureau,ordosinnermongolia,"Ordos, Inner Mongolia, China",LegislativeCommittee,Otog Water Affairs Bureau,,dgm_watersupplysources,14b2376977c6984a80721fd27a3a0379,dgm_watersupplysources__14b2376977c6984a80721fd27a3a0379
5615841308,Wenshan Water Affairs Bureau,wenshanyunnan,"Wenshan, Yunnan, China",Exec,Wenshan Water Affairs Bureau,,dgm_watersupplysources,22db5725f59fc98d92c97ccf6fd09444,dgm_watersupplysources__22db5725f59fc98d92c97ccf6fd09444
5625621690,Alxa Left Banner Water Affairs Bureau,alxleftbannerinnermongolia,"Alxa Left Banner, Alxa League, Inner Mongolia",Pipeline,Alxa Left Banner Water Affairs Bureau,,dgm_watersupplysources,11700727d28e56fe4135bdd2858e375c,dgm_watersupplysources__11700727d28e56fe4135bdd2858e375c
5626249574,"Jiangbei Huadi Water Co., Ltd., Anhui Province",jiujiangwuhu,"Jiujiang district in Wuhu, Anhui, China",Consulates,"Jiangbei Huadi Water Co., Ltd., Anhui Province",,dgm_watersupplysources,5ff7b33796dccdd97a9248041709e322,dgm_watersupplysources__5ff7b33796dccdd97a9248041709e322
5628018462,Ganquan Water Affairs Bureau,ganquanyanan,"Ganquan county in Yan'an, Shaanxi, China",space,Ganquan Water Affairs Bureau,,dgm_watersupplysources,cf400894841f17ef464bab7acebcfdbb,dgm_watersupplysources__cf400894841f17ef464bab7acebcfdbb
5648278818,Shuicheng Water Affairs Bureau,shuichengliupanshui,"Shuicheng district in Liupanshui, Guizhou, China",Media,Shuicheng Water Affairs Bureau,,dgm_watersupplysources,5b1155308b8c250ff99decf486f4adaa,dgm_watersupplysources__5b1155308b8c250ff99decf486f4adaa
5653599830,Chang'an Water Affairs Bureau,changanxian,"Chang'an district in Xi'an, Shaanxi, China",Exec,Chang'an Water Affairs Bureau,,dgm_watersupplysources,031965a6b4cdcf527e8ef3e2bacaa772,dgm_watersupplysources__031965a6b4cdcf527e8ef3e2bacaa772
5654723710,Lijiang Water Affairs Bureau,lijiangyunnan,"Lijiang, Yunnan, China",Shipping,Lijiang Water Affairs Bureau,,dgm_watersupplysources,36d9e404f2f5a8ac3aeec2df5425b096,dgm_watersupplysources__36d9e404f2f5a8ac3aeec2df5425b096
5726377683,Hua Water Affairs Bureau,huaanyang,"Hua county in Anyang, Henan, China",LegislativeCommittee,Hua Water Affairs Bureau,,dgm_watersupplysources,d76806a083ffba66a45302a91baf3273,dgm_watersupplysources__d76806a083ffba66a45302a91baf3273
5746524443,Tianzhu Water Affairs Bureau,tianzhuqiandongnanmiaoanddongautonomousprefecture,"Tianzhu county in Qiandongnan Miao and Dong Autonomous Prefecture, Guizhou, China",ForeignMinister,Tianzhu Water Affairs Bureau,,dgm_watersupplysources,376014f4ae3d594554fa8dad1fb5848d,dgm_watersupplysources__376014f4ae3d594554fa8dad1fb5848d
5752762269,Cangzhou Water Supply Group,cangzhouhebei,"Cangzhou, Hebei, China",Refinery,Cangzhou Water Supply Group,,dgm_watersupplysources,d49ad6598794bfba258338214e124ba5,dgm_watersupplysources__d49ad6598794bfba258338214e124ba5
5799935636,Muling Water Affairs Bureau,mulingheilongjiang,"Muling, Heilongjiang, China",space,Muling Water Affairs Bureau,,dgm_watersupplysources,a406277a086c1a525a9cd71b4525640c,dgm_watersupplysources__a406277a086c1a525a9cd71b4525640c
5829202652,"Xiushan Tujia and Miao Autonomous County in Chongqing, Sichuan, China Water Affairs Bureau",xiushanchongqing,"Xiushan Tujia and Miao Autonomous County, Chongqing, China",Diplomat,"Xiushan Tujia and Miao Autonomous County in Chongqing, Sichuan, China Water Affairs Bureau",,dgm_watersupplysources,70a47ba8dc3d61d20dad494649724d06,dgm_watersupplysources__70a47ba8dc3d61d20dad494649724d06
5829202652,Jintang Water Affairs Bureau,jintangchengdu,"Jintang county in Chengdu, Sichuan, China",Media,Jintang Water Affairs Bureau,,dgm_watersupplysources,b447facb0b28ebfe3ec8e4aea72adac5,dgm_watersupplysources__b447facb0b28ebfe3ec8e4aea72adac5
5883878971,Nanyang Water Affairs Bureau,meilanhaikou,"Meilan district in Haikou, Hainan, China",AAEntity,Nanyang Water Affairs Bureau,,dgm_watersupplysources,cc8a64e561af89366854e47bc7f255d3,dgm_watersupplysources__cc8a64e561af89366854e47bc7f255d3
5886124075,Cao Water Affairs Bureau,caoheze,"Cao county in Heze, Shandong, China",CompanyKeyword,Cao Water Affairs Bureau,,dgm_watersupplysources,d42aeaed356b18723078b52dfda9233c,dgm_watersupplysources__d42aeaed356b18723078b52dfda9233c
5930586785,Guyuan Water Affairs Bureau,guyuanningxia,"Guyuan, Ningxia, China",Keyphrase,Guyuan Water Affairs Bureau,,dgm_watersupplysources,ee4ad3e343fe90c17616cdb20c3dad05,dgm_watersupplysources__ee4ad3e343fe90c17616cdb20c3dad05
5934170165,"Ningxia Liupanshan Water Co., Ltd.",yuanzhouguyuan,"Yuanzhou district in Guyuan, Ningxia, China",Shipping,"Ningxia Liupanshan Water Co., Ltd.",,dgm_watersupplysources,2e0ff6ddde8fa8d1b79b2504d50e29d2,dgm_watersupplysources__2e0ff6ddde8fa8d1b79b2504d50e29d2
5983110069,Nehe Water Affairs Bureau,neheheilongjiang,"Nehe, Heilongjiang, China",Media,Nehe Water Affairs Bureau,,dgm_watersupplysources,29bb94b7e364f548aca7f66c9f38729a,dgm_watersupplysources__29bb94b7e364f548aca7f66c9f38729a
5988097504,"Shandong Tianyi Water Co., Ltd. - Sewage Treatment",weifangshandong,"Weifang, Shandong, China",Refinery,"Shandong Tianyi Water Co., Ltd. - Sewage Treatment",,dgm_watersupplysources,f81fd53a579337a9ee9f3bb6f23be992,dgm_watersupplysources__f81fd53a579337a9ee9f3bb6f23be992
5999396177,Xiji Water Affairs Bureau,xijiguyuan,"Xiji county in Guyuan, Ningxia, China",FTO,Xiji Water Affairs Bureau,,dgm_watersupplysources,297ff3a20a47a562f83b3d087324c71a,dgm_watersupplysources__297ff3a20a47a562f83b3d087324c71a
6016017680,Yuanzhou Water Affairs Bureau,yuanzhouguyuan,"Yuanzhou district in Guyuan, Ningxia, China",Person,Yuanzhou Water Affairs Bureau,,dgm_watersupplysources,7f4a2268a60678550dd9736ef98cb345,dgm_watersupplysources__7f4a2268a60678550dd9736ef98cb345
6048604771,Pengyang Water Affairs Bureau,pengyangguyuan,"Pengyang county in Guyuan, Ningxia, China",space,Pengyang Water Affairs Bureau,,dgm_watersupplysources,aa0ec0326f9206542aa94a537c236475,dgm_watersupplysources__aa0ec0326f9206542aa94a537c236475
6069405292,Longde Water Affairs Bureau,longdeguyuan,"Longde county in Guyuan, Ningxia, China",Wells,Longde Water Affairs Bureau,,dgm_watersupplysources,82d9a5c9317fdd173893cdf14daa3133,dgm_watersupplysources__82d9a5c9317fdd173893cdf14daa3133
6079025184,Jiangkou Water Affairs Bureau,jiangkoutongren,"Jiangkou county in Tongren, Guizhou, China",Consulates,Jiangkou Water Affairs Bureau,,dgm_watersupplysources,43b59ed4d5013c62710d383888305a4c,dgm_watersupplysources__43b59ed4d5013c62710d383888305a4c
6092832475,Qujiang Water Affairs Bureau,qujiangshaoguan,"Qujiang district in Shaoguan, Guangdong, China",Person,Qujiang Water Affairs Bureau,,dgm_watersupplysources,90487b58a6ab599baa80f6532214314c,dgm_watersupplysources__90487b58a6ab599baa80f6532214314c
6102646264,Pengzhou Water Affairs Bureau,pengzhousichuan,"Pengzhou, Sichuan, China",Keyphrase,Pengzhou Water Affairs Bureau,,dgm_watersupplysources,ad8fee6e900fbb5f95793888af6ad71d,dgm_watersupplysources__ad8fee6e900fbb5f95793888af6ad71d
6161448000,Weichang Manchu and Mongolian Autonomous County Water Affairs Bureau,chengdehebei,"Weichang Manchu and Mongolian Autonomous County in Chengde, Hebei, China",Consulates,Weichang Manchu and Mongolian Autonomous County Water Affairs Bureau,,dgm_watersupplysources,82ba1f038e72afdcb1fb034abee5137d,dgm_watersupplysources__82ba1f038e72afdcb1fb034abee5137d
7094474790,Shanghai Water Outages,shanghaishanghai,"Shanghai, China",Pipeline,Shanghai Water Outages,,dgm_watersupplysources,4dd6d26b738bc90b543a89a94ee8e3a9,dgm_watersupplysources__4dd6d26b738bc90b543a89a94ee8e3a9
2867387362,Shenzhen Water Supply Group,shenzhenguangdong,"Shenzhen, Guangdong, China",ForeignMinister,Shenzhen Water Supply Group,,dgm_watersupplysources,11e51bf8ec08732ce25646ccacb2eaa8,dgm_watersupplysources__11e51bf8ec08732ce25646ccacb2eaa8
3558507232,Yongning Water Affairs Bureau,yongningyinchuan,"Yongning county in Yinchuan, Ningxia, China",CompanyKeyword,Yongning Water Affairs Bureau,,dgm_watersupplysources,f0d74ec417c5aa8c74e0d6289a60aadd,dgm_watersupplysources__f0d74ec417c5aa8c74e0d6289a60aadd
1972513750,Changzhou CGE Water Company,changzhoujiangsu,"Changzhou, Jiangsu, China",Person,Changzhou CGE Water Company,,dgm_watersupplysources,1da036bc9c61c1581e68b064d2f784c5,dgm_watersupplysources__1da036bc9c61c1581e68b064d2f784c5
5059770360,Guanghan Water Affairs Bureau,guanghansichuan,"Guanghan, Sichuan, China",DiplomaticFacilities,Guanghan Water Affairs Bureau,,dgm_watersupplysources,5a10d7faeefa20a87a0b4f454701701c,dgm_watersupplysources__5a10d7faeefa20a87a0b4f454701701c
