handle,caption_name,location,location_lower,type,exclude_groups,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mfaofarmenia,Armenian Foreign Ministry,Armenia,armenia,Foreign Ministry,,,armenia,ForeignMinistry,Armenian Foreign Ministry,,dgm_og_mentioner_v6,5b7786a31b3e2bb10bf86c08799c308b,dgm_og_mentioner_v6__5b7786a31b3e2bb10bf86c08799c308b
mfaofarmenia,Armenian Foreign Ministry,Armenia,armenia,Foreign Ministry,,,armenia,ForeignMinistry,Armenian Foreign Ministry,,dgm_og_mentioner_v6,5b7786a31b3e2bb10bf86c08799c308b,dgm_og_mentioner_v6__5b7786a31b3e2bb10bf86c08799c308b
arm_president,Armenian President Sarkissian,Armenia,armenia,Heads of State,,,armenia,HeadsOfState,Armenian President Sarkissian,,dgm_og_mentioner_v6,ebfa175082df6f2c6d8d85488a56bc43,dgm_og_mentioner_v6__ebfa175082df6f2c6d8d85488a56bc43
varuzhann,Armenian Ambassador to US,Armenia,armenia,Host Nation Ambassadors to US,,,armenia,HostNationAmbassadorsToUs,Armenian Ambassador to US,,dgm_og_mentioner_v6,8b9bd0403092fadd0417bc0b7907abc1,dgm_og_mentioner_v6__8b9bd0403092fadd0417bc0b7907abc1
lindasobehali,Palestinian Authority Ambassador to Carribbean,Aruba,aruba,Ambassadors & Representatives,,,aruba;palestinian territories,Ambassadors&Representatives,Palestinian Authority Ambassador to Carribbean,,dgm_og_mentioner_v6,a52d13ef6c5256ef5c5ff66bd31ed720,dgm_og_mentioner_v6__a52d13ef6c5256ef5c5ff66bd31ed720
evelynpmaruba,Aruban Prime Minister Wever-Croes,aruba,aruba,Heads of State,,,aruba,HeadsOfState,Aruban Prime Minister Wever-Croes,,dgm_og_mentioner_v6,53602a60523a4a6c7e71082fa9057c0a,dgm_og_mentioner_v6__53602a60523a4a6c7e71082fa9057c0a
georgedolidze1,Georgian Ambassador to Australia,Australia,australia,Ambassadors & Representatives,,,australia;georgia,Ambassadors&Representatives,Georgian Ambassador to Australia,,dgm_og_mentioner_v6,514603e3e4f787a56e7310a1924826aa,dgm_og_mentioner_v6__514603e3e4f787a56e7310a1924826aa
bchuluunhuu,Mongolian Ambassador to Australia and New Zealand,Australia,australia,Ambassadors & Representatives,,,australia;mongolia,Ambassadors&Representatives,Mongolian Ambassador to Australia and New Zealand,,dgm_og_mentioner_v6,e21a15a7409934d9d6cab445aa24ce35,dgm_og_mentioner_v6__e21a15a7409934d9d6cab445aa24ce35
michaelpulcheu,EU Ambassador to Australia,Australia,australia,Ambassadors & Representatives,,,australia;germany,Ambassadors&Representatives,EU Ambassador to Australia,,dgm_og_mentioner_v6,3c7f784733ad85f625591a12e7ec8e92,dgm_og_mentioner_v6__3c7f784733ad85f625591a12e7ec8e92
dkambaus,Danish Ambassador to Australia,Australia,australia,Ambassadors & Representatives,,,australia;denmark,Ambassadors&Representatives,Danish Ambassador to Australia,,dgm_og_mentioner_v6,6435a5da5fa3f22dd4b9017f90ff1f28,dgm_og_mentioner_v6__6435a5da5fa3f22dd4b9017f90ff1f28
paulmaddison7,UNSW Defense Research Institute Director,Australia,australia,Ambassadors & Representatives,,,australia;australia,Ambassadors&Representatives,UNSW Defense Research Institute Director,,dgm_og_mentioner_v6,710d5e1cfb24992058e39a83ee6a8598,dgm_og_mentioner_v6__710d5e1cfb24992058e39a83ee6a8598
kmedrek,Moroccan Ambassador to Australia,Australia,australia,Ambassadors & Representatives,,,australia;morocco,Ambassadors&Representatives,Moroccan Ambassador to Australia,,dgm_og_mentioner_v6,6fbb60480cef795036fd02994ab8eff1,dgm_og_mentioner_v6__6fbb60480cef795036fd02994ab8eff1
vickitreadell,UK High Commissioner to Australia,Australia,australia,Ambassadors & Representatives,,,australia;united kingdom,Ambassadors&Representatives,UK High Commissioner to Australia,,dgm_og_mentioner_v6,c5d47999bf5c02597b2cb09e0e07adfe,dgm_og_mentioner_v6__c5d47999bf5c02597b2cb09e0e07adfe
marisepayne,Australian Foreign Minister Payne,Australia,australia,Foreign Minister,,,australia,ForeignMinister,Australian Foreign Minister Payne,,dgm_og_mentioner_v6,7964bf83afeb4ac19058cff6e30e6f2f,dgm_og_mentioner_v6__7964bf83afeb4ac19058cff6e30e6f2f
dfat,Australian Foreign Ministry,Australia,australia,Foreign Ministry,,,australia,ForeignMinistry,Australian Foreign Ministry,,dgm_og_mentioner_v6,e0cb17c82dee6e650ab7d1ad8813197c,dgm_og_mentioner_v6__e0cb17c82dee6e650ab7d1ad8813197c
scottmorrisonmp,Australian Prime Minister Morrison,australia,australia,Heads of State,,,australia,HeadsOfState,Australian Prime Minister Morrison,,dgm_og_mentioner_v6,082351f6691129a35db5075c46bc855d,dgm_og_mentioner_v6__082351f6691129a35db5075c46bc855d
a_sinodinos,Australian Ambassador to US,Australia,australia,Host Nation Ambassadors to US,,,australia,HostNationAmbassadorsToUs,Australian Ambassador to US,,dgm_og_mentioner_v6,e60095615ef5b64caa3c1e3e799598de,dgm_og_mentioner_v6__e60095615ef5b64caa3c1e3e799598de
henrikcederin,Swedish Ambassador to Australia and New Zealand,Australian and New Zealand,australian and new zealand,Ambassadors & Representatives,,,australian and new zealand;sweden,Ambassadors&Representatives,Swedish Ambassador to Australia and New Zealand,,dgm_og_mentioner_v6,986616b4c19f05307b3df58c8c2af1a3,dgm_og_mentioner_v6__986616b4c19f05307b3df58c8c2af1a3
li_xiaosi,Chinese Ambassador to Austria,Austria,austria,Ambassadors & Representatives,,,austria;china,Ambassadors&Representatives,Chinese Ambassador to Austria,,dgm_og_mentioner_v6,7df57f4235df6ed97e1c191d039e7c39,dgm_og_mentioner_v6__7df57f4235df6ed97e1c191d039e7c39
amb_ulyanov,Russian Representative to International Organizations in Vienna,Austria,austria,Ambassadors & Representatives,,,austria;russia,Ambassadors&Representatives,Russian Representative to International Organizations in Vienna,,dgm_og_mentioner_v6,d73dad71f3b99b6851e85bcb81f6a558,dgm_og_mentioner_v6__d73dad71f3b99b6851e85bcb81f6a558
dkambvienna,"Danish Ambassador to Austria, Slovakia, Albania and Kosovo, and Representative to the UN and OSCE",Austria,austria,Ambassadors & Representatives,,,austria;denmark;un,Ambassadors&Representatives,"Danish Ambassador to Austria, Slovakia, Albania and Kosovo, and Representative to the UN and OSCE",,dgm_og_mentioner_v6,87e9f72b567a8e42c403adf3ac923237,dgm_og_mentioner_v6__87e9f72b567a8e42c403adf3ac923237
heidihulan,Canadian Representative to UN,Austria,austria,Ambassadors & Representatives,,,austria;cananda;un,Ambassadors&Representatives,Canadian Representative to UN,,dgm_og_mentioner_v6,25174dd3a9c3253086839bf0d7e3b1ac,dgm_og_mentioner_v6__25174dd3a9c3253086839bf0d7e3b1ac
muhammad_muhith,"Bangladeshi Ambassador to Austria, Hungary, Slovenia and Slovakia",Austria,austria,Ambassadors & Representatives,,,austria;bangladesh,Ambassadors&Representatives,"Bangladeshi Ambassador to Austria, Hungary, Slovenia and Slovakia",,dgm_og_mentioner_v6,43e5382e1afd9e538c6e567282b6c327,dgm_og_mentioner_v6__43e5382e1afd9e538c6e567282b6c327
ausambvie,"Australian Ambassador to Austria, Bosnia and Herzegovina, Hungary, Slovakia, and Slovenia",Austria,austria,Ambassadors & Representatives,,,austria;australia,Ambassadors&Representatives,"Australian Ambassador to Austria, Bosnia and Herzegovina, Hungary, Slovakia, and Slovenia",,dgm_og_mentioner_v6,b7ca415e29b29ffadbcb370c457b4f15,dgm_og_mentioner_v6__b7ca415e29b29ffadbcb370c457b4f15
yevheniit,"Ukrainian Ambassador to international organizations in Vienna, Austria",Austria,austria,Ambassadors & Representatives,,,austria;ukraine,Ambassadors&Representatives,"Ukrainian Ambassador to international organizations in Vienna, Austria",,dgm_og_mentioner_v6,00b7f9bde790656c113f9fcd630bbfb5,dgm_og_mentioner_v6__00b7f9bde790656c113f9fcd630bbfb5
xaviersticker,French Ambassador to UN,Austria,austria,Ambassadors & Representatives,,,austria;france;un,Ambassadors&Representatives,French Ambassador to UN,,dgm_og_mentioner_v6,011eefa9c19d9ae706d4599ec6b6f895,dgm_og_mentioner_v6__011eefa9c19d9ae706d4599ec6b6f895
t_oberreiter,Austrian Foreign Minister Cabinet Head,Austria,austria,Ambassadors & Representatives,,,austria;austria,Ambassadors&Representatives,Austrian Foreign Minister Cabinet Head,,dgm_og_mentioner_v6,85e24675814064696c4a9e43e4c18dc1,dgm_og_mentioner_v6__85e24675814064696c4a9e43e4c18dc1
eichtingerm,Lower Austrian Goverment Member,Austria,austria,Ambassadors & Representatives,,,austria;austria,Ambassadors&Representatives,Lower Austrian Goverment Member,,dgm_og_mentioner_v6,4018864b9b57d349857da3631d255d74,dgm_og_mentioner_v6__4018864b9b57d349857da3631d255d74
bimoroland,Albanian Ambassador to Austria,Austria,austria,Ambassadors & Representatives,,,austria;albania,Ambassadors&Representatives,Albanian Ambassador to Austria,,dgm_og_mentioner_v6,62a63bb3ed941d5d21dde1672391e36c,dgm_og_mentioner_v6__62a63bb3ed941d5d21dde1672391e36c
hamadnuke,UAE Permanent Representative to IAEA,Austria,austria,Ambassadors & Representatives,,,austria;uae,Ambassadors&Representatives,UAE Permanent Representative to IAEA,,dgm_og_mentioner_v6,c1f0c5131e3be3418bf3f772dd023f2a,dgm_og_mentioner_v6__c1f0c5131e3be3418bf3f772dd023f2a
