german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hermann-funk-strasse,"Hermann-Funk-Strasse in Bremen, Germany",53.0549348,8.8819508,1,,,,,,Organization,"Hermann-Funk-Strasse in Bremen, Germany",,german_fires_bremen_locations,cb312d8002cb3fabf3a0f2d2b3633de5,german_fires_bremen_locations__cb312d8002cb3fabf3a0f2d2b3633de5
hermann-helms-strasse,"Hermann-Helms-Strasse in Bremen, Germany",53.0337499,8.8489013,1,,,,,,CompanyKeyword,"Hermann-Helms-Strasse in Bremen, Germany",,german_fires_bremen_locations,65f9257cb9adc8c989625f2336f2a8f3,german_fires_bremen_locations__65f9257cb9adc8c989625f2336f2a8f3
hermann-hesse-weg,"Hermann-Hesse-Weg in Bremen, Germany",53.0518702,8.842887,1,,,,,,Consulates,"Hermann-Hesse-Weg in Bremen, Germany",,german_fires_bremen_locations,29016ed2eacbb4d5f0c9376983cef7e3,german_fires_bremen_locations__29016ed2eacbb4d5f0c9376983cef7e3
hermann-heye-strasse,"Hermann-Heye-Strasse in Bremen, Germany",53.071216,8.8049711,1,,,,,,Keyphrase,"Hermann-Heye-Strasse in Bremen, Germany",,german_fires_bremen_locations,1dc03471bd83aaed18eb33312816b1f7,german_fires_bremen_locations__1dc03471bd83aaed18eb33312816b1f7
hermann-hollerith-strasse,"Hermann-Hollerith-Strasse in Bremen, Germany",53.08408,8.910817,1,,,,,,Diplomat,"Hermann-Hollerith-Strasse in Bremen, Germany",,german_fires_bremen_locations,bae7ad70d7d412e1a159bbeb8ecc012f,german_fires_bremen_locations__bae7ad70d7d412e1a159bbeb8ecc012f
hermann-koenen-strasse,"Hermann-Koenen-Strasse in Bremen, Germany",53.0653017,8.9142936,1,,,,,,Exec,"Hermann-Koenen-Strasse in Bremen, Germany",,german_fires_bremen_locations,b76f064b839869fa6588300c39f1e8a7,german_fires_bremen_locations__b76f064b839869fa6588300c39f1e8a7
hermann-koenigstedt-weg,"Hermann-Koenigstedt-Weg in Bremen, Germany",53.083653,8.818722,1,,,,,,Shipping,"Hermann-Koenigstedt-Weg in Bremen, Germany",,german_fires_bremen_locations,901f581efa0da1f2edcaf397bc7b90e7,german_fires_bremen_locations__901f581efa0da1f2edcaf397bc7b90e7
hermann-kohl-strasse,"Hermann-Kohl-Strasse in Bremen, Germany",53.0558102,8.7853777,1,,,,,,DiplomaticFacilities,"Hermann-Kohl-Strasse in Bremen, Germany",,german_fires_bremen_locations,876bd6ad76dded34aae54fd8c100069c,german_fires_bremen_locations__876bd6ad76dded34aae54fd8c100069c
hermann-lange-strasse,"Hermann-Lange-Strasse in Bremen, Germany",53.0314473,8.8337459,1,,,,,,Consulates,"Hermann-Lange-Strasse in Bremen, Germany",,german_fires_bremen_locations,cfa4627e28654c9d24df3f69b32c439e,german_fires_bremen_locations__cfa4627e28654c9d24df3f69b32c439e
hermann-lons-strasse,"Hermann-Lons-Strasse in Bremen, Germany",53.1881412,8.6261939,1,,,,,,News,"Hermann-Lons-Strasse in Bremen, Germany",,german_fires_bremen_locations,cec3e8b3fde1fc4d61685e9b817d2630,german_fires_bremen_locations__cec3e8b3fde1fc4d61685e9b817d2630
