keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
艺电,Electronic Arts,188278,,,8418b27bbef61aa2e8c7f980c41d1c1c,,n,,1,,,,2,LegislativeCommittee,Electronic Arts,,dgm_weibo_crisk_mentionee,d19bdc1f55af79b25239c31ebcea1810,dgm_weibo_crisk_mentionee__e853db5fb97163e7377be31ae2d55799
腾讯,Tencent,188278,,,8c16a2b94a1c9a0cbca90cf2e51fab58,,#N/A,,0,,,,2,FTO,Tencent,,dgm_weibo_crisk_mentionee,5dbadb7b0d68d0bb60ff5215daf4c6f1,dgm_weibo_crisk_mentionee__9414b97199d909061ce91aeb8faa421f
迈兰,Mylan,188278,,,8fc49fc4a1c567169f4d2092122c70b0,,n,,0,,,,2,LegislativeCommittee,Mylan,,dgm_weibo_crisk_mentionee,e5637c56296959507fbc91e80e05269d,dgm_weibo_crisk_mentionee__8b94de7669b3b2ef38c3f4637a78f8a8
甲骨文中国,Oracle,188278,,,8fe63e6ff302dc0387483ac34b96b4bd,,#N/A,,0,,,,5,Exec,Oracle,,dgm_weibo_crisk_mentionee,08080b972089ffb5953f0e2a9d87a765,dgm_weibo_crisk_mentionee__30162ed78b6c10f731411f2fc440c24f
甲骨文公司,Oracle,188278,,,8fe63e6ff302dc0387483ac34b96b4bd,,,,,,,,,ForeignMinistry,Oracle,,dgm_weibo_crisk_mentionee,ad91a299c2a1fdb210e0c5fdbc9d00a8,dgm_weibo_crisk_mentionee__30162ed78b6c10f731411f2fc440c24f
美国甲骨文,Oracle,188278,,,8fe63e6ff302dc0387483ac34b96b4bd,,,,,,,,,Diplomat,Oracle,,dgm_weibo_crisk_mentionee,95d9dd2a1842a4430c3391b510b77a9c,dgm_weibo_crisk_mentionee__30162ed78b6c10f731411f2fc440c24f
汇丰,HSBC,188278,,,914fc0ddfc7d82f93070dfc556c9b721,,n,,0,,,,2,space,HSBC,,dgm_weibo_crisk_mentionee,73f53aff408e907e5a5ed2c7c0be9900,dgm_weibo_crisk_mentionee__f8f8f7fcceffcd4c66e2e4f9670b27aa
礼来,Eli Lilly,188278,,,983075ff5a8bc75efd71ee52017cb8c1,,n,,1,,,,2,Pipeline,Eli Lilly,,dgm_weibo_crisk_mentionee,47f1dc28f9bc2705745eff6bbacae5c7,dgm_weibo_crisk_mentionee__0aadef22df549182fd89a7b7f626f661
惠普,HP,188278,,,9872fe0f85baf90ec27234ae213ad9b7,,n,,1,,,,2,DiplomaticFacilities,HP,,dgm_weibo_crisk_mentionee,7f424aba78d0027a77030a64b8a5eaf0,dgm_weibo_crisk_mentionee__e6fc8ce107f2bdf0955f021a391514ce
辉瑞,Pfizer,188278,,,a35666db9cb5e8fe11e739d1a73da288,,n,,0,,,,2,Media,Pfizer,,dgm_weibo_crisk_mentionee,39907224e2f3c6665149207a219d6f32,dgm_weibo_crisk_mentionee__c1b9f1c2d5cc1361ccf28b0108bd7179
