german_text,caption_text,lat,lon,ranking,default location,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ortenburg,"Ortenburg in Bautzen, Germany",51.1831752,14.4203829,1,,,,LegislativeCommittee,"Ortenburg in Bautzen, Germany",,german_fires_bautzen_locations,f761c4eebc820d9dd38471c60ee7837c,german_fires_bautzen_locations__f761c4eebc820d9dd38471c60ee7837c
otto-nagel-str.,"Otto-Nagel-Strasse in Bautzen, Germany",51.1932443,14.448099,1,,,,Person,"Otto-Nagel-Strasse in Bautzen, Germany",,german_fires_bautzen_locations,ea82f5e2c69258a252c75aa9f4c9251d,german_fires_bautzen_locations__ea82f5e2c69258a252c75aa9f4c9251d
packhofstr.,"Packhofstrasse in Bautzen, Germany",51.1734579,14.4253338,1,,,,Consulates,"Packhofstrasse in Bautzen, Germany",,german_fires_bautzen_locations,95ff4636650cb027f330c7e972d6c727,german_fires_bautzen_locations__95ff4636650cb027f330c7e972d6c727
parsevalstr.,"Parsevalstrasse in Bautzen, Germany",51.1736901,14.403956,1,,,,CompanyKeyword,"Parsevalstrasse in Bautzen, Germany",,german_fires_bautzen_locations,0d838e8ba49849eb272da1965753213d,german_fires_bautzen_locations__0d838e8ba49849eb272da1965753213d
paul-neck-str.,"Paul-Neck-Strasse in Bautzen, Germany",51.176636,14.4457696,1,,,,Organization,"Paul-Neck-Strasse in Bautzen, Germany",,german_fires_bautzen_locations,0ebfa91fa41471cd0769514dd95f3088,german_fires_bautzen_locations__0ebfa91fa41471cd0769514dd95f3088
paulistr.,"Paulistrasse in Bautzen, Germany",51.1758375,14.4376,1,,,,CompanyKeyword,"Paulistrasse in Bautzen, Germany",,german_fires_bautzen_locations,abecb5c19d96b473fe65509a372addfd,german_fires_bautzen_locations__abecb5c19d96b473fe65509a372addfd
peter-buck-str.,"Peter-Buck-Strasse in Bautzen, Germany",51.2110029,14.3896907,1,,,,AAEntity,"Peter-Buck-Strasse in Bautzen, Germany",,german_fires_bautzen_locations,a68a75f9fc8e9b81424b055d8194c3d3,german_fires_bautzen_locations__a68a75f9fc8e9b81424b055d8194c3d3
philipp-reis-str.,"Philipp-Reis-Strasse in Bautzen, Germany",51.1958258,14.3441306,1,,,,Keyphrase,"Philipp-Reis-Strasse in Bautzen, Germany",,german_fires_bautzen_locations,7bfed6bc2eae35dc27e9f79ab6fe4ce3,german_fires_bautzen_locations__7bfed6bc2eae35dc27e9f79ab6fe4ce3
platz der volkerfreundschaft,"Platz der Volkerfreundschaft in Bautzen, Germany",51.1911106,14.4458139,1,,,,Keyphrase,"Platz der Volkerfreundschaft in Bautzen, Germany",,german_fires_bautzen_locations,0c30f03258b4e2bd0547154f4206f70a,german_fires_bautzen_locations__0c30f03258b4e2bd0547154f4206f70a
postplatz,"Postplatz in Bautzen, Germany",51.177298,14.4290548,1,,,,IndustryTerm,"Postplatz in Bautzen, Germany",,german_fires_bautzen_locations,52f5d70061d1c8bc9e16144f2bcf7ead,german_fires_bautzen_locations__52f5d70061d1c8bc9e16144f2bcf7ead
predigergasse,"Predigergasse in Bautzen, Germany",51.1826538,14.4219811,1,,,,FTO,"Predigergasse in Bautzen, Germany",,german_fires_bautzen_locations,72f55d23fd95ba4f33e6268947b796fd,german_fires_bautzen_locations__72f55d23fd95ba4f33e6268947b796fd
preuschwitzer str.,"Preuschwitzer Strasse in Bautzen, Germany",51.1631707,14.4108762,1,,,,Refinery,"Preuschwitzer Strasse in Bautzen, Germany",,german_fires_bautzen_locations,72510fc358a417a21bd27d19b61a3efc,german_fires_bautzen_locations__72510fc358a417a21bd27d19b61a3efc
