keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#rosněfť,Russian state-owned oil and gas company Rosneft,188162;188132;188121,company keyword,rosneft;rosněfť,a01f53f00924c450756b6108e2804a59,CompanyKeyword,Russian state-owned oil and gas company Rosneft,,og_mentionee_headsofstate,5d143b922c2ab2997ee54bca93e55a45,og_mentionee_headsofstate__5d143b922c2ab2997ee54bca93e55a45
#roussneft,Russian oil company Russneft,188162;188132,company keyword,russneft;roussneft,,CompanyKeyword,Russian oil company Russneft,,og_mentionee_headsofstate,b1e113de87b761cba1adc8364f4f970f,og_mentionee_headsofstate__b1e113de87b761cba1adc8364f4f970f
#russneft,Russian oil company Russneft,188162;188132,company keyword,russneft,,CompanyKeyword,Russian oil company Russneft,,og_mentionee_headsofstate,3b36d47b3ba123e5f743d9a3b17459ed,og_mentionee_headsofstate__3b36d47b3ba123e5f743d9a3b17459ed
#s-oil,South Korean oil and gas company S-Oil,188162;188132,company keyword,saudi aramco;s-oil;s-oil,,CompanyKeyword,South Korean oil and gas company S-Oil,,og_mentionee_headsofstate,36e33d4be5b1118ff00c1c61629f276f,og_mentionee_headsofstate__36e33d4be5b1118ff00c1c61629f276f
#saipem,Italian oilfield services company Saipem,188162;188132,company keyword,saipem,,CompanyKeyword,Italian oilfield services company Saipem,,og_mentionee_headsofstate,8389906849f535357725322cd3fd6cad,og_mentionee_headsofstate__8389906849f535357725322cd3fd6cad
#sakhalin energy,Russian oil and gas company Sakhalin Energy,188162;188132,company keyword,sakhalin energy,,CompanyKeyword,Russian oil and gas company Sakhalin Energy,,og_mentionee_headsofstate,11191b66ffbea6e83156d121dc600899,og_mentionee_headsofstate__11191b66ffbea6e83156d121dc600899
#santos limited,Australian oil and gas company Santos Limited,188162;188132,company keyword,santos limited,bd4164127161fbcadd018f909089ac8e,CompanyKeyword,Australian oil and gas company Santos Limited,,og_mentionee_headsofstate,7ba55da6babd5f0aec0df2e82e439107,og_mentionee_headsofstate__7ba55da6babd5f0aec0df2e82e439107
#sasol,South African oil and gas company Sasol,188162;188132,company keyword,sasol,9b5760a56098204f5fdf8a3dbd2d1207,CompanyKeyword,South African oil and gas company Sasol,,og_mentionee_headsofstate,f74ae7e9a7f17765f3961ffcba09931e,og_mentionee_headsofstate__f74ae7e9a7f17765f3961ffcba09931e
#saudi aramco,Saudi Aramco,188162;188132,company keyword,saudi aramco,7d761b144698b75868118d3b8de3087c,CompanyKeyword,Saudi Aramco,,og_mentionee_headsofstate,3987ab9c9ca701f99e0e0824c7ba5720,og_mentionee_headsofstate__3987ab9c9ca701f99e0e0824c7ba5720
#saudiaramco,Saudi Aramco,188162;188132,company keyword,saudi aramco;saudiaramco,7d761b144698b75868118d3b8de3087c,CompanyKeyword,Saudi Aramco,,og_mentionee_headsofstate,87b07a37aceb88aa8bfd57f9af740134,og_mentionee_headsofstate__87b07a37aceb88aa8bfd57f9af740134
#schlumberger,US oil and gas company Schlumberger,188162;188132,company keyword,schlumberger,48f1f48598d2c89e93926fa573f7f960,CompanyKeyword,US oil and gas company Schlumberger,,og_mentionee_headsofstate,d2730b29c6dc96d8dee96168a9d8c813,og_mentionee_headsofstate__d2730b29c6dc96d8dee96168a9d8c813
#shaanxi yanchang petroleum,Chinese oil and gas company Shaanxi Yanchang Petroleum,188162;188132,company keyword,shaanxi yanchang petroleum,,CompanyKeyword,Chinese oil and gas company Shaanxi Yanchang Petroleum,,og_mentionee_headsofstate,9f364b9868acc284268a89b85c7e6285,og_mentionee_headsofstate__9f364b9868acc284268a89b85c7e6285
#shanghai petroleum,Chinese state-owned oil and gas company Shanghai Petroleum,188162;188132;188121,company keyword,shanghai petroleum,,CompanyKeyword,Chinese state-owned oil and gas company Shanghai Petroleum,,og_mentionee_headsofstate,eda7b29836657427063f75c91b21c3f6,og_mentionee_headsofstate__eda7b29836657427063f75c91b21c3f6
#shawcor,Canadian oil and gas company Shawcor,188162;188132,company keyword,shawcor,f99f52f88bab7e1072d23c77412a523b,CompanyKeyword,Canadian oil and gas company Shawcor,,og_mentionee_headsofstate,cbdae7cebe279e0e21349eb4d80bcc54,og_mentionee_headsofstate__cbdae7cebe279e0e21349eb4d80bcc54
#shell australia,Shell,188162;188132,company keyword,shell;shell australia,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,934b185f8cd13a83a4df1113618f34c1,og_mentionee_headsofstate__934b185f8cd13a83a4df1113618f34c1
#shell aviation,Shell,188162;188132,company keyword,shell;shell aviation,a84d5d4f0b197b952d5e20e9f4af2165,CompanyKeyword,Shell,,og_mentionee_headsofstate,0797bfaea554529cda9291361eb64ab6,og_mentionee_headsofstate__0797bfaea554529cda9291361eb64ab6
