keyword,caption_name,location_lower,groups,topic_id,entity_type,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aberdeen regional airport,Aberdeen Regional Airport,aberdeen regional airport,airport,,airport,,Airport,Aberdeen Regional Airport,,dgm_tsa_channel_class_terms,cc95fda39e31c251689277d375781b0d,dgm_tsa_channel_class_terms__cc95fda39e31c251689277d375781b0d
abilene regional airport,Abilene Regional Airport,abilene regional airport,airport,,airport,,Airport,Abilene Regional Airport,,dgm_tsa_channel_class_terms,63a5424d82421ab07af7bba3bbc66967,dgm_tsa_channel_class_terms__63a5424d82421ab07af7bba3bbc66967
akron-canton airport,Akron-Canton Airport,akron-canton airport,airport,,airport,,Airport,Akron-Canton Airport,,dgm_tsa_channel_class_terms,660413d5e69ba89c28c68f94327ec069,dgm_tsa_channel_class_terms__660413d5e69ba89c28c68f94327ec069
southwest georgia regional airport,Southwest Georgia Regional Airport,southwest georgia regional airport,airport,,airport,,Airport,Southwest Georgia Regional Airport,,dgm_tsa_channel_class_terms,3546f7f9b997e03556662289531d75e4,dgm_tsa_channel_class_terms__3546f7f9b997e03556662289531d75e4
albany international airport,Albany International Airport,albany international airport,airport,,airport,,Airport,Albany International Airport,,dgm_tsa_channel_class_terms,878ad6aac58366986d133cd4fc1dde4f,dgm_tsa_channel_class_terms__878ad6aac58366986d133cd4fc1dde4f
albuquerque international sunport,Albuquerque International Sunport,albuquerque international sunport,airport,,airport,,Airport,Albuquerque International Sunport,,dgm_tsa_channel_class_terms,1aee6b3c0edd5586979fe87131ef6240,dgm_tsa_channel_class_terms__1aee6b3c0edd5586979fe87131ef6240
alexandria international airport,Alexandria International Airport,alexandria international airport,airport,,airport,,Airport,Alexandria International Airport,,dgm_tsa_channel_class_terms,a6c6ab217f7862c4f20bdd5d5907d733,dgm_tsa_channel_class_terms__a6c6ab217f7862c4f20bdd5d5907d733
lehigh valley international airport,Lehigh Valley International Airport,lehigh valley international airport,airport,,airport,,Airport,Lehigh Valley International Airport,,dgm_tsa_channel_class_terms,263fd0df2a34ebb5f529006d2ad67e61,dgm_tsa_channel_class_terms__263fd0df2a34ebb5f529006d2ad67e61
alpena county regional airport,Alpena County Regional Airport,alpena county regional airport,airport,,airport,,Airport,Alpena County Regional Airport,,dgm_tsa_channel_class_terms,73c2a7c490c018e42744968e7f83576c,dgm_tsa_channel_class_terms__73c2a7c490c018e42744968e7f83576c
altoona-blair county airport,Altoona-Blair County Airport,altoona-blair county airport,airport,,airport,,Airport,Altoona-Blair County Airport,,dgm_tsa_channel_class_terms,ffcfa4efd0d950b055dff7278c3697d0,dgm_tsa_channel_class_terms__ffcfa4efd0d950b055dff7278c3697d0
rick husband amarillo,Rick Husband Amarillo International Airport,rick husband amarillo international airport,airport,,airport,,Airport,Rick Husband Amarillo International Airport,,dgm_tsa_channel_class_terms,48bb9d97f9d338a5a675bba45e2d5406,dgm_tsa_channel_class_terms__48bb9d97f9d338a5a675bba45e2d5406
lake hood seaplane base,Lake Hood Seaplane Base,lake hood seaplane base,airport,,airport,,Airport,Lake Hood Seaplane Base,,dgm_tsa_channel_class_terms,fc11c11a62a78db4da2a3bdd74a3290f,dgm_tsa_channel_class_terms__fc11c11a62a78db4da2a3bdd74a3290f
ted stevens anchorage,Ted Stevens Anchorage International Airport,ted stevens anchorage international airport,airport,,airport,,Airport,Ted Stevens Anchorage International Airport,,dgm_tsa_channel_class_terms,49c63d7fd8e7e24c8cb7c8a6d1d1b6b3,dgm_tsa_channel_class_terms__49c63d7fd8e7e24c8cb7c8a6d1d1b6b3
merrill field airport,Merrill Field Airport,merrill field airport,airport,,airport,,Airport,Merrill Field Airport,,dgm_tsa_channel_class_terms,c9b0ae563ba5d9cdd2c918989d256e43,dgm_tsa_channel_class_terms__c9b0ae563ba5d9cdd2c918989d256e43
aniak airport,Aniak Airport,aniak airport,airport,,airport,,Airport,Aniak Airport,,dgm_tsa_channel_class_terms,e5af30ee43382dac0d96844dec690dec,dgm_tsa_channel_class_terms__e5af30ee43382dac0d96844dec690dec
appleton international airport,Appleton International Airport,appleton international airport,airport,,airport,,Airport,Appleton International Airport,,dgm_tsa_channel_class_terms,010273f4c8f0a207610b1628a76a5026,dgm_tsa_channel_class_terms__010273f4c8f0a207610b1628a76a5026
redwood coast airport,California Redwood Coast – Humboldt County Airport,california redwood coast – humboldt county airport,airport,,airport,,Airport,California Redwood Coast – Humboldt County Airport,,dgm_tsa_channel_class_terms,c79752f728c3c6d6cc17a8a9d556f1e0,dgm_tsa_channel_class_terms__c79752f728c3c6d6cc17a8a9d556f1e0
washington national,Ronald Reagan Washington National Airport,ronald reagan washington national airport,airport,,airport,,Airport,Ronald Reagan Washington National Airport,,dgm_tsa_channel_class_terms,da934186e73b1a0ca31bccae86637a59,dgm_tsa_channel_class_terms__da934186e73b1a0ca31bccae86637a59
asheville regional airport,Asheville Regional Airport,asheville regional airport,airport,,airport,,Airport,Asheville Regional Airport,,dgm_tsa_channel_class_terms,a381fe1116c73ad0c906cdb8f5aa3285,dgm_tsa_channel_class_terms__a381fe1116c73ad0c906cdb8f5aa3285
aspen/pitkin county airport,Aspen/Pitkin County Airport,aspen/pitkin county airport,airport,,airport,,Airport,Aspen/Pitkin County Airport,,dgm_tsa_channel_class_terms,5900c4c33aca287b68a506d37234c150,dgm_tsa_channel_class_terms__5900c4c33aca287b68a506d37234c150
athens–ben epps airport,Athens–Ben Epps Airport,athens–ben epps airport,airport,,airport,,Airport,Athens–Ben Epps Airport,,dgm_tsa_channel_class_terms,5cd6c175c036878efab9c64c6ab07305,dgm_tsa_channel_class_terms__5cd6c175c036878efab9c64c6ab07305
hartsfield–jackson,Hartsfield–Jackson Atlanta International Airport,hartsfield–jackson atlanta international airport,airport,,airport,,Airport,Hartsfield–Jackson Atlanta International Airport,,dgm_tsa_channel_class_terms,9796305d156712f99897b727d8fc3a9a,dgm_tsa_channel_class_terms__9796305d156712f99897b727d8fc3a9a
atlantic city international airport,Atlantic City International Airport,atlantic city international airport,airport,,airport,,Airport,Atlantic City International Airport,,dgm_tsa_channel_class_terms,250238cc2028a9029404c911bdab3046,dgm_tsa_channel_class_terms__250238cc2028a9029404c911bdab3046
augusta regional airport,Augusta Regional Airport,augusta regional airport,airport,,airport,,Airport,Augusta Regional Airport,,dgm_tsa_channel_class_terms,cbef2ea94dd54d7da1f877cf8543722f,dgm_tsa_channel_class_terms__cbef2ea94dd54d7da1f877cf8543722f
austin–bergstrom,Austin–Bergstrom International Airport,austin–bergstrom international airport,airport,,airport,,Airport,Austin–Bergstrom International Airport,,dgm_tsa_channel_class_terms,c3220bf754b0ee227d3dc050077c9780,dgm_tsa_channel_class_terms__c3220bf754b0ee227d3dc050077c9780
meadows field airport,Meadows Field Airport,meadows field airport,airport,,airport,,Airport,Meadows Field Airport,,dgm_tsa_channel_class_terms,ed144bd5f5a62c2804892e6203483165,dgm_tsa_channel_class_terms__ed144bd5f5a62c2804892e6203483165
baltimore/washington,Baltimore/Washington International Thurgood Marshall Airport,baltimore/washington international thurgood marshall airport,airport,,airport,,Airport,Baltimore/Washington International Thurgood Marshall Airport,,dgm_tsa_channel_class_terms,e085ccf93ae6405f132763c691005827,dgm_tsa_channel_class_terms__e085ccf93ae6405f132763c691005827
bangor international airport,Bangor International Airport,bangor international airport,airport,,airport,,Airport,Bangor International Airport,,dgm_tsa_channel_class_terms,3636306295d5e5bc4ae3e4f989648657,dgm_tsa_channel_class_terms__3636306295d5e5bc4ae3e4f989648657
hancock county-bar harbor airport,Hancock County-Bar Harbor Airport,hancock county-bar harbor airport,airport,,airport,,Airport,Hancock County-Bar Harbor Airport,,dgm_tsa_channel_class_terms,1480b71eedb49deae400084d37f94e2a,dgm_tsa_channel_class_terms__1480b71eedb49deae400084d37f94e2a
wiley post-will rogers,Wiley Post-Will Rogers Memorial Airport,wiley post-will rogers memorial airport,airport,,airport,,Airport,Wiley Post-Will Rogers Memorial Airport,,dgm_tsa_channel_class_terms,bd17f3c739de8eca56ecc344fe7f836a,dgm_tsa_channel_class_terms__bd17f3c739de8eca56ecc344fe7f836a
baton rouge metropolitan,Baton Rouge Metropolitan Airport,baton rouge metropolitan airport,airport,,airport,,Airport,Baton Rouge Metropolitan Airport,,dgm_tsa_channel_class_terms,ab9b4afc13c89b6266d8ee6851fc6ed6,dgm_tsa_channel_class_terms__ab9b4afc13c89b6266d8ee6851fc6ed6
jack brooks regional,Jack Brooks Regional Airport,jack brooks regional airport,airport,,airport,,Airport,Jack Brooks Regional Airport,,dgm_tsa_channel_class_terms,8084a883bd758be3df02192fdad5a15e,dgm_tsa_channel_class_terms__8084a883bd758be3df02192fdad5a15e
hanscom field,Hanscom Field,hanscom field,airport,,airport,,Airport,Hanscom Field,,dgm_tsa_channel_class_terms,133e6691e2d5cb17615067e4f13566ac,dgm_tsa_channel_class_terms__133e6691e2d5cb17615067e4f13566ac
bellingham international airport,Bellingham International Airport,bellingham international airport,airport,,airport,,Airport,Bellingham International Airport,,dgm_tsa_channel_class_terms,f10ed8d350d1dedc37e62e3c2ec9171d,dgm_tsa_channel_class_terms__f10ed8d350d1dedc37e62e3c2ec9171d
bemidji regional airport,Bemidji Regional Airport,bemidji regional airport,airport,,airport,,Airport,Bemidji Regional Airport,,dgm_tsa_channel_class_terms,b2662786da1e422af8af18ef7f06a80e,dgm_tsa_channel_class_terms__b2662786da1e422af8af18ef7f06a80e
bethel airport,Bethel Airport,bethel airport,airport,,airport,,Airport,Bethel Airport,,dgm_tsa_channel_class_terms,3341c1494c2ecbfa72cb16a45f4a1f86,dgm_tsa_channel_class_terms__3341c1494c2ecbfa72cb16a45f4a1f86
billings logan international airport,Billings Logan International Airport,billings logan international airport,airport,,airport,,Airport,Billings Logan International Airport,,dgm_tsa_channel_class_terms,5f89e28217c207eee079bb59d65234b6,dgm_tsa_channel_class_terms__5f89e28217c207eee079bb59d65234b6
greater binghamton airport,Greater Binghamton Airport,greater binghamton airport,airport,,airport,,Airport,Greater Binghamton Airport,,dgm_tsa_channel_class_terms,7acab30d1f0ecb67813ec238a71ab537,dgm_tsa_channel_class_terms__7acab30d1f0ecb67813ec238a71ab537
birmingham–shuttlesworth,Birmingham–Shuttlesworth International Airport,birmingham–shuttlesworth international airport,airport,,airport,,Airport,Birmingham–Shuttlesworth International Airport,,dgm_tsa_channel_class_terms,32d2686608db8ee853f357f4d93a11d7,dgm_tsa_channel_class_terms__32d2686608db8ee853f357f4d93a11d7
bismarck municipal airport,Bismarck Municipal Airport,bismarck municipal airport,airport,,airport,,Airport,Bismarck Municipal Airport,,dgm_tsa_channel_class_terms,1a31789ce178ec51b47a8b722268d6e9,dgm_tsa_channel_class_terms__1a31789ce178ec51b47a8b722268d6e9
regional airport at bloomington-normal,Central Illinois Regional Airport at Bloomington-Normal,central illinois regional airport at bloomington-normal,airport,,airport,,Airport,Central Illinois Regional Airport at Bloomington-Normal,,dgm_tsa_channel_class_terms,f400a18e39032671fe8de8ced7ef59c1,dgm_tsa_channel_class_terms__f400a18e39032671fe8de8ced7ef59c1
boise airport,Boise Airport,boise airport,airport,,airport,,Airport,Boise Airport,,dgm_tsa_channel_class_terms,943d193eaa1babe5df1357cdd944650c,dgm_tsa_channel_class_terms__943d193eaa1babe5df1357cdd944650c
general edward lawrence logan,General Edward Lawrence Logan International Airport,general edward lawrence logan international airport,airport,,airport,,Airport,General Edward Lawrence Logan International Airport,,dgm_tsa_channel_class_terms,d5b617711bbb8d4e7b4c8a7fa61288ad,dgm_tsa_channel_class_terms__d5b617711bbb8d4e7b4c8a7fa61288ad
bozeman yellowstone,Bozeman Yellowstone International Airport,bozeman yellowstone international airport,airport,,airport,,Airport,Bozeman Yellowstone International Airport,,dgm_tsa_channel_class_terms,52fda7690239e928dd95523aa46b7220,dgm_tsa_channel_class_terms__52fda7690239e928dd95523aa46b7220
brainerd lakes regional airport,Brainerd Lakes Regional Airport,brainerd lakes regional airport,airport,,airport,,Airport,Brainerd Lakes Regional Airport,,dgm_tsa_channel_class_terms,84f77afb0b695c5d1b69cfcc53a98af3,dgm_tsa_channel_class_terms__84f77afb0b695c5d1b69cfcc53a98af3
south padre island international airport,Brownsville/South Padre Island International Airport,brownsville/south padre island international airport,airport,,airport,,Airport,Brownsville/South Padre Island International Airport,,dgm_tsa_channel_class_terms,771b919a6fba77657d39d34f2fe76ba1,dgm_tsa_channel_class_terms__771b919a6fba77657d39d34f2fe76ba1
brunswick golden isles airport,Brunswick Golden Isles Airport,brunswick golden isles airport,airport,,airport,,Airport,Brunswick Golden Isles Airport,,dgm_tsa_channel_class_terms,d338e2cc290ecf27638fe48622dae1bf,dgm_tsa_channel_class_terms__d338e2cc290ecf27638fe48622dae1bf
buffalo niagara international airport,Buffalo Niagara International Airport,buffalo niagara international airport,airport,,airport,,Airport,Buffalo Niagara International Airport,,dgm_tsa_channel_class_terms,e16c282300b83f80ae846ba003357723,dgm_tsa_channel_class_terms__e16c282300b83f80ae846ba003357723
bullhead international airport,Laughlin/Bullhead International Airport,laughlin/bullhead international airport,airport,,airport,,Airport,Laughlin/Bullhead International Airport,,dgm_tsa_channel_class_terms,198dd0b246804d0d026bd959b20bc30b,dgm_tsa_channel_class_terms__198dd0b246804d0d026bd959b20bc30b
bob hope airport,Bob Hope Airport,bob hope airport,airport,,airport,,Airport,Bob Hope Airport,,dgm_tsa_channel_class_terms,fc9bbd49d6bfdfce793e8ccfb8fb582d,dgm_tsa_channel_class_terms__fc9bbd49d6bfdfce793e8ccfb8fb582d
burlington international airport,Burlington International Airport,burlington international airport,airport,,airport,,Airport,Burlington International Airport,,dgm_tsa_channel_class_terms,be822ee9a06db032dceb791be960ace6,dgm_tsa_channel_class_terms__be822ee9a06db032dceb791be960ace6
bert mooney airport,Bert Mooney Airport,bert mooney airport,airport,,airport,,Airport,Bert Mooney Airport,,dgm_tsa_channel_class_terms,581b0f38947a1da7726673d9a361bbb7,dgm_tsa_channel_class_terms__581b0f38947a1da7726673d9a361bbb7
mcclellan–palomar airport,McClellan–Palomar Airport,mcclellan–palomar airport,airport,,airport,,Airport,McClellan–Palomar Airport,,dgm_tsa_channel_class_terms,91ae887f4424ceb5ba7de5f66ed483f6,dgm_tsa_channel_class_terms__91ae887f4424ceb5ba7de5f66ed483f6
casper–natrona county international airport,Casper–Natrona County International Airport,casper–natrona county international airport,airport,,airport,,Airport,Casper–Natrona County International Airport,,dgm_tsa_channel_class_terms,597eb79263de2037f515e0d14058ffbd,dgm_tsa_channel_class_terms__597eb79263de2037f515e0d14058ffbd
cedar city regional airport,Cedar City Regional Airport,cedar city regional airport,airport,,airport,,Airport,Cedar City Regional Airport,,dgm_tsa_channel_class_terms,fcd30710f374ea017e942f9b208d01ac,dgm_tsa_channel_class_terms__fcd30710f374ea017e942f9b208d01ac
eastern iowa airport,Eastern Iowa Airport,eastern iowa airport,airport,,airport,,Airport,Eastern Iowa Airport,,dgm_tsa_channel_class_terms,b91054df6247340efa6169a8c16d5ca4,dgm_tsa_channel_class_terms__b91054df6247340efa6169a8c16d5ca4
university of illinois willard airport,University of Illinois Willard Airport,university of illinois willard airport,airport,,airport,,Airport,University of Illinois Willard Airport,,dgm_tsa_channel_class_terms,7b1d079f53bf6c5a59308803c2ce0335,dgm_tsa_channel_class_terms__7b1d079f53bf6c5a59308803c2ce0335
dulles international airport,Washington Dulles International Airport,washington dulles international airport,airport,,airport,,Airport,Washington Dulles International Airport,,dgm_tsa_channel_class_terms,a03750d4e184f570f1206d8940de3615,dgm_tsa_channel_class_terms__a03750d4e184f570f1206d8940de3615
charleston international airport,Charleston International Airport,charleston international airport,airport,,airport,,Airport,Charleston International Airport,,dgm_tsa_channel_class_terms,242e6717dc4e89bae647f1663b2be821,dgm_tsa_channel_class_terms__242e6717dc4e89bae647f1663b2be821
yeager airport,Yeager Airport,yeager airport,airport,,airport,,Airport,Yeager Airport,,dgm_tsa_channel_class_terms,22fdd7c22dffadd5c816cda1be6f5389,dgm_tsa_channel_class_terms__22fdd7c22dffadd5c816cda1be6f5389
charlevoix municipal airport,Charlevoix Municipal Airport,charlevoix municipal airport,airport,,airport,,Airport,Charlevoix Municipal Airport,,dgm_tsa_channel_class_terms,05e174511ec9f9b98344141b9049003d,dgm_tsa_channel_class_terms__05e174511ec9f9b98344141b9049003d
charlotte douglas international airport,Charlotte Douglas International Airport,charlotte douglas international airport,airport,,airport,,Airport,Charlotte Douglas International Airport,,dgm_tsa_channel_class_terms,b90b5f4e721041b09b43d4d7f43f6b21,dgm_tsa_channel_class_terms__b90b5f4e721041b09b43d4d7f43f6b21
charlottesville-albemarle airport,Charlottesville-Albemarle Airport,charlottesville-albemarle airport,airport,,airport,,Airport,Charlottesville-Albemarle Airport,,dgm_tsa_channel_class_terms,b8af60dc9449ed89ebd694e62db21db1,dgm_tsa_channel_class_terms__b8af60dc9449ed89ebd694e62db21db1
chattanooga metropolitan airport,Chattanooga Metropolitan Airport,chattanooga metropolitan airport,airport,,airport,,Airport,Chattanooga Metropolitan Airport,,dgm_tsa_channel_class_terms,6b5b8433fe5c8521acc28f1dd9b1806d,dgm_tsa_channel_class_terms__6b5b8433fe5c8521acc28f1dd9b1806d
cheyenne regional airport,Cheyenne Regional Airport,cheyenne regional airport,airport,,airport,,Airport,Cheyenne Regional Airport,,dgm_tsa_channel_class_terms,d5c85724362024311abc94bb5fe5b70a,dgm_tsa_channel_class_terms__d5c85724362024311abc94bb5fe5b70a
midway international airport,Chicago Midway International Airport,chicago midway international airport,airport,,airport,,Airport,Chicago Midway International Airport,,dgm_tsa_channel_class_terms,9b129b4e01c60276174031437b59034e,dgm_tsa_channel_class_terms__9b129b4e01c60276174031437b59034e
o'hare international airport,O'Hare International Airport,o'hare international airport,airport,,airport,,Airport,O'Hare International Airport,,dgm_tsa_channel_class_terms,ef2961a62eb7a65978d2031f5efcde7e,dgm_tsa_channel_class_terms__ef2961a62eb7a65978d2031f5efcde7e
chico municipal airport,Chico Municipal Airport,chico municipal airport,airport,,airport,,Airport,Chico Municipal Airport,,dgm_tsa_channel_class_terms,7081b29c96aff3b613949e3ebed81994,dgm_tsa_channel_class_terms__7081b29c96aff3b613949e3ebed81994
north central west virginia airport,North Central West Virginia Airport,north central west virginia airport,airport,,airport,,Airport,North Central West Virginia Airport,,dgm_tsa_channel_class_terms,1185081564f65fd6f69147fbefaf0f5f,dgm_tsa_channel_class_terms__1185081564f65fd6f69147fbefaf0f5f
cleveland hopkins international airport,Cleveland Hopkins International Airport,cleveland hopkins international airport,airport,,airport,,Airport,Cleveland Hopkins International Airport,,dgm_tsa_channel_class_terms,c3f4ee56a5068c40bf271c377ad22173,dgm_tsa_channel_class_terms__c3f4ee56a5068c40bf271c377ad22173
yellowstone airport,Yellowstone Airport,yellowstone airport,airport,,airport,,Airport,Yellowstone Airport,,dgm_tsa_channel_class_terms,195edd8fd96e9da64b0e845c7653b709,dgm_tsa_channel_class_terms__195edd8fd96e9da64b0e845c7653b709
easterwood airport,Easterwood Airport,easterwood airport,airport,,airport,,Airport,Easterwood Airport,,dgm_tsa_channel_class_terms,6d317efa2e860f67ed6464aa373a92d9,dgm_tsa_channel_class_terms__6d317efa2e860f67ed6464aa373a92d9
colorado springs municipal airport,City of Colorado Springs Municipal Airport,city of colorado springs municipal airport,airport,,airport,,Airport,City of Colorado Springs Municipal Airport,,dgm_tsa_channel_class_terms,030baf381eb8a208bef87b3137849e9c,dgm_tsa_channel_class_terms__030baf381eb8a208bef87b3137849e9c
columbia regional airport,Columbia Regional Airport,columbia regional airport,airport,,airport,,Airport,Columbia Regional Airport,,dgm_tsa_channel_class_terms,2c4b4fa44db0635e68fb337daf15edd6,dgm_tsa_channel_class_terms__2c4b4fa44db0635e68fb337daf15edd6
columbia metropolitan airport,Columbia Metropolitan Airport,columbia metropolitan airport,airport,,airport,,Airport,Columbia Metropolitan Airport,,dgm_tsa_channel_class_terms,d884534c9500ad9925ea60b26cb565d5,dgm_tsa_channel_class_terms__d884534c9500ad9925ea60b26cb565d5
golden triangle regional airport,Golden Triangle Regional Airport,golden triangle regional airport,airport,,airport,,Airport,Golden Triangle Regional Airport,,dgm_tsa_channel_class_terms,182fbb93a059887a4acf7c2f4eb3648a,dgm_tsa_channel_class_terms__182fbb93a059887a4acf7c2f4eb3648a
john glenn columbus,John Glenn Columbus International Airport,john glenn columbus international airport,airport,,airport,,Airport,John Glenn Columbus International Airport,,dgm_tsa_channel_class_terms,07d15c5a0a493cee64d9e0c8fa888551,dgm_tsa_channel_class_terms__07d15c5a0a493cee64d9e0c8fa888551
merle k. (mudhole) smith airport,Merle K. (Mudhole) Smith Airport,merle k. (mudhole) smith airport,airport,,airport,,Airport,Merle K. (Mudhole) Smith Airport,,dgm_tsa_channel_class_terms,55478930e2076d13fd1de28192e8872c,dgm_tsa_channel_class_terms__55478930e2076d13fd1de28192e8872c
corpus christi international airport,Corpus Christi International Airport,corpus christi international airport,airport,,airport,,Airport,Corpus Christi International Airport,,dgm_tsa_channel_class_terms,6a98f80c019231a45281ff05e7b74615,dgm_tsa_channel_class_terms__6a98f80c019231a45281ff05e7b74615
cincinnati/northern kentucky international,Cincinnati/Northern Kentucky International Airport,cincinnati/northern kentucky international airport,airport,,airport,,Airport,Cincinnati/Northern Kentucky International Airport,,dgm_tsa_channel_class_terms,7bbf3b1a30acd076e0c7de8ebf9816dd,dgm_tsa_channel_class_terms__7bbf3b1a30acd076e0c7de8ebf9816dd
del norte county regional,Del Norte County Regional Airport,del norte county regional airport,airport,,airport,,Airport,Del Norte County Regional Airport,,dgm_tsa_channel_class_terms,f81c555902247b14a85d6831ec849d04,dgm_tsa_channel_class_terms__f81c555902247b14a85d6831ec849d04
dallas love field,Dallas Love Field,dallas love field,airport,,airport,,Airport,Dallas Love Field,,dgm_tsa_channel_class_terms,5718e5cd014eb697f54485989f324602,dgm_tsa_channel_class_terms__5718e5cd014eb697f54485989f324602
dallas/fort worth international,Dallas/Fort Worth International Airport,dallas/fort worth international airport,airport,,airport,,Airport,Dallas/Fort Worth International Airport,,dgm_tsa_channel_class_terms,222f80c814dc870117469a793a801cfc,dgm_tsa_channel_class_terms__222f80c814dc870117469a793a801cfc
james m. cox dayton,James M. Cox Dayton International Airport,james m. cox dayton international airport,airport,,airport,,Airport,James M. Cox Dayton International Airport,,dgm_tsa_channel_class_terms,7da7cbfd1fd4361d8dc499655f8af6a5,dgm_tsa_channel_class_terms__7da7cbfd1fd4361d8dc499655f8af6a5
detroit metro airport,Detroit Metropolitan Wayne County Airport,detroit metropolitan wayne county airport,airport,,airport,,Airport,Detroit Metropolitan Wayne County Airport,,dgm_tsa_channel_class_terms,3b59be3a1c1cbee7bafe357d57cd366c,dgm_tsa_channel_class_terms__3b59be3a1c1cbee7bafe357d57cd366c
deadhorse airport,Deadhorse Airport,deadhorse airport,airport,,airport,,Airport,Deadhorse Airport,,dgm_tsa_channel_class_terms,8d4ef931b3257cb693f7aa445e461ff9,dgm_tsa_channel_class_terms__8d4ef931b3257cb693f7aa445e461ff9
decatur airport,Decatur Airport,decatur airport,airport,,airport,,Airport,Decatur Airport,,dgm_tsa_channel_class_terms,84a6716c719121ed6e1be7d5fb9e3205,dgm_tsa_channel_class_terms__84a6716c719121ed6e1be7d5fb9e3205
denver international airport,Denver International Airport,denver international airport,airport,,airport,,Airport,Denver International Airport,,dgm_tsa_channel_class_terms,27c02e511112f6030e5e7f53bfb9ffd3,dgm_tsa_channel_class_terms__27c02e511112f6030e5e7f53bfb9ffd3
des moines international airport,Des Moines International Airport,des moines international airport,airport,,airport,,Airport,Des Moines International Airport,,dgm_tsa_channel_class_terms,28ebfd2269ca8909ed6fb8cac22bf499,dgm_tsa_channel_class_terms__28ebfd2269ca8909ed6fb8cac22bf499
daytona beach international airport,Daytona Beach International Airport,daytona beach international airport,airport,,airport,,Airport,Daytona Beach International Airport,,dgm_tsa_channel_class_terms,3bc00bb36661cc0765d54dcb918dd1fe,dgm_tsa_channel_class_terms__3bc00bb36661cc0765d54dcb918dd1fe
dillingham airport,Dillingham Airport,dillingham airport,airport,,airport,,Airport,Dillingham Airport,,dgm_tsa_channel_class_terms,2b975b94030d207fdfb8f754f5348a51,dgm_tsa_channel_class_terms__2b975b94030d207fdfb8f754f5348a51
dothan regional airport,Dothan Regional Airport,dothan regional airport,airport,,airport,,Airport,Dothan Regional Airport,,dgm_tsa_channel_class_terms,9b5a3be061ff1591c9b3893646da327e,dgm_tsa_channel_class_terms__9b5a3be061ff1591c9b3893646da327e
dubois regional airport,DuBois Regional Airport,dubois regional airport,airport,,airport,,Airport,DuBois Regional Airport,,dgm_tsa_channel_class_terms,362958b4e56320b9c36822c1ae26c161,dgm_tsa_channel_class_terms__362958b4e56320b9c36822c1ae26c161
dubuque regional airport,Dubuque Regional Airport,dubuque regional airport,airport,,airport,,Airport,Dubuque Regional Airport,,dgm_tsa_channel_class_terms,5167dc1c13c09cfa194bbd4b3fba1026,dgm_tsa_channel_class_terms__5167dc1c13c09cfa194bbd4b3fba1026
duluth international airport,Duluth International Airport,duluth international airport,airport,,airport,,Airport,Duluth International Airport,,dgm_tsa_channel_class_terms,a568e55e1bd0d7cbf8a7f413b2010bae,dgm_tsa_channel_class_terms__a568e55e1bd0d7cbf8a7f413b2010bae
durango-la plata county airport,Durango-La Plata County Airport,durango-la plata county airport,airport,,airport,,Airport,Durango-La Plata County Airport,,dgm_tsa_channel_class_terms,ce3a73f6492ac5f7d912d86762a89c19,dgm_tsa_channel_class_terms__ce3a73f6492ac5f7d912d86762a89c19
eagle county regional airport,Eagle County Regional Airport,eagle county regional airport,airport,,airport,,Airport,Eagle County Regional Airport,,dgm_tsa_channel_class_terms,ab20d5f4d0142695d879f49d05d6a3d0,dgm_tsa_channel_class_terms__ab20d5f4d0142695d879f49d05d6a3d0
chippewa valley regional airport,Chippewa Valley Regional Airport,chippewa valley regional airport,airport,,airport,,Airport,Chippewa Valley Regional Airport,,dgm_tsa_channel_class_terms,9a4b13e8dc3a7bff3bef83f21bdc7c74,dgm_tsa_channel_class_terms__9a4b13e8dc3a7bff3bef83f21bdc7c74
el paso international airport,El Paso International Airport,el paso international airport,airport,,airport,,Airport,El Paso International Airport,,dgm_tsa_channel_class_terms,789a97de67cd0b1710a2f4f178503340,dgm_tsa_channel_class_terms__789a97de67cd0b1710a2f4f178503340
elko regional airport,Elko Regional Airport,elko regional airport,airport,,airport,,Airport,Elko Regional Airport,,dgm_tsa_channel_class_terms,b288a84adca6604ea5c4ee9842ecf063,dgm_tsa_channel_class_terms__b288a84adca6604ea5c4ee9842ecf063
elmira/corning regional airport,Elmira/Corning Regional Airport,elmira/corning regional airport,airport,,airport,,Airport,Elmira/Corning Regional Airport,,dgm_tsa_channel_class_terms,132e2b4ccc2df28a8121031196f319e6,dgm_tsa_channel_class_terms__132e2b4ccc2df28a8121031196f319e6
tom ridge field,Erie International Airport Tom Ridge Field,erie international airport tom ridge field,airport,,airport,,Airport,Erie International Airport Tom Ridge Field,,dgm_tsa_channel_class_terms,89a8fa2255feb6257616baa6dbd74a3c,dgm_tsa_channel_class_terms__89a8fa2255feb6257616baa6dbd74a3c
eugene airport,Eugene Airport,eugene airport,airport,,airport,,Airport,Eugene Airport,,dgm_tsa_channel_class_terms,f965c94c168069f48170d512d5ce87f4,dgm_tsa_channel_class_terms__f965c94c168069f48170d512d5ce87f4
evansville regional airport,Evansville Regional Airport,evansville regional airport,airport,,airport,,Airport,Evansville Regional Airport,,dgm_tsa_channel_class_terms,2a4b52abacaa1e580d573d6af37ac991,dgm_tsa_channel_class_terms__2a4b52abacaa1e580d573d6af37ac991
