permalink,authority_caption,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
2970630525,"Anti Drug Authority in Wuhai, Inner Mongolia",wuhai,FTO,"Anti Drug Authority in Wuhai, Inner Mongolia",,dgm_fentanylsources,5827dad43d9fd9764cf26b7b8d341571,dgm_fentanylsources__5827dad43d9fd9764cf26b7b8d341571
5410688450,"Anti Drug Authority in Erenhot, Inner Mongolia",erenhot,Refinery,"Anti Drug Authority in Erenhot, Inner Mongolia",,dgm_fentanylsources,e56914bedea4c14f2dc4742375434ef5,dgm_fentanylsources__e56914bedea4c14f2dc4742375434ef5
3500475144,"Anti Drug Authority in Ulanqab, Inner Mongolia",ulanqab,Organization,"Anti Drug Authority in Ulanqab, Inner Mongolia",,dgm_fentanylsources,b6b2b6ecf021f66ab63bd17d803e6620,dgm_fentanylsources__b6b2b6ecf021f66ab63bd17d803e6620
2108349017,"Anti Drug Authority in Bayannur, Inner Mongolia",bayannur,Consulates,"Anti Drug Authority in Bayannur, Inner Mongolia",,dgm_fentanylsources,6ed978bc888157d4275379fc1a35f056,dgm_fentanylsources__6ed978bc888157d4275379fc1a35f056
6628595494,"Anti Drug Authority in Alxa League, Inner Mongolia",alxaleague,ForeignMinister,"Anti Drug Authority in Alxa League, Inner Mongolia",,dgm_fentanylsources,35a62d411caab062246c6cf4dac6d720,dgm_fentanylsources__35a62d411caab062246c6cf4dac6d720
2786901225,"Anti Drug Authority in Wujin District, Changzhou, Jiangsu",wujin,IndustryTerm,"Anti Drug Authority in Wujin District, Changzhou, Jiangsu",,dgm_fentanylsources,1b9a734172b2bacd722e0b627c27b33a,dgm_fentanylsources__1b9a734172b2bacd722e0b627c27b33a
2173580880,"Anti Drug Authority in Zhangjiagang, Suzhou, Jiangsu",zhangjiagang,Keyphrase,"Anti Drug Authority in Zhangjiagang, Suzhou, Jiangsu",,dgm_fentanylsources,c747c034c1d86a745b8ba78256c2b04e,dgm_fentanylsources__c747c034c1d86a745b8ba78256c2b04e
1968311861,"Anti Drug Authority in Changshu, Suzhou, Jiangsu",changshu,Shipping,"Anti Drug Authority in Changshu, Suzhou, Jiangsu",,dgm_fentanylsources,7d5025df16cda1a6ced685876ed318f8,dgm_fentanylsources__7d5025df16cda1a6ced685876ed318f8
1938067634,"Anti Drug Authority in Kunshan, Jiangsu",kunshan,IndustryTerm,"Anti Drug Authority in Kunshan, Jiangsu",,dgm_fentanylsources,b4e298ad3bb4ea6f890132fdccf3043b,dgm_fentanylsources__b4e298ad3bb4ea6f890132fdccf3043b
2898394775,"Anti Drug Authority in Duchang County, Jiangxi",duchang,AAEntity,"Anti Drug Authority in Duchang County, Jiangxi",,dgm_fentanylsources,fe053d4f3bb92915e9dae2211d2690b1,dgm_fentanylsources__fe053d4f3bb92915e9dae2211d2690b1
1997326257,"Anti Drug Authority in Fengxin, Jiangxi",fengxin,space,"Anti Drug Authority in Fengxin, Jiangxi",,dgm_fentanylsources,be5bef6232fcae94022379f09f6df7b3,dgm_fentanylsources__be5bef6232fcae94022379f09f6df7b3
