handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
actunc_officiel,New Caledonian news outlet Actu,new caledonia,agriculture minister;agriculture ministry,hnmn,New Caledonia,-20.904305,165.618042,,Hnmn,New Caledonian news outlet Actu,,noneng_dgm_agr_mentioner_entities,47670ab4fed22ce8c0c9af81f880945e,noneng_dgm_agr_mentioner_entities__47670ab4fed22ce8c0c9af81f880945e
ncla1ere,New Caledonian news outlet La 1ere,new caledonia,agriculture minister;agriculture ministry,hnmn,New Caledonia,-20.904305,165.618042,,Hnmn,New Caledonian news outlet La 1ere,,noneng_dgm_agr_mentioner_entities,3d0c70c03b821e660a9ee29a59d73377,noneng_dgm_agr_mentioner_entities__3d0c70c03b821e660a9ee29a59d73377
lncnc,New Caledonian news outlet Les Nouvelles Caledoniennes,new caledonia,agriculture minister;agriculture ministry,hnmn,New Caledonia,-20.904305,165.618042,,Hnmn,New Caledonian news outlet Les Nouvelles Caledoniennes,,noneng_dgm_agr_mentioner_entities,be327ae6a3401d61a4ce83b8c76a0fbb,noneng_dgm_agr_mentioner_entities__be327ae6a3401d61a4ce83b8c76a0fbb
elnuevodiario,Nicaraguan news outlet El Nuevo Diario,nicaragua,agriculture minister;agriculture ministry,hnmn,Nicaragua,12.865416,-85.207229,,Hnmn,Nicaraguan news outlet El Nuevo Diario,,noneng_dgm_agr_mentioner_entities,b4f86a8de6da9debb471cf0e3722d2a3,noneng_dgm_agr_mentioner_entities__b4f86a8de6da9debb471cf0e3722d2a3
nuevaya,Nicaraguan news outlet La Nueva Radio YA,nicaragua,agriculture minister;agriculture ministry,hnmn,Nicaragua,12.865416,-85.207229,,Hnmn,Nicaraguan news outlet La Nueva Radio YA,,noneng_dgm_agr_mentioner_entities,630fe372c93acbc19db123822260cffe,noneng_dgm_agr_mentioner_entities__630fe372c93acbc19db123822260cffe
laprensa,Nicaraguan news outlet La Prensa,nicaragua,agriculture minister;agriculture ministry,hnmn,Nicaragua,12.865416,-85.207229,,Hnmn,Nicaraguan news outlet La Prensa,,noneng_dgm_agr_mentioner_entities,bda65f4f1fc0fe4f864908dfe89663b5,noneng_dgm_agr_mentioner_entities__bda65f4f1fc0fe4f864908dfe89663b5
latrincheranic,Nicaraguan news outlet Trinchera,nicaragua,agriculture minister;agriculture ministry,hnmn,Nicaragua,12.865416,-85.207229,,Hnmn,Nicaraguan news outlet Trinchera,,noneng_dgm_agr_mentioner_entities,57d7d81000e60e075538003250988033,noneng_dgm_agr_mentioner_entities__57d7d81000e60e075538003250988033
aniamey,Nigerien news outlet A Niamey,niger,agriculture minister;agriculture ministry,hnmn,Niger,17.607789,8.081666,,Hnmn,Nigerien news outlet A Niamey,,noneng_dgm_agr_mentioner_entities,9d73cf0a4bdb639bc861a6dbd03c4797,noneng_dgm_agr_mentioner_entities__9d73cf0a4bdb639bc861a6dbd03c4797
actuniger,Nigerien news outlet ActuNiger,niger,agriculture minister;agriculture ministry,hnmn,Niger,17.607789,8.081666,,Hnmn,Nigerien news outlet ActuNiger,,noneng_dgm_agr_mentioner_entities,46d609a966ffd0cfcf7345f175b65aa1,noneng_dgm_agr_mentioner_entities__46d609a966ffd0cfcf7345f175b65aa1
nigerexpress,Nigerien news outlet Niger Express,niger,agriculture minister;agriculture ministry,hnmn,Niger,17.607789,8.081666,,Hnmn,Nigerien news outlet Niger Express,,noneng_dgm_agr_mentioner_entities,0b7fd725182eec4d5ee7e66637bc0638,noneng_dgm_agr_mentioner_entities__0b7fd725182eec4d5ee7e66637bc0638
thepyongyang,North Korean news outlet The Pyongyang Times,north korea,agriculture minister;agriculture ministry,hnmn,North Korea,40.339852,127.510093,,Hnmn,North Korean news outlet The Pyongyang Times,,noneng_dgm_agr_mentioner_entities,5bf60d8123e172801aa13656f94fb4b4,noneng_dgm_agr_mentioner_entities__5bf60d8123e172801aa13656f94fb4b4
uriminzok,North Korean news outlet Uriminzokkiri,north korea,agriculture minister;agriculture ministry,hnmn,North Korea,40.339852,127.510093,,Hnmn,North Korean news outlet Uriminzokkiri,,noneng_dgm_agr_mentioner_entities,b9872241b2e6744c3d5a6345c6aaf4a4,noneng_dgm_agr_mentioner_entities__b9872241b2e6744c3d5a6345c6aaf4a4
kibrisgazetesi,Northern Cyprus news outlet Kıbrıs Gazetesi,northern cyprus,agriculture minister;agriculture ministry,hnmn,Northern Cyprus,35.2480359,33.6577243,,Hnmn,Northern Cyprus news outlet Kıbrıs Gazetesi,,noneng_dgm_agr_mentioner_entities,6ee2f52f194b7792a1cdf1d1e439bcb1,noneng_dgm_agr_mentioner_entities__6ee2f52f194b7792a1cdf1d1e439bcb1
kibris_postasi,Northern Cyprus news outlet Kıbrıs Postası,northern cyprus,agriculture minister;agriculture ministry,hnmn,Northern Cyprus,35.2480359,33.6577243,,Hnmn,Northern Cyprus news outlet Kıbrıs Postası,,noneng_dgm_agr_mentioner_entities,00779fa6043a5bdc4db4ba8df0c1cee0,noneng_dgm_agr_mentioner_entities__00779fa6043a5bdc4db4ba8df0c1cee0
yeniduzen gazetesi,Cyprus news outlet Yeni Duzen,northern cyprus,agriculture minister;agriculture ministry,hnmn,Northern Cyprus,35.2480359,33.6577243,,Hnmn,Cyprus news outlet Yeni Duzen,,noneng_dgm_agr_mentioner_entities,f07f5830f83536ecdd1fdc025e319f55,noneng_dgm_agr_mentioner_entities__f07f5830f83536ecdd1fdc025e319f55
adresseavisen,Norwegian news outlet Adresseavisen,norway,agriculture minister;agriculture ministry,hnmn,Norway,60.472024,8.468946,,Hnmn,Norwegian news outlet Adresseavisen,,noneng_dgm_agr_mentioner_entities,de6e53ea25d453480dc422e3fac3afc2,noneng_dgm_agr_mentioner_entities__de6e53ea25d453480dc422e3fac3afc2
aftenposten,Norwegian news outlet Aftenposten,norway,agriculture minister;agriculture ministry,hnmn,Norway,60.472024,8.468946,,Hnmn,Norwegian news outlet Aftenposten,,noneng_dgm_agr_mentioner_entities,a01a3059dae5bb3f53233d9edeed00e7,noneng_dgm_agr_mentioner_entities__a01a3059dae5bb3f53233d9edeed00e7
btno,Norwegian news outlet Bergens Tidende,norway,agriculture minister;agriculture ministry,hnmn,Norway,60.472024,8.468946,,Hnmn,Norwegian news outlet Bergens Tidende,,noneng_dgm_agr_mentioner_entities,197f97ac0fecf08b33c80787e3b3436e,noneng_dgm_agr_mentioner_entities__197f97ac0fecf08b33c80787e3b3436e
dagbladet,Norwegian news outlet Dagbladet,norway,agriculture minister;agriculture ministry,hnmn,Norway,60.472024,8.468946,,Hnmn,Norwegian news outlet Dagbladet,,noneng_dgm_agr_mentioner_entities,31ccb986f3d3a03ad3e8874159601bdd,noneng_dgm_agr_mentioner_entities__31ccb986f3d3a03ad3e8874159601bdd
dagsavisen,Norwegian news outlet Dagsavisen,norway,agriculture minister;agriculture ministry,hnmn,Norway,60.472024,8.468946,,Hnmn,Norwegian news outlet Dagsavisen,,noneng_dgm_agr_mentioner_entities,e17581ee55cb0cf057d067341640cdf1,noneng_dgm_agr_mentioner_entities__e17581ee55cb0cf057d067341640cdf1
muscat_daily,Omani news outlet Muscat Daily,oman,agriculture minister;agriculture ministry,hnmn,Oman,21.4735329,55.975413,,Hnmn,Omani news outlet Muscat Daily,,noneng_dgm_agr_mentioner_entities,effe88fd949d8142e495ab9077eeb109,noneng_dgm_agr_mentioner_entities__effe88fd949d8142e495ab9077eeb109
omandaily1,Omani news outlet Oman Daily,oman,agriculture minister;agriculture ministry,hnmn,Oman,21.4735329,55.975413,,Hnmn,Omani news outlet Oman Daily,,noneng_dgm_agr_mentioner_entities,5d3fe5836bad03eeedff7d4c397cc825,noneng_dgm_agr_mentioner_entities__5d3fe5836bad03eeedff7d4c397cc825
omannewsagency,Omani news outlet Oman News Agency,oman,agriculture minister;agriculture ministry,hnmn,Oman,21.4735329,55.975413,,Hnmn,Omani news outlet Oman News Agency,,noneng_dgm_agr_mentioner_entities,39e33e19e6d592e07c36062fdb2ff2fb,noneng_dgm_agr_mentioner_entities__39e33e19e6d592e07c36062fdb2ff2fb
omanobserver,Omani news outlet Oman Observer,oman,agriculture minister;agriculture ministry,hnmn,Oman,21.4735329,55.975413,,Hnmn,Omani news outlet Oman Observer,,noneng_dgm_agr_mentioner_entities,82c1de1ffbcd301a98ca7d5c666e6990,noneng_dgm_agr_mentioner_entities__82c1de1ffbcd301a98ca7d5c666e6990
timesofoman,Omani news outlet Times of Oman,oman,agriculture minister;agriculture ministry,hnmn,Oman,21.4735329,55.975413,,Hnmn,Omani news outlet Times of Oman,,noneng_dgm_agr_mentioner_entities,9f4c64a6e4f5a9feb720cdfcb1146335,noneng_dgm_agr_mentioner_entities__9f4c64a6e4f5a9feb720cdfcb1146335
dawn_com,Pakistani news outlet Dawn,pakistan,agriculture minister;agriculture ministry,hnmn,Pakistan,30.375321,69.345116,,Hnmn,Pakistani news outlet Dawn,,noneng_dgm_agr_mentioner_entities,0baeb7f6401f381e0b16b549818dcf4e,noneng_dgm_agr_mentioner_entities__0baeb7f6401f381e0b16b549818dcf4e
the_nation,Pakistani news outlet Nation,pakistan,agriculture minister;agriculture ministry,hnmn,Pakistan,30.375321,69.345116,,Hnmn,Pakistani news outlet Nation,,noneng_dgm_agr_mentioner_entities,759be0de2684295d21922339baa02e45,noneng_dgm_agr_mentioner_entities__759be0de2684295d21922339baa02e45
epakistantoday,Pakistani news outlet Pakistan Today,pakistan,agriculture minister;agriculture ministry,hnmn,Pakistan,30.375321,69.345116,,Hnmn,Pakistani news outlet Pakistan Today,,noneng_dgm_agr_mentioner_entities,9ee1f7316847011aaf213f43043fe0eb,noneng_dgm_agr_mentioner_entities__9ee1f7316847011aaf213f43043fe0eb
etribune,Pakistani news outlet The Express Tribune,pakistan,agriculture minister;agriculture ministry,hnmn,Pakistan,30.375321,69.345116,,Hnmn,Pakistani news outlet The Express Tribune,,noneng_dgm_agr_mentioner_entities,3b4d059cfc7342f5d703c15d136a2703,noneng_dgm_agr_mentioner_entities__3b4d059cfc7342f5d703c15d136a2703
