keyword,keyword_upper,caption_name,location_name,location_lower,location (state),type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
timothydunn,TimothyDunn,Arizona State Representative Dunn,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Dunn,,EO_Mentioner,67475beaaa3c5692c9f4dd01281f3136,EO_Mentioner__2d61d7c3dceffb41c7d60338b4fef7fa
kirstenengel,KirstenEngel,Arizona State Senator Engel,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Engel,,EO_Mentioner,b96b6c20099fe5e119c896bf2eb78718,EO_Mentioner__78c24c6719d5887057c9015de9ebaaf1
deniseepstein,DeniseEpstein,Arizona State Representative Epstein,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Epstein,,EO_Mentioner,6ee3e4e1f291929de01041aed06c27c9,EO_Mentioner__9bf3a1909ab601e1c2f5805d2065b238
diegoespinoza,DiegoEspinoza,Arizona State Representative Espinoza,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Espinoza,,EO_Mentioner,36c1e0556370ce4d6483687fa18ba77c,EO_Mentioner__bb6bd13375ad68baa55fb7b483bfc7aa
karenfann,KarenFann,Arizona State Senator Fann,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Fann,,EO_Mentioner,7dcc0c964e33bbd4f958ffd725fccf76,EO_Mentioner__a4c3d8d0be70bc295bdfe946f8d0f432
charlenefernandez,CharleneFernandez,Arizona State Representative Fernandez,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Fernandez,,EO_Mentioner,f277a8617e091d5bac91bb7bdbfb916b,EO_Mentioner__b8d28e9624293fa3121be1fb43b6d90d
johnfillmore,JohnFillmore,Arizona State Representative Fillmore,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Fillmore,,EO_Mentioner,38ba8bb4b96a97d388230630cc36c8a4,EO_Mentioner__51332aa98f17efc29d711370ebf38113
markfinchem,MarkFinchem,Arizona State Representative Finchem,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Finchem,,EO_Mentioner,45e05182762a0e78e995dda6e5e228c8,EO_Mentioner__80c5fd8d4da4dd25f02e484e93125a07
randallfriese,RandallFriese,Arizona State Representative Friese,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Friese,,EO_Mentioner,83d719dd17d60c88b50f77b5813d980b,EO_Mentioner__4f33a6941efdca49909596cf7ae05c24
rosannagabaldón,RosannaGabaldón,Arizona State Senator Gabaldon,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Gabaldon,,EO_Mentioner,dae9e9b3d8832067edcd92f109bd6d57,EO_Mentioner__4e139672810798389b0900bbf2e5a3f7
sally anngonzales,Sally AnnGonzales,Arizona State Senator Gonzales,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Gonzales,,EO_Mentioner,ac6fe3e179b72f1e671e3b06e7110a2a,EO_Mentioner__c5fa7bfc80b40beedc896ba8e711dc7e
davidgowan,DavidGowan,Arizona State Senator Gowan,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Gowan,,EO_Mentioner,81824922fdf9657a344d8ceefacb0533,EO_Mentioner__c9220a4bd05cc95af2d36b4d9525359e
travisgrantham,TravisGrantham,Arizona State Representative Grantham,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Grantham,,EO_Mentioner,c1793feeccaad8cbbe156e42de0234c7,EO_Mentioner__74f492c780b4993e23cf27887d6a6a79
rickgray,RickGray,Arizona State Senator Gray,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Gray,,EO_Mentioner,3cdb1c1e51fb6dbebd3377746b9cf1f0,EO_Mentioner__ac91b4cae1b444da6c9969f83608be0a
gailgriffin,GailGriffin,Arizona State Representative Griffin,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Griffin,,EO_Mentioner,dfc032e8983bca36e64ae41a8a5ecf1f,EO_Mentioner__e13b1d6babe080a6300a0f12e4ab35e7
