keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
艺电,Electronic Arts,188278,,,8418b27bbef61aa2e8c7f980c41d1c1c,,n,,1,,,,2,Wells,Electronic Arts,,dgm_weibo_media_mentionee,a7c12f0ed88bdf6b568aa6c60f590553,dgm_weibo_media_mentionee__e853db5fb97163e7377be31ae2d55799
腾讯,Tencent,188278,,,8c16a2b94a1c9a0cbca90cf2e51fab58,,#N/A,,0,,,,2,LegislativeCommittee,Tencent,,dgm_weibo_media_mentionee,8fc8e99f46d7ba325ef1b6c03ca1fdf3,dgm_weibo_media_mentionee__9414b97199d909061ce91aeb8faa421f
迈兰,Mylan,188278,,,8fc49fc4a1c567169f4d2092122c70b0,,n,,0,,,,2,CompanyKeyword,Mylan,,dgm_weibo_media_mentionee,ad7f2c1371bcfdb10fecaae28423d9ba,dgm_weibo_media_mentionee__8b94de7669b3b2ef38c3f4637a78f8a8
甲骨文中国,Oracle,188278,,,8fe63e6ff302dc0387483ac34b96b4bd,,#N/A,,0,,,,5,AAEntity,Oracle,,dgm_weibo_media_mentionee,b1c67caa2fa212dba8bd2988f0fba9ec,dgm_weibo_media_mentionee__30162ed78b6c10f731411f2fc440c24f
甲骨文公司,Oracle,188278,,,8fe63e6ff302dc0387483ac34b96b4bd,,,,,,,,,News,Oracle,,dgm_weibo_media_mentionee,79f86f43cfb0fc7e28818bcfbd3ddb0e,dgm_weibo_media_mentionee__30162ed78b6c10f731411f2fc440c24f
美国甲骨文,Oracle,188278,,,8fe63e6ff302dc0387483ac34b96b4bd,,,,,,,,,ForeignMinister,Oracle,,dgm_weibo_media_mentionee,3fd8f53642ad0f4cf06a7b14195a7a4c,dgm_weibo_media_mentionee__30162ed78b6c10f731411f2fc440c24f
汇丰,HSBC,188278,,,914fc0ddfc7d82f93070dfc556c9b721,,n,,0,,,,2,Keyphrase,HSBC,,dgm_weibo_media_mentionee,7025c9c8d7d4c3775039d44ac4591191,dgm_weibo_media_mentionee__f8f8f7fcceffcd4c66e2e4f9670b27aa
礼来,Eli Lilly,188278,,,983075ff5a8bc75efd71ee52017cb8c1,,n,,1,,,,2,IndustryTerm,Eli Lilly,,dgm_weibo_media_mentionee,d82f87ef98c07f122c060e5a71c3efd7,dgm_weibo_media_mentionee__0aadef22df549182fd89a7b7f626f661
惠普,HP,188278,,,9872fe0f85baf90ec27234ae213ad9b7,,n,,1,,,,2,Media,HP,,dgm_weibo_media_mentionee,5f2f40d5ebca649761b30f380e7b1cc5,dgm_weibo_media_mentionee__e6fc8ce107f2bdf0955f021a391514ce
辉瑞,Pfizer,188278,,,a35666db9cb5e8fe11e739d1a73da288,,n,,0,,,,2,Organization,Pfizer,,dgm_weibo_media_mentionee,2926e71c67625254b8f632fbdb923e95,dgm_weibo_media_mentionee__c1b9f1c2d5cc1361ccf28b0108bd7179
维萨,Visa,188278,,,acab4e59bb18181324d348ea9feb9ddc,,n,,1,,,,2,ForeignMinistry,Visa,,dgm_weibo_media_mentionee,6053fb91ed356a179e39d78965a3304c,dgm_weibo_media_mentionee__89fc0d6fe12b0e0c1af5c7a0373435a6
惠好公司,Weyerhaeuser,188278,,,ae1c699abcd9aa394e346e9bb2c1d470,,#N/A,,1,,,,4,ForeignMinistry,Weyerhaeuser,,dgm_weibo_media_mentionee,0c13ab0e3b28d202a64578c5e7b80714,dgm_weibo_media_mentionee__445b95b36ec9218b61e0474ca590921c
万科,China Vanke,188278,,,ae9c3a7a75812ae72ec8589d6adc1b78,,,,0,,,,2,DiplomaticFacilities,China Vanke,,dgm_weibo_media_mentionee,4a8b75b57b6aecd1bd2fe7cc38568a93,dgm_weibo_media_mentionee__ce36f801f3dc301a55d46273562ebc19
优步,Uber,188278,,,c0f40627427dacd06ff9438863c83be7,,n,,0,,,,2,Diplomat,Uber,,dgm_weibo_media_mentionee,2546decc5dfe5d2a4833832da18e72d2,dgm_weibo_media_mentionee__af00a7270cc3dc7b1bfd41fdb533f6e0
蒙牛,China Mengniu Dairy,188278,,,c9750f4c14dd04730042fe2f8edb843e,,,,0,,,,2,AAEntity,China Mengniu Dairy,,dgm_weibo_media_mentionee,21404f372e6fc3d90d1acc85dcbeb4e0,dgm_weibo_media_mentionee__d74fa039dd86e49a555da1e3f5b2d38e
贝宝,PayPal,188278,,,cb5aa0e62a22c02eea509f4ed369f97e,,n,,0,,,,2,Exec,PayPal,,dgm_weibo_media_mentionee,ceac90d3403c572fae0c3a08c747ad1c,dgm_weibo_media_mentionee__ad69e733ebae8d264bccaa38d68830e8
霍利,HollyFrontier,188278,,,d211b5de6dc1ff4f99e6c496f1af37ff,,n,,1,,,,2,Media,HollyFrontier,,dgm_weibo_media_mentionee,1f976c82ff08382c43d7630bd1b924bd,dgm_weibo_media_mentionee__4a41b7b28a3b245cac7cbb30ca40ea8d
农行,Agricultural Bank of China,188278,,,d35a51746b7b3b9cda51de9371b3691d,,,,0,,,,2,ForeignMinistry,Agricultural Bank of China,,dgm_weibo_media_mentionee,349336d227d1035d64104bf79c8a8124,dgm_weibo_media_mentionee__1e1f5e8c914a37d7c3bd6af20ec45a12
信诺,Cigna,188278,,,d771f74a295f7ea102248b87e1e0ebd3,,n,,0,,,,2,Media,Cigna,,dgm_weibo_media_mentionee,50715a56eda6406b5890d2956396aa8a,dgm_weibo_media_mentionee__001f86414b79058a6ab09340d8f86dfe
盖璞,Gap,188278,,,daef6dfb678d3400a5a397629c7b8f98,,n,,1,,,,2,ForeignMinister,Gap,,dgm_weibo_media_mentionee,d496351c13f01cb466209a5fd2516e06,dgm_weibo_media_mentionee__466b98ca0f38bd8bf2260246c91f6882
百度,Baidu,188278,,,e124818c3e704f0866b798552089cd98,y,#N/A,,0,,Chinese company Baidu,,2,LegislativeCommittee,Baidu,,dgm_weibo_media_mentionee,de56676ca5014ac312c1c6d736eef9a9,dgm_weibo_media_mentionee__d36e219e608d6f9aa15b1e42081689fa
加航,Air Canada,188278,,,e2437347300ecc96b6855502ea951918,,n,,,,,,2,space,Air Canada,,dgm_weibo_media_mentionee,4239594b8cf75ecd97c24f81c1be7cf1,dgm_weibo_media_mentionee__76a25b8511a5f39c1bdc761f65636e4b
波音,Boeing,188278,,,fa7be71100c59377ed582e21587318d6,,n,,2,,,,2,IndustryTerm,Boeing,,dgm_weibo_media_mentionee,49ca18174b9e16e7286fa2ea5cdd9336,dgm_weibo_media_mentionee__44787ee9ad7082c7e379356589456000
鞍钢,Angang Steel,188278,,,,Chinese company,Chinese company Angang Steel,,0,,,,2,FTO,Angang Steel,,dgm_weibo_media_mentionee,2ce4d20a585e36ead330dbf1f6d92879,dgm_weibo_media_mentionee__b3961922c0266910713ba115e60bbd21
