german_word,caption_text,threshold,topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
wetterbedingte störungen,adverse weather conditions,Local Signal,188141,Diplomat,adverse weather conditions,,german_rail_eventType2,bdde80955d1f25976eb67ffbc364b430,german_rail_eventType2__bdde80955d1f25976eb67ffbc364b430
witterungsbedingte störung,adverse weather conditions,Local Signal,188141,FTO,adverse weather conditions,,german_rail_eventType2,bdde80955d1f25976eb67ffbc364b430,german_rail_eventType2__bdde80955d1f25976eb67ffbc364b430
wetterbedingte störung,adverse weather conditions,Local Signal,188141,Pipeline,adverse weather conditions,,german_rail_eventType2,bdde80955d1f25976eb67ffbc364b430,german_rail_eventType2__bdde80955d1f25976eb67ffbc364b430
witterungsbedingte störungen,adverse weather conditions,Local Signal,188141,Media,adverse weather conditions,,german_rail_eventType2,bdde80955d1f25976eb67ffbc364b430,german_rail_eventType2__bdde80955d1f25976eb67ffbc364b430
verzögerungen im betriebsablauf,delayed operating schedule,Local Signal,,Diplomat,delayed operating schedule,,german_rail_eventType2,5562c02ef158e3258b31846bf9dac7c3,german_rail_eventType2__5562c02ef158e3258b31846bf9dac7c3
verspätung aus vorheriger fahrt,earlier delayed train,Local Signal,,Diplomat,earlier delayed train,,german_rail_eventType2,874f6711aa575ce1dfad4793c39e684e,german_rail_eventType2__874f6711aa575ce1dfad4793c39e684e
störung an einem stellwerk,signal failure,Local Signal,,Consulates,signal failure,,german_rail_eventType2,3ad354dd2ca59aa58063ae6005bf5d62,german_rail_eventType2__3ad354dd2ca59aa58063ae6005bf5d62
extreme witterung,adverse weather conditions,Local Signal,188141,News,adverse weather conditions,,german_rail_eventType2,bdde80955d1f25976eb67ffbc364b430,german_rail_eventType2__bdde80955d1f25976eb67ffbc364b430
infrastrukturstörung,infrastructure disruption,Local Signal,,AAEntity,infrastructure disruption,,german_rail_eventType2,d4bd721459e0bf51bc4822d389b48186,german_rail_eventType2__d4bd721459e0bf51bc4822d389b48186
verspätung des vorausfahrenden zuges,earlier delayed train,Local Signal,,Legislator,earlier delayed train,,german_rail_eventType2,874f6711aa575ce1dfad4793c39e684e,german_rail_eventType2__874f6711aa575ce1dfad4793c39e684e
schnee und eis,snow and ice,Local Signal,188141,Diplomat,snow and ice,,german_rail_eventType2,e37779e45a7f8a1d8384280c709946b6,german_rail_eventType2__e37779e45a7f8a1d8384280c709946b6
witterungsbedingt,adverse weather conditions,Local Signal,188141,Keyphrase,adverse weather conditions,,german_rail_eventType2,bdde80955d1f25976eb67ffbc364b430,german_rail_eventType2__bdde80955d1f25976eb67ffbc364b430
behinderung durch wetter,adverse weather conditions,Local Signal,188141,Pipeline,adverse weather conditions,,german_rail_eventType2,bdde80955d1f25976eb67ffbc364b430,german_rail_eventType2__bdde80955d1f25976eb67ffbc364b430
personalausfall,staff shortage,Local Signal,,Shipping,staff shortage,,german_rail_eventType2,743d13e53703055d3039a76cb60d7ef9,german_rail_eventType2__743d13e53703055d3039a76cb60d7ef9
schnee,snow,Local Signal,188141,Refinery,snow,,german_rail_eventType2,2b93fbdf27d43547bec8794054c28e00,german_rail_eventType2__2b93fbdf27d43547bec8794054c28e00
frost,frost,Local Signal,188141,Refinery,frost,,german_rail_eventType2,2b82477bcccc369d9d8ed30bb1200803,german_rail_eventType2__2b82477bcccc369d9d8ed30bb1200803
defekten ices,defective high-speed train,Local Signal,188141,Legislator,defective high-speed train,,german_rail_eventType2,c8005c6426b86ada10298af4788627bd,german_rail_eventType2__c8005c6426b86ada10298af4788627bd
weichenstörungen,switch failure,Local Signal,,CompanyKeyword,switch failure,,german_rail_eventType2,3d0b38dc282913462d4bee2637baa869,german_rail_eventType2__3d0b38dc282913462d4bee2637baa869
streckenstörung,track issue,Local Signal,,Exec,track issue,,german_rail_eventType2,9f7066036e2e7dfd86d07575fca308c7,german_rail_eventType2__9f7066036e2e7dfd86d07575fca308c7
