keyword,caption_name,topic_id,alert_threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
issued,issued,188296,general.alert2.local,ForeignMinistry,issued,,dgm_amberalertevent,28e32fb02cd44e44796348fbc2b93e1c,dgm_amberalertevent__28e32fb02cd44e44796348fbc2b93e1c
cancelled,canceled,188297,general.alert3,Consulates,canceled,,dgm_amberalertevent,d5c39a1d9aced393f835f334a1fb9206,dgm_amberalertevent__d5c39a1d9aced393f835f334a1fb9206
discontinued,discontinued,188297,general.alert3,Organization,discontinued,,dgm_amberalertevent,d26fe686e5d8db762b4368ae14c7d242,dgm_amberalertevent__d26fe686e5d8db762b4368ae14c7d242
updated,updated,188296,general.alert2.local,IndustryTerm,updated,,dgm_amberalertevent,0f81d52e06caaa4860887488d18271c7,dgm_amberalertevent__0f81d52e06caaa4860887488d18271c7
extended,extended,188296,general.alert2.local,ForeignMinistry,extended,,dgm_amberalertevent,d3e78e3d3b68cb0fbd9f66dcaef93cea,dgm_amberalertevent__d3e78e3d3b68cb0fbd9f66dcaef93cea
deactivated,deactivated,188297,general.alert3,News,deactivated,,dgm_amberalertevent,7c04d50ec1496027d0ed6fd0d6f00a85,dgm_amberalertevent__7c04d50ec1496027d0ed6fd0d6f00a85
canceled,canceled,188297,general.alert3,Shipping,canceled,,dgm_amberalertevent,d5c39a1d9aced393f835f334a1fb9206,dgm_amberalertevent__d5c39a1d9aced393f835f334a1fb9206
amberalert. for most,issued,188296,general.alert2.local,CompanyKeyword,issued,,dgm_amberalertevent,28e32fb02cd44e44796348fbc2b93e1c,dgm_amberalertevent__28e32fb02cd44e44796348fbc2b93e1c
