german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
lichtgutgasse,"Lichtgutgasse in Ingolstadt, Germany",48.7679334,11.2768222,1,,,,,,Person,"Lichtgutgasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,0561a83e90aa6220ffbd54a4bf27d499,german_fires_ingolstadt_locations__0561a83e90aa6220ffbd54a4bf27d499
liebfrauenweg,"Liebfrauenweg in Ingolstadt, Germany",48.7758549,11.281598,1,,,,,,space,"Liebfrauenweg in Ingolstadt, Germany",,german_fires_ingolstadt_locations,a04ef80d24b80508d216460ac9dcd57e,german_fires_ingolstadt_locations__a04ef80d24b80508d216460ac9dcd57e
liebigstrasse,"Liebigstrasse in Ingolstadt, Germany",48.7757856,11.4048472,1,,,,,,Shipping,"Liebigstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,d6c30f93e484391acc5213b5746d1349,german_fires_ingolstadt_locations__d6c30f93e484391acc5213b5746d1349
liebstockelweg,"Liebstockelweg in Ingolstadt, Germany",48.7113781,11.3934955,1,,,,,,Media,"Liebstockelweg in Ingolstadt, Germany",,german_fires_ingolstadt_locations,526e15001f7ab68c5b7ab4a8bc48139c,german_fires_ingolstadt_locations__526e15001f7ab68c5b7ab4a8bc48139c
liegnitzer strasse,"Liegnitzer Strasse in Ingolstadt, Germany",48.7612786,11.442719,1,,,,,,CompanyKeyword,"Liegnitzer Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,0a831d23470b58e45089bd46b8a9eb00,german_fires_ingolstadt_locations__0a831d23470b58e45089bd46b8a9eb00
ligusterstrasse,"Ligusterstrasse in Ingolstadt, Germany",48.7702986,11.4786287,1,,,,,,Exec,"Ligusterstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,2da0be3c8eae3ff61e4118f554820d7e,german_fires_ingolstadt_locations__2da0be3c8eae3ff61e4118f554820d7e
lilienstrasse,"Lilienstrasse in Ingolstadt, Germany",48.7563314,11.3533305,1,,,,,,Refinery,"Lilienstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,38899b50c2de331e90496c6f2814bfb2,german_fires_ingolstadt_locations__38899b50c2de331e90496c6f2814bfb2
lilienthalstrasse,"Lilienthalstrasse in Ingolstadt, Germany",48.7444088,11.4183823,1,,,,,,Wells,"Lilienthalstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,fbabb675e89c4ffdec722995b35bfa0d,german_fires_ingolstadt_locations__fbabb675e89c4ffdec722995b35bfa0d
lilly-reich-strasse,"Lilly-Reich-Strasse in Ingolstadt, Germany",48.7580591,11.4119677,1,,,,,,Exec,"Lilly-Reich-Strasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,c6e8d44824172e158608a0c11282553d,german_fires_ingolstadt_locations__c6e8d44824172e158608a0c11282553d
limesstrasse,"Limesstrasse in Ingolstadt, Germany",48.7710083,11.4682191,1,,,,,,AAEntity,"Limesstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,e8501af66e8ae010250f252394ae6057,german_fires_ingolstadt_locations__e8501af66e8ae010250f252394ae6057
lindberghstrasse,"Lindberghstrasse in Ingolstadt, Germany",48.747366,11.4283645,1,,,,,,AAEntity,"Lindberghstrasse in Ingolstadt, Germany",,german_fires_ingolstadt_locations,2347f1f7143ff1460c25f4c6bedb5a7e,german_fires_ingolstadt_locations__2347f1f7143ff1460c25f4c6bedb5a7e
