keyword,caption_name,lat,lon,location_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#愛國者治港,Hong Kong Legislative Council election,22.302711,114.177216,Hong Kong,188369,IndustryTerm,Hong Kong Legislative Council election,,hk_ei_terms,08c8ad8fc304344d9d8960f25457e3bd,hk_ei_terms__08c8ad8fc304344d9d8960f25457e3bd
#新一屆立法會議員,Hong Kong Legislative Council election,22.302711,114.177216,Hong Kong,188369,IndustryTerm,Hong Kong Legislative Council election,,hk_ei_terms,08c8ad8fc304344d9d8960f25457e3bd,hk_ei_terms__08c8ad8fc304344d9d8960f25457e3bd
#legislativecouncil,Hong Kong Legislative Council election,22.302711,114.177216,Hong Kong,188369,IndustryTerm,Hong Kong Legislative Council election,,hk_ei_terms,08c8ad8fc304344d9d8960f25457e3bd,hk_ei_terms__08c8ad8fc304344d9d8960f25457e3bd
#electioncommittee,Hong Kong Legislative Council election,22.302711,114.177216,Hong Kong,188369,News,Hong Kong Legislative Council election,,hk_ei_terms,08c8ad8fc304344d9d8960f25457e3bd,hk_ei_terms__08c8ad8fc304344d9d8960f25457e3bd
#patriotsgoverninghongkong,Hong Kong Legislative Council election,22.302711,114.177216,Hong Kong,188369,FTO,Hong Kong Legislative Council election,,hk_ei_terms,08c8ad8fc304344d9d8960f25457e3bd,hk_ei_terms__08c8ad8fc304344d9d8960f25457e3bd
#memberofthenewlegislativecouncil,Hong Kong Legislative Council election,22.302711,114.177216,Hong Kong,188369,LegislativeCommittee,Hong Kong Legislative Council election,,hk_ei_terms,08c8ad8fc304344d9d8960f25457e3bd,hk_ei_terms__08c8ad8fc304344d9d8960f25457e3bd
@nathanlawkc,Pro-democracy activist Nathan Law,22.302711,114.177216,Hong Kong,188369,Pipeline,Pro-democracy activist Nathan Law,,hk_ei_terms,16085e415d63a9bf1b31ec40d2b2184a,hk_ei_terms__16085e415d63a9bf1b31ec40d2b2184a
@sunnycheungky,Pro-democracy activist Sunny Cheung,22.302711,114.177216,Hong Kong,188369,LegislativeCommittee,Pro-democracy activist Sunny Cheung,,hk_ei_terms,128fb680af1b73708e313cc964fc25a4,hk_ei_terms__128fb680af1b73708e313cc964fc25a4
@joshuawongcf,Pro-democracy activist Joshua Wong,22.302711,114.177216,Hong Kong,188369,space,Pro-democracy activist Joshua Wong,,hk_ei_terms,ea27e7640b9e25a41d7b1d01ef0ecec6,hk_ei_terms__ea27e7640b9e25a41d7b1d01ef0ecec6
@chuhoidick,Pro-democracy activist Eddie Chu,22.302711,114.177216,Hong Kong,188369,Refinery,Pro-democracy activist Eddie Chu,,hk_ei_terms,f358538fdc4af7ad994cde798d4f2c3a,hk_ei_terms__f358538fdc4af7ad994cde798d4f2c3a
@chowtingagnes,Pro-democracy activist Agnes Chow,22.302711,114.177216,Hong Kong,188369,Media,Pro-democracy activist Agnes Chow,,hk_ei_terms,292b82aca7e604f084228dc93f13f4b4,hk_ei_terms__292b82aca7e604f084228dc93f13f4b4
@brianleungkp,Pro-democracy activist Brian Leung,22.302711,114.177216,Hong Kong,188369,LegislativeCommittee,Pro-democracy activist Brian Leung,,hk_ei_terms,6057086f6abadb86acf8bf9926911aee,hk_ei_terms__6057086f6abadb86acf8bf9926911aee
@finnlau_cd,Pro-democracy activist Finn Lau,22.302711,114.177216,Hong Kong,188369,Wells,Pro-democracy activist Finn Lau,,hk_ei_terms,37e382c20cdf4439a81f7ce0a6e30202,hk_ei_terms__37e382c20cdf4439a81f7ce0a6e30202
@frances_hui,Pro-democracy activist Frances Hui,22.302711,114.177216,Hong Kong,188369,ForeignMinistry,Pro-democracy activist Frances Hui,,hk_ei_terms,4eb8f67d8a0d4bc59fd3668d43512e4c,hk_ei_terms__4eb8f67d8a0d4bc59fd3668d43512e4c
@tedhuichuifung,Former district councillor Ted Hui,22.302711,114.177216,Hong Kong,188369,Consulates,Former district councillor Ted Hui,,hk_ei_terms,72ce5b2a8da6c8fda6d40c622394ba6f,hk_ei_terms__72ce5b2a8da6c8fda6d40c622394ba6f
@timothylee_hk,Former district councillor Timothy Lee,22.302711,114.177216,Hong Kong,188369,space,Former district councillor Timothy Lee,,hk_ei_terms,c4cfb847f07762951dd901bcf05b14e3,hk_ei_terms__c4cfb847f07762951dd901bcf05b14e3
@leungbaggio,Youngspiration convenor Baggio Leung,22.302711,114.177216,Hong Kong,188369,FTO,Youngspiration convenor Baggio Leung,,hk_ei_terms,087e91926c5e0c8b8f4c1facf34772c4,hk_ei_terms__087e91926c5e0c8b8f4c1facf34772c4
@hoccgoomusic,Singer and activist Denise Ho,22.302711,114.177216,Hong Kong,188369,Organization,Singer and activist Denise Ho,,hk_ei_terms,8cc7ee06ec0a680e0828ff2246752486,hk_ei_terms__8cc7ee06ec0a680e0828ff2246752486
@honcqueslaus,Pro-democracy activist Honcques Laus,22.302711,114.177216,Hong Kong,188369,Shipping,Pro-democracy activist Honcques Laus,,hk_ei_terms,84f35e01a306198d87397c292c57ff40,hk_ei_terms__84f35e01a306198d87397c292c57ff40
@jeffreychngo,Pro-democracy activist Jeffrey Ngo,22.302711,114.177216,Hong Kong,188369,space,Pro-democracy activist Jeffrey Ngo,,hk_ei_terms,462b82ec3ecc9e959da07eff0e723d10,hk_ei_terms__462b82ec3ecc9e959da07eff0e723d10
@holden_chow,Legistative Council member Holden Chow,22.302711,114.177216,Hong Kong,188369,AAEntity,Legistative Council member Holden Chow,,hk_ei_terms,afb13d189921e976bac67d6d4511cb45,hk_ei_terms__afb13d189921e976bac67d6d4511cb45
@wongjiyuet,Pro-democracy activist Wong Ji Yuet,22.302711,114.177216,Hong Kong,188369,Keyphrase,Pro-democracy activist Wong Ji Yuet,,hk_ei_terms,1275e19058c001b2cf973c1948b7dd6a,hk_ei_terms__1275e19058c001b2cf973c1948b7dd6a
@weiweidai4,Blogger Dai Weiwei,22.302711,114.177216,Hong Kong,188369,Refinery,Blogger Dai Weiwei,,hk_ei_terms,6a71722f684e015583917c19259537d4,hk_ei_terms__6a71722f684e015583917c19259537d4
@carlzha,Podcast host Carl Zha,22.302711,114.177216,Hong Kong,188369,Wells,Podcast host Carl Zha,,hk_ei_terms,fa1b8d0ede2f17b0bdf664f636fe62ee,hk_ei_terms__fa1b8d0ede2f17b0bdf664f636fe62ee
@notxiangyu,Blogger Xiang Yu,22.302711,114.177216,Hong Kong,188369,Person,Blogger Xiang Yu,,hk_ei_terms,1cf45a403c11e17b04547119a3c02413,hk_ei_terms__1cf45a403c11e17b04547119a3c02413
@mango_press_,Blog Mango Press,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Blog Mango Press,,hk_ei_terms,bd5e212505824729eff5c34a468e27a1,hk_ei_terms__bd5e212505824729eff5c34a468e27a1
@jingjing_li,Reporter Li Jingjing,22.302711,114.177216,Hong Kong,188369,DiplomaticFacilities,Reporter Li Jingjing,,hk_ei_terms,564fa99f270ced4a6817225db357c8bc,hk_ei_terms__564fa99f270ced4a6817225db357c8bc
@huxijin_gt,Global Times Editor Hu Xijin,22.302711,114.177216,Hong Kong,188369,Media,Global Times Editor Hu Xijin,,hk_ei_terms,b1315f6852a397747a5c664a6f699a52,hk_ei_terms__b1315f6852a397747a5c664a6f699a52
@hkpoliceforce,Hong Kong Police Hong Kong Police Force,22.302711,114.177216,Hong Kong,188369,Organization,Hong Kong Police Hong Kong Police Force,,hk_ei_terms,f7ba5803a7eee0d1f69268018d676f00,hk_ei_terms__f7ba5803a7eee0d1f69268018d676f00
@stanleyhowaiho1,District Councillor Stanley Ho,22.302711,114.177216,Hong Kong,188369,Legislator,District Councillor Stanley Ho,,hk_ei_terms,c3c74f8bce1b1e47ac0d0ab75d88edf5,hk_ei_terms__c3c74f8bce1b1e47ac0d0ab75d88edf5
@pokszeto,District Councillor Szeto Pok-man,22.302711,114.177216,Hong Kong,188369,Legislator,District Councillor Szeto Pok-man,,hk_ei_terms,a2396944394c103927ceb09d3b41ba71,hk_ei_terms__a2396944394c103927ceb09d3b41ba71
@tommycheungsy,District Councillor Tommy Cheung,22.302711,114.177216,Hong Kong,188369,ForeignMinister,District Councillor Tommy Cheung,,hk_ei_terms,b71a766e9e45e1fb2f0bf5960880096b,hk_ei_terms__b71a766e9e45e1fb2f0bf5960880096b
