handle,caption_name,location_lower,exclude_groups,Location City,Location Country,Alternate Location (city/statge/region/country/constituency),.1,.2,Firstname,Lastname,Entity Type,Entity Type 2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
giuseppinacasti,Italian Legislator Castiello,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Lega Nord,Giuseppina,Castiello,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Castiello,,int_leg_handles,099d5242ac29f5106473e057933944eb,int_leg_handles__099d5242ac29f5106473e057933944eb
giusibartolozzi,Italian Legislator Bartolozzi,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Mixed Group,Giusi,Bartolozzi,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Bartolozzi,,int_leg_handles,1514ac3cf76a73ecb73dd774b9c5c381,int_leg_handles__1514ac3cf76a73ecb73dd774b9c5c381
giusyversace,Italian Legislator Versace,italy,italy,Rome,Italy,Milan,Chamber of Deputies of Italy,Forza Italia,Giusy,Versace,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Versace,,int_leg_handles,e8b381a9ca03beeeb9f4883ae511c9b9,int_leg_handles__e8b381a9ca03beeeb9f4883ae511c9b9
gloria_vizzini,Italian Legislator Vizzini,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Mixed Group,Gloria,Vizzini,Legislator,Member of the Italian Chamber of Deputies,Legislator,Italian Legislator Vizzini,,int_leg_handles,f3dbeb7c23e29321732164527da81cfb,int_leg_handles__f3dbeb7c23e29321732164527da81cfb
graziano_delrio,Italian Legislator Delrio,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Democratic Party,Graziano,Delrio,Legislator,Member of the Italian Chamber of Deputies,Refinery,Italian Legislator Delrio,,int_leg_handles,65d7171ec4ba258b383b2b229e195cc8,int_leg_handles__65d7171ec4ba258b383b2b229e195cc8
greg_fontana,Italian Legislator Fontana,italy,italy,Rome,Italy,Bergamo,Chamber of Deputies of Italy,Forza Italia,Gregorio,Fontana,Legislator,Member of the Italian Chamber of Deputies,ForeignMinister,Italian Legislator Fontana,,int_leg_handles,d5fc7c62a14d9fcb38f3e4547913574d,int_leg_handles__d5fc7c62a14d9fcb38f3e4547913574d
caffaratto_g,Italian Legislator Caffaratto,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Lega Nord,Gualtiero,Caffaratto,Legislator,Member of the Italian Chamber of Deputies,Exec,Italian Legislator Caffaratto,,int_leg_handles,6e6e5d05d0d06e743998eb884b795981,int_leg_handles__6e6e5d05d0d06e743998eb884b795981
gullygolinelli,Italian Legislator Golinelli,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Lega Nord,Guglielmo,Golinelli,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Golinelli,,int_leg_handles,3fd8ef7b71e6e511d469e3fa4a6dfd97,int_leg_handles__3fd8ef7b71e6e511d469e3fa4a6dfd97
guia_termini,Italian Legislator Termini,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Mixed Group,Guia,Termini,Legislator,Member of the Italian Chamber of Deputies,space,Italian Legislator Termini,,int_leg_handles,163b10564d8e5275ac1eb2ad8e8a3b9d,int_leg_handles__163b10564d8e5275ac1eb2ad8e8a3b9d
guidodemartini,Italian Legislator Martini,italy,italy,Rome,Italy,Sardinia,Chamber of Deputies of Italy,Lega Nord,Guido,Martini,Legislator,Member of the Italian Chamber of Deputies,Pipeline,Italian Legislator Martini,,int_leg_handles,ee9f3fa23e02483d529e6f5602e7b0da,int_leg_handles__ee9f3fa23e02483d529e6f5602e7b0da
gfrera,Italian Legislator Frera,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Coraggio Italia,Guido,Frera,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Frera,,int_leg_handles,59a7d84fed1ecac8e15c7dc960015de9,int_leg_handles__59a7d84fed1ecac8e15c7dc960015de9
igoriezzi,Italian Legislator Iezzi,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Lega Nord,Igor,Iezzi,Legislator,Member of the Italian Chamber of Deputies,Keyphrase,Italian Legislator Iezzi,,int_leg_handles,0b8e21323a7f4d34e91477a5101f729d,int_leg_handles__0b8e21323a7f4d34e91477a5101f729d
ilariafontana5s,Italian Legislator Fontana,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Five Star Movement,Ilaria,Fontana,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Fontana,,int_leg_handles,5a2eb7385633e9502f0f5c21db808715,int_leg_handles__5a2eb7385633e9502f0f5c21db808715
bisaingrid,Italian Legislator Bisa,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Lega Nord,Ingrid,Bisa,Legislator,Member of the Italian Chamber of Deputies,Legislator,Italian Legislator Bisa,,int_leg_handles,750ad914b2630a3e66ce499efe205658,int_leg_handles__750ad914b2630a3e66ce499efe205658
kettyfogliani,Italian Legislator Fogliani,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Lega Nord,Ketty,Fogliani,Legislator,Member of the Italian Chamber of Deputies,Legislator,Italian Legislator Fogliani,,int_leg_handles,d2d9a518acdf7bb30539a991d7a3717e,int_leg_handles__d2d9a518acdf7bb30539a991d7a3717e
lauraboldrini,Italian Legislator Boldrini,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,"Left, Ecology and Freedom",Laura,Boldrini,Legislator,Member of the Italian Chamber of Deputies,Refinery,Italian Legislator Boldrini,,int_leg_handles,8ed560e26efb76f87d1010d819f3c2ed,int_leg_handles__8ed560e26efb76f87d1010d819f3c2ed
cantinil,Italian Legislator Cantini,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Democratic Party,Laura,Cantini,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Cantini,,int_leg_handles,fe531f98b8ffa1f27bd5726f48311235,int_leg_handles__fe531f98b8ffa1f27bd5726f48311235
lacastellim5s,Italian Legislator Castelli,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Five Star Movement,Laura,Castelli,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Castelli,,int_leg_handles,c590748036bfaaf176fbf68442433e6d,int_leg_handles__c590748036bfaaf176fbf68442433e6d
lacavandoli,Italian Legislator Cavandoli,italy,italy,Rome,Italy,Emilia Romagna,Chamber of Deputies of Italy,Lega Nord,Laura,Cavandoli,Legislator,Member of the Italian Chamber of Deputies,Media,Italian Legislator Cavandoli,,int_leg_handles,467d7d1833d5c85ede0db9fb0987a1fe,int_leg_handles__467d7d1833d5c85ede0db9fb0987a1fe
lauraravetto,Italian Legislator Ravetto,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Forza Italia (1994),Laura,Ravetto,Legislator,Member of the Italian Chamber of Deputies,space,Italian Legislator Ravetto,,int_leg_handles,77caed76cdd7664550b9e3cfcc809543,int_leg_handles__77caed76cdd7664550b9e3cfcc809543
leondonnom5s,Italian Legislator Donno,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Five Star Movement,Leonardo,Donno,Legislator,Member of the Italian Chamber of Deputies,AAEntity,Italian Legislator Donno,,int_leg_handles,738f729c6f451a19a51195bd084be994,int_leg_handles__738f729c6f451a19a51195bd084be994
leonardotarant5,Italian Legislator Tarantino,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Lega Nord,Leonardo,Tarantino,Legislator,Member of the Italian Chamber of Deputies,Diplomat,Italian Legislator Tarantino,,int_leg_handles,30e6fe52ade8078917da91046f335f69,int_leg_handles__30e6fe52ade8078917da91046f335f69
liaquartapelle,Italian Legislator Quartapelle,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Democratic Party,Lia,Quartapelle,Legislator,Member of the Italian Chamber of Deputies,Person,Italian Legislator Quartapelle,,int_leg_handles,02cf3cef322f2a711dc5061c4e7f9764,int_leg_handles__02cf3cef322f2a711dc5061c4e7f9764
lorenamilanato,Italian Legislator Milanato,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Forza Italia,Loreno,Milanato,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Milanato,,int_leg_handles,54dec5d0b42ff2a8395019916efa7c80,int_leg_handles__54dec5d0b42ff2a8395019916efa7c80
lofioramonti,Italian Legislator Fioramonti,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Five Star Movement,Lorenzo,Fioramonti,Legislator,Member of the Italian Chamber of Deputies,ForeignMinistry,Italian Legislator Fioramonti,,int_leg_handles,c6c4ac234a627e8f9cf89b5a04976e44,int_leg_handles__c6c4ac234a627e8f9cf89b5a04976e44
fontana3lorenzo,Italian Legislator Fontana,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Lega Nord,Lorenzo,Fontana,Legislator,Member of the Italian Chamber of Deputies,Refinery,Italian Legislator Fontana,,int_leg_handles,bc08d64f04b0eaf75d31b7b2ba6b791f,int_leg_handles__bc08d64f04b0eaf75d31b7b2ba6b791f
guerini_lorenzo,Italian Minister of Defense Guerini,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Democratic Party,Lorenzo,Guerini,Legislator,Minister of Defense,DiplomaticFacilities,Italian Minister of Defense Guerini,,int_leg_handles,8c767ca839ec783d99943931e82fd43c,int_leg_handles__8c767ca839ec783d99943931e82fd43c
lorenzoviviani4,Italian Legislator Viviani,italy,italy,Rome,Italy,Liguria,Chamber of Deputies of Italy,Lega Nord,Lorenzo,Viviani,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Viviani,,int_leg_handles,0793ef84f9525e4cf99d96134984d6f3,int_leg_handles__0793ef84f9525e4cf99d96134984d6f3
lucacarabetta,Italian Legislator Carabetta,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Five Star Movement,Luca,Carabetta,Legislator,Member of the Italian Chamber of Deputies,Diplomat,Italian Legislator Carabetta,,int_leg_handles,1f446ed66aadc55af16425dc8d761d85,int_leg_handles__1f446ed66aadc55af16425dc8d761d85
lucafrusone,Italian Legislator Frusone,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Five Star Movement,Luca,Frusone,Legislator,Member of the Italian Chamber of Deputies,Shipping,Italian Legislator Frusone,,int_leg_handles,ef3248db093f73631077228a3169f37e,int_leg_handles__ef3248db093f73631077228a3169f37e
lottiluca,Italian Legislator Lotti,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Democratic Party,Luca,Lotti,Legislator,Member of the Italian Chamber of Deputies,FTO,Italian Legislator Lotti,,int_leg_handles,34ecae0c26adee15103cfbe8fd441aac,int_leg_handles__34ecae0c26adee15103cfbe8fd441aac
lucapasto71,Italian Legislator Pastorino,italy,italy,Rome,Italy,Liguria,Chamber of Deputies of Italy,éViva,Luca,Pastorino,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Pastorino,,int_leg_handles,4bb6be33e8cd8dc8f3408d0880590ba7,int_leg_handles__4bb6be33e8cd8dc8f3408d0880590ba7
lucarizzonervo,Italian Legislator Rizzo Nervo,italy,italy,Rome,Italy,Emilia Romagna,Chamber of Deputies of Italy,Democratic Party,Luca,Rizzon Nervo,Legislator,Member of the Italian Chamber of Deputies,Legislator,Italian Legislator Rizzo Nervo,,int_leg_handles,83af803fde7cd808466427e7536ccc2c,int_leg_handles__83af803fde7cd808466427e7536ccc2c
lucasani65,Italian Legislator Sani,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Democratic Party,Luca,Sani,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Sani,,int_leg_handles,e426a86eea5eb78df346e87b25712496,int_leg_handles__e426a86eea5eb78df346e87b25712496
lucasqueri,Italian Legislator Squeri,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Forza Italia (1994),Luca,Squeri,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Squeri,,int_leg_handles,f0e9668394965e48e56226e53a161958,int_leg_handles__f0e9668394965e48e56226e53a161958
luca_sut,Italian Legislator Sut,italy,italy,Rome,Italy,Friuli-Venezia Giulia,Chamber of Deputies of Italy,Five Star Movement,Luca,Sut,Legislator,Member of the Italian Chamber of Deputies,Wells,Italian Legislator Sut,,int_leg_handles,27f63e76f41865731cf9cc87ab6010b9,int_leg_handles__27f63e76f41865731cf9cc87ab6010b9
lucatoccalini,Italian Legislator Toccalini,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Lega Nord,Luca,Toccalini,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Toccalini,,int_leg_handles,fec0754610eedc41a895df4b206c7b7e,int_leg_handles__fec0754610eedc41a895df4b206c7b7e
luciaalbanofdi,Italian Legislator Albano,italy,italy,Rome,Italy,Marche,Chamber of Deputies of Italy,Brothers of Italy,Lucia,Albano,Legislator,Member of the Italian Chamber of Deputies,LegislativeCommittee,Italian Legislator Albano,,int_leg_handles,0f0b79d92677fff6e9b64a8fcb9d4379,int_leg_handles__0f0b79d92677fff6e9b64a8fcb9d4379
lannibali,Italian Legislator Annibali,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Italia Viva,Lucia,Annibali,Legislator,Member of the Italian Chamber of Deputies,Media,Italian Legislator Annibali,,int_leg_handles,80bbdbfd90ef373c8e780cb9aa074f01,int_leg_handles__80bbdbfd90ef373c8e780cb9aa074f01
azzolinalucia,Italian Legislator Azzolina,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Five Star Movement,Lucia,Azzolina,Legislator,Member of the Italian Chamber of Deputies,ForeignMinister,Italian Legislator Azzolina,,int_leg_handles,87dedd06fd20a91bb01fd4134a96360a,int_leg_handles__87dedd06fd20a91bb01fd4134a96360a
lucia_ciampi,Italian Legislator Ciampi,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Democratic Party,Lucia,Ciampi,Legislator,Member of the Italian Chamber of Deputies,Pipeline,Italian Legislator Ciampi,,int_leg_handles,5b72b25073bd70c3177c1d4dff5ca1d4,int_leg_handles__5b72b25073bd70c3177c1d4dff5ca1d4
luciasar,Italian Legislator Scanu,italy,italy,Rome,Italy,Sardinia,Chamber of Deputies of Italy,Five Star Movement,Lucia,Scanu,Legislator,Member of the Italian Chamber of Deputies,Keyphrase,Italian Legislator Scanu,,int_leg_handles,ee76971bb6ec8d7ec40ec0c2420fc671,int_leg_handles__ee76971bb6ec8d7ec40ec0c2420fc671
lucianocadeddu,Italian Legislator Cadeddu,italy,italy,Rome,Italy,Sardinia,Chamber of Deputies of Italy,Five Star Movement,Luciano,Cadeddu,Legislator,Member of the Italian Chamber of Deputies,AAEntity,Italian Legislator Cadeddu,,int_leg_handles,297dddff5739788db4b058b8fc4d7377,int_leg_handles__297dddff5739788db4b058b8fc4d7377
cantone_dep,Italian Legislator Cantone,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Luciano,Cantone,Legislator,Member of the Italian Chamber of Deputies,Organization,Italian Legislator Cantone,,int_leg_handles,2dd972472cebda265d2da95f2d241540,int_leg_handles__2dd972472cebda265d2da95f2d241540
mantovanilu,Italian Legislator Mantovani,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Brothers of Italy,Lucrezia,Mantovani,Legislator,Member of the Italian Chamber of Deputies,Legislator,Italian Legislator Mantovani,,int_leg_handles,c448b0e478bd987c6b180aad2dba548c,int_leg_handles__c448b0e478bd987c6b180aad2dba548c
luigidimaio,Italian Minister of Foreign Affairs Di Maio,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Luigi,Di Maio,Legislator,Minister of Foreign Affairs,DiplomaticFacilities,Italian Minister of Foreign Affairs Di Maio,,int_leg_handles,3c09c5583e605677bacfbe9a2f252d0e,int_leg_handles__3c09c5583e605677bacfbe9a2f252d0e
luigigallo15,Italian Legislator Gallo,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Luigi,Gallo,Legislator,Member of the Italian Chamber of Deputies,Organization,Italian Legislator Gallo,,int_leg_handles,7aa0777a033400c6fa80910882df2a63,int_leg_handles__7aa0777a033400c6fa80910882df2a63
iovinoluigim5s,Italian Legislator Lovino,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Luigi,Lovino,Legislator,Member of the Italian Chamber of Deputies,Person,Italian Legislator Lovino,,int_leg_handles,1101ca52f5db53f2554120db0dd7da1c,int_leg_handles__1101ca52f5db53f2554120db0dd7da1c
lorenzatoluis,Italian Legislator Lorenzato,italy,italy,Rome,Italy,Estero,Chamber of Deputies of Italy,Lega Nord,Luis,Lorenzato,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Lorenzato,,int_leg_handles,9775b3ad79c1c1a233bcfb6e219a20ec,int_leg_handles__9775b3ad79c1c1a233bcfb6e219a20ec
manfredipotenti,Italian Legislator Potenti,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Lega Nord,Manfredi,Potenti,Legislator,Member of the Italian Chamber of Deputies,space,Italian Legislator Potenti,,int_leg_handles,fdc0bf41690674700fc54feeb358d7ac,int_leg_handles__fdc0bf41690674700fc54feeb358d7ac
manueltuzi,Italian Legislator Tuzi,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Five Star Movement,Manuel,Tuzi,Legislator,Member of the Italian Chamber of Deputies,AAEntity,Italian Legislator Tuzi,,int_leg_handles,50eb26e27b90dd8267cb4dcd18515b2d,int_leg_handles__50eb26e27b90dd8267cb4dcd18515b2d
manusp73,Italian Legislator Gagliardi,italy,italy,Rome,Italy,Liguria,Chamber of Deputies of Italy,Coraggio Italia,Manuela,Gagliardi,Legislator,Member of the Italian Chamber of Deputies,Exec,Italian Legislator Gagliardi,,int_leg_handles,e953a1062890ebfe632fb4b0f67630a2,int_leg_handles__e953a1062890ebfe632fb4b0f67630a2
mara_carfagna,Italian Minister for the South and Territorial Cohesion Carfagna,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Forza Italia,Mara,Carfagna,Legislator,Minister for the South and Territorial Cohesion,Legislator,Italian Minister for the South and Territorial Cohesion Carfagna,,int_leg_handles,6b36a8d7324813cc7367cfee712974e0,int_leg_handles__6b36a8d7324813cc7367cfee712974e0
lapiamara,Italian Legislator Lapia,italy,italy,Rome,Italy,Sardinia,Chamber of Deputies of Italy,Five Star Movement,Mara,Lapia,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Lapia,,int_leg_handles,1dc15841992d7b8f47a573ac2fbecb34,int_leg_handles__1dc15841992d7b8f47a573ac2fbecb34
marcellogemmato,Italian Legislator Gemmato,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Brothers of Italy,Marcello,Gemmato,Legislator,Member of the Italian Chamber of Deputies,AAEntity,Italian Legislator Gemmato,,int_leg_handles,7f6485e0b815963c66ee621fcd141595,int_leg_handles__7f6485e0b815963c66ee621fcd141595
marcodimaio,Italian Legislator Di Maio,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Democratic Party,Marco,Di Maio,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Di Maio,,int_leg_handles,6ef0c2384e4f489108f956dba7aa1eeb,int_leg_handles__6ef0c2384e4f489108f956dba7aa1eeb
marco_lacarra,Italian Legislator Lacarra,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Democratic Party,Marco,Lacarra,Legislator,Member of the Italian Chamber of Deputies,Consulates,Italian Legislator Lacarra,,int_leg_handles,39039e3f056e5d3f07b23c8af6d45b3a,int_leg_handles__39039e3f056e5d3f07b23c8af6d45b3a
marcmaggioni,Italian Legislator Maggioni,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Lega Nord,Marco,Maggioni,Legislator,Member of the Italian Chamber of Deputies,Media,Italian Legislator Maggioni,,int_leg_handles,74ebad29668fa0cb514e9a08dd8fff43,int_leg_handles__74ebad29668fa0cb514e9a08dd8fff43
marin63marco,Italian Legislator Marin,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Force Italy,Marco,Marin,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Marin,,int_leg_handles,c69071cc0aab46aa5516407430069acd,int_leg_handles__c69071cc0aab46aa5516407430069acd
marcoosnato,Italian Legislator Osnato,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Brothers of Italy,Marco,Osnato,Legislator,Member of the Italian Chamber of Deputies,ForeignMinister,Italian Legislator Osnato,,int_leg_handles,02b0ae17458cf6649e654a7868d502bf,int_leg_handles__02b0ae17458cf6649e654a7868d502bf
silvestroninews,Italian Legislator Silvestroni,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Brothers of Italy,Marco,Silvestroni,Legislator,Member of the Italian Chamber of Deputies,Exec,Italian Legislator Silvestroni,,int_leg_handles,9e5852a2255fd08cef07196b3df5e2af,int_leg_handles__9e5852a2255fd08cef07196b3df5e2af
margheritadelse,Italian Legislator Del Sesto,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Margherita,Del Sesto,Legislator,Member of the Italian Chamber of Deputies,space,Italian Legislator Del Sesto,,int_leg_handles,a426d12b68449881c2a70d5c53a91d04,int_leg_handles__a426d12b68449881c2a70d5c53a91d04
mcgadda,Italian Legislator Gadda,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Democratic Party,Maria,Gadda,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Gadda,,int_leg_handles,4e67945a6739e20bab8a597953f82c36,int_leg_handles__4e67945a6739e20bab8a597953f82c36
carettamc11,Italian Legislator Caretta,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Brothers of Italy,Maria,Caretta,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Caretta,,int_leg_handles,58f481b31980fc5e15929bb0dc1937f0,int_leg_handles__58f481b31980fc5e15929bb0dc1937f0
mariaederam5s,Italian Legislator Spadoni,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Five Star Movement,Maria,Spadoni,Legislator,Member of the Italian Chamber of Deputies,AAEntity,Italian Legislator Spadoni,,int_leg_handles,d3a7898f417114e17c5d0a45ad905154,int_leg_handles__d3a7898f417114e17c5d0a45ad905154
meb,Italian Legislator Boschi,italy,italy,Rome,Italy,Trentino-South Tyrol,Chamber of Deputies of Italy,Italia Viva,Maria,Boschi,Legislator,Member of the Italian Chamber of Deputies,Refinery,Italian Legislator Boschi,,int_leg_handles,343e7ca1ab86b2db0ac87953a3f9d62c,int_leg_handles__343e7ca1ab86b2db0ac87953a3f9d62c
mariatimbro,Italian Legislator Timbro,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Free and Equal,Maria,Timbro,Legislator,Member of the Italian Chamber of Deputies,FTO,Italian Legislator Timbro,,int_leg_handles,844ab5846b9fa1a42a93480028f0e946,int_leg_handles__844ab5846b9fa1a42a93480028f0e946
laurapaxia,Italian Legislator Paxia,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Maria,Paxia,Legislator,Member of the Italian Chamber of Deputies,DiplomaticFacilities,Italian Legislator Paxia,,int_leg_handles,7eadbafbdac8ae27ec3a71d7b9465997,int_leg_handles__7eadbafbdac8ae27ec3a71d7b9465997
maria_marzana,Italian Legislator Marzana,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Maria,Marzana,Legislator,Member of the Italian Chamber of Deputies,Consulates,Italian Legislator Marzana,,int_leg_handles,69332ce9948b6ec58e65ec03b538e02a,int_leg_handles__69332ce9948b6ec58e65ec03b538e02a
maria_pallini,Italian Legislator Pallini,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Maria,Pallini,Legislator,Member of the Italian Chamber of Deputies,Organization,Italian Legislator Pallini,,int_leg_handles,abf9c3e11cc893e17ac547b64b8f3e53,int_leg_handles__abf9c3e11cc893e17ac547b64b8f3e53
msalemanno,Italian Legislator Alemanno,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Five Star Movement,Maria,Alemanno,Legislator,Member of the Italian Chamber of Deputies,Organization,Italian Legislator Alemanno,,int_leg_handles,d375bdcfae48c6ac3ca2d25e1a2a4278,int_leg_handles__d375bdcfae48c6ac3ca2d25e1a2a4278
maria_spena,Italian Legislator Spena,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Forza Italia (2013),Maria,Spena,Legislator,Member of the Italian Chamber of Deputies,DiplomaticFacilities,Italian Legislator Spena,,int_leg_handles,72ce3261249004acf78b07539cfdf9cf,int_leg_handles__72ce3261249004acf78b07539cfdf9cf
mtbaldini,Italian Legislator Baldini,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Coraggio Italia,Maria,Baldini,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Baldini,,int_leg_handles,801a9b4d8321c3455c66ef378ede1dbf,int_leg_handles__801a9b4d8321c3455c66ef378ede1dbf
maresabellucci,Italian Legislator Bellucci,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Brothers of Italy,Maria,Bellucci,Legislator,Member of the Italian Chamber of Deputies,Consulates,Italian Legislator Bellucci,,int_leg_handles,32801425f4fea1df4c4f7ea4d2912582,int_leg_handles__32801425f4fea1df4c4f7ea4d2912582
tripodimaria,Italian Legislator Tripodi,italy,italy,Rome,Italy,Calabria,Chamber of Deputies of Italy,Forza Italia (2013),Maria,Tripodi,Legislator,Member of the Italian Chamber of Deputies,DiplomaticFacilities,Italian Legislator Tripodi,,int_leg_handles,1c635d5dedbcb029a4a03a1ae40b25ef,int_leg_handles__1c635d5dedbcb029a4a03a1ae40b25ef
mlucialorefice,Italian Legislator Lorefice,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Maria,Lorefice,Legislator,Member of the Italian Chamber of Deputies,Diplomat,Italian Legislator Lorefice,,int_leg_handles,727649ef4e60f582ef8a52024450738e,int_leg_handles__727649ef4e60f582ef8a52024450738e
marialuisafaro,Italian Legislator Faro,italy,italy,Rome,Italy,Puglia,Chamber of Deputies of Italy,Five Star Movement,Marialuisa,Faro,Legislator,Member of the Italian Chamber of Deputies,Person,Italian Legislator Faro,,int_leg_handles,bf2cb443a7097268ff4b5832012ae6df,int_leg_handles__bf2cb443a7097268ff4b5832012ae6df
mariannamadia,Italian Legislator Madia,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Democratic Party,Marianna,Madia,Legislator,Member of the Italian Chamber of Deputies,Exec,Italian Legislator Madia,,int_leg_handles,d2fed0526896f23662e107b18b7d3191,int_leg_handles__d2fed0526896f23662e107b18b7d3191
msgelmini,Italian Minister of Regional Affairs Gelmini,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Forza Italia (2013),Mariastella,Gelmini,Legislator,Minister of Regional Affairs and Autonomies,AAEntity,Italian Minister of Regional Affairs Gelmini,,int_leg_handles,f8176a2c502ab8d7c86ccff09a2dd7e9,int_leg_handles__f8176a2c502ab8d7c86ccff09a2dd7e9
